Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
paper,17:14:00.113,29126,6275,2096,1617,993,1458,773,1458,1419,874,936,2118,3612,29162,28916,29148,29144,28951,1507,1357,2395,1454,1608,2465,1195,1164,979,953,1529,1705,29039,29162,2147483647,64761,566,65527,10002,10649,4249,59459,0,3,3,2
paper,17:14:00.203,28977,6323,2069,1582,993,1463,751,1454,1397,900,940,2135,3625,29179,29135,29100,29065,29184,1467,1441,2381,1441,1661,2452,1142,1151,927,927,1538,1735,29021,29034,2147483647,64743,587,49,10024,10600,4216,59385,0,3,3,2
paper,17:14:00.314,29109,6314,2069,1639,979,1467,795,1450,1410,892,927,2109,3607,29166,29144,29074,29083,29122,1546,1415,2390,1432,1669,2465,1186,1160,962,940,1494,1722,29052,29100,2147483647,64749,568,37,10071,10517,4227,59328,0,3,3,2
paper,17:14:00.393,29061,6292,2104,1612,997,1445,791,1428,1450,874,975,2135,3572,29083,29131,29100,29083,29109,1507,1415,2403,1485,1612,2482,1164,1138,949,914,1529,1740,29104,28981,2147483647,64748,575,61,10112,10458,4240,59303,0,3,3,2
paper,17:14:00.493,29096,6249,2047,1595,997,1450,791,1520,1463,878,940,2162,3537,29078,28968,29118,29210,29012,1445,1357,2416,1419,1621,2399,1190,1151,975,918,1529,1718,29025,29118,2147483647,64762,570,86,10127,10441,4224,59289,0,3,3,2
paper,17:14:00.520,29153,6257,2109,1630,966,1476,773,1476,1450,927,914,2162,3603,29056,28995,29184,29131,28933,1485,1415,2452,1480,1647,2531,1243,1160,979,944,1502,1722,29096,29144,2147483647,64767,586,47,10142,10426,4209,59277,0,3,3,2
paper,17:14:00.704,29131,6249,2074,1621,1041,1463,773,1463,1410,896,940,2157,3607,29074,29021,29148,29131,29065,1498,1401,2452,1476,1661,2469,1199,1168,958,949,1542,1696,28986,29140,2147483647,64755,577,35,10110,10460,4202,59279,0,3,3,2
paper,17:14:00.740,29131,6292,2047,1625,1001,1467,769,1489,1415,848,936,2184,3577,29034,29100,29069,29109,29140,1524,1419,2447,1494,1691,2482,1190,1160,975,914,1516,1744,29030,29126,2147483647,64757,580,34,10067,10518,4185,59296,0,3,3,2
go to fist,17:14:00.993,29078,6262,2030,1612,1001,1450,777,1476,1432,909,918,2175,3585,29083,29104,29061,29078,29153,1463,1406,2460,1428,1656,2518,1190,1173,944,936,1582,1678,29153,29096,2147483647,64752,587,43,10032,10581,4166,59333,0,3,3,2
go to fist,17:14:01.093,29140,6270,2078,1590,1010,1454,773,1480,1458,892,931,2184,3550,29069,28964,29122,29157,28986,1502,1406,2460,1454,1652,2496,1221,1138,966,896,1546,1718,29061,29104,2147483647,64766,582,39,10037,10594,4171,59367,0,3,3,2
go to fist,17:14:01.213,29096,6262,2096,1625,993,1485,769,1472,1401,865,940,2140,3599,29025,28999,29166,29140,28955,1472,1384,2421,1406,1617,2518,1186,1151,975,922,1560,1713,29122,29162,2147483647,64761,597,25,10035,10608,4174,59389,0,3,3,2
go to fist,17:14:01.293,29065,6270,2052,1639,988,1415,791,1432,1432,865,944,2144,3546,29096,29113,29126,29140,29126,1516,1406,2421,1463,1661,2456,1190,1138,953,922,1511,1713,29065,28990,2147483647,64778,566,26,10035,10609,4173,59389,0,3,3,2
go to fist,17:14:01.318,29184,6292,2056,1573,1028,1485,786,1485,1423,878,927,2148,3590,29074,29135,29175,29201,29078,1494,1397,2425,1432,1700,2482,1204,1146,940,918,1542,1700,29197,29162,2147483647,64758,598,31,10026,10610,4165,59370,0,3,3,2
go to fist,17:14:01.523,29148,6257,2061,1608,1059,1458,804,1441,1419,922,914,2144,3577,29030,29039,29162,29144,29043,1498,1423,2425,1445,1643,2456,1177,1133,979,878,1538,1700,29091,29074,2147483647,64752,579,29,10028,10589,4150,59329,0,3,3,2
go to fist,17:14:01.593,29144,6310,2047,1608,988,1454,773,1485,1467,940,936,2188,3568,29113,29039,29153,29131,29083,1489,1423,2416,1450,1665,2504,1190,1142,979,900,1542,1683,29184,29153,2147483647,64764,584,44,10028,10575,4142,59301,0,3,3,2
go to fist,17:14:01.693,29078,6284,2091,1634,1023,1489,764,1467,1445,887,918,2170,3656,29043,28964,29175,29166,29100,1494,1401,2430,1480,1652,2478,1234,1221,940,905,1529,1691,29104,29131,2147483647,64761,588,38,10028,10571,4144,59296,0,3,3,2
go to fist,17:14:01.814,29166,6288,2030,1560,997,1458,791,1480,1410,905,931,2144,3555,29056,28924,29157,29175,28942,1494,1406,2408,1467,1652,2443,1212,1182,949,922,1502,1718,29135,29179,2147483647,64761,585,35,10031,10564,4150,59291,0,3,3,2
go to fist,17:14:01.913,28986,6284,2043,1634,993,1458,795,1489,1450,909,914,2148,3585,29096,29197,29096,29083,29184,1507,1419,2399,1454,1652,2474,1182,1168,979,927,1516,1691,29078,29043,2147483647,64755,581,45,10029,10558,4150,59279,0,3,3,2
go to fist,17:14:02.003,29021,6301,2078,1625,993,1410,791,1533,1454,892,918,2175,3568,29131,29179,29206,29192,29140,1423,1437,2430,1450,1674,2474,1190,1146,984,927,1516,1691,29122,29043,2147483647,64762,580,36,10030,10557,4150,59278,0,3,3,2
wait in fist,17:14:02.104,29153,6292,2052,1612,997,1480,804,1511,1458,896,922,2157,3572,29140,29144,29122,29109,29100,1467,1419,2416,1415,1652,2447,1226,1155,962,918,1520,1687,29153,29118,2147483647,64760,582,39,10031,10556,4148,59276,0,3,3,2
wait in fist,17:14:02.194,29096,6292,2052,1608,1001,1432,795,1467,1450,900,909,2140,3590,29157,29179,29104,29109,29206,1494,1393,2421,1472,1656,2491,1168,1177,953,896,1476,1700,29166,29170,2147483647,64759,576,39,10031,10556,4149,59278,0,3,3,2
wait in fist,17:14:02.293,29166,6288,2078,1617,1001,1511,791,1445,1419,944,931,2170,3572,29047,29113,29175,29170,28942,1472,1371,2395,1445,1661,2491,1204,1177,1001,966,1520,1691,29192,29122,2147483647,64758,579,39,10030,10557,4145,59274,0,3,3,2
wait in fist,17:14:02.393,29118,6270,2034,1604,1037,1450,791,1476,1437,878,905,2104,3581,29162,29096,28977,28995,29135,1485,1432,2399,1450,1652,2456,1239,1146,988,944,1516,1687,29131,29140,2147483647,64757,580,40,10030,10556,4143,59272,0,3,3,2
wait in fist,17:14:02.494,29162,6249,2008,1621,1023,1476,786,1480,1450,892,927,2126,3590,29047,29069,29118,29126,29003,1472,1441,2399,1428,1661,2496,1226,1190,958,918,1502,1696,29148,29188,2147483647,64760,579,37,10032,10553,4145,59271,0,3,3,2
wait in fist,17:14:02.593,29083,6306,2065,1577,1001,1445,817,1463,1423,900,905,2157,3568,29091,29091,29118,29175,29074,1489,1410,2386,1458,1652,2482,1182,1182,936,900,1529,1709,29179,29096,2147483647,64762,577,35,10036,10547,4149,59270,0,3,3,2
wait in fist,17:14:02.693,29166,6262,2065,1604,979,1450,764,1458,1410,883,944,2170,3581,29083,28924,29144,29179,29091,1494,1410,2381,1432,1661,2504,1160,1120,979,936,1538,1665,29109,29126,2147483647,64756,577,45,10032,10547,4149,59264,0,3,3,2
