P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
29540,6394,2184,1656,852,1327,729,1353,1437,856,848,1902,3273,29478,29430,29443,29469,29487,1366,1146,1775,1384,2126,3045,1256,1243,1001,997,1437,1608,29513,29509
29474,6376,2188,1634,834,1322,716,1327,1467,896,861,1907,3260,29469,29447,29460,29447,29403,1322,1173,1779,1401,2140,3045,1204,1217,1006,940,1423,1538,29522,29487
29474,6389,2162,1661,870,1309,725,1300,1406,887,852,1907,3216,29469,29416,29438,29381,29443,1340,1221,1762,1401,2144,3027,1261,1226,997,944,1432,1560,29438,29478
29518,6402,2192,1683,861,1344,711,1300,1401,861,843,1929,3243,29482,29469,29460,29421,29412,1344,1239,1819,1406,2122,3067,1261,1221,1023,962,1428,1582,29491,29465
29487,6367,2166,1683,839,1300,738,1318,1441,909,856,1920,3251,29482,29438,29381,29421,29460,1309,1182,1792,1388,2113,3036,1234,1239,1019,979,1450,1621,29421,29465
29496,6389,2188,1674,861,1322,738,1313,1397,856,852,1933,3238,29509,29452,29478,29456,29438,1327,1164,1779,1401,2157,2992,1226,1199,971,958,1463,1577,29513,29474
29452,6389,2201,1639,856,1335,720,1335,1432,883,852,1955,3225,29487,29504,29416,29399,29482,1349,1173,1801,1366,2144,3049,1230,1190,979,988,1445,1564,29456,29465
29460,6416,2201,1669,843,1313,733,1322,1415,856,856,1933,3278,29430,29438,29408,29456,29425,1366,1208,1801,1415,2126,3036,1221,1199,971,993,1454,1595,29460,29443
29456,6424,2197,1656,843,1335,720,1335,1437,856,883,1942,3260,29482,29416,29346,29443,29452,1340,1217,1779,1362,2100,3054,1230,1226,993,979,1437,1546,29412,29474
29478,6402,2148,1669,878,1309,729,1291,1441,861,861,1933,3287,29482,29469,29430,29425,29421,1340,1199,1766,1371,2131,3071,1248,1195,1001,966,1454,1582,29509,29518
29456,6372,2214,1656,856,1349,733,1349,1467,883,865,1955,3256,29465,29377,29425,29412,29395,1357,1173,1770,1384,2148,3041,1217,1182,1015,958,1445,1582,29430,29408
29460,6380,2162,1652,914,1344,716,1322,1450,878,821,1964,3238,29487,29425,29456,29408,29412,1353,1173,1775,1357,2122,3045,1234,1221,984,922,1423,1586,29390,29434
29434,6385,2184,1661,905,1305,742,1313,1419,861,826,1942,3225,29447,29373,29390,29438,29416,1322,1190,1810,1388,2100,3089,1261,1234,1006,971,1432,1555,29412,29443
29452,6385,2192,1652,826,1318,685,1305,1419,887,874,1946,3243,29456,29395,29447,29399,29430,1335,1155,1788,1375,2148,3045,1217,1208,1023,971,1432,1599,29478,29447
29487,6402,2166,1643,817,1313,716,1322,1415,883,918,1924,3247,29487,29403,29412,29443,29416,1327,1182,1770,1384,2157,3054,1230,1226,984,993,1445,1573,29452,29460
29430,6367,2170,1630,892,1300,694,1318,1419,900,874,1929,3260,29491,29390,29425,29395,29425,1353,1190,1806,1371,2140,3036,1256,1208,993,966,1458,1573,29381,29456
29267,6376,2113,1647,834,1344,707,1331,1428,874,878,1924,3251,29509,29491,29474,29443,29522,1322,1182,1779,1362,2144,3054,1248,1186,1006,958,1423,1573,29359,29293
29434,6407,2188,1617,865,1322,716,1335,1428,883,878,1929,3229,29460,29416,29395,29425,29390,1340,1160,1753,1406,2135,3076,1256,1230,1019,953,1450,1604,29412,29421
29395,6385,2210,1665,856,1335,729,1335,1454,874,887,1937,3221,29491,29443,29390,29438,29421,1327,1160,1766,1415,2126,3054,1256,1239,1001,988,1445,1564,29478,29469
29456,6372,2170,1639,834,1349,698,1318,1454,870,848,1946,3251,29500,29434,29395,29412,29438,1300,1186,1770,1357,2157,3045,1226,1234,1001,962,1428,1590,29395,29469
