Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
paper,18:01:00.040,29131,7101,2935,1696,1041,1441,848,1639,1687,892,940,2377,3638,29175,29228,29250,29236,29201,1445,1331,2729,1410,2157,2764,1059,1155,966,896,1555,1669,29118,29162,2147483647,64698,115,478,14026,68,8253,1892,0,3,3,2
paper,18:01:00.217,29091,7110,2948,1744,1072,1406,856,1661,1634,892,949,2381,3607,29219,29232,29232,29223,29210,1445,1313,2724,1410,2170,2781,1076,1133,962,896,1577,1705,29122,29144,2147483647,64703,115,475,14026,53,8252,1898,0,3,3,2
paper,18:01:00.239,29118,7123,2939,1753,1045,1423,795,1634,1652,865,984,2381,3647,29232,29184,29280,29263,29241,1463,1344,2711,1401,2157,2755,1116,1116,944,909,1573,1691,29061,29135,2147483647,64701,117,479,14027,42,8249,1905,0,3,3,2
paper,18:01:00.416,29122,7119,2970,1696,1072,1410,826,1621,1678,874,918,2434,3625,29236,29184,29219,29201,29175,1476,1353,2755,1441,2184,2742,1081,1129,944,909,1577,1735,29140,29126,2147483647,64696,110,475,14031,40,8241,1911,0,3,3,2
paper,18:01:00.517,29144,7105,2992,1705,1076,1410,799,1595,1630,892,940,2390,3621,29228,29184,29228,29254,29236,1397,1349,2768,1388,2192,2759,1072,1107,944,896,1560,1727,29074,29162,2147483647,64698,112,481,14042,44,8219,1921,0,3,3,2
paper,18:01:00.616,29091,7097,2961,1744,1076,1419,817,1604,1630,892,975,2386,3638,29201,29179,29245,29254,29184,1502,1410,2803,1397,2228,2790,1089,1129,927,852,1582,1731,29096,29153,2147483647,64701,115,484,14059,42,8189,1931,0,3,3,2
paper,18:01:00.716,29148,7136,2970,1735,1050,1463,826,1630,1625,887,927,2395,3638,29144,29214,29236,29236,29206,1445,1366,2834,1410,2135,2834,1098,1160,962,958,1551,1705,29153,29122,2147483647,64705,111,489,14072,36,8166,1934,0,3,3,2
paper,18:01:00.743,29083,7145,2970,1722,1059,1450,839,1634,1674,892,936,2390,3607,29166,29135,29184,29135,29153,1463,1379,2794,1410,2206,2746,1054,1085,940,900,1564,1735,29104,29140,2147483647,64708,111,496,14083,34,8146,1940,0,3,3,2
paper,18:01:00.918,29122,7097,2975,1709,1037,1410,861,1599,1669,918,927,2416,3643,29192,29250,29197,29214,29250,1406,1375,2834,1437,2192,2794,1063,1164,949,918,1582,1696,29162,29140,2147483647,64703,107,486,14082,22,8145,1946,0,3,3,2
paper,18:01:01.016,29245,7132,2926,1753,1059,1437,782,1669,1687,909,958,2368,3638,29078,29100,29228,29267,28981,1432,1322,2777,1423,2206,2786,1089,1116,971,900,1608,1709,29126,29197,2147483647,64701,113,479,14078,17,8152,1944,0,3,3,2
paper,18:01:01.116,29157,7083,2948,1700,1067,1458,826,1634,1669,909,940,2399,3603,29219,29179,29236,29245,29175,1467,1335,2803,1410,2157,2750,1081,1111,953,900,1560,1700,29061,29144,2147483647,64714,107,491,14076,17,8156,1944,0,3,3,2
paper,18:01:01.216,29113,7141,2957,1696,1045,1480,791,1608,1687,896,966,2359,3660,29175,29197,29184,29201,29232,1476,1340,2794,1423,2210,2764,1085,1164,975,922,1555,1731,29069,29087,2147483647,64706,106,485,14074,25,8161,1939,0,3,3,2
paper,18:01:01.317,29096,7057,2939,1735,1089,1415,826,1661,1647,909,966,2399,3621,29214,29223,29245,29223,29241,1441,1375,2803,1406,2170,2786,1107,1151,966,931,1577,1722,29144,29104,2147483647,64706,112,493,14072,28,8163,1944,0,3,3,2
paper,18:01:01.416,29228,7101,2948,1700,1085,1419,834,1639,1683,918,949,2381,3651,29254,29170,29201,29188,29210,1480,1353,2786,1428,2197,2794,1076,1142,931,892,1542,1718,29083,29135,2147483647,64703,115,487,14070,30,8166,1947,0,3,3,2
paper,18:01:01.442,29096,7088,2939,1709,1054,1406,817,1661,1617,878,953,2395,3656,29201,29166,29250,29228,29201,1445,1388,2768,1423,2232,2768,1107,1107,931,896,1551,1722,29083,29126,2147483647,64708,108,484,14066,29,8172,1947,0,3,3,2
paper,18:01:01.617,29131,7075,2926,1718,1050,1428,839,1656,1634,883,940,2399,3634,29241,29157,29153,29109,29170,1463,1366,2781,1423,2166,2746,1125,1125,971,883,1586,1727,29083,29135,2147483647,64703,113,482,14068,35,8168,1953,0,3,3,2
paper,18:01:01.640,29140,7136,2917,1687,1072,1388,861,1608,1691,887,953,2434,3594,29206,29201,29148,29206,29214,1472,1327,2812,1371,2175,2777,1111,1146,922,892,1573,1683,29091,29118,2147483647,64708,113,488,14075,31,8154,1957,0,3,3,2
paper,18:01:01.816,29188,7105,2975,1691,1059,1415,817,1604,1674,870,892,2395,3651,29201,29166,29197,29166,29162,1397,1357,2786,1441,2170,2746,1085,1133,979,900,1573,1696,29083,29175,2147483647,64705,114,486,14075,31,8155,1957,0,3,3,2
paper,18:01:01.916,29157,7114,2935,1713,1063,1445,839,1608,1674,896,931,2377,3581,29206,29210,29241,29236,29197,1432,1357,2737,1415,2166,2746,1059,1129,962,922,1608,1691,29052,29126,2147483647,64704,108,486,14074,31,8156,1957,0,3,3,2
paper,18:01:01.941,29166,7066,2944,1749,1063,1406,839,1625,1656,883,922,2390,3629,29148,29162,29192,29153,29192,1428,1331,2786,1423,2179,2733,1103,1111,966,870,1564,1696,29069,29170,2147483647,64702,115,487,14073,30,8159,1957,0,3,3,2
