P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
3269,1700,966,1419,830,1595,1498,887,883,2399,3563,1419,1313,2588,1415,1959,2803,1146,1120,966,909,1516,1722
3295,1683,958,1450,830,1586,1564,900,936,2465,3585,1423,1335,2504,1410,1973,2764,1125,1146,931,892,1529,1669
3234,1709,975,1454,791,1612,1529,874,909,2285,3625,1450,1313,2623,1419,1973,2777,1129,1129,914,905,1524,1683
3260,1691,953,1419,821,1617,1520,865,909,2364,3594,1397,1344,2588,1419,1977,2746,1146,1125,953,887,1520,1700
3238,1683,997,1428,808,1568,1634,892,918,2386,3585,1428,1335,2522,1397,1986,2768,1142,1133,984,918,1502,1691
3225,1691,1010,1450,791,1586,1524,887,949,2386,3590,1463,1327,2575,1410,1995,2777,1125,1125,936,892,1533,1683
3243,1700,993,1463,773,1546,1529,896,922,2390,3581,1410,1313,2553,1428,1981,2750,1125,1146,962,936,1507,1656
3256,1722,984,1458,804,1599,1621,896,905,2416,3568,1428,1362,2575,1415,1964,2750,1120,1138,922,883,1498,1683
3238,1731,962,1450,795,1604,1538,896,931,2460,3599,1415,1344,2588,1371,1986,2750,1146,1125,958,927,1542,1709
3251,1691,988,1454,769,1564,1582,861,905,2386,3515,1423,1340,2605,1410,2008,2724,1111,1125,931,883,1516,1691
3238,1661,979,1432,773,1599,1476,878,918,2438,3577,1450,1366,2570,1401,2003,2816,1168,1116,918,905,1524,1735
3273,1669,962,1437,821,1590,1542,843,949,2513,3599,1419,1327,2566,1419,2039,2821,1168,1111,936,909,1489,1691
3265,1634,1028,1450,830,1604,1524,870,927,2522,3599,1432,1362,2597,1437,2012,2768,1160,1151,931,861,1511,1687
3287,1656,979,1423,795,1590,1577,834,944,2496,3585,1401,1349,2562,1441,2025,2816,1129,1142,962,883,1489,1696
3247,1665,944,1437,804,1590,1564,861,944,2421,3581,1437,1313,2557,1428,1990,2830,1120,1133,975,905,1511,1696
3208,1683,971,1437,808,1582,1542,892,940,2482,3563,1437,1344,2575,1401,2021,2750,1120,1146,940,905,1551,1691
3238,1665,1015,1445,821,1555,1564,874,922,2513,3568,1432,1340,2592,1441,2012,2772,1125,1120,940,887,1489,1661
3221,1722,958,1450,808,1568,1520,878,900,2487,3585,1423,1340,2535,1379,2043,2742,1168,1111,953,905,1542,1656
3225,1683,949,1458,782,1555,1564,874,931,2610,3546,1388,1327,2535,1432,1999,2759,1155,1168,953,896,1533,1705
3212,1683,979,1485,808,1621,1533,861,918,2540,3572,1463,1349,2579,1419,1977,2764,1164,1138,936,927,1551,1674
3291,1647,966,1441,799,1590,1551,909,931,2513,3585,1410,1331,2548,1397,2003,2742,1098,1146,936,896,1551,1674
3221,1665,966,1437,821,1595,1568,887,918,2346,3563,1428,1313,2583,1458,1968,2755,1098,1125,940,905,1542,1705
3194,1713,971,1410,821,1564,1560,870,936,2412,3533,1454,1331,2562,1419,2025,2711,1120,1138,962,900,1516,1674
3234,1683,971,1472,795,1595,1511,887,918,2469,3537,1423,1313,2504,1406,2017,2729,1098,1116,966,900,1533,1696
3243,1647,962,1450,786,1590,1489,861,887,2570,3581,1432,1331,2548,1410,1995,2737,1129,1142,962,870,1542,1709
3216,1661,940,1445,821,1604,1520,870,909,2368,3572,1428,1296,2513,1406,1968,2702,1120,1138,949,905,1529,1678
3238,1678,984,1445,808,1573,1608,839,931,2307,3550,1428,1287,2575,1441,2003,2729,1138,1151,953,861,1538,1709
3212,1709,984,1445,786,1573,1590,914,927,2430,3555,1419,1349,2518,1401,1981,2724,1138,1138,949,900,1533,1652
3234,1669,971,1458,821,1582,1529,896,953,2518,3520,1397,1335,2553,1445,1973,2715,1164,1142,940,896,1542,1691
3238,1687,975,1423,808,1573,1489,865,927,2487,3572,1406,1305,2570,1419,2021,2729,1129,1164,966,909,1538,1687
3212,1661,979,1450,782,1586,1485,892,944,2509,3555,1401,1344,2548,1384,1981,2750,1103,1133,936,892,1533,1656
3190,1700,940,1467,764,1608,1498,843,918,2456,3550,1384,1274,2518,1458,1995,2755,1155,1125,962,892,1511,1700
3186,1661,993,1450,821,1590,1586,861,918,2390,3563,1480,1340,2535,1428,1942,2702,1120,1168,918,931,1555,1700
3190,1696,979,1454,826,1560,1516,870,883,2474,3603,1432,1313,2562,1423,1986,2702,1151,1111,949,914,1502,1687
3186,1661,962,1458,812,1577,1472,918,909,2513,3572,1393,1300,2540,1423,1986,2685,1116,1142,936,909,1560,1656
3212,1647,1015,1432,817,1612,1494,865,966,2469,3546,1437,1331,2548,1423,1973,2658,1146,1103,944,914,1520,1691
3229,1687,971,1423,808,1582,1608,870,936,2377,3572,1415,1296,2513,1450,1981,2667,1129,1182,979,918,1529,1727
3225,1678,984,1428,821,1586,1520,861,918,2478,3577,1428,1300,2579,1432,1968,2711,1107,1168,931,861,1489,1687
3177,1678,979,1437,808,1564,1524,834,922,2504,3520,1419,1305,2535,1419,1959,2715,1107,1138,940,861,1480,1691
3115,1656,984,1454,786,1582,1542,870,900,2504,3563,1410,1296,2522,1423,2008,2667,1107,1142,914,905,1516,1718
3177,1683,1019,1454,795,1590,1485,887,927,2337,3572,1415,1309,2544,1428,1990,2707,1081,1164,953,896,1520,1656
3164,1705,958,1445,812,1604,1560,865,900,2482,3541,1432,1344,2557,1393,1973,2720,1120,1155,940,892,1542,1727
3212,1683,922,1454,804,1582,1511,843,887,2416,3533,1415,1283,2562,1397,1973,2711,1125,1133,940,883,1529,1665
3168,1683,966,1472,804,1604,1529,892,892,2456,3581,1437,1305,2544,1406,1946,2698,1146,1138,962,883,1516,1700
3168,1661,975,1476,791,1586,1595,878,900,2434,3590,1415,1300,2526,1428,1968,2689,1138,1120,936,878,1542,1691
3190,1665,971,1454,769,1621,1595,905,914,2531,3638,1410,1327,2535,1437,1981,2737,1146,1129,958,861,1555,1683
3212,1691,958,1476,848,1568,1538,914,909,2412,3550,1401,1283,2535,1415,1907,2689,1125,1168,931,900,1529,1661
3208,1674,966,1437,817,1538,1617,883,944,2430,3528,1415,1344,2535,1410,1990,2724,1133,1116,936,878,1480,1669
3216,1669,922,1415,786,1568,1582,900,896,2438,3546,1397,1287,2518,1406,1990,2715,1111,1085,966,914,1533,1696
3216,1678,993,1432,804,1577,1595,883,949,2373,3568,1415,1309,2557,1401,1955,2698,1133,1129,944,909,1533,1678
3199,1740,966,1450,764,1599,1612,878,883,2425,3643,1463,1331,2557,1384,2012,2750,1133,1142,936,878,1546,1665
3269,1647,979,1432,795,1577,1546,914,936,2456,3528,1437,1313,2531,1401,1973,2742,1111,1160,927,949,1516,1687
3238,1661,979,1415,817,1595,1573,870,927,2500,3550,1410,1327,2504,1441,1964,2702,1146,1120,962,887,1542,1691
3203,1669,984,1441,812,1599,1617,870,905,2412,3607,1428,1331,2548,1419,1946,2720,1151,1155,953,896,1546,1678
3238,1665,993,1437,826,1617,1564,892,900,2416,3603,1415,1349,2509,1423,1977,2707,1138,1142,953,883,1476,1709
3260,1687,975,1401,764,1599,1489,856,918,2460,3607,1450,1305,2526,1437,1995,2693,1129,1120,940,883,1533,1687
3238,1705,979,1423,799,1630,1568,892,909,2460,3581,1397,1344,2509,1410,1964,2711,1142,1155,949,896,1533,1705
3216,1669,962,1450,786,1577,1555,905,931,2416,3599,1401,1327,2531,1401,1959,2693,1164,1125,940,918,1533,1687
3225,1669,988,1441,764,1546,1560,856,940,2434,3550,1463,1300,2540,1419,1986,2729,1138,1138,953,865,1542,1700
3199,1722,979,1450,839,1586,1586,878,953,2425,3581,1450,1305,2509,1388,1955,2707,1133,1146,936,918,1494,1683
