Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,22:04:59.939,30256,6846,2685,1753,848,1406,804,1568,1428,861,914,1929,4056,30234,30128,30137,30137,30062,1586,1401,2504,1362,3014,3005,1652,1498,1239,1160,1977,2175,30243,30225,2147483647,65394,65522,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.040,30282,6864,2702,1727,839,1401,795,1538,1419,865,988,1937,4047,30265,30032,30142,30115,30032,1582,1432,2430,1344,3045,3045,1608,1476,1234,1164,2012,2140,30150,30256,2147483647,65393,65523,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.138,30234,6873,2698,1713,834,1445,817,1542,1406,843,914,1933,4069,30265,30111,30190,30194,30155,1568,1384,2487,1349,3010,3036,1625,1472,1248,1195,2017,2179,30164,30221,2147483647,65392,65520,952,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.238,30260,6890,2724,1696,852,1401,812,1551,1428,896,922,1951,3999,30238,30093,30225,30177,30062,1555,1371,2478,1362,3005,3027,1678,1489,1248,1173,2074,2140,30247,30251,2147483647,65393,65520,951,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.338,30212,6868,2724,1735,848,1401,826,1573,1428,856,953,1946,4056,30295,30093,30120,30150,30115,1590,1401,2500,1340,3032,3014,1656,1520,1239,1195,2061,2153,30133,30243,2147483647,65394,65521,950,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.438,30269,6930,2685,1709,834,1393,804,1568,1423,896,940,1951,4060,30291,30137,30172,30164,30150,1604,1393,2465,1344,3041,3023,1630,1480,1256,1186,2017,2166,30150,30291,2147483647,65392,65522,951,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.538,30238,6881,2711,1696,843,1463,799,1538,1384,848,940,1916,4025,30251,30098,30137,30177,30098,1546,1393,2509,1393,3010,3027,1665,1489,1256,1186,2056,2148,30164,30203,2147483647,65393,65520,955,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.638,30313,6890,2715,1696,804,1401,843,1568,1406,856,931,1942,4060,30331,30098,30251,30199,30062,1546,1384,2491,1353,3019,3027,1634,1476,1256,1186,2034,2184,30181,30287,2147483647,65391,65522,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.737,30265,6899,2667,1718,878,1397,830,1538,1419,878,900,1968,4051,30256,30089,30177,30190,30098,1564,1393,2434,1349,3054,3014,1647,1472,1248,1230,2052,2179,30238,30243,2147483647,65390,65521,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.838,30291,6864,2671,1722,865,1388,812,1542,1406,861,936,1911,4047,30256,30146,30238,30247,30155,1542,1415,2482,1335,2997,3041,1634,1498,1300,1199,2017,2166,30229,30273,2147483647,65394,65523,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:00.938,30229,6916,2680,1744,804,1397,808,1538,1467,852,940,1937,4020,30208,30080,30164,30164,30062,1542,1388,2482,1371,3023,3045,1639,1502,1248,1199,2034,2192,30194,30234,2147483647,65392,65523,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.040,30295,6842,2711,1731,808,1437,799,1560,1410,870,914,1916,4064,30313,30124,30229,30221,30150,1595,1388,2456,1331,3019,3019,1647,1533,1265,1186,2039,2153,30238,30278,2147483647,65393,65520,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.138,30229,6881,2663,1696,843,1437,843,1560,1441,861,914,1924,4007,30304,30049,30181,30155,30019,1564,1401,2478,1357,3019,3001,1661,1480,1248,1164,2039,2201,30208,30238,2147483647,65392,65522,955,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.238,30243,6916,2720,1731,848,1410,804,1582,1428,856,927,1946,4034,30370,30172,30238,30251,30155,1582,1393,2474,1401,3058,3054,1639,1476,1234,1173,2047,2184,30361,30317,2147483647,65394,65523,954,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.338,30313,6855,2680,1744,808,1428,795,1538,1419,865,896,1924,4038,30256,30080,30146,30172,30093,1551,1423,2478,1397,3019,3005,1656,1476,1234,1186,2043,2144,30168,30269,2147483647,65392,65520,952,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.438,30221,6881,2702,1718,839,1406,804,1582,1454,839,949,1959,4056,30251,30111,30177,30177,30146,1560,1375,2465,1349,3049,3045,1634,1485,1252,1186,2008,2148,30111,30234,2147483647,65392,65521,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.539,30326,6820,2680,1731,839,1428,764,1551,1437,848,922,1977,4034,30247,30089,30177,30155,30084,1542,1393,2474,1344,3005,3027,1643,1502,1234,1204,2025,2192,30199,30238,2147483647,65393,65521,954,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.638,30225,6895,2724,1709,782,1428,795,1542,1441,839,909,1920,4064,30300,30041,30177,30190,30146,1573,1401,2430,1344,3010,3023,1643,1533,1239,1204,2039,2179,30203,30234,2147483647,65394,65521,952,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.737,30273,6873,2729,1696,799,1415,786,1577,1397,865,949,1911,4047,30229,30071,30168,30142,30071,1599,1410,2487,1313,2997,3049,1647,1507,1252,1190,2047,2144,30269,30251,2147483647,65393,65519,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.839,30287,6881,2689,1705,821,1401,808,1551,1406,900,931,1907,4064,30265,30058,30111,30164,30115,1573,1401,2478,1357,3023,3019,1687,1494,1256,1204,2052,2192,30243,30287,2147483647,65392,65522,954,14947,64965,1104,6594,0,1,3,0
Wait,22:05:01.939,30300,6864,2680,1735,826,1410,821,1582,1401,861,936,1924,4047,30234,30093,30212,30194,30137,1546,1401,2452,1344,3032,3054,1696,1489,1261,1199,2021,2184,30199,30265,2147483647,65393,65522,951,14947,64965,1104,6594,0,1,3,0
Wait,22:05:02.039,30216,6868,2663,1735,865,1423,812,1560,1397,896,905,1942,4042,30234,30102,30146,30137,30093,1564,1397,2469,1349,3014,3001,1656,1480,1234,1173,2034,2197,30221,30238,2147483647,65393,65522,951,14947,64965,1104,6594,0,1,3,0
Wait,22:05:02.139,30265,6877,2711,1700,834,1406,830,1555,1432,861,962,1937,4042,30278,30111,30194,30212,30124,1590,1397,2478,1349,2975,3027,1656,1498,1226,1190,2034,2170,30199,30322,2147483647,65392,65523,953,14947,64965,1104,6594,0,1,3,0
Wait,22:05:02.238,30238,6899,2685,1722,848,1384,830,1582,1410,883,927,1964,4025,30317,30093,30159,30234,30071,1555,1406,2478,1357,3019,3014,1643,1463,1274,1177,2056,2179,30177,30225,2147483647,65393,65524,954,14947,64965,1104,6594,0,1,3,0
