Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,22:09:59.941,30084,6851,2729,1727,870,1401,812,1555,1419,878,927,1924,4016,30137,30089,30115,30128,30106,1524,1384,2469,1357,3010,2983,1740,1630,1327,1274,2175,2289,29654,30062,2147483647,65394,65522,954,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.043,30137,6877,2680,1762,821,1423,791,1546,1467,878,909,1933,4042,30168,30186,30177,30172,30137,1551,1384,2491,1335,3001,3010,1797,1595,1340,1261,2250,2359,29724,30137,2147483647,65394,65522,951,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.141,30049,6903,2724,1727,852,1393,777,1582,1428,856,918,1937,4016,30146,30128,30098,30124,30115,1551,1401,2478,1327,2983,3019,1735,1604,1375,1278,2188,2320,29750,30023,2147483647,65393,65522,953,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.242,30128,6824,2707,1722,821,1401,795,1533,1428,883,936,1951,4034,30115,30146,30124,30111,30159,1573,1397,2465,1362,3041,3005,1770,1617,1349,1287,2197,2329,29904,30084,2147483647,65394,65522,951,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.341,30089,6864,2671,1740,834,1432,812,1542,1432,856,896,1942,4034,30089,30098,30080,30045,30071,1568,1401,2452,1388,2975,2997,1744,1643,1335,1261,2219,2351,29724,30041,2147483647,65393,65521,951,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.442,30124,6820,2707,1788,821,1410,826,1546,1393,878,944,1924,4042,30150,30172,30120,30159,30155,1573,1393,2482,1340,3001,3041,1766,1625,1340,1296,2162,2311,29707,30084,2147483647,65393,65523,951,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.542,30054,6899,2693,1749,865,1375,782,1529,1437,909,953,1946,4025,30128,30089,30054,30111,30098,1560,1384,2504,1353,3014,3005,1770,1582,1340,1243,2197,2377,29834,30067,2147483647,65393,65519,952,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.641,30128,6925,2689,1753,782,1353,786,1568,1450,861,927,1955,4025,30133,30133,30093,30186,30199,1546,1379,2447,1318,2948,3023,1770,1555,1335,1300,2166,2179,29799,30093,2147483647,65393,65522,951,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.742,30045,6895,2685,1757,821,1393,791,1560,1397,887,896,1937,4020,30102,30054,30089,30049,30067,1586,1384,2474,1327,3027,3001,1814,1582,1375,1283,2206,2337,29693,30036,2147483647,65394,65521,950,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.842,30049,6886,2676,1744,826,1432,804,1582,1406,839,887,1898,3981,30049,30067,30049,30084,30106,1564,1410,2469,1357,3001,3001,1740,1577,1335,1239,2201,2311,29755,30089,2147483647,65392,65521,953,14947,64959,1097,6594,0,1,3,0
Wait,22:10:00.941,30111,6890,2654,1744,834,1437,834,1560,1406,861,944,1916,4003,30120,30093,30093,30032,30054,1560,1344,2482,1357,3027,3005,1753,1608,1349,1265,2232,2359,29742,30067,2147483647,65391,65521,953,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.042,30071,6842,2724,1722,843,1401,830,1546,1415,856,936,1889,4029,30098,30155,30001,30049,30159,1590,1379,2465,1362,3023,3014,1775,1608,1327,1287,2166,2364,29592,30080,2147483647,65391,65524,950,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.142,30120,6851,2720,1735,821,1379,791,1533,1410,870,905,1933,4042,30120,30159,30062,30089,30128,1529,1353,2487,1353,3023,3019,1779,1599,1335,1243,2162,2320,29913,30106,2147483647,65393,65524,950,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.241,30067,6829,2720,1762,821,1388,812,1560,1401,830,918,1911,4029,30133,30120,29992,30027,30133,1560,1393,2456,1322,3032,2997,1727,1568,1362,1265,2175,2315,29865,30076,2147483647,65393,65521,952,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.341,30067,6873,2680,1735,808,1423,804,1582,1410,874,909,1946,3999,30098,30106,30062,30076,30155,1555,1406,2482,1335,2992,3014,1731,1621,1357,1252,2201,2359,29781,30146,2147483647,65392,65524,955,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.442,30098,6877,2676,1722,821,1419,817,1560,1432,892,944,1959,4020,30062,30128,30058,30023,30115,1551,1415,2504,1353,3010,3010,1744,1560,1327,1309,2170,2351,29724,30102,2147483647,65394,65520,952,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.541,30150,6908,2645,1735,812,1397,830,1599,1428,856,918,1955,3981,30120,30124,30014,30058,30124,1533,1388,2452,1371,3036,3014,1749,1590,1309,1256,2192,2342,29693,30067,2147483647,65393,65521,952,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.642,30098,6912,2689,1683,861,1419,839,1538,1423,878,936,1902,4042,30089,30093,30058,30019,30076,1551,1393,2491,1371,2997,2992,1806,1573,1357,1270,2206,2311,29799,30084,2147483647,65392,65523,954,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.741,30146,6851,2680,1722,826,1406,795,1555,1428,826,931,1929,4047,30181,30089,30137,30128,30164,1538,1410,2452,1371,3027,3010,1788,1599,1371,1278,2192,2377,29838,30120,2147483647,65394,65523,953,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.841,30133,6859,2707,1718,834,1415,791,1546,1397,887,909,1916,4020,30089,30067,30098,30102,30124,1582,1371,2465,1344,3014,2992,1770,1577,1366,1274,2179,2364,29733,30019,2147483647,65394,65522,953,14947,64959,1097,6594,0,1,3,0
Gesture 2,22:10:01.941,30146,6881,2685,1749,839,1401,830,1564,1410,848,918,1911,4060,30186,30159,30150,30181,30164,1564,1410,2456,1353,3019,3010,1753,1612,1322,1278,2184,2337,29917,30190,2147483647,65394,65520,952,14947,64959,1097,6594,0,1,3,0
