Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,15:35:59.980,31502,31403,31473,31380,31473,31433,31479,31380,31479,31444,31467,31386,31526,31467,31392,31403,31433,31374,31479,31473,31456,31462,31514,31427,31380,31421,31508,31462,31398,31456,31386,31479,28265238,65345,168,944,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.084,31444,31526,31438,31316,31450,31485,31415,31432,31415,31415,31380,31398,31479,31432,31415,31473,31427,31427,31479,31543,31467,31520,31386,31473,31368,31421,31537,31462,31403,31491,31479,31467,28447172,65346,167,939,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.262,31497,31485,31450,31386,31467,31526,31368,31462,31444,31456,31526,31462,31450,31485,31444,31473,31473,31386,31473,31497,31363,31567,31444,31467,31456,31427,31433,31456,31322,31450,31444,31491,28627918,65343,168,945,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.361,31450,31485,31491,31432,31450,31514,31415,31438,31433,31421,31415,31218,31467,31473,31403,31409,31450,31467,31485,31502,31241,31415,31462,31427,31462,31386,31415,31450,31363,31438,31415,31409,28808710,65346,170,946,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.380,31438,31432,31444,31473,31485,31456,31363,31433,31502,31462,31491,31322,31462,31467,31386,31444,31438,31467,31491,31450,31305,31485,31444,31421,31421,31444,31456,31514,31444,31514,31473,31532,28991040,65347,169,939,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.480,31450,31386,31497,31252,31403,31485,31427,31456,31462,31386,31485,31293,31479,31520,31386,31491,31508,31473,31473,31444,31340,31508,31456,31450,31427,31409,31514,31450,31357,31526,31415,31456,29171786,65343,168,938,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.579,31462,31485,31462,31287,31485,31497,31444,31444,31462,31456,31497,31427,31473,31491,31403,31450,31479,31357,31526,31485,31363,31473,31462,31438,31456,31409,31514,31462,31252,31479,31497,31485,29354244,65345,168,938,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.682,31450,31450,31497,31357,31479,31491,31421,31462,31409,31438,31502,31369,31502,31462,31368,31444,31514,31432,31491,31479,31514,31508,31450,31374,31479,31450,31438,31444,31351,31491,31421,31444,29535562,65346,168,937,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.794,31473,31427,31392,31427,31403,31473,31450,31456,31491,31403,31444,31241,31479,31537,31427,31403,31473,31415,31462,31444,31305,31497,31502,31421,31438,31409,31479,31444,31392,31537,31444,31491,29716486,65345,166,942,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.901,31433,31456,31438,31264,31485,31473,31380,31497,31473,31444,31514,31450,31456,31479,31433,31427,31450,31415,31467,31485,31415,31532,31403,31438,31514,31427,31502,31467,31282,31526,31473,31479,29898420,65341,168,946,16239,1451,1622,0,0,1,3,0
Wait,15:36:00.979,31473,31398,31438,31386,31508,31491,31368,31438,31432,31421,31444,31351,31502,31467,31467,31444,31421,31415,31502,31456,31339,31485,31438,31497,31421,31409,31497,31514,31403,31479,31369,31427,30079342,65344,164,951,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.082,31421,31456,31415,31252,31444,31497,31415,31473,31438,31432,31392,31462,31450,31467,31438,31363,31392,31450,31409,31456,31398,31491,31409,31450,31456,31409,31438,31479,31218,31444,31502,31415,30261496,65343,166,942,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.262,31467,31421,31467,31241,31491,31479,31368,31491,31467,31409,31502,31368,31497,31433,31386,31467,31450,31438,31514,31467,31473,31508,31462,31520,31444,31427,31520,31514,31363,31473,31473,31432,30442374,65343,166,945,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.290,31479,31409,31473,31421,31497,31438,31444,31427,31467,31409,31543,31340,31497,31485,31398,31473,31421,31467,31450,31485,31404,31479,31502,31450,31532,31374,31473,31473,31415,31438,31427,31462,30625054,65345,169,939,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.382,31467,31479,31491,31200,31508,31421,31392,31444,31491,31433,31438,31293,31444,31473,31398,31438,31491,31409,31502,31467,31491,31497,31479,31473,31497,31363,31520,31514,31386,31491,31433,31462,30805538,65346,168,937,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.484,31520,31427,31386,31247,31491,31485,31432,31467,31444,31462,31491,31497,31450,31462,31444,31467,31456,31444,31520,31508,31444,31537,31485,31444,31502,31450,31491,31473,31230,31514,31438,31485,30987826,65344,169,940,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.590,31415,31456,31363,31398,31450,31532,31386,31456,31433,31450,31514,31258,31456,31543,31351,31462,31491,31363,31526,31491,31241,31497,31497,31450,31497,31438,31473,31398,31421,31497,31479,31497,31170156,65345,168,938,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.683,31485,31491,31473,31258,31392,31456,31380,31462,31456,31456,31467,31322,31415,31427,31456,31438,31368,31380,31421,31421,31433,31473,31485,31497,31444,31450,31433,31502,31427,31415,31438,31479,31350992,65345,168,942,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.780,31450,31462,31497,31421,31485,31438,31415,31491,31450,31386,31421,31334,31526,31456,31444,31444,31473,31403,31450,31502,31293,31473,31497,31462,31438,31432,31473,31526,31368,31450,31398,31432,31531476,65344,171,944,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.962,31485,31485,31432,31456,31537,31502,31444,31491,31467,31467,31508,31369,31473,31462,31392,31467,31432,31421,31450,31403,31270,31514,31433,31438,31438,31427,31514,31403,31479,31502,31497,31444,31713760,65346,168,943,16239,1451,1622,0,0,1,3,0
Wait,15:36:01.980,31491,31485,31462,31398,31561,31462,31415,31392,31438,31462,31438,31351,31520,31468,31398,31392,31415,31467,31491,31479,31293,31432,31473,31502,31415,31479,31456,31497,31398,31427,31450,31497,31894114,65345,169,941,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.084,31462,31491,31555,31462,31485,31491,31462,31532,31485,31421,31520,31276,31467,31491,31363,31462,31462,31438,31456,31467,31311,31456,31502,31462,31421,31450,31444,31479,31368,31502,31485,31444,32074728,65344,169,937,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.261,31479,31485,31369,31258,31491,31479,31351,31438,31444,31497,31491,31398,31508,31479,31368,31380,31427,31322,31503,31444,31497,31409,31409,31467,31462,31369,31409,31508,31357,31427,31543,31421,32256838,65344,169,940,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.279,31462,31415,31456,31438,31450,31497,31409,31450,31444,31409,31456,31276,31450,31491,31421,31473,31462,31403,31427,31462,31322,31508,31497,31537,31427,31427,31438,31467,31473,31479,31421,31433,32437408,65344,168,941,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.461,31450,31380,31485,31415,31479,31479,31357,31497,31427,31433,31456,31212,31456,31467,31444,31421,31444,31427,31450,31467,31264,31462,31444,31456,31450,31415,31497,31479,31421,31514,31427,31497,32618112,65347,171,938,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.481,31444,31450,31432,31270,31479,31432,31415,31438,31409,31432,31473,31438,31473,31526,31409,31462,31462,31438,31532,31467,31526,31491,31508,31473,31456,31438,31450,31497,31328,31491,31502,31409,32799124,65346,168,937,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.662,31479,31357,31427,31305,31508,31502,31421,31432,31421,31421,31444,31421,31450,31479,31403,31374,31467,31433,31502,31549,31357,31462,31421,31497,31392,31380,31485,31543,31339,31456,31380,31444,32980178,65345,166,942,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.761,31444,31520,31456,31374,31467,31485,31415,31497,31485,31427,31491,31339,31467,31491,31374,31403,31444,31467,31456,31491,31328,31456,31473,31473,31485,31403,31467,31479,31473,31473,31438,31433,33161276,65344,167,947,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.862,31427,31421,31456,31450,31415,31473,31392,31398,31409,31427,31427,31345,31444,31438,31398,31409,31433,31415,31491,31398,31310,31450,31444,31392,31409,31392,31479,31479,31421,31473,31392,31491,33342376,65344,167,946,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.962,31433,31380,31415,31404,31479,31491,31398,31502,31438,31409,31479,31386,31514,31491,31403,31421,31456,31398,31444,31427,31351,31526,31467,31485,31479,31368,31450,31427,31369,31467,31421,31409,33523300,65346,171,945,16239,1451,1622,0,0,1,3,0
Wait,15:36:02.983,31467,31409,31467,31374,31497,31497,31386,31392,31415,31339,31438,31316,31456,31409,31357,31462,31433,31386,31444,31398,31247,31497,31462,31421,31415,31398,31345,31427,31316,31462,31363,31491,33703608,65345,168,946,16239,1451,1622,0,0,1,3,0
Wait,15:36:03.162,31473,31508,31485,31386,31491,31502,31462,31444,31502,31427,31491,31479,31497,31450,31450,31403,31369,31380,31427,31502,31444,31467,31502,31485,31508,31368,31485,31462,31293,31473,31415,31473,33884836,65345,166,939,16239,1451,1622,0,0,1,3,0
Wait,15:36:03.262,31427,31485,31438,31403,31450,31421,31374,31427,31467,31421,31374,31287,31438,31473,31334,31403,31438,31316,31502,31456,31270,31438,31462,31415,31450,31369,31450,31485,31456,31467,31462,31432,34067384,65344,166,942,16239,1451,1622,0,0,1,3,0
Wait,15:36:03.362,31386,31444,31409,31293,31444,31491,31409,31491,31421,31485,31479,31386,31485,31409,31444,31444,31456,31421,31438,31502,31520,31526,31502,31444,31415,31403,31456,31526,31357,31479,31450,31479,34249756,65344,166,943,16239,1451,1622,0,0,1,3,0
Wait,15:36:03.461,31485,31473,31485,31462,31450,31444,31398,31432,31415,31508,31485,31386,31473,31467,31398,31485,31403,31427,31409,31502,31264,31473,31473,31415,31421,31433,31473,31485,31450,31462,31479,31386,34431908,65347,169,941,16239,1451,1622,0,0,1,3,0
Wait,15:36:03.562,31438,31415,31403,31403,31497,31450,31403,31444,31462,31415,31444,31357,31444,31444,31479,31473,31450,31368,31497,31497,31200,31485,31415,31409,31456,31421,31485,31567,31450,31479,31403,31368,34614192,65346,168,939,16239,1451,1622,0,0,1,3,0
Wait,15:36:03.661,31485,31438,31543,31374,31433,31432,31398,31444,31438,31450,31444,31270,31473,31450,31398,31380,31369,31392,31427,31444,31282,31479,31467,31438,31363,31427,31427,31386,31345,31456,31444,31479,34794944,65345,171,939,16239,1451,1622,0,0,1,3,0
