Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,18:07:00.088,28599,28470,28717,28593,28722,28677,28347,28543,28633,28464,28700,28677,28733,28683,28476,28577,28565,28459,28677,28711,28700,28705,28559,28560,28577,28436,28666,28705,28700,28689,28565,28554,2147483647,65531,5,940,15136,61,83,59264,0,0,3,0
Wait,18:07:00.188,28773,28526,28795,28610,28784,28750,28448,28633,28778,28515,28908,28666,28807,28711,28526,28661,28650,28459,28728,28778,28790,28773,28627,28616,28667,28504,28745,28801,28666,28745,28644,28700,2147483647,65533,2,939,15136,61,83,59264,0,0,3,0
Wait,18:07:00.288,28666,28464,28705,28515,28683,28649,28381,28532,28661,28476,28683,28588,28722,28655,28448,28521,28566,28453,28655,28711,28700,28660,28582,28565,28577,28442,28660,28638,28677,28728,28504,28610,2147483647,65528,5,940,15136,61,83,59264,0,0,3,0
Wait,18:07:00.304,28823,28560,28795,28610,28807,28779,28526,28644,28773,28582,28818,28711,28835,28745,28526,28622,28689,28487,28767,28818,28840,28784,28666,28790,28683,28476,28807,28784,28711,28739,28616,28767,2147483647,65533,3,940,15136,61,83,59264,0,0,3,0
Wait,18:07:00.488,28700,28481,28722,28554,28655,28621,28409,28589,28644,28503,28739,28593,28610,28649,28465,28538,28588,28470,28694,28672,28650,28733,28593,28616,28588,28420,28717,28728,28627,28689,28565,28677,2147483647,65530,3,938,15136,61,83,59264,0,0,3,0
Wait,18:07:00.588,28711,28616,28644,28728,28801,28778,28554,28639,28677,28582,28750,28773,28778,28734,28526,28683,28655,28554,28722,28801,28750,28857,28537,28733,28689,28543,28767,28790,28795,28829,28604,28683,2147483647,65526,4,940,15136,61,83,59264,0,0,3,0
Wait,18:07:00.689,28767,28548,28745,28627,28773,28700,28392,28611,28700,28515,28762,28588,28717,28706,28482,28527,28577,28454,28728,28784,28706,28756,28644,28588,28583,28481,28739,28706,28666,28733,28604,28621,2147483647,65529,4,940,15136,61,83,59264,0,0,3,0
Wait,18:07:00.788,28711,28515,28784,28571,28823,28762,28504,28695,28711,28532,28829,28604,28790,28807,28504,28661,28633,28526,28807,28835,28795,28795,28683,28616,28678,28504,28767,28795,28733,28745,28576,28728,2147483647,65531,4,940,15136,61,83,59264,0,0,3,0
Wait,18:07:00.888,28728,28688,28706,28829,28745,28655,28548,28655,28801,28666,28784,28795,28734,28683,28481,28661,28611,28448,28739,28739,28700,28818,28520,28790,28616,28426,28695,28728,28773,28795,28644,28779,2147483647,65530,4,938,15136,61,83,59264,0,0,3,0
Wait,18:07:00.988,28672,28487,28734,28632,28807,28801,28526,28599,28660,28532,28756,28543,28846,28807,28571,28599,28706,28565,28846,28773,28762,28728,28621,28554,28689,28515,28807,28818,28688,28739,28554,28644,2147483647,65530,0,939,15136,61,83,59264,0,0,3,0
Wait,18:07:01.088,28807,28442,28812,28840,28751,28807,28520,28655,28751,28487,28790,28801,28728,28773,28532,28717,28599,28498,28695,28818,28711,28812,28677,28745,28599,28588,28734,28734,28762,28767,28576,28739,2147483647,65530,5,938,15136,61,83,59264,0,0,3,0
Wait,18:07:01.108,28711,28470,28841,28554,28750,28767,28464,28588,28677,28470,28734,28560,28790,28728,28504,28526,28610,28470,28835,28795,28728,28695,28610,28649,28565,28470,28818,28812,28683,28700,28520,28700,2147483647,65533,5,936,15136,61,83,59264,0,0,3,0
Wait,18:07:01.288,28711,28733,28756,28807,28784,28739,28504,28638,28739,28705,28773,28812,28790,28795,28509,28661,28650,28554,28784,28756,28756,28795,28588,28790,28655,28476,28750,28767,28773,28767,28666,28767,2147483647,65529,3,940,15136,61,83,59264,0,0,3,0
Wait,18:07:01.388,28672,28425,28677,28565,28739,28644,28475,28599,28706,28414,28756,28644,28750,28677,28459,28588,28627,28492,28666,28733,28694,28689,28576,28621,28532,28420,28644,28767,28672,28722,28520,28588,2147483647,65532,3,940,15136,61,83,59264,0,0,3,0
Wait,18:07:01.488,28762,28599,28779,28812,28807,28756,28476,28639,28739,28616,28829,28795,28784,28773,28515,28666,28672,28554,28773,28790,28711,28784,28509,28795,28678,28493,28784,28812,28790,28868,28604,28750,2147483647,65532,2,938,15136,61,83,59264,0,0,3,0
Wait,18:07:01.588,28734,28470,28610,28773,28694,28722,28397,28588,28723,28475,28655,28762,28733,28739,28408,28543,28616,28470,28728,28790,28644,28683,28604,28638,28582,28436,28750,28812,28739,28706,28571,28700,2147483647,65531,4,938,15136,61,83,59264,0,0,3,0
Wait,18:07:01.688,28790,28554,28812,28666,28840,28818,28548,28711,28750,28582,28835,28700,28840,28750,28509,28661,28695,28504,28807,28824,28790,28784,28660,28705,28695,28543,28812,28784,28756,28818,28632,28745,2147483647,65530,3,941,15136,61,83,59264,0,0,3,0
