Scenario,Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX,AY,AZ,QW,QX,QY,QZ,CS,CA,CG,CM
Wait,18:37:00.107,14075,13998,13464,13721,14182,13963,13975,13792,14099,14057,13382,13721,14182,14028,13963,13780,13768,14004,14022,14188,13674,13428,14116,14045,13786,13992,13992,14164,13669,13434,14116,14075,1878339456,65467,65513,64566,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.227,14075,14128,13857,14057,13763,13768,13510,14170,14099,14116,13868,14116,13768,13780,13604,14164,14193,13627,13774,13768,14122,13963,14063,14093,14217,13586,13815,13798,14081,13981,14087,14111,1878550016,65464,65513,64570,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.316,13657,13833,13815,14075,14170,14028,14022,14170,13645,13815,13810,14099,14111,13986,14016,14140,14152,14034,14010,14158,14028,13833,13745,13616,14193,14016,14022,14122,14063,13845,13815,13616,1878754944,65463,65510,64569,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.406,13986,14034,13300,13592,14146,13963,13957,13698,14028,14010,13224,13592,14128,13910,13951,13716,13674,13951,13945,14093,13622,13306,13998,13975,13710,13933,13916,14164,13627,13358,14004,13992,1878965760,65464,65512,64569,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.526,13998,13981,13857,14051,13698,13669,13487,14093,14034,13981,13904,14063,13739,13669,13423,14116,14158,13499,13686,13757,14034,13910,14105,14034,14140,13458,13727,13763,14051,13904,14045,13998,1879175552,65463,65513,64571,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.616,13645,13845,13804,14099,14193,14034,14034,14134,13680,13839,13880,14069,14241,14040,14028,14170,14211,14010,13998,14205,14069,13927,13780,13663,14205,14045,14028,14199,14105,13916,13821,13669,1879380608,65463,65512,64570,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.706,14111,14022,13347,13692,14188,13998,13981,13874,14063,14063,13393,13698,14182,14051,13998,13892,13868,13998,14010,14193,13657,13388,14128,14063,13833,13998,14040,14199,13692,13312,14146,14045,1879592576,65465,65510,64569,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.826,14087,14040,13916,14093,13810,13774,13504,14193,14093,14051,13969,14128,13774,13780,13563,14193,14193,13721,13763,13768,14057,13957,14158,14040,14176,13522,13780,13815,14105,13992,14146,14075,1879799168,65463,65514,64569,608,2537,16173,65264,0,3,3,3
Wait,18:37:00.916,13680,13827,13845,14063,14229,13975,14004,14182,13663,13839,13857,14099,14211,14045,14022,14164,14205,14010,14028,14182,14069,13904,13768,13616,14140,13998,14028,14193,14122,13927,13774,13651,1880004480,65463,65512,64570,608,2537,16173,65264,0,3,3,3
Wait,18:37:01.006,14075,14010,13376,13610,14164,13998,13992,13910,14075,14022,13306,13645,14164,13998,13981,13874,13892,13975,14010,14170,13575,13323,14128,13998,13880,13986,13986,14199,13610,13376,14087,14045,1880212864,65465,65514,64570,608,2537,16173,65264,0,3,3,3
