plot_sensor,label_name,color,marker,line_style
P0,T3,r,None,solid
P1,T4,r,None,dashed
P6,T1,r,None,dashdot
P7,T2,r,None,dotted
P31,T5,r,+,solid
P2,I1,g,None,solid
P3,I2,g,None,dashed
P4,I3,g,None,dashdot
P21,M1,m,None,solid
P20,M2,m,None,dashed
P19,M3,m,None,dashdot
P14,R1,y,None,solid
P15,R2,y,None,dashed
P23,R3,y,None,dashdot
P10,P1,b,None,solid
P11,P2,b,None,dashed
P12,P3,b,None,dashdot
P30,T6,c,None,solid
P2,T7,c,None,dashed
P22,BF1,k,None,solid
P18,BF2,k,None,dashed
P5,BF3,k,None,dashdot
P28,BF4,k,None,dotted
