Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,IMU5,IMU6,IMU7,IMU8,IMU9,PinkyMCPY,PinkyMCPZ,PinkyPIPY,PinkyPIPZ,PinkyDIPY,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPY,RingPIPZ,RingDIPY,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPY,MiddlePIPZ,MiddleDIPY,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPY,IndexPIPZ,IndexDIPY,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPY,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-08 14:54:08.439930-07:00,323.6521263,333.8471196,308.1335154,462.2260848,353.9539515,337.7637202,328.8568787,415.7265155,380.4797356,386.5329935,309.7399298,471.2359714,374.898175,363.9904052,338.7919827,449.9824218,336.0365654,359.8373646,329.6056598,474.6482333,374.4257912,385.1386262,347.1667674,414.217443,397.4047167,403.733392,403.1107556,409.3483379,353.7789522,324.8178264,359.1771062,406.9809698,320.6055133,349.7307837,-0.420065,-0.577656,-0.420065,-0.577656,-0.420065,-0.577656,-0.496838,-0.49298,-0.496838,-0.49298,-0.496838,-0.49298,-0.472318,-0.497602,-0.464964,-0.490506,-0.45752,-0.483314,-0.542054,-0.38973,-0.493296,-0.329893,-0.439653,-0.266788,-0.420065,-0.577656,-0.420065,-0.577656,-0.420065,-0.577656,-0.496838,-0.49298,-0.496838,-0.49298
2022-05-08 14:54:08.441082-07:00,322.0325039,332.1192227,305.3802127,461.6762924,355.1974476,336.9142206,328.5042321,415.0589381,377.7301841,388.6232689,310.1437872,469.9466464,374.820374,364.0998105,340.2299101,449.5733981,335.6313107,360.2386688,328.2520417,474.5492998,374.1965534,383.647254,347.9056841,414.8025154,392.6027044,403.9374284,402.9542838,408.4599356,354.7582659,327.693185,361.9378864,409.4772582,321.5451708,350.8144477,-0.419631,-0.577919,-0.419631,-0.577919,-0.419631,-0.577919,-0.496318,-0.493103,-0.496318,-0.493103,-0.496318,-0.493103,-0.471655,-0.497607,-0.464281,-0.49049,-0.456816,-0.483276,-0.541334,-0.389914,-0.492568,-0.330024,-0.438923,-0.266867,-0.419631,-0.577919,-0.419631,-0.577919,-0.419631,-0.577919,-0.496318,-0.493103,-0.496318,-0.493103
2022-05-08 14:54:08.469920-07:00,321.2512288,334.4672537,308.6955049,460.3733339,355.983807,337.8022031,329.5942858,414.9023342,378.8245332,388.6209901,307.312033,471.9637339,374.4749552,365.52786,342.3822768,447.4274906,339.0212866,360.1967749,329.3572475,474.6780253,374.9657733,382.7160178,349.1008631,413.8202733,393.7385116,404.8354961,403.8394513,407.6568732,352.5096992,324.7729719,360.3554269,407.6906821,322.43406,350.4721385,-0.419925,-0.577966,-0.419925,-0.577966,-0.419925,-0.577966,-0.496539,-0.493119,-0.496539,-0.493119,-0.496539,-0.493119,-0.471772,-0.4975,-0.464408,-0.490392,-0.456953,-0.483188,-0.541303,-0.389883,-0.492528,-0.329962,-0.438872,-0.26677,-0.419925,-0.577966,-0.419925,-0.577966,-0.419925,-0.577966,-0.496539,-0.493119,-0.496539,-0.493119
2022-05-08 14:54:08.500017-07:00,321.6343484,336.2315783,307.7584313,461.6759765,353.2940808,339.5785115,328.7726536,414.7245624,378.4151303,388.0345491,309.9723405,472.3418725,375.4028768,365.6383364,340.8594705,448.627878,337.5119856,360.2318952,326.4243091,474.1807701,375.7328031,386.7781645,346.1654095,413.3736546,395.2531204,402.9165303,404.4217593,407.6142417,355.125722,326.3136117,360.7760269,407.7497396,320.2535596,350.0432102,-0.420013,-0.578458,-0.420013,-0.578458,-0.420013,-0.578458,-0.496592,-0.493562,-0.496592,-0.493562,-0.496592,-0.493562,-0.471966,-0.498117,-0.464618,-0.491032,-0.457179,-0.483852,-0.541653,-0.390375,-0.492854,-0.330512,-0.439168,-0.267371,-0.420013,-0.578458,-0.420013,-0.578458,-0.420013,-0.578458,-0.496592,-0.493562,-0.496592,-0.493562
2022-05-08 14:54:08.650061-07:00,322.170559,333.2243658,308.2999316,462.9221371,354.5061899,337.210512,327.3701613,415.7974963,379.8354478,388.0234902,311.0935099,471.2343303,373.3492406,364.9229876,342.8627899,449.3023984,335.8598314,359.811371,328.5877101,474.0316389,373.8547148,384.0975599,347.4845332,412.713776,394.5599879,403.6297261,405.308575,406.9516872,353.996336,324.8150158,360.0075401,409.1842266,320.7100496,350.7768646,-0.419776,-0.578876,-0.419776,-0.578876,-0.419776,-0.578876,-0.496462,-0.494073,-0.496462,-0.494073,-0.496462,-0.494073,-0.471845,-0.498581,-0.464399,-0.491414,-0.45686,-0.484149,-0.541565,-0.390795,-0.492585,-0.330819,-0.438694,-0.267544,-0.419776,-0.578876,-0.419776,-0.578876,-0.419776,-0.578876,-0.496462,-0.494073,-0.496462,-0.494073
2022-05-08 14:54:08.651674-07:00,322.7926152,334.3111067,308.727346,460.3626937,355.710136,338.9812361,328.8330892,415.59862,378.0441313,388.3317347,310.3608815,470.1589903,374.5963343,366.2173989,340.2196879,449.0511365,338.9843385,359.9154607,328.6528447,475.5101212,374.4325572,384.8038885,349.1995693,414.1270048,394.583755,403.7067534,404.2543527,407.3486956,353.0510875,324.9334682,361.1027968,405.7182767,321.1064006,348.0954868,-0.419549,-0.579056,-0.419549,-0.579056,-0.419549,-0.579056,-0.49627,-0.494347,-0.49627,-0.494347,-0.49627,-0.494347,-0.471588,-0.498801,-0.464085,-0.491582,-0.456488,-0.484263,-0.541321,-0.391097,-0.492304,-0.331087,-0.438374,-0.267773,-0.419549,-0.579056,-0.419549,-0.579056,-0.419549,-0.579056,-0.49627,-0.494347,-0.49627,-0.494347
2022-05-08 14:54:08.652340-07:00,320.3955742,334.7159971,306.947135,462.8168131,354.8431282,336.8263137,327.6478824,415.4196191,379.9279472,386.9727278,312.2465955,469.8777437,377.5449937,366.1088081,339.5787819,449.3901686,337.468082,363.4839589,328.6406983,472.2112103,375.2367278,384.1257561,346.6284956,413.1969991,393.8007726,405.3261068,404.8365637,408.4699435,354.1910345,325.189503,361.703189,409.3552356,320.0767505,349.2709729,-0.419533,-0.578736,-0.419533,-0.578736,-0.419533,-0.578736,-0.496055,-0.493895,-0.496055,-0.493895,-0.496055,-0.493895,-0.471576,-0.49857,-0.464082,-0.491357,-0.456495,-0.484046,-0.541229,-0.390803,-0.492174,-0.330732,-0.438201,-0.267355,-0.419533,-0.578736,-0.419533,-0.578736,-0.419533,-0.578736,-0.496055,-0.493895,-0.496055,-0.493895
2022-05-08 14:54:08.709827-07:00,321.4006914,335.394284,307.658674,461.5057116,353.3687681,336.0467245,329.1301315,414.9987364,379.6719406,387.3199073,310.0507433,471.1439268,372.1582176,365.7706723,341.8744886,449.0894385,338.2960795,361.0554401,329.2861074,473.8247537,375.8353011,385.1268297,348.1252882,414.0002801,393.9257731,405.1370217,404.4584326,407.9728661,353.7309505,325.3659257,361.9776076,407.3180524,321.2372397,351.7044873,-0.419513,-0.578583,-0.419513,-0.578583,-0.419513,-0.578583,-0.496089,-0.493695,-0.496089,-0.493695,-0.496089,-0.493695,-0.471512,-0.498363,-0.464015,-0.491144,-0.456424,-0.483827,-0.541111,-0.390697,-0.492093,-0.330634,-0.438163,-0.267271,-0.419513,-0.578583,-0.419513,-0.578583,-0.419513,-0.578583,-0.496089,-0.493695,-0.496089,-0.493695
2022-05-08 14:54:08.800414-07:00,323.0708962,335.1132851,308.768706,461.13564,354.6499047,337.1886725,331.1875048,413.9615774,379.2115871,386.9900794,308.6532559,471.0254759,373.7962016,366.4929236,342.5203487,448.3883398,337.4474025,360.5747792,328.9832098,474.3020457,375.8045641,383.5837167,348.2610354,412.0176739,395.1261427,403.3451487,404.1638952,408.4340505,352.3645894,326.1677227,361.0602685,408.6956288,320.5682065,350.3745686,-0.41936,-0.578883,-0.41936,-0.578883,-0.41936,-0.578883,-0.495947,-0.493969,-0.495947,-0.493969,-0.495947,-0.493969,-0.471417,-0.498718,-0.463898,-0.491486,-0.456285,-0.484154,-0.541063,-0.391004,-0.491973,-0.330914,-0.437961,-0.267515,-0.41936,-0.578883,-0.41936,-0.578883,-0.41936,-0.578883,-0.495947,-0.493969,-0.495947,-0.493969
2022-05-08 14:54:08.830739-07:00,321.010888,334.0588198,309.0205883,463.6621739,354.2150083,337.3756606,328.4214619,415.7991181,379.8962833,387.9327422,312.1043847,469.8997353,374.2429401,363.6629953,340.6797598,449.9678936,338.2487002,359.7539987,327.6192178,474.8986418,373.3799357,384.3634847,348.7969016,412.6143447,395.6587309,403.7716375,404.4112389,408.2204705,354.1699884,326.3830268,361.7434962,409.0560142,320.9355262,349.571222,-0.419282,-0.579023,-0.419282,-0.579023,-0.419282,-0.579023,-0.495872,-0.494238,-0.495872,-0.494238,-0.495872,-0.494238,-0.471412,-0.498942,-0.46387,-0.491689,-0.456234,-0.484335,-0.541062,-0.391217,-0.491925,-0.331079,-0.437859,-0.267623,-0.419282,-0.579023,-0.419282,-0.579023,-0.419282,-0.579023,-0.495872,-0.494238,-0.495872,-0.494238
