Time,Time,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,IMU1,IMU2,IMU3,IMU4,PinkyMCPY,PinkyMCPZ,PinkyPIPZ,PinkyDIPZ,RingMCPY,RingMCPZ,RingPIPZ,RingDIPZ,MiddleMCPY,MiddleMCPZ,MiddlePIPZ,MiddleDIPZ,IndexMCPY,IndexMCPZ,IndexPIPZ,IndexDIPZ,ThumbsCMCY,ThumbsCMCZ,ThumbsMCPY,ThumbsMCPZ,ThumbsIPZ,HandX,HandY,HandZ,HandW
2022-05-08 14:56:55.965764-07:00,14:21:28.975872-07:00,341.9050395,313.0840025,330.4156061,383.6650408,343.0306297,371.4455428,366.3000314,342.8538688,333.3328153,336.6476316,311.7954798,332.3568249,391.6936292,345.576787,392.1261526,388.9056208,357.0739454,348.2102863,371.2755361,342.0651389,342.7645459,325.8098011,329.9045691,375.5584955,449.4082979,336.4153202,383.5207838,342.1367418,497.0988692,-0.420065,-0.577656,-0.577656,-0.577656,-0.496838,-0.49298,-0.49298,-0.49298,-0.472318,-0.497602,-0.490506,-0.483314,-0.542054,-0.38973,-0.329893,-0.266788,-0.456797,-0.545316,-0.608685,-0.517642,-0.520623,-0.500185,-0.484029,-0.522305,0.492674
2022-05-08 14:56:55.967921-07:00,14:21:29.006513-07:00,344.051199,316.1528206,330.599654,385.8333367,342.1093286,370.4676064,368.287366,342.1269636,332.6867981,337.4113795,314.2581432,332.9732375,393.3056584,345.4553767,392.3263549,387.8859928,355.4128523,348.1746972,372.3089645,343.0648583,344.2392318,325.6227898,325.5057168,375.6911508,450.3670937,335.4813222,383.8302807,345.624386,494.57792,-0.419631,-0.577919,-0.577919,-0.577919,-0.496318,-0.493103,-0.493103,-0.493103,-0.471655,-0.497607,-0.49049,-0.483276,-0.541334,-0.389914,-0.330024,-0.266867,-0.456232,-0.545723,-0.608169,-0.518111,-0.521131,-0.500541,-0.483314,-0.522237,0.493087
2022-05-08 14:56:56.055081-07:00,14:21:29.066975-07:00,343.6564609,314.6001489,330.4610783,385.3881515,341.4592485,372.2931648,366.8160641,344.0701862,333.8612683,338.3113723,313.3162489,331.2533565,391.943468,346.7650726,390.754587,387.4444252,355.6884039,347.9398891,370.1224659,339.7681846,343.8348232,326.9163894,328.2786739,375.6209561,447.2975303,333.4801265,380.3197399,344.841842,496.034473,-0.419925,-0.577966,-0.577966,-0.577966,-0.496539,-0.493119,-0.493119,-0.493119,-0.471772,-0.4975,-0.490392,-0.483188,-0.541303,-0.389883,-0.329962,-0.26677,-0.456098,-0.545411,-0.608084,-0.517705,-0.520681,-0.500583,-0.483402,-0.522077,0.493128
2022-05-08 14:56:56.115239-07:00,14:21:29.156808-07:00,342.4685871,316.5428943,329.0096314,384.2107441,342.127769,371.9567942,368.9306375,344.1383288,332.5122297,337.0311698,313.8788274,331.7281002,390.3830991,345.6093673,393.0560485,387.8164457,357.0499938,347.637565,371.6540618,341.6498277,343.8701985,326.3353038,329.2052692,375.2862696,448.9110078,333.6156667,383.3448506,344.9491936,495.3020002,-0.420013,-0.578458,-0.578458,-0.578458,-0.496592,-0.493562,-0.493562,-0.493562,-0.471966,-0.498117,-0.491032,-0.483852,-0.541653,-0.390375,-0.330512,-0.267371,-0.456744,-0.545636,-0.60861,-0.517933,-0.520905,-0.50049,-0.483553,-0.522645,0.492472
2022-05-08 14:56:56.116159-07:00,14:21:29.158586-07:00,343.701195,314.3977117,330.3425212,384.061703,340.9224065,371.7959431,368.0872803,341.8324815,336.0667667,337.1026529,312.676237,331.8839685,391.3825208,346.2221521,395.3740297,385.6136903,356.5979422,347.3483896,373.0350811,342.2165594,345.8838429,326.8037127,327.4540544,375.603001,449.0942937,334.0173263,383.6001316,345.8983896,495.3161783,-0.419776,-0.578876,-0.578876,-0.578876,-0.496462,-0.494073,-0.494073,-0.494073,-0.471845,-0.498581,-0.491414,-0.484149,-0.541565,-0.390795,-0.330819,-0.267544,-0.457262,-0.5452,-0.609053,-0.51682,-0.519529,-0.500563,-0.483538,-0.523292,0.491725
2022-05-08 14:56:56.175726-07:00,14:21:29.246165-07:00,342.6563362,313.9777061,329.2445606,385.8697952,342.722368,370.2497119,369.1404488,343.3137623,332.2428072,336.2683422,313.0489437,332.6154939,390.9338923,344.0103675,391.3154704,388.2844403,356.5413549,348.0415764,370.71562,341.6409005,342.875718,326.7424116,326.954483,375.1596035,448.8366846,335.5376678,383.6812304,345.1366737,494.4101518,-0.419549,-0.579056,-0.579056,-0.579056,-0.49627,-0.494347,-0.494347,-0.494347,-0.471588,-0.498801,-0.491582,-0.484263,-0.541321,-0.391097,-0.331087,-0.267773,-0.457165,-0.546316,-0.608895,-0.518615,-0.5216,-0.500622,-0.483352,-0.52356,0.491562
2022-05-08 14:56:56.415164-07:00,14:21:29.275835-07:00,342.5636673,313.2984062,328.6684677,385.0664547,342.1379081,372.6252564,366.8421425,342.0084531,333.3380902,335.1409477,312.9635968,331.6144975,391.0711881,345.5839391,393.0185674,388.3779494,357.2308069,347.0400384,369.3336286,341.8087489,343.7680477,326.4944214,328.6937725,376.4065939,447.7358258,335.8264097,383.16155,343.24499,494.3984828,-0.419533,-0.578736,-0.578736,-0.578736,-0.496055,-0.493895,-0.493895,-0.493895,-0.471576,-0.49857,-0.491357,-0.484046,-0.541229,-0.390803,-0.330732,-0.267355,-0.45677,-0.545944,-0.608593,-0.518135,-0.521075,-0.500686,-0.48333,-0.523315,0.49178
2022-05-08 14:56:56.475058-07:00,14:21:29.306447-07:00,341.6654993,314.54782,329.0744109,384.8539815,342.7435693,370.5949248,367.9172016,342.8220151,333.3080035,335.6033499,312.6865342,331.0645334,390.9370962,346.4024514,391.9408278,387.1796274,354.969491,348.031821,370.4268284,341.7905261,344.92338,325.2420716,327.7461106,375.1297914,447.8631334,335.0454257,381.5200781,344.2293052,493.6189342,-0.419513,-0.578583,-0.578583,-0.578583,-0.496089,-0.493695,-0.493695,-0.493695,-0.471512,-0.498363,-0.491144,-0.483827,-0.541111,-0.390697,-0.330634,-0.267271,-0.456845,-0.545472,-0.608678,-0.517183,-0.519933,-0.500819,-0.483192,-0.523034,0.492079
2022-05-08 14:56:56.476019-07:00,14:21:29.366044-07:00,343.5081415,314.5171924,329.8258871,384.787755,342.2301771,372.2512591,368.2682348,343.0099511,332.414059,338.1287026,314.6677866,331.9154158,391.5282601,345.8577951,392.2967308,388.9948037,354.9899857,347.9161105,371.1699187,340.5606963,344.4562575,325.4735876,327.4944454,375.5663999,448.9194738,335.3538518,383.5973328,346.3013632,493.7788019,-0.41936,-0.578883,-0.578883,-0.578883,-0.495947,-0.493969,-0.493969,-0.493969,-0.471417,-0.498718,-0.491486,-0.484154,-0.541063,-0.391004,-0.330914,-0.267515,-0.456826,-0.545953,-0.608608,-0.517687,-0.520437,-0.50094,-0.483042,-0.52337,0.491744
2022-05-08 14:56:56.655089-07:00,14:21:29.516294-07:00,343.5824391,315.2766568,327.6718826,384.1010282,341.9333364,369.6312753,368.1135659,343.4100529,332.3598311,336.3016743,314.108861,331.5791614,391.7425496,346.1480604,392.2783252,386.291636,358.569752,348.6967198,370.2352215,341.8809977,345.1511976,326.4401628,327.2902113,375.1174835,448.218326,334.6843875,382.2710119,342.4214107,494.5613799,-0.419282,-0.579023,-0.579023,-0.579023,-0.495872,-0.494238,-0.494238,-0.494238,-0.471412,-0.498942,-0.491689,-0.484335,-0.541062,-0.391217,-0.331079,-0.267623,-0.456982,-0.546638,-0.6087,-0.518882,-0.521833,-0.500817,-0.483095,-0.523629,0.491544
