,Pinky MCP:X,Pinky MCP:Y,Pinky MCP:Z,Pinky MCP:W,Pinky PIP:X,Pinky PIP:Y,Pinky PIP:Z,Pinky PIP:W,Pinky DIP:X,Pinky DIP:Y,Pinky DIP:Z,Pinky DIP:W,Ring MCP:X,Ring MCP:Y,Ring MCP:Z,Ring MCP:W,Ring PIP:X,Ring PIP:Y,Ring PIP:Z,Ring PIP:W,Ring DIP:X,Ring DIP:Y,Ring DIP:Z,Ring DIP:W,Middle MCP:X,Middle MCP:Y,Middle MCP:Z,Middle MCP:W,Middle PIP:X,Middle PIP:Y,Middle PIP:Z,Middle PIP:W,Middle DIP:X,Middle DIP:Y,Middle DIP:Z,Middle DIP:W,Index MCP:X,Index MCP:Y,Index MCP:Z,Index MCP:W,Index PIP:X,Index PIP:Y,Index PIP:Z,Index PIP:W,Index DIP:X,Index DIP:Y,Index DIP:Z,Index DIP:W,Thumbs CMC:X,Thumbs CMC:Y,Thumbs CMC:Z,Thumbs CMC:W,Thumbs MCP:X,Thumbs MCP:Y,Thumbs MCP:Z,Thumbs MCP:W,Thumbs IP:X,Thumbs IP:Y,Thumbs IP:Z,Thumbs IP:W,Hand:X,Hand:Y,Hand:Z,Hand:W
0,-0.585545,-0.420065,-0.577656,0.3834,-0.585545,-0.420065,-0.577656,0.3834,-0.585545,-0.420065,-0.577656,0.3834,-0.528659,-0.496838,-0.49298,0.480252,-0.528659,-0.496838,-0.49298,0.480252,-0.528659,-0.496838,-0.49298,0.480252,-0.52367,-0.472318,-0.497602,0.505053,-0.53021,-0.464964,-0.490506,0.511947,-0.536647,-0.45752,-0.483314,0.518742,-0.463541,-0.542054,-0.38973,0.582595,-0.515124,-0.493296,-0.329893,0.618448,-0.561604,-0.439653,-0.266788,0.648175,0.029543,-0.456797,-0.545316,0.702207,-0.052891,-0.608685,-0.517642,0.598959,-0.049855,-0.608941,-0.520623,0.59637,-0.500185,-0.484029,-0.522305,0.492674
1,-0.585532,-0.419631,-0.577919,0.383499,-0.585532,-0.419631,-0.577919,0.383499,-0.585532,-0.419631,-0.577919,0.383499,-0.528815,-0.496318,-0.493103,0.480492,-0.528815,-0.496318,-0.493103,0.480492,-0.528815,-0.496318,-0.493103,0.480492,-0.523916,-0.471655,-0.497607,0.505412,-0.530461,-0.464281,-0.49049,0.512322,-0.536903,-0.456816,-0.483276,0.519132,-0.463627,-0.541334,-0.389914,0.583073,-0.51514,-0.492568,-0.330024,0.618943,-0.561551,-0.438923,-0.266867,0.648683,0.029187,-0.456232,-0.545723,0.702273,-0.053195,-0.608169,-0.518111,0.599051,-0.050122,-0.60843,-0.521131,0.596425,-0.500541,-0.483314,-0.522237,0.493087
2,-0.585389,-0.419925,-0.577966,0.383326,-0.585389,-0.419925,-0.577966,0.383326,-0.585389,-0.419925,-0.577966,0.383326,-0.528694,-0.496539,-0.493119,0.48038,-0.528694,-0.496539,-0.493119,0.48038,-0.528694,-0.496539,-0.493119,0.48038,-0.523908,-0.471772,-0.4975,0.505415,-0.530447,-0.464408,-0.490392,0.512315,-0.536883,-0.456953,-0.483188,0.519115,-0.46354,-0.541303,-0.389883,0.583192,-0.515067,-0.492528,-0.329962,0.61907,-0.561489,-0.438872,-0.26677,0.648811,0.029072,-0.456098,-0.545411,0.702607,-0.053314,-0.608084,-0.517705,0.599478,-0.050288,-0.608341,-0.520681,0.596895,-0.500583,-0.483402,-0.522077,0.493128
3,-0.585301,-0.420013,-0.578458,0.382621,-0.585301,-0.420013,-0.578458,0.382621,-0.585301,-0.420013,-0.578458,0.382621,-0.528751,-0.496592,-0.493562,0.479808,-0.528751,-0.496592,-0.493562,0.479808,-0.528751,-0.496592,-0.493562,0.479808,-0.523808,-0.471966,-0.498117,0.504731,-0.530336,-0.464618,-0.491032,0.511626,-0.536762,-0.457179,-0.483852,0.518421,-0.463656,-0.541653,-0.390375,0.582446,-0.515228,-0.492854,-0.330512,0.618383,-0.561691,-0.439168,-0.267371,0.648189,0.0291,-0.456744,-0.545636,0.702011,-0.053333,-0.60861,-0.517933,0.598744,-0.050305,-0.608868,-0.520905,0.596161,-0.50049,-0.483553,-0.522645,0.492472
4,-0.58548,-0.419776,-0.578876,0.381975,-0.58548,-0.419776,-0.578876,0.381975,-0.58548,-0.419776,-0.578876,0.381975,-0.528978,-0.496462,-0.494073,0.479166,-0.528978,-0.496462,-0.494073,0.479166,-0.528978,-0.496462,-0.494073,0.479166,-0.524077,-0.471845,-0.498581,0.504106,-0.530687,-0.464399,-0.491414,0.511095,-0.537191,-0.45686,-0.484149,0.517982,-0.464091,-0.541565,-0.390795,0.581899,-0.515784,-0.492585,-0.330819,0.61797,-0.562334,-0.438694,-0.267544,0.647879,0.028472,-0.457262,-0.5452,0.702039,-0.054413,-0.609053,-0.51682,0.599159,-0.051653,-0.609293,-0.519529,0.596811,-0.500563,-0.483538,-0.523292,0.491725
5,-0.585576,-0.419549,-0.579056,0.381803,-0.585576,-0.419549,-0.579056,0.381803,-0.585576,-0.419549,-0.579056,0.381803,-0.529041,-0.49627,-0.494347,0.479012,-0.529041,-0.49627,-0.494347,0.479012,-0.529041,-0.49627,-0.494347,0.479012,-0.524181,-0.471588,-0.498801,0.50402,-0.530836,-0.464085,-0.491582,0.511064,-0.537383,-0.456488,-0.484263,0.518004,-0.464174,-0.541321,-0.391097,0.581858,-0.51587,-0.492304,-0.331087,0.617977,-0.562418,-0.438374,-0.267773,0.647929,0.029021,-0.457165,-0.546316,0.701211,-0.053535,-0.608895,-0.518615,0.597846,-0.050487,-0.609155,-0.5216,0.595243,-0.500622,-0.483352,-0.52356,0.491562
6,-0.585736,-0.419533,-0.578736,0.38206,-0.585736,-0.419533,-0.578736,0.38206,-0.585736,-0.419533,-0.578736,0.38206,-0.52927,-0.496055,-0.493895,0.479449,-0.52927,-0.496055,-0.493895,0.479449,-0.52927,-0.496055,-0.493895,0.479449,-0.52422,-0.471576,-0.49857,0.504219,-0.530866,-0.464082,-0.491357,0.511251,-0.537404,-0.456495,-0.484046,0.518179,-0.464226,-0.541229,-0.390803,0.582099,-0.515944,-0.492174,-0.330732,0.618209,-0.562507,-0.438201,-0.267355,0.648142,0.028893,-0.45677,-0.545944,0.701763,-0.053667,-0.608593,-0.518135,0.598557,-0.050672,-0.608849,-0.521075,0.596,-0.500686,-0.48333,-0.523315,0.49178
7,-0.585762,-0.419513,-0.578583,0.382275,-0.585762,-0.419513,-0.578583,0.382275,-0.585762,-0.419513,-0.578583,0.382275,-0.529311,-0.496089,-0.493695,0.479575,-0.529311,-0.496089,-0.493695,0.479575,-0.529311,-0.496089,-0.493695,0.479575,-0.524267,-0.471512,-0.498363,0.504435,-0.530914,-0.464015,-0.491144,0.511466,-0.537454,-0.456424,-0.483827,0.518393,-0.464144,-0.541111,-0.390697,0.582344,-0.515825,-0.492093,-0.330634,0.618425,-0.562356,-0.438163,-0.267271,0.648332,0.028331,-0.456845,-0.545472,0.702104,-0.054491,-0.608678,-0.517183,0.599219,-0.051691,-0.608922,-0.519933,0.596835,-0.500819,-0.483192,-0.523034,0.492079
8,-0.585844,-0.41936,-0.578883,0.381861,-0.585844,-0.41936,-0.578883,0.381861,-0.585844,-0.41936,-0.578883,0.381861,-0.529501,-0.495947,-0.493969,0.479228,-0.529501,-0.495947,-0.493969,0.479228,-0.529501,-0.495947,-0.493969,0.479228,-0.524382,-0.471417,-0.498718,0.504055,-0.531045,-0.463898,-0.491486,0.511109,-0.5376,-0.456285,-0.484154,0.518059,-0.464373,-0.541063,-0.391004,0.582,-0.516096,-0.491973,-0.330914,0.618146,-0.562656,-0.437961,-0.267515,0.648108,0.028396,-0.456826,-0.545953,0.701741,-0.054518,-0.608608,-0.517687,0.598852,-0.051717,-0.608853,-0.520437,0.596464,-0.50094,-0.483042,-0.52337,0.491744
9,-0.585822,-0.419282,-0.579023,0.38177,-0.585822,-0.419282,-0.579023,0.38177,-0.585822,-0.419282,-0.579023,0.38177,-0.529384,-0.495872,-0.494238,0.479159,-0.529384,-0.495872,-0.494238,0.479159,-0.529384,-0.495872,-0.494238,0.479159,-0.524302,-0.471412,-0.498942,0.503921,-0.530985,-0.46387,-0.491689,0.511,-0.537561,-0.456234,-0.484335,0.517975,-0.464338,-0.541062,-0.391217,0.581886,-0.516108,-0.491925,-0.331079,0.618085,-0.562705,-0.437859,-0.267623,0.64809,0.028919,-0.456982,-0.546638,0.701083,-0.05374,-0.6087,-0.518882,0.597794,-0.050728,-0.608958,-0.521833,0.59522,-0.500817,-0.483095,-0.523629,0.491544
