,Pinky MCP:X,Pinky MCP:Y,Pinky MCP:Z,Pinky MCP:W,Pinky PIP:X,Pinky PIP:Y,Pinky PIP:Z,Pinky PIP:W,Pinky DIP:X,Pinky DIP:Y,Pinky DIP:Z,Pinky DIP:W,Ring MCP:X,Ring MCP:Y,Ring MCP:Z,Ring MCP:W,Ring PIP:X,Ring PIP:Y,Ring PIP:Z,Ring PIP:W,Ring DIP:X,Ring DIP:Y,Ring DIP:Z,Ring DIP:W,Middle MCP:X,Middle MCP:Y,Middle MCP:Z,Middle MCP:W,Middle PIP:X,Middle PIP:Y,Middle PIP:Z,Middle PIP:W,Middle DIP:X,Middle DIP:Y,Middle DIP:Z,Middle DIP:W,Index MCP:X,Index MCP:Y,Index MCP:Z,Index MCP:W,Index PIP:X,Index PIP:Y,Index PIP:Z,Index PIP:W,Index DIP:X,Index DIP:Y,Index DIP:Z,Index DIP:W,Thumbs CMC:X,Thumbs CMC:Y,Thumbs CMC:Z,Thumbs CMC:W,Thumbs MCP:X,Thumbs MCP:Y,Thumbs MCP:Z,Thumbs MCP:W,Thumbs IP:X,Thumbs IP:Y,Thumbs IP:Z,Thumbs IP:W,Hand:X,Hand:Y,Hand:Z,Hand:W
0,0.401322,0.614722,0.667803,-0.122869,0.413663,0.606487,0.665183,-0.13634,0.425835,0.598003,0.662292,-0.149754,0.37133,0.719034,0.565928,-0.157573,0.379794,0.7146,0.564028,-0.164244,0.388205,0.710065,0.56205,-0.170893,0.367289,0.722846,0.567235,-0.144347,0.372424,0.720214,0.566194,-0.148381,0.37754,0.717545,0.565123,-0.152407,0.291244,0.766656,0.47922,-0.312674,0.296484,0.764644,0.477069,-0.315946,0.301711,0.762597,0.474895,-0.319204,0.043843,0.857813,0.410482,-0.306169,0.270304,0.884101,0.328931,-0.192627,0.25576,0.888418,0.332047,-0.187204,0.380884,0.654101,0.573347,-0.313612
1,0.577254,0.374033,0.610304,-0.392945,0.600659,0.335159,0.583068,-0.432329,0.62145,0.294826,0.553295,-0.469832,0.502249,0.456569,0.549274,-0.48743,0.531726,0.421874,0.515364,-0.523154,0.55881,0.385281,0.479135,-0.556525,0.49983,0.451605,0.55102,-0.492544,0.5298,0.41604,0.51572,-0.529391,0.557245,0.378491,0.477962,-0.563715,0.438862,0.518147,0.445928,-0.583157,0.473188,0.486999,0.405105,-0.612221,0.50531,0.453583,0.362394,-0.638432,-0.048834,0.451931,0.616263,-0.643113,0.103354,0.588328,0.540736,-0.592278,0.069234,0.593311,0.574011,-0.56009,0.488337,0.430729,0.559586,-0.512701
2,0.583581,0.376431,0.604512,-0.390254,0.600223,0.349284,0.585987,-0.417554,0.615603,0.321404,0.566231,-0.443977,0.506773,0.458074,0.545339,-0.485752,0.530396,0.4305,0.518758,-0.514042,0.552522,0.401709,0.490712,-0.54088,0.503399,0.452368,0.547996,-0.491583,0.527987,0.42341,0.51955,-0.521556,0.550913,0.393119,0.489468,-0.549885,0.442344,0.52395,0.442993,-0.577551,0.474599,0.494922,0.405575,-0.604414,0.504953,0.463912,0.366533,-0.628857,-0.039294,0.4498,0.607552,-0.653465,0.096221,0.589749,0.543842,-0.589214,0.058873,0.59464,0.579886,-0.553778,0.489801,0.426511,0.557984,-0.516563
3,0.586033,0.372642,0.600787,-0.395928,0.598834,0.351701,0.586421,-0.416911,0.610888,0.330321,0.571322,-0.437372,0.508901,0.456265,0.542045,-0.488906,0.529056,0.432734,0.519332,-0.512968,0.548123,0.408313,0.495551,-0.535976,0.505152,0.450669,0.545165,-0.494483,0.526543,0.42548,0.520384,-0.520499,0.54668,0.399276,0.494362,-0.545275,0.4423,0.523912,0.442316,-0.578138,0.474315,0.495114,0.405152,-0.604764,0.50446,0.464363,0.36639,-0.629004,-0.034451,0.451335,0.600407,-0.659258,0.089946,0.593397,0.544928,-0.585528,0.051868,0.59793,0.581208,-0.549533,0.489734,0.427183,0.557538,-0.516553
4,0.588356,0.369045,0.598049,-0.399976,0.597395,0.354226,0.587866,-0.414798,0.606061,0.339185,0.577316,-0.42936,0.511034,0.454062,0.539713,-0.491306,0.527801,0.434459,0.520793,-0.511318,0.543816,0.414237,0.501131,-0.530603,0.507214,0.448658,0.542975,-0.496606,0.525495,0.4271,0.521778,-0.518833,0.542861,0.404798,0.499672,-0.540155,0.442687,0.523817,0.442311,-0.577931,0.47434,0.495336,0.405594,-0.604266,0.504165,0.464945,0.367313,-0.628271,-0.031621,0.451927,0.596909,-0.662164,0.086345,0.59514,0.546295,-0.583023,0.04925,0.59935,0.581418,-0.548002,0.489866,0.427096,0.557767,-0.516252
5,0.590399,0.365789,0.59519,-0.404198,0.596091,0.356438,0.588746,-0.413528,0.601635,0.346999,0.582155,-0.422756,0.512786,0.451996,0.537285,-0.49404,0.526424,0.436036,0.52186,-0.510306,0.539566,0.419665,0.505944,-0.52609,0.508803,0.446693,0.540777,-0.499145,0.52416,0.428569,0.522934,-0.517808,0.538872,0.409918,0.504447,-0.535834,0.442858,0.523575,0.441908,-0.578328,0.474235,0.495333,0.405485,-0.604423,0.503815,0.465215,0.367526,-0.628228,-0.030132,0.452144,0.594778,-0.664001,0.083731,0.596099,0.547344,-0.581438,0.048286,0.600011,0.580812,-0.548008,0.489822,0.427067,0.557688,-0.516403
6,0.592385,0.362826,0.592629,-0.407712,0.594958,0.358591,0.589706,-0.411928,0.5975,0.354339,0.586753,-0.416123,0.514659,0.450066,0.535013,-0.496314,0.525244,0.437666,0.523027,-0.50893,0.53553,0.425018,0.510743,-0.521257,0.51071,0.444921,0.538528,-0.501206,0.523194,0.430172,0.524012,-0.516363,0.535251,0.415073,0.50907,-0.531101,0.443342,0.523551,0.441515,-0.578279,0.474271,0.495707,0.40564,-0.603985,0.503454,0.466038,0.368273,-0.627469,-0.028851,0.4518,0.593472,-0.665459,0.082434,0.596272,0.54794,-0.580884,0.048973,0.599947,0.579555,-0.549346,0.490254,0.426845,0.557365,-0.516525
7,0.593907,0.360192,0.590396,-0.411058,0.593907,0.360192,0.590396,-0.411058,0.593907,0.360192,0.590396,-0.411058,0.516051,0.44828,0.533027,-0.498617,0.524026,0.438931,0.523977,-0.508118,0.531831,0.42944,0.514759,-0.517455,0.512032,0.443244,0.536667,-0.503335,0.521986,0.431478,0.525075,-0.515416,0.531669,0.419489,0.51321,-0.527231,0.44331,0.523369,0.441415,-0.578544,0.474023,0.495723,0.405774,-0.604076,0.503016,0.466278,0.36866,-0.627416,-0.028731,0.452298,0.593116,-0.665444,0.080801,0.596971,0.5492,-0.579203,0.049158,0.600406,0.579026,-0.549387,0.490058,0.427073,0.557506,-0.516371
8,0.594589,0.359624,0.589997,-0.411143,0.594589,0.359624,0.589997,-0.411143,0.594589,0.359624,0.589997,-0.411143,0.517964,0.446438,0.531089,-0.500351,0.523479,0.439958,0.524822,-0.506921,0.528914,0.433409,0.518473,-0.513413,0.514157,0.441596,0.534557,-0.50486,0.521763,0.432584,0.525692,-0.514085,0.529211,0.42344,0.516667,-0.523153,0.443945,0.522973,0.441241,-0.578549,0.474406,0.495506,0.405876,-0.603885,0.503171,0.466268,0.36906,-0.627062,-0.028291,0.451872,0.593152,-0.66572,0.080326,0.596717,0.550018,-0.578755,0.050594,0.599969,0.57808,-0.550727,0.490471,0.426752,0.557559,-0.516187
9,0.594375,0.359551,0.590458,-0.410854,0.594375,0.359551,0.590458,-0.410854,0.594375,0.359551,0.590458,-0.410854,0.519117,0.444754,0.529748,-0.502074,0.522301,0.44101,0.526124,-0.50587,0.525459,0.437243,0.522473,-0.50964,0.515141,0.439769,0.533402,-0.506671,0.520471,0.433448,0.527177,-0.513144,0.525723,0.427062,0.520874,-0.519541,0.444103,0.522775,0.441327,-0.578541,0.474196,0.49564,0.406396,-0.60359,0.502635,0.466776,0.370047,-0.626533,-0.027955,0.452157,0.593484,-0.665244,0.079397,0.597084,0.551586,-0.577009,0.051034,0.600174,0.578291,-0.550242,0.490631,0.426468,0.55761,-0.516215
