,Pinky MCP:X,Pinky MCP:Y,Pinky MCP:Z,Pinky MCP:W,Pinky PIP:X,Pinky PIP:Y,Pinky PIP:Z,Pinky PIP:W,Pinky DIP:X,Pinky DIP:Y,Pinky DIP:Z,Pinky DIP:W,Ring MCP:X,Ring MCP:Y,Ring MCP:Z,Ring MCP:W,Ring PIP:X,Ring PIP:Y,Ring PIP:Z,Ring PIP:W,Ring DIP:X,Ring DIP:Y,Ring DIP:Z,Ring DIP:W,Middle MCP:X,Middle MCP:Y,Middle MCP:Z,Middle MCP:W,Middle PIP:X,Middle PIP:Y,Middle PIP:Z,Middle PIP:W,Middle DIP:X,Middle DIP:Y,Middle DIP:Z,Middle DIP:W,Index MCP:X,Index MCP:Y,Index MCP:Z,Index MCP:W,Index PIP:X,Index PIP:Y,Index PIP:Z,Index PIP:W,Index DIP:X,Index DIP:Y,Index DIP:Z,Index DIP:W,Thumbs CMC:X,Thumbs CMC:Y,Thumbs CMC:Z,Thumbs CMC:W,Thumbs MCP:X,Thumbs MCP:Y,Thumbs MCP:Z,Thumbs MCP:W,Thumbs IP:X,Thumbs IP:Y,Thumbs IP:Z,Thumbs IP:W,Hand:X,Hand:Y,Hand:Z,Hand:W,Pinky MCP:X,Pinky MCP:Y,Pinky MCP:Z,Pinky MCP:W,Pinky PIP:X,Pinky PIP:Y,Pinky PIP:Z,Pinky PIP:W,Pinky DIP:X,Pinky DIP:Y,Pinky DIP:Z,Pinky DIP:W,Ring MCP:X,Ring MCP:Y,Ring MCP:Z,Ring MCP:W,Ring PIP:X,Ring PIP:Y,Ring PIP:Z,Ring PIP:W,Ring DIP:X,Ring DIP:Y,Ring DIP:Z,Ring DIP:W,Middle MCP:X,Middle MCP:Y,Middle MCP:Z,Middle MCP:W,Middle PIP:X,Middle PIP:Y,Middle PIP:Z,Middle PIP:W,Middle DIP:X,Middle DIP:Y,Middle DIP:Z,Middle DIP:W,Index MCP:X,Index MCP:Y,Index MCP:Z,Index MCP:W,Index PIP:X,Index PIP:Y,Index PIP:Z,Index PIP:W,Index DIP:X,Index DIP:Y,Index DIP:Z,Index DIP:W,Thumbs CMC:X,Thumbs CMC:Y,Thumbs CMC:Z,Thumbs CMC:W,Thumbs MCP:X,Thumbs MCP:Y,Thumbs MCP:Z,Thumbs MCP:W,Thumbs IP:X,Thumbs IP:Y,Thumbs IP:Z,Thumbs IP:W,Hand:X,Hand:Y,Hand:Z,Hand:W
0,-0.521319,-0.398158,-0.592856,0.46714,-0.521319,-0.398158,-0.592856,0.46714,-0.521319,-0.398158,-0.592856,0.46714,-0.429987,-0.496123,-0.539117,0.527565,-0.429987,-0.496123,-0.539117,0.527565,-0.429987,-0.496123,-0.539117,0.527565,-0.437032,-0.454129,-0.522183,0.574539,-0.437032,-0.454129,-0.522183,0.574539,-0.437032,-0.454129,-0.522183,0.574539,-0.367422,-0.540928,-0.417642,0.630851,-0.367422,-0.540928,-0.417642,0.630851,-0.367422,-0.540928,-0.417642,0.630851,0.068267,-0.409435,-0.521534,0.745456,0.018857,-0.569847,-0.533994,0.624315,0.058115,-0.56719,-0.575782,0.585998,-0.445885,-0.442281,-0.509971,0.587795,-0.521319,-0.398158,-0.592856,0.46714,-0.521319,-0.398158,-0.592856,0.46714,-0.521319,-0.398158,-0.592856,0.46714,-0.429987,-0.496123,-0.539117,0.527565,-0.429987,-0.496123,-0.539117,0.527565,-0.429987,-0.496123,-0.539117,0.527565,-0.437032,-0.454129,-0.522183,0.574539,-0.437032,-0.454129,-0.522183,0.574539,-0.437032,-0.454129,-0.522183,0.574539,-0.367422,-0.540928,-0.417642,0.630851,-0.367422,-0.540928,-0.417642,0.630851,-0.367422,-0.540928,-0.417642,0.630851,0.068267,-0.409435,-0.521534,0.745456,0.018857,-0.569847,-0.533994,0.624315,0.058115,-0.56719,-0.575782,0.585998,-0.445885,-0.442281,-0.509971,0.587795
1,-0.521277,-0.398846,-0.592336,0.467258,-0.521277,-0.398846,-0.592336,0.467258,-0.521277,-0.398846,-0.592336,0.467258,-0.430073,-0.496668,-0.538332,0.527785,-0.430073,-0.496668,-0.538332,0.527785,-0.430073,-0.496668,-0.538332,0.527785,-0.437011,-0.454473,-0.521488,0.574913,-0.437011,-0.454473,-0.521488,0.574913,-0.437011,-0.454473,-0.521488,0.574913,-0.367285,-0.541176,-0.416952,0.631175,-0.367285,-0.541176,-0.416952,0.631175,-0.367285,-0.541176,-0.416952,0.631175,0.068362,-0.409634,-0.521072,0.745661,0.019058,-0.570056,-0.533558,0.624491,0.058351,-0.567382,-0.575381,0.586182,-0.44578,-0.44277,-0.509407,0.587997,-0.521277,-0.398846,-0.592336,0.467258,-0.521277,-0.398846,-0.592336,0.467258,-0.521277,-0.398846,-0.592336,0.467258,-0.430073,-0.496668,-0.538332,0.527785,-0.430073,-0.496668,-0.538332,0.527785,-0.430073,-0.496668,-0.538332,0.527785,-0.437011,-0.454473,-0.521488,0.574913,-0.437011,-0.454473,-0.521488,0.574913,-0.437011,-0.454473,-0.521488,0.574913,-0.367285,-0.541176,-0.416952,0.631175,-0.367285,-0.541176,-0.416952,0.631175,-0.367285,-0.541176,-0.416952,0.631175,0.068362,-0.409634,-0.521072,0.745661,0.019058,-0.570056,-0.533558,0.624491,0.058351,-0.567382,-0.575381,0.586182,-0.44578,-0.44277,-0.509407,0.587997
2,-0.52162,-0.398669,-0.59198,0.467478,-0.52162,-0.398669,-0.59198,0.467478,-0.52162,-0.398669,-0.59198,0.467478,-0.430467,-0.496357,-0.537896,0.5282,-0.430467,-0.496357,-0.537896,0.5282,-0.430467,-0.496357,-0.537896,0.5282,-0.437185,-0.454259,-0.52129,0.575131,-0.437185,-0.454259,-0.52129,0.575131,-0.437185,-0.454259,-0.52129,0.575131,-0.367425,-0.540901,-0.416753,0.63146,-0.367425,-0.540901,-0.416753,0.63146,-0.367425,-0.540901,-0.416753,0.63146,0.068271,-0.409306,-0.520807,0.746035,0.019027,-0.569798,-0.533313,0.624936,0.05823,-0.567134,-0.575093,0.586716,-0.445816,-0.442639,-0.509369,0.5881,-0.52162,-0.398669,-0.59198,0.467478,-0.52162,-0.398669,-0.59198,0.467478,-0.52162,-0.398669,-0.59198,0.467478,-0.430467,-0.496357,-0.537896,0.5282,-0.430467,-0.496357,-0.537896,0.5282,-0.430467,-0.496357,-0.537896,0.5282,-0.437185,-0.454259,-0.52129,0.575131,-0.437185,-0.454259,-0.52129,0.575131,-0.437185,-0.454259,-0.52129,0.575131,-0.367425,-0.540901,-0.416753,0.63146,-0.367425,-0.540901,-0.416753,0.63146,-0.367425,-0.540901,-0.416753,0.63146,0.068271,-0.409306,-0.520807,0.746035,0.019027,-0.569798,-0.533313,0.624936,0.05823,-0.567134,-0.575093,0.586716,-0.445816,-0.442639,-0.509369,0.5881
3,-0.521744,-0.398881,-0.591589,0.467653,-0.521744,-0.398881,-0.591589,0.467653,-0.521744,-0.398881,-0.591589,0.467653,-0.430513,-0.496543,-0.53753,0.52836,-0.430513,-0.496543,-0.53753,0.52836,-0.430513,-0.496543,-0.53753,0.52836,-0.437187,-0.454413,-0.520966,0.5753,-0.437187,-0.454413,-0.520966,0.5753,-0.437187,-0.454413,-0.520966,0.5753,-0.367396,-0.541031,-0.416402,0.631597,-0.367396,-0.541031,-0.416402,0.631597,-0.367396,-0.541031,-0.416402,0.631597,0.068356,-0.409379,-0.520532,0.746179,0.019174,-0.56988,-0.533062,0.625071,0.058389,-0.567205,-0.574859,0.586861,-0.445698,-0.44285,-0.509188,0.588188,-0.521744,-0.398881,-0.591589,0.467653,-0.521744,-0.398881,-0.591589,0.467653,-0.521744,-0.398881,-0.591589,0.467653,-0.430513,-0.496543,-0.53753,0.52836,-0.430513,-0.496543,-0.53753,0.52836,-0.430513,-0.496543,-0.53753,0.52836,-0.437187,-0.454413,-0.520966,0.5753,-0.437187,-0.454413,-0.520966,0.5753,-0.437187,-0.454413,-0.520966,0.5753,-0.367396,-0.541031,-0.416402,0.631597,-0.367396,-0.541031,-0.416402,0.631597,-0.367396,-0.541031,-0.416402,0.631597,0.068356,-0.409379,-0.520532,0.746179,0.019174,-0.56988,-0.533062,0.625071,0.058389,-0.567205,-0.574859,0.586861,-0.445698,-0.44285,-0.509188,0.588188
4,-0.521577,-0.398765,-0.591893,0.467554,-0.521577,-0.398765,-0.591893,0.467554,-0.521577,-0.398765,-0.591893,0.467554,-0.430438,-0.496501,-0.537774,0.528214,-0.430438,-0.496501,-0.537774,0.528214,-0.430438,-0.496501,-0.537774,0.528214,-0.437199,-0.454275,-0.521084,0.575294,-0.437199,-0.454275,-0.521084,0.575294,-0.437199,-0.454275,-0.521084,0.575294,-0.367423,-0.540914,-0.416524,0.631602,-0.367423,-0.540914,-0.416524,0.631602,-0.367423,-0.540914,-0.416524,0.631602,0.06853,-0.409566,-0.520823,0.745857,0.019279,-0.570007,-0.533359,0.624698,0.058512,-0.567324,-0.575139,0.58646,-0.445572,-0.442831,-0.50948,0.588044,-0.521577,-0.398765,-0.591893,0.467554,-0.521577,-0.398765,-0.591893,0.467554,-0.521577,-0.398765,-0.591893,0.467554,-0.430438,-0.496501,-0.537774,0.528214,-0.430438,-0.496501,-0.537774,0.528214,-0.430438,-0.496501,-0.537774,0.528214,-0.437199,-0.454275,-0.521084,0.575294,-0.437199,-0.454275,-0.521084,0.575294,-0.437199,-0.454275,-0.521084,0.575294,-0.367423,-0.540914,-0.416524,0.631602,-0.367423,-0.540914,-0.416524,0.631602,-0.367423,-0.540914,-0.416524,0.631602,0.06853,-0.409566,-0.520823,0.745857,0.019279,-0.570007,-0.533359,0.624698,0.058512,-0.567324,-0.575139,0.58646,-0.445572,-0.442831,-0.50948,0.588044
5,-0.521456,-0.398847,-0.592342,0.46705,-0.521456,-0.398847,-0.592342,0.46705,-0.521456,-0.398847,-0.592342,0.46705,-0.430351,-0.496629,-0.538236,0.527693,-0.430351,-0.496629,-0.538236,0.527693,-0.430351,-0.496629,-0.538236,0.527693,-0.437509,-0.454177,-0.52108,0.575139,-0.437509,-0.454177,-0.52108,0.575139,-0.437509,-0.454177,-0.52108,0.575139,-0.367745,-0.540643,-0.416492,0.631667,-0.367745,-0.540643,-0.416492,0.631667,-0.367745,-0.540643,-0.416492,0.631667,0.068474,-0.410171,-0.521107,0.745331,0.019166,-0.570513,-0.533574,0.624056,0.058407,-0.567839,-0.575281,0.585832,-0.445531,-0.442921,-0.509904,0.587641,-0.521456,-0.398847,-0.592342,0.46705,-0.521456,-0.398847,-0.592342,0.46705,-0.521456,-0.398847,-0.592342,0.46705,-0.430351,-0.496629,-0.538236,0.527693,-0.430351,-0.496629,-0.538236,0.527693,-0.430351,-0.496629,-0.538236,0.527693,-0.437509,-0.454177,-0.52108,0.575139,-0.437509,-0.454177,-0.52108,0.575139,-0.437509,-0.454177,-0.52108,0.575139,-0.367745,-0.540643,-0.416492,0.631667,-0.367745,-0.540643,-0.416492,0.631667,-0.367745,-0.540643,-0.416492,0.631667,0.068474,-0.410171,-0.521107,0.745331,0.019166,-0.570513,-0.533574,0.624056,0.058407,-0.567839,-0.575281,0.585832,-0.445531,-0.442921,-0.509904,0.587641
6,-0.522029,-0.398141,-0.592319,0.467041,-0.522029,-0.398141,-0.592319,0.467041,-0.522029,-0.398141,-0.592319,0.467041,-0.431101,-0.495972,-0.538166,0.52777,-0.431101,-0.495972,-0.538166,0.52777,-0.431101,-0.495972,-0.538166,0.52777,-0.437907,-0.453679,-0.521409,0.57493,-0.437907,-0.453679,-0.521409,0.57493,-0.437907,-0.453679,-0.521409,0.57493,-0.368117,-0.540142,-0.416943,0.631581,-0.368117,-0.540142,-0.416943,0.631581,-0.368117,-0.540142,-0.416943,0.631581,0.067989,-0.409505,-0.521954,0.745149,0.018489,-0.569888,-0.534334,0.623998,0.057728,-0.567258,-0.576075,0.585681,-0.44623,-0.442146,-0.509836,0.587753,-0.522029,-0.398141,-0.592319,0.467041,-0.522029,-0.398141,-0.592319,0.467041,-0.522029,-0.398141,-0.592319,0.467041,-0.431101,-0.495972,-0.538166,0.52777,-0.431101,-0.495972,-0.538166,0.52777,-0.431101,-0.495972,-0.538166,0.52777,-0.437907,-0.453679,-0.521409,0.57493,-0.437907,-0.453679,-0.521409,0.57493,-0.437907,-0.453679,-0.521409,0.57493,-0.368117,-0.540142,-0.416943,0.631581,-0.368117,-0.540142,-0.416943,0.631581,-0.368117,-0.540142,-0.416943,0.631581,0.067989,-0.409505,-0.521954,0.745149,0.018489,-0.569888,-0.534334,0.623998,0.057728,-0.567258,-0.576075,0.585681,-0.44623,-0.442146,-0.509836,0.587753
7,-0.522192,-0.398377,-0.591824,0.467286,-0.522192,-0.398377,-0.591824,0.467286,-0.522192,-0.398377,-0.591824,0.467286,-0.431117,-0.496166,-0.537791,0.527957,-0.431117,-0.496166,-0.537791,0.527957,-0.431117,-0.496166,-0.537791,0.527957,-0.43806,-0.453705,-0.52084,0.575309,-0.43806,-0.453705,-0.52084,0.575309,-0.43806,-0.453705,-0.52084,0.575309,-0.368247,-0.540206,-0.416307,0.631871,-0.368247,-0.540206,-0.416307,0.631871,-0.368247,-0.540206,-0.416307,0.631871,0.067643,-0.408885,-0.521245,0.746017,0.018308,-0.56943,-0.533639,0.625014,0.057545,-0.566811,-0.575483,0.586714,-0.446396,-0.441968,-0.509195,0.588315,-0.522192,-0.398377,-0.591824,0.467286,-0.522192,-0.398377,-0.591824,0.467286,-0.522192,-0.398377,-0.591824,0.467286,-0.431117,-0.496166,-0.537791,0.527957,-0.431117,-0.496166,-0.537791,0.527957,-0.431117,-0.496166,-0.537791,0.527957,-0.43806,-0.453705,-0.52084,0.575309,-0.43806,-0.453705,-0.52084,0.575309,-0.43806,-0.453705,-0.52084,0.575309,-0.368247,-0.540206,-0.416307,0.631871,-0.368247,-0.540206,-0.416307,0.631871,-0.368247,-0.540206,-0.416307,0.631871,0.067643,-0.408885,-0.521245,0.746017,0.018308,-0.56943,-0.533639,0.625014,0.057545,-0.566811,-0.575483,0.586714,-0.446396,-0.441968,-0.509195,0.588315
8,-0.522279,-0.398238,-0.591442,0.46779,-0.522279,-0.398238,-0.591442,0.46779,-0.522279,-0.398238,-0.591442,0.46779,-0.431199,-0.495984,-0.537312,0.528547,-0.431199,-0.495984,-0.537312,0.528547,-0.431199,-0.495984,-0.537312,0.528547,-0.437858,-0.453708,-0.520689,0.575597,-0.437858,-0.453708,-0.520689,0.575597,-0.437858,-0.453708,-0.520689,0.575597,-0.367971,-0.540216,-0.416204,0.63209,-0.367971,-0.540216,-0.416204,0.63209,-0.367971,-0.540216,-0.416204,0.63209,0.068504,-0.409614,-0.52166,0.745248,0.01906,-0.569979,-0.534146,0.624059,0.058314,-0.567308,-0.575902,0.585746,-0.445754,-0.442485,-0.509641,0.588028,-0.522279,-0.398238,-0.591442,0.46779,-0.522279,-0.398238,-0.591442,0.46779,-0.522279,-0.398238,-0.591442,0.46779,-0.431199,-0.495984,-0.537312,0.528547,-0.431199,-0.495984,-0.537312,0.528547,-0.431199,-0.495984,-0.537312,0.528547,-0.437858,-0.453708,-0.520689,0.575597,-0.437858,-0.453708,-0.520689,0.575597,-0.437858,-0.453708,-0.520689,0.575597,-0.367971,-0.540216,-0.416204,0.63209,-0.367971,-0.540216,-0.416204,0.63209,-0.367971,-0.540216,-0.416204,0.63209,0.068504,-0.409614,-0.52166,0.745248,0.01906,-0.569979,-0.534146,0.624059,0.058314,-0.567308,-0.575902,0.585746,-0.445754,-0.442485,-0.509641,0.588028
9,-0.522826,-0.398081,-0.590711,0.468236,-0.522826,-0.398081,-0.590711,0.468236,-0.522826,-0.398081,-0.590711,0.468236,-0.43156,-0.49589,-0.536734,0.528929,-0.43156,-0.49589,-0.536734,0.528929,-0.43156,-0.49589,-0.536734,0.528929,-0.438024,-0.453785,-0.520359,0.575709,-0.438024,-0.453785,-0.520359,0.575709,-0.438024,-0.453785,-0.520359,0.575709,-0.368171,-0.540319,-0.415794,0.632155,-0.368171,-0.540319,-0.415794,0.632155,-0.368171,-0.540319,-0.415794,0.632155,0.068575,-0.409903,-0.521381,0.745278,0.019198,-0.57025,-0.533873,0.62404,0.058337,-0.567583,-0.575491,0.58588,-0.445598,-0.442773,-0.509712,0.587868,-0.522826,-0.398081,-0.590711,0.468236,-0.522826,-0.398081,-0.590711,0.468236,-0.522826,-0.398081,-0.590711,0.468236,-0.43156,-0.49589,-0.536734,0.528929,-0.43156,-0.49589,-0.536734,0.528929,-0.43156,-0.49589,-0.536734,0.528929,-0.438024,-0.453785,-0.520359,0.575709,-0.438024,-0.453785,-0.520359,0.575709,-0.438024,-0.453785,-0.520359,0.575709,-0.368171,-0.540319,-0.415794,0.632155,-0.368171,-0.540319,-0.415794,0.632155,-0.368171,-0.540319,-0.415794,0.632155,0.068575,-0.409903,-0.521381,0.745278,0.019198,-0.57025,-0.533873,0.62404,0.058337,-0.567583,-0.575491,0.58588,-0.445598,-0.442773,-0.509712,0.587868
