Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-03 14:55:37.502818-07:00,2159.5,579.4,1275.6,1652.0,1082.5,1309.7,1388.5,1692.9,3449.1,3450.4,1552.5,1358.5,1253.3,3449.1,995.3,1488.4,3437.0,3441.9,787.7,1521.8,1048.7,667.6,1354.0,1822.6,3440.7,3444.3,733.2,863.7,1375.7,1455.2,1275.6,1134.0,-5.0,-7.0,-3.0,7972.0,11455.0,6445.0,5668.0,1.0,7.0,9.0,-1.0,2.0,4.0,9819.0,9423.0,7283.0,5494.0,-1.0,3.0,6.0,1.0
2022-05-03 14:55:37.504189-07:00,2168.7,588.3,1275.6,1652.0,1084.2,1311.5,1388.5,1692.9,3454.0,3449.1,1552.5,1358.5,1254.2,3447.9,995.3,1488.4,3437.0,3441.9,786.1,1524.5,1048.7,667.6,1350.3,1811.9,3440.7,3444.3,738.1,865.4,1375.7,1455.2,1273.9,1140.1,-5.0,2.0,-5.0,7969.0,11457.0,6442.0,5670.0,6.0,-5.0,12.0,1.0,4.0,2.0,9818.0,9424.0,7284.0,5493.0,10.0,6.0,3.0,1.0
2022-05-03 14:55:37.504647-07:00,2168.7,588.3,1275.6,1652.0,1084.2,1311.5,1388.5,1692.9,3454.0,3449.1,1552.5,1358.5,1254.2,3447.9,995.3,1488.4,3437.0,3441.9,786.1,1524.5,1048.7,667.6,1350.3,1811.9,3440.7,3444.3,738.1,865.4,1375.7,1455.2,1273.9,1140.1,-5.0,2.0,-5.0,7969.0,11457.0,6442.0,5670.0,6.0,-5.0,12.0,1.0,4.0,2.0,9818.0,9424.0,7284.0,5493.0,10.0,6.0,3.0,1.0
2022-05-03 14:55:37.505261-07:00,2151.4,585.1,1264.9,1644.5,1079.0,1309.7,1376.6,1695.7,3441.9,3444.3,1535.7,1372.1,1243.5,3438.2,987.6,1488.4,3449.1,3449.1,785.2,1519.9,1050.4,661.9,1338.6,1816.8,3451.6,3445.5,734.8,864.6,1383.9,1448.8,1267.6,1133.1,-6.0,0.0,-7.0,7968.0,11459.0,6438.0,5673.0,-13.0,-5.0,16.0,0.0,6.0,3.0,9816.0,9426.0,7282.0,5495.0,-11.0,-9.0,9.0,1.0
2022-05-03 14:55:37.507186-07:00,2151.4,585.1,1271.2,1651.1,1079.0,1309.7,1389.4,1698.6,3441.9,3444.3,1541.3,1367.6,1243.5,3438.2,994.5,1483.8,3434.6,3449.1,785.2,1519.9,1049.6,655.4,1338.6,1816.8,3451.6,3450.4,734.8,864.6,1383.0,1452.5,1267.6,1133.1,-2.0,2.0,-1.0,7970.0,11460.0,6435.0,5672.0,2.0,-9.0,2.0,8.0,4.0,6.0,9816.0,9427.0,7282.0,5495.0,2.0,-4.0,1.0,1.0
2022-05-03 14:55:37.593286-07:00,2160.5,583.5,1268.5,1643.5,1076.4,1307.9,1397.6,1691.0,3441.9,3441.9,1536.6,1364.8,1253.3,3450.4,992.7,1486.6,3437.0,3435.8,782.7,1516.2,1052.2,657.9,1348.5,1815.8,3454.0,3446.7,734.8,857.9,1383.9,1450.6,1285.5,1132.2,-5.0,0.0,-5.0,7966.0,11461.0,6436.0,5674.0,17.0,1.0,6.0,3.0,2.0,0.0,9814.0,9429.0,7283.0,5493.0,15.0,9.0,1.0,1.0
2022-05-03 14:55:37.682087-07:00,2160.5,583.5,1268.5,1649.2,1076.4,1308.8,1393.9,1688.1,3441.9,3441.9,1536.6,1358.5,1253.3,3449.1,994.5,1490.3,3440.7,3434.6,785.2,1516.2,1049.6,657.9,1348.5,1815.8,3449.1,3450.4,729.9,857.9,1380.3,1450.6,1285.5,1132.2,-10.0,-4.0,-10.0,7960.0,11465.0,6440.0,5671.0,11.0,-4.0,2.0,-4.0,2.0,2.0,9811.0,9432.0,7285.0,5491.0,7.0,-1.0,-1.0,1.0
2022-05-03 14:55:37.712229-07:00,2160.5,586.7,1274.7,1649.2,1080.8,1308.8,1393.9,1688.1,3445.5,3449.1,1539.4,1358.5,1247.1,3449.1,994.5,1490.3,3440.7,3434.6,785.2,1522.7,1049.6,663.6,1346.7,1810.0,3449.1,3450.4,729.9,862.1,1380.3,1456.2,1273.9,1134.0,-3.0,-7.0,-8.0,7962.0,11466.0,6436.0,5670.0,-21.0,-9.0,26.0,1.0,3.0,0.0,9812.0,9433.0,7282.0,5492.0,-13.0,-16.0,16.0,1.0
2022-05-03 14:55:37.772073-07:00,2160.5,586.7,1274.7,1640.7,1081.6,1307.9,1374.8,1695.7,3445.5,3449.1,1539.4,1364.8,1247.1,3443.1,985.9,1493.0,3444.3,3440.7,787.7,1530.1,1049.6,663.6,1346.7,1810.0,3444.3,3445.5,734.0,858.7,1378.5,1456.2,1273.9,1134.0,2.0,11.0,0.0,7962.0,11467.0,6427.0,5678.0,-3.0,-7.0,8.0,13.0,8.0,7.0,9813.0,9436.0,7275.0,5494.0,-2.0,-10.0,8.0,1.0
2022-05-03 14:55:37.862162-07:00,2157.5,587.5,1267.6,1652.0,1081.6,1307.9,1374.8,1695.7,3444.3,3449.1,1545.0,1362.1,1247.1,3443.1,985.9,1493.0,3444.3,3440.7,787.7,1530.1,1050.4,661.1,1351.2,1817.8,3444.3,3445.5,734.0,858.7,1384.8,1460.8,1270.3,1127.9,4.0,-5.0,5.0,7963.0,11467.0,6427.0,5677.0,5.0,-3.0,-5.0,11.0,3.0,5.0,9813.0,9436.0,7275.0,5494.0,9.0,6.0,-4.0,1.0
