Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-03 17:11:35.241384-07:00,1157.7,720.0,1128.7,1025.4,937.3,863.7,1766.6,1203.5,3477.1,3475.9,1139.2,877.2,1588.9,3472.2,1499.5,1289.1,3479.5,3490.5,946.6,1511.5,1686.2,2446.2,1453.4,3500.2,3485.6,3491.7,706.0,992.7,1684.3,1127.9,1029.7,914.4,-4.0,-9.0,8.0,6868.0,-6767.0,10704.0,-7803.0,2.0,-4.0,-9.0,-2.0,-4.0,1.0,8243.0,-13149.0,4603.0,-2533.0,6.0,-9.0,-1.0,1.0
2022-05-03 17:11:35.331104-07:00,1157.7,720.0,1128.7,1031.4,937.3,859.5,1756.0,1213.3,3477.1,3475.9,1139.2,871.3,1588.9,3472.2,1489.3,1299.0,3473.4,3475.9,944.9,1511.5,1695.7,2446.2,1453.4,3500.2,3486.8,3483.2,701.1,992.7,1679.5,1127.9,1029.7,914.4,-7.0,-9.0,12.0,6867.0,-6768.0,10706.0,-7801.0,-15.0,3.0,3.0,-3.0,-2.0,0.0,8243.0,-13149.0,4603.0,-2533.0,-2.0,0.0,-2.0,1.0
2022-05-03 17:11:35.332144-07:00,1154.2,724.1,1128.7,1031.4,937.3,859.5,1756.0,1213.3,3479.5,3478.3,1139.2,871.3,1591.7,3472.2,1489.3,1299.0,3473.4,3475.9,944.9,1516.2,1695.7,2448.3,1446.0,3506.3,3486.8,3483.2,701.1,988.5,1679.5,1126.1,1024.5,916.9,-2.0,-4.0,8.0,6866.0,-6770.0,10707.0,-7799.0,-2.0,-1.0,-2.0,-2.0,-6.0,0.0,8241.0,-13150.0,4603.0,-2533.0,-11.0,2.0,2.0,1.0
2022-05-03 17:11:35.391592-07:00,1154.2,724.1,1128.7,1031.4,937.3,861.2,1742.6,1209.7,3479.5,3478.3,1139.2,876.4,1591.7,3488.0,1492.1,1289.1,3484.4,3474.6,947.5,1516.2,1683.3,2448.3,1446.0,3506.3,3481.9,3478.3,703.6,988.5,1682.4,1126.1,1024.5,916.9,-3.0,-5.0,4.0,6867.0,-6771.0,10706.0,-7799.0,-7.0,-15.0,-11.0,-3.0,0.0,-2.0,8238.0,-13152.0,4603.0,-2532.0,-13.0,4.0,-1.0,1.0
2022-05-03 17:11:35.421411-07:00,1152.4,721.6,1127.9,1031.4,939.8,861.2,1742.6,1209.7,3477.1,3474.6,1134.0,876.4,1593.6,3488.0,1492.1,1289.1,3484.4,3474.6,947.5,1511.5,1683.3,2440.9,1444.2,3501.4,3481.9,3478.3,703.6,985.0,1682.4,1127.9,1009.9,915.2,-2.0,-9.0,8.0,6866.0,-6773.0,10706.0,-7797.0,16.0,-2.0,7.0,-1.0,-2.0,-3.0,8244.0,-13148.0,4602.0,-2533.0,19.0,1.0,1.0,1.0
2022-05-03 17:11:35.481401-07:00,1152.4,721.6,1127.9,1028.0,939.8,857.0,1757.9,1210.6,3477.1,3474.6,1134.0,873.8,1593.6,3477.1,1483.8,1284.6,3477.1,3474.6,939.0,1511.5,1684.3,2440.9,1444.2,3501.4,3481.9,3481.9,702.8,985.0,1679.5,1127.9,1009.9,915.2,-3.0,0.0,8.0,6867.0,-6770.0,10706.0,-7798.0,-11.0,4.0,-3.0,-1.0,-3.0,1.0,8241.0,-13149.0,4603.0,-2534.0,-23.0,12.0,5.0,1.0
2022-05-03 17:11:35.541582-07:00,1151.5,729.0,1129.6,1021.9,939.8,857.0,1757.9,1210.6,3474.6,3480.7,1138.4,874.7,1593.6,3477.1,1483.8,1284.6,3477.1,3474.6,939.0,1516.2,1689.1,2442.0,1440.5,3507.5,3481.9,3481.9,702.8,984.2,1678.6,1125.2,1021.1,919.4,-5.0,-9.0,1.0,6864.0,-6774.0,10707.0,-7797.0,1.0,-3.0,-9.0,-2.0,-1.0,-3.0,8235.0,-13154.0,4605.0,-2531.0,-5.0,0.0,0.0,1.0
2022-05-03 17:11:35.571625-07:00,1151.5,729.0,1129.6,1021.9,933.0,861.2,1751.2,1206.2,3474.6,3480.7,1138.4,874.7,1588.9,3477.1,1484.7,1282.8,3479.5,3475.9,950.0,1506.9,1689.1,2442.0,1440.5,3507.5,3477.1,3475.9,701.1,985.9,1678.6,1125.2,1021.1,919.4,0.0,-3.0,9.0,6866.0,-6776.0,10705.0,-7796.0,0.0,-12.0,1.0,0.0,-1.0,-2.0,8241.0,-13151.0,4602.0,-2531.0,27.0,-13.0,-6.0,1.0
2022-05-03 17:11:35.661416-07:00,1148.0,725.8,1123.5,1028.8,933.0,861.2,1751.2,1206.2,3480.7,3469.8,1135.7,878.9,1588.9,3477.1,1484.7,1282.8,3479.5,3475.9,950.0,1506.9,1686.2,2436.7,1448.8,3495.3,3477.1,3475.9,701.1,985.9,1684.3,1141.9,1025.4,916.9,-3.0,-2.0,10.0,6867.0,-6779.0,10703.0,-7796.0,-4.0,-12.0,-16.0,-1.0,-2.0,1.0,8247.0,-13148.0,4600.0,-2531.0,-7.0,1.0,-2.0,1.0
2022-05-03 17:11:35.721441-07:00,1148.0,725.8,1123.5,1028.8,934.7,862.1,1752.1,1203.5,3480.7,3469.8,1135.7,878.9,1585.2,3483.2,1494.0,1290.9,3483.2,3481.9,943.2,1513.4,1686.2,2436.7,1448.8,3495.3,3477.1,3477.1,702.8,981.6,1684.3,1141.9,1025.4,916.9,-4.0,-8.0,11.0,6865.0,-6783.0,10700.0,-7797.0,3.0,2.0,-7.0,-2.0,-3.0,-1.0,8241.0,-13151.0,4602.0,-2530.0,-20.0,11.0,1.0,1.0
