Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-03 17:30:36.389080-07:00,2028.4,583.5,1398.5,1618.1,1231.9,1376.6,1373.0,1604.9,3444.3,3439.5,1983.6,1671.0,1712.9,3441.9,1180.6,1591.7,3440.7,3438.2,766.2,1289.1,934.7,569.8,1671.9,1983.6,3451.6,3446.7,867.9,1071.2,1200.0,1553.4,1347.6,1411.3,6.0,1.0,8.0,6462.0,9839.0,8473.0,7621.0,2.0,-8.0,1.0,-4.0,0.0,8.0,3030.0,2522.0,11240.0,11250.0,0.0,-1.0,1.0,1.0
2022-05-03 17:30:36.390032-07:00,2028.4,584.3,1386.6,1615.2,1231.9,1376.6,1373.0,1614.3,3444.3,3444.3,1982.6,1667.2,1712.9,3441.9,1180.6,1590.8,3438.2,3438.2,766.2,1289.1,935.6,571.4,1682.4,1983.6,3450.4,3446.7,867.9,1071.2,1197.4,1544.1,1346.7,1411.3,5.0,-7.0,10.0,6461.0,9839.0,8472.0,7622.0,14.0,6.0,1.0,-1.0,-3.0,5.0,3030.0,2522.0,11241.0,11249.0,10.0,0.0,0.0,1.0
2022-05-03 17:30:36.479372-07:00,2030.4,584.3,1386.6,1615.2,1234.6,1383.0,1378.5,1614.3,3439.5,3444.3,1982.6,1667.2,1708.1,3444.3,1177.0,1590.8,3438.2,3437.0,768.7,1288.2,935.6,571.4,1682.4,1974.6,3450.4,3449.1,865.4,1077.3,1197.4,1544.1,1346.7,1417.6,10.0,-1.0,12.0,6455.0,9843.0,8476.0,7619.0,19.0,2.0,1.0,-2.0,3.0,0.0,3028.0,2523.0,11247.0,11243.0,19.0,9.0,2.0,1.0
2022-05-03 17:30:36.509137-07:00,2030.4,581.8,1397.6,1613.4,1234.6,1383.0,1378.5,1601.1,3439.5,3440.7,1981.6,1669.1,1708.1,3444.3,1177.0,1593.6,3441.9,3437.0,768.7,1288.2,934.7,570.6,1679.5,1974.6,3449.1,3449.1,865.4,1077.3,1191.2,1542.2,1344.0,1417.6,5.0,-7.0,1.0,6451.0,9840.0,8478.0,7623.0,4.0,13.0,-2.0,-5.0,-1.0,0.0,3027.0,2523.0,11248.0,11243.0,2.0,6.0,2.0,1.0
2022-05-03 17:30:36.538989-07:00,2028.4,581.8,1397.6,1613.4,1233.7,1374.8,1373.0,1601.1,3449.1,3440.7,1981.6,1669.1,1710.0,3443.1,1176.2,1593.6,3441.9,3439.5,771.1,1287.3,934.7,570.6,1679.5,1976.6,3449.1,3454.0,858.7,1071.2,1191.2,1542.2,1344.0,1427.7,6.0,-1.0,0.0,6450.0,9839.0,8479.0,7624.0,6.0,-9.0,8.0,-5.0,0.0,2.0,3027.0,2523.0,11250.0,11241.0,10.0,-1.0,4.0,1.0
2022-05-03 17:30:36.629199-07:00,2028.4,575.4,1397.6,1623.7,1233.7,1374.8,1373.0,1606.8,3449.1,3435.8,1979.6,1663.4,1710.0,3443.1,1179.7,1592.7,3440.7,3445.5,771.1,1287.3,934.7,567.4,1676.7,1976.6,3443.1,3451.6,858.7,1071.2,1191.2,1546.9,1344.0,1427.7,6.0,-5.0,7.0,6452.0,9838.0,8478.0,7626.0,-10.0,-3.0,1.0,-4.0,-1.0,4.0,3027.0,2523.0,11249.0,11241.0,-4.0,-7.0,5.0,1.0
2022-05-03 17:30:36.689062-07:00,2034.4,582.6,1397.6,1623.7,1239.1,1379.4,1373.0,1606.8,3443.1,3444.3,1979.6,1663.4,1713.8,3441.9,1179.7,1592.7,3440.7,3445.5,770.3,1292.7,934.7,567.4,1669.1,1974.6,3443.1,3451.6,861.2,1081.6,1191.2,1546.9,1339.5,1419.5,9.0,-1.0,6.0,6449.0,9840.0,8480.0,7623.0,20.0,0.0,4.0,-1.0,1.0,6.0,3026.0,2524.0,11251.0,11239.0,9.0,0.0,3.0,1.0
2022-05-03 17:30:36.690613-07:00,2034.4,582.6,1392.1,1616.2,1239.1,1379.4,1373.0,1604.0,3443.1,3444.3,1987.5,1671.0,1713.8,3441.9,1174.4,1587.1,3433.4,3438.2,770.3,1292.7,939.0,573.0,1669.1,1974.6,3446.7,3446.7,861.2,1081.6,1196.5,1547.8,1339.5,1419.5,6.0,-3.0,7.0,6448.0,9841.0,8481.0,7622.0,6.0,2.0,-9.0,-4.0,-2.0,5.0,3026.0,2524.0,11251.0,11239.0,9.0,0.0,3.0,1.0
2022-05-03 17:30:36.779999-07:00,2039.4,580.2,1392.1,1616.2,1236.4,1381.2,1373.0,1604.0,3449.1,3441.9,1987.5,1671.0,1709.1,3443.1,1174.4,1587.1,3433.4,3438.2,768.7,1286.4,939.0,573.0,1669.1,1977.6,3446.7,3446.7,855.3,1076.4,1196.5,1547.8,1337.7,1420.4,10.0,-1.0,7.0,6445.0,9842.0,8483.0,7620.0,8.0,6.0,-6.0,0.0,-3.0,5.0,3026.0,2524.0,11253.0,11238.0,3.0,7.0,2.0,1.0
2022-05-03 17:30:36.839122-07:00,2039.4,580.2,1393.0,1610.5,1236.4,1381.2,1383.0,1605.8,3449.1,3441.9,1979.6,1664.4,1709.1,3443.1,1179.7,1588.0,3440.7,3440.7,768.7,1286.4,935.6,571.4,1669.1,1977.6,3445.5,3445.5,855.3,1076.4,1203.5,1543.1,1337.7,1420.4,6.0,-7.0,4.0,6445.0,9842.0,8484.0,7620.0,11.0,10.0,-8.0,-3.0,0.0,2.0,3026.0,2524.0,11253.0,11238.0,10.0,9.0,2.0,1.0
2022-05-03 17:30:36.840076-07:00,2043.4,582.6,1393.0,1610.5,1228.4,1378.5,1383.0,1605.8,3441.9,3446.7,1979.6,1664.4,1711.0,3447.9,1179.7,1588.0,3440.7,3440.7,772.8,1284.6,935.6,571.4,1675.7,1975.6,3445.5,3445.5,865.4,1072.9,1203.5,1543.1,1346.7,1417.6,4.0,-3.0,4.0,6445.0,9841.0,8484.0,7620.0,-21.0,-2.0,2.0,-7.0,-2.0,0.0,3026.0,2524.0,11252.0,11238.0,-14.0,-1.0,10.0,1.0
2022-05-03 17:30:36.929262-07:00,2043.4,582.6,1388.5,1619.9,1228.4,1382.1,1375.7,1612.4,3441.9,3446.7,1972.7,1668.2,1711.0,3446.7,1182.3,1597.4,3451.6,3444.3,771.1,1284.6,939.8,570.6,1675.7,1975.6,3450.4,3444.3,860.4,1072.9,1200.9,1543.1,1346.7,1417.6,7.0,-3.0,3.0,6449.0,9842.0,8480.0,7619.0,0.0,-12.0,6.0,-7.0,0.0,2.0,3026.0,2524.0,11251.0,11240.0,-1.0,-5.0,3.0,1.0
2022-05-03 17:30:36.959120-07:00,2030.4,582.6,1397.6,1619.9,1235.5,1382.1,1375.7,1612.4,3444.3,3440.7,1974.6,1668.2,1712.9,3446.7,1182.3,1597.4,3451.6,3444.3,771.1,1287.3,939.8,572.2,1674.8,1977.6,3450.4,3444.3,860.4,1079.0,1200.9,1547.8,1339.5,1423.1,5.0,-1.0,8.0,6452.0,9841.0,8478.0,7620.0,-17.0,-2.0,5.0,-3.0,-2.0,8.0,3026.0,2524.0,11251.0,11240.0,-8.0,0.0,5.0,1.0
2022-05-03 17:30:36.989187-07:00,2030.4,582.6,1397.6,1616.2,1235.5,1373.9,1368.5,1602.1,3444.3,3440.7,1974.6,1657.7,1712.9,3441.9,1173.5,1592.7,3443.1,3449.1,767.8,1287.3,935.6,572.2,1674.8,1977.6,3451.6,3444.3,858.7,1079.0,1198.2,1547.8,1339.5,1423.1,8.0,-5.0,11.0,6453.0,9841.0,8478.0,7621.0,5.0,-8.0,4.0,0.0,-1.0,7.0,3026.0,2524.0,11251.0,11240.0,1.0,1.0,3.0,1.0
2022-05-03 17:30:37.079900-07:00,2029.4,590.7,1387.5,1616.2,1231.0,1373.9,1368.5,1602.1,3445.5,3437.0,1976.6,1657.7,1711.0,3441.9,1173.5,1592.7,3443.1,3449.1,767.8,1286.4,935.6,570.6,1668.2,1971.7,3451.6,3444.3,858.7,1076.4,1198.2,1550.6,1338.6,1416.7,9.0,-1.0,7.0,6453.0,9841.0,8478.0,7621.0,4.0,1.0,0.0,-3.0,-1.0,7.0,3026.0,2524.0,11251.0,11240.0,8.0,10.0,3.0,1.0
2022-05-03 17:30:37.108945-07:00,2029.4,590.7,1387.5,1614.3,1231.0,1383.9,1378.5,1596.4,3445.5,3437.0,1976.6,1666.3,1711.0,3449.1,1174.4,1588.0,3441.9,3434.6,770.3,1286.4,940.7,570.6,1668.2,1971.7,3450.4,3443.1,861.2,1076.4,1195.6,1550.6,1338.6,1416.7,8.0,-7.0,7.0,6452.0,9842.0,8479.0,7620.0,-2.0,6.0,-6.0,-1.0,-2.0,3.0,3025.0,2524.0,11251.0,11239.0,-5.0,0.0,1.0,1.0
2022-05-03 17:30:37.139137-07:00,2031.4,581.0,1392.1,1614.3,1239.9,1383.9,1378.5,1596.4,3435.8,3438.2,1978.6,1666.3,1714.8,3449.1,1174.4,1588.0,3441.9,3434.6,770.3,1284.6,940.7,571.4,1668.2,1974.6,3450.4,3443.1,861.2,1077.3,1195.6,1550.6,1347.6,1426.8,8.0,-3.0,5.0,6451.0,9842.0,8479.0,7619.0,14.0,-3.0,-1.0,-5.0,-3.0,3.0,3025.0,2524.0,11251.0,11239.0,13.0,3.0,0.0,1.0
2022-05-03 17:30:37.289437-07:00,2031.4,581.0,1392.1,1620.9,1231.0,1373.9,1374.8,1604.0,3435.8,3438.2,1978.6,1664.4,1705.3,3454.0,1184.1,1592.7,3449.1,3428.6,770.3,1286.4,931.3,571.4,1668.2,1974.6,3445.5,3447.9,857.0,1075.6,1188.5,1550.6,1347.6,1426.8,5.0,-3.0,13.0,6448.0,9844.0,8482.0,7617.0,-3.0,1.0,-9.0,-3.0,-2.0,6.0,3024.0,2524.0,11254.0,11237.0,-6.0,6.0,0.0,1.0
2022-05-03 17:30:37.291071-07:00,2033.4,579.4,1399.4,1618.1,1231.0,1373.9,1374.8,1604.0,3443.1,3433.4,1979.6,1667.2,1705.3,3454.0,1184.1,1592.7,3449.1,3428.6,770.3,1286.4,936.4,569.8,1671.0,1971.7,3445.5,3447.9,857.0,1075.6,1195.6,1538.5,1335.9,1412.2,7.0,-2.0,4.0,6446.0,9845.0,8483.0,7616.0,21.0,0.0,-1.0,-6.0,0.0,3.0,3024.0,2525.0,11255.0,11235.0,15.0,10.0,2.0,1.0
2022-05-03 17:30:37.291960-07:00,2033.4,579.4,1399.4,1618.1,1229.3,1376.6,1373.0,1603.0,3443.1,3433.4,1979.6,1667.2,1711.0,3450.4,1170.9,1592.7,3443.1,3447.9,773.6,1285.5,936.4,569.8,1671.0,1971.7,3456.4,3450.4,855.3,1074.7,1195.6,1538.5,1335.9,1412.2,11.0,-7.0,6.0,6444.0,9846.0,8484.0,7615.0,-7.0,2.0,-3.0,-3.0,-1.0,6.0,3023.0,2525.0,11257.0,11234.0,-4.0,2.0,3.0,1.0
2022-05-03 17:30:37.379737-07:00,2031.4,582.6,1391.2,1610.5,1229.3,1376.6,1373.0,1603.0,3447.9,3454.0,1968.7,1661.5,1711.0,3450.4,1170.9,1592.7,3443.1,3447.9,773.6,1285.5,939.8,570.6,1669.1,1979.6,3456.4,3450.4,855.3,1074.7,1196.5,1548.7,1344.9,1424.1,5.0,0.0,4.0,6443.0,9847.0,8486.0,7613.0,12.0,-10.0,0.0,-5.0,3.0,5.0,3023.0,2525.0,11258.0,11233.0,3.0,-1.0,0.0,1.0
2022-05-03 17:30:37.409219-07:00,2031.4,582.6,1391.2,1610.5,1237.3,1374.8,1371.2,1599.3,3447.9,3454.0,1968.7,1661.5,1698.6,3447.9,1182.3,1595.5,3444.3,3434.6,771.1,1290.0,939.8,570.6,1669.1,1979.6,3449.1,3438.2,858.7,1073.8,1196.5,1548.7,1344.9,1424.1,7.0,-6.0,9.0,6444.0,9846.0,8485.0,7614.0,-7.0,-8.0,-1.0,-2.0,-3.0,8.0,3023.0,2525.0,11258.0,11233.0,0.0,3.0,5.0,1.0
2022-05-03 17:30:37.439046-07:00,2026.4,573.0,1397.6,1621.8,1237.3,1374.8,1371.2,1604.9,3443.1,3450.4,1969.7,1670.1,1698.6,3447.9,1182.3,1588.9,3438.2,3434.6,771.1,1290.0,939.0,569.0,1669.1,1973.7,3446.7,3438.2,858.7,1073.8,1193.8,1552.5,1339.5,1420.4,6.0,-1.0,7.0,6442.0,9848.0,8486.0,7611.0,8.0,6.0,-3.0,-5.0,1.0,7.0,3023.0,2525.0,11258.0,11233.0,3.0,2.0,3.0,1.0
2022-05-03 17:30:37.589860-07:00,2029.4,573.0,1397.6,1621.8,1229.3,1374.8,1371.2,1604.9,3449.1,3450.4,1969.7,1670.1,1706.2,3451.6,1177.0,1588.9,3438.2,3447.9,775.3,1287.3,939.0,569.0,1669.1,1974.6,3446.7,3447.9,857.9,1069.5,1193.8,1552.5,1339.5,1414.9,6.0,-5.0,8.0,6442.0,9848.0,8486.0,7611.0,-2.0,-6.0,-2.0,-5.0,-1.0,6.0,3023.0,2525.0,11258.0,11233.0,0.0,5.0,3.0,1.0
2022-05-03 17:30:37.649230-07:00,2029.4,581.0,1386.6,1612.4,1229.3,1374.8,1371.2,1612.4,3449.1,3443.1,1979.6,1667.2,1706.2,3451.6,1177.0,1588.9,3441.9,3447.9,775.3,1287.3,937.3,569.8,1670.1,1974.6,3447.9,3447.9,857.9,1069.5,1198.2,1542.2,1340.4,1414.9,5.0,-5.0,10.0,6442.0,9848.0,8486.0,7611.0,2.0,3.0,3.0,-7.0,-1.0,8.0,3023.0,2525.0,11258.0,11233.0,1.0,3.0,3.0,1.0
2022-05-03 17:30:37.650240-07:00,2025.4,581.0,1386.6,1612.4,1239.9,1384.8,1373.0,1612.4,3441.9,3443.1,1979.6,1667.2,1705.3,3441.9,1179.7,1588.9,3441.9,3435.8,766.2,1283.7,937.3,569.8,1670.1,1973.7,3447.9,3449.1,851.1,1073.8,1198.2,1542.2,1340.4,1419.5,10.0,-4.0,10.0,6443.0,9849.0,8485.0,7611.0,-6.0,4.0,-5.0,0.0,0.0,5.0,3023.0,2525.0,11258.0,11233.0,-4.0,1.0,4.0,1.0
2022-05-03 17:30:37.651129-07:00,2025.4,583.5,1386.6,1622.8,1239.9,1384.8,1373.0,1595.5,3441.9,3449.1,1971.7,1665.3,1705.3,3441.9,1179.7,1584.2,3431.0,3435.8,766.2,1283.7,944.1,576.2,1667.2,1973.7,3446.7,3449.1,851.1,1073.8,1196.5,1545.9,1346.7,1419.5,7.0,-3.0,6.0,6443.0,9848.0,8485.0,7611.0,2.0,-3.0,-1.0,-3.0,0.0,4.0,3023.0,2525.0,11258.0,11233.0,1.0,2.0,3.0,1.0
