Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 13:07:54.878144-07:00,2623.2,623.8,1519.9,1650.2,1299.8,1457.1,1401.2,1622.8,3441.9,3435.8,1959.8,1562.7,1574.9,3427.4,1367.6,1814.9,3439.5,3435.8,721.6,1408.5,916.9,563.4,1601.1,2270.3,3444.3,3444.3,829.4,1070.3,1517.1,1759.8,1563.7,1203.5,-2.0,-3.0,18.0,-7281.0,-10075.0,8252.0,6768.0,18.0,8.0,1.0,4.0,-1.0,-5.0,-6535.0,-6302.0,8386.0,10756.0,17.0,8.0,-3.0,1.0
2022-05-13 13:07:54.879820-07:00,2625.4,623.8,1519.9,1650.2,1308.8,1454.3,1398.5,1631.3,3445.5,3435.8,1959.8,1562.7,1579.6,3445.5,1367.6,1822.6,3441.9,3438.2,716.7,1407.6,916.9,563.4,1601.1,2266.2,3451.6,3447.9,835.2,1068.6,1517.1,1759.8,1563.7,1202.7,0.0,1.0,9.0,-7281.0,-10076.0,8252.0,6768.0,0.0,6.0,3.0,3.0,1.0,-8.0,-6534.0,-6303.0,8387.0,10755.0,-1.0,2.0,-3.0,1.0
2022-05-13 13:07:54.880442-07:00,2625.4,623.8,1519.9,1650.2,1308.8,1454.3,1398.5,1631.3,3445.5,3435.8,1959.8,1562.7,1579.6,3445.5,1367.6,1822.6,3441.9,3438.2,716.7,1407.6,916.9,563.4,1601.1,2266.2,3451.6,3447.9,835.2,1068.6,1517.1,1759.8,1563.7,1202.7,0.0,1.0,9.0,-7281.0,-10076.0,8252.0,6768.0,0.0,6.0,3.0,3.0,1.0,-8.0,-6534.0,-6303.0,8387.0,10755.0,-1.0,2.0,-3.0,1.0
2022-05-13 13:07:54.966639-07:00,2623.2,635.9,1525.5,1637.9,1302.5,1462.6,1405.8,1621.8,3438.2,3440.7,1960.8,1563.7,1576.8,3440.7,1360.3,1812.9,3435.8,3433.4,716.7,1407.6,918.6,557.0,1592.7,2270.3,3446.7,3444.3,845.3,1071.2,1523.6,1762.7,1559.9,1201.8,-2.0,0.0,17.0,-7285.0,-10074.0,8245.0,6775.0,0.0,1.0,-8.0,2.0,-3.0,-4.0,-6537.0,-6300.0,8383.0,10758.0,1.0,5.0,-5.0,1.0
2022-05-13 13:07:54.968286-07:00,2611.3,635.9,1525.5,1637.9,1307.0,1449.7,1395.7,1621.8,3445.5,3440.7,1960.8,1563.7,1578.6,3440.7,1367.6,1812.9,3435.8,3438.2,719.2,1405.8,918.6,557.0,1592.7,2262.1,3446.7,3449.1,832.7,1070.3,1523.6,1762.7,1559.9,1195.6,-4.0,0.0,12.0,-7287.0,-10076.0,8243.0,6772.0,19.0,10.0,6.0,0.0,-2.0,-5.0,-6537.0,-6302.0,8384.0,10757.0,18.0,6.0,0.0,1.0
2022-05-13 13:07:54.970309-07:00,2611.3,629.5,1527.3,1645.4,1307.0,1449.7,1395.7,1627.5,3445.5,3443.1,1958.8,1557.1,1578.6,3440.7,1367.6,1814.9,3434.6,3438.2,719.2,1405.8,915.2,555.4,1591.7,2262.1,3438.2,3449.1,832.7,1070.3,1521.8,1767.5,1560.9,1195.6,0.0,-1.0,9.0,-7293.0,-10079.0,8236.0,6769.0,3.0,10.0,-4.0,1.0,0.0,-8.0,-6538.0,-6300.0,8381.0,10759.0,4.0,3.0,0.0,1.0
2022-05-13 13:07:55.146697-07:00,2604.8,631.9,1521.8,1639.8,1302.5,1446.0,1394.8,1605.8,3446.7,3440.7,1951.9,1561.8,1578.6,3441.9,1368.5,1813.9,3437.0,3441.9,711.0,1414.9,911.8,557.0,1589.9,2267.2,3445.5,3449.1,833.6,1070.3,1519.9,1757.0,1559.9,1205.3,-3.0,0.0,11.0,-7293.0,-10080.0,8236.0,6768.0,0.0,-8.0,7.0,-1.0,0.0,-5.0,-6539.0,-6300.0,8380.0,10759.0,-4.0,-4.0,2.0,1.0
2022-05-13 13:07:55.148117-07:00,2604.8,631.9,1521.8,1639.8,1308.8,1447.9,1397.6,1613.4,3446.7,3440.7,1951.9,1561.8,1577.7,3441.9,1363.0,1816.8,3446.7,3445.5,719.2,1411.3,911.8,557.0,1589.9,2267.2,3449.1,3439.5,829.4,1071.2,1519.9,1757.0,1559.9,1205.3,2.0,2.0,13.0,-7293.0,-10079.0,8237.0,6769.0,-5.0,1.0,-2.0,2.0,1.0,-7.0,-6540.0,-6298.0,8378.0,10761.0,-11.0,-8.0,4.0,1.0
2022-05-13 13:07:55.149631-07:00,2604.8,633.5,1521.8,1649.2,1308.8,1447.9,1397.6,1616.2,3440.7,3441.9,1956.8,1563.7,1577.7,3441.9,1363.0,1809.0,3435.8,3445.5,719.2,1411.3,914.4,563.4,1590.8,2259.0,3446.7,3439.5,829.4,1071.2,1520.8,1762.7,1561.8,1194.7,0.0,0.0,19.0,-7292.0,-10080.0,8235.0,6770.0,-1.0,12.0,-10.0,1.0,0.0,-3.0,-6540.0,-6298.0,8378.0,10761.0,4.0,2.0,-6.0,1.0
2022-05-13 13:07:55.150743-07:00,2606.9,633.5,1521.8,1649.2,1302.5,1451.6,1400.3,1616.2,3440.7,3441.9,1956.8,1563.7,1573.9,3434.6,1360.3,1809.0,3435.8,3434.6,716.7,1396.7,914.4,563.4,1590.8,2251.7,3446.7,3439.5,834.4,1069.5,1520.8,1762.7,1561.8,1198.2,1.0,-5.0,13.0,-7291.0,-10084.0,8235.0,6766.0,19.0,13.0,8.0,0.0,-3.0,-5.0,-6537.0,-6300.0,8382.0,10759.0,11.0,3.0,1.0,1.0
2022-05-13 13:07:55.460458-07:00,2612.3,630.3,1527.3,1643.5,1307.0,1447.9,1393.0,1613.4,3441.9,3451.6,1958.8,1558.1,1577.7,3438.2,1364.8,1814.9,3433.4,3440.7,715.9,1404.9,911.0,558.6,1587.1,2253.8,3437.0,3444.3,836.9,1071.2,1518.0,1763.7,1565.5,1210.6,0.0,-2.0,15.0,-7288.0,-10089.0,8233.0,6764.0,1.0,1.0,-9.0,0.0,-1.0,-7.0,-6537.0,-6300.0,8382.0,10759.0,-7.0,-4.0,-4.0,1.0
2022-05-13 13:07:55.463728-07:00,2612.3,631.9,1526.4,1649.2,1307.0,1447.9,1393.0,1616.2,3441.9,3443.1,1957.8,1558.1,1577.7,3438.2,1364.8,1812.9,3433.4,3440.7,715.9,1404.9,908.4,561.8,1590.8,2253.8,3441.9,3444.3,836.9,1071.2,1505.1,1758.9,1558.1,1210.6,-1.0,0.0,14.0,-7288.0,-10089.0,8233.0,6764.0,6.0,-6.0,1.0,1.0,0.0,-4.0,-6539.0,-6299.0,8380.0,10760.0,1.0,0.0,1.0,1.0
2022-05-13 13:07:55.464850-07:00,2613.4,616.5,1526.4,1649.2,1298.1,1451.6,1397.6,1616.2,3435.8,3446.7,1957.8,1558.1,1590.8,3440.7,1360.3,1812.9,3433.4,3444.3,715.1,1412.2,908.4,561.8,1587.1,2255.9,3441.9,3447.9,831.1,1071.2,1505.1,1758.9,1558.1,1195.6,0.0,-1.0,18.0,-7288.0,-10089.0,8233.0,6764.0,-1.0,12.0,-7.0,3.0,-2.0,-3.0,-6539.0,-6299.0,8380.0,10760.0,2.0,4.0,-2.0,1.0
2022-05-13 13:07:55.465845-07:00,2613.4,616.5,1530.1,1653.0,1298.1,1451.6,1400.3,1613.4,3435.8,3446.7,1951.9,1568.3,1590.8,3440.7,1361.2,1808.1,3438.2,3443.1,715.1,1412.2,913.5,560.2,1587.1,2255.9,3443.1,3449.1,831.1,1071.2,1517.1,1757.0,1558.1,1195.6,-1.0,-1.0,10.0,-7288.0,-10092.0,8233.0,6760.0,19.0,5.0,4.0,-1.0,-1.0,-3.0,-6537.0,-6301.0,8383.0,10758.0,15.0,8.0,1.0,1.0
2022-05-13 13:07:55.550430-07:00,2615.6,627.0,1530.1,1653.0,1302.5,1447.9,1400.3,1613.4,3440.7,3443.1,1951.9,1568.3,1578.6,3441.9,1361.2,1808.1,3438.2,3443.1,717.5,1405.8,913.5,560.2,1588.0,2255.9,3443.1,3449.1,831.1,1069.5,1517.1,1757.0,1558.1,1205.3,-1.0,0.0,10.0,-7286.0,-10093.0,8234.0,6759.0,-9.0,6.0,0.0,1.0,0.0,-6.0,-6537.0,-6301.0,8383.0,10758.0,-12.0,-9.0,2.0,1.0
2022-05-13 13:07:55.595498-07:00,2615.6,627.0,1520.8,1642.6,1302.5,1447.9,1388.5,1614.3,3440.7,3443.1,1963.7,1566.5,1578.6,3441.9,1383.0,1814.9,3433.4,3439.5,717.5,1405.8,911.0,553.8,1588.0,2255.9,3446.7,3440.7,831.1,1069.5,1519.9,1757.0,1558.1,1205.3,0.0,3.0,18.0,-7285.0,-10092.0,8235.0,6760.0,-5.0,7.0,-2.0,2.0,0.0,-4.0,-6537.0,-6299.0,8382.0,10759.0,-3.0,-2.0,-2.0,1.0
