Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 13:07:54.886416-07:00,1323.2,793.5,1160.3,1038.3,997.0,830.2,1884.0,1440.5,3480.7,3472.2,1135.7,898.3,1567.4,3463.7,1515.3,1377.5,3473.4,3474.6,623.0,808.5,1127.9,1422.2,841.1,3222.3,3477.1,3475.9,714.2,966.2,1998.5,1190.3,1174.4,941.5,-6.0,-2.0,0.0,10873.0,-12112.0,1261.0,1391.0,-12.0,3.0,1.0,0.0,-3.0,11.0,8349.0,-13745.0,3056.0,-681.0,-31.0,11.0,7.0,1.0
2022-05-13 13:07:54.886978-07:00,1323.2,793.5,1160.3,1038.3,997.0,830.2,1884.0,1440.5,3480.7,3472.2,1135.7,898.3,1567.4,3463.7,1515.3,1377.5,3473.4,3474.6,623.0,808.5,1127.9,1422.2,841.1,3222.3,3477.1,3475.9,714.2,966.2,1998.5,1190.3,1174.4,941.5,-6.0,-2.0,0.0,10873.0,-12112.0,1261.0,1391.0,-12.0,3.0,1.0,0.0,-3.0,11.0,8349.0,-13745.0,3056.0,-681.0,-31.0,11.0,7.0,1.0
2022-05-13 13:07:54.929164-07:00,1322.3,800.2,1155.9,1047.8,1003.9,831.9,1895.8,1433.2,3472.2,3473.4,1141.0,898.3,1575.8,3488.0,1523.6,1373.9,3474.6,3477.1,627.0,807.7,1127.9,1421.3,848.6,3237.6,3469.8,3483.2,708.5,969.6,1999.5,1192.9,1179.7,946.6,-6.0,0.0,-1.0,10875.0,-12109.0,1257.0,1396.0,8.0,0.0,3.0,0.0,-4.0,14.0,8323.0,-13759.0,3064.0,-685.0,-1.0,5.0,2.0,1.0
2022-05-13 13:07:54.929993-07:00,1322.3,800.2,1155.9,1047.8,1003.9,831.9,1895.8,1433.2,3472.2,3473.4,1141.0,898.3,1575.8,3488.0,1523.6,1373.9,3474.6,3477.1,627.0,807.7,1127.9,1421.3,848.6,3237.6,3469.8,3483.2,708.5,969.6,1999.5,1192.9,1179.7,946.6,-6.0,0.0,-1.0,10875.0,-12109.0,1257.0,1396.0,8.0,0.0,3.0,0.0,-4.0,14.0,8323.0,-13759.0,3064.0,-685.0,-1.0,5.0,2.0,1.0
2022-05-13 13:07:54.931487-07:00,1325.0,790.2,1156.8,1042.6,995.3,831.9,1904.6,1433.2,3472.2,3468.6,1142.7,900.0,1567.4,3474.6,1510.6,1375.7,3477.1,3473.4,625.4,803.5,1132.2,1419.5,846.1,3225.8,3473.4,3478.3,712.6,967.9,2000.5,1188.5,1180.6,950.0,-5.0,-5.0,0.0,10875.0,-12109.0,1257.0,1396.0,5.0,-4.0,-5.0,0.0,-4.0,10.0,8320.0,-13761.0,3064.0,-685.0,4.0,-2.0,-3.0,1.0
2022-05-13 13:07:55.154590-07:00,1324.1,784.4,1155.9,1039.2,1003.0,826.9,1878.1,1437.8,3464.9,3472.2,1143.6,898.3,1572.1,3468.6,1509.7,1361.2,3475.9,3479.5,627.8,806.9,1134.9,1424.1,837.7,3203.5,3483.2,3480.7,715.9,966.2,1998.5,1187.6,1172.6,935.6,-5.0,-3.0,0.0,10876.0,-12109.0,1257.0,1396.0,-1.0,-1.0,-2.0,-2.0,-4.0,11.0,8314.0,-13764.0,3065.0,-683.0,-11.0,4.0,2.0,1.0
2022-05-13 13:07:55.156012-07:00,1324.1,784.4,1146.3,1028.8,1003.0,826.9,1882.0,1436.0,3464.9,3472.2,1141.0,899.1,1572.1,3468.6,1511.5,1369.4,3473.4,3471.0,627.8,806.9,1128.7,1422.2,837.7,3203.5,3474.6,3467.4,715.9,966.2,1974.6,1186.7,1172.6,935.6,-5.0,-3.0,-2.0,10876.0,-12109.0,1257.0,1396.0,-1.0,1.0,-1.0,-1.0,-4.0,15.0,8311.0,-13766.0,3065.0,-683.0,-5.0,-2.0,-1.0,1.0
2022-05-13 13:07:55.157210-07:00,1315.1,795.2,1146.3,1028.8,1000.5,822.7,1882.0,1436.0,3475.9,3474.6,1141.0,899.1,1567.4,3473.4,1511.5,1369.4,3473.4,3471.0,631.1,806.9,1128.7,1422.2,847.8,3227.0,3474.6,3467.4,712.6,964.5,1974.6,1186.7,1172.6,942.4,-5.0,-5.0,0.0,10876.0,-12109.0,1257.0,1396.0,1.0,6.0,2.0,-1.0,-4.0,13.0,8311.0,-13766.0,3065.0,-683.0,0.0,-1.0,2.0,1.0
2022-05-13 13:07:55.158195-07:00,1315.1,795.2,1152.4,1042.6,1000.5,822.7,1876.2,1442.4,3475.9,3474.6,1138.4,894.9,1567.4,3473.4,1509.7,1373.9,3473.4,3477.1,631.1,806.9,1130.5,1422.2,847.8,3227.0,3468.6,3467.4,712.6,964.5,1991.5,1189.4,1172.6,942.4,-4.0,-4.0,-2.0,10876.0,-12109.0,1257.0,1396.0,6.0,-5.0,-6.0,-1.0,-3.0,9.0,8311.0,-13766.0,3065.0,-683.0,-2.0,5.0,-2.0,1.0
2022-05-13 13:07:55.423963-07:00,1322.3,801.9,1150.6,1042.6,1004.8,829.4,1876.2,1442.4,3463.7,3468.6,1138.4,894.9,1571.1,3469.8,1509.7,1373.9,3473.4,3477.1,631.1,810.2,1130.5,1425.0,838.6,3222.3,3468.6,3467.4,698.7,970.5,1991.5,1188.5,1176.2,939.8,-3.0,-4.0,-2.0,10876.0,-12109.0,1257.0,1396.0,1.0,-1.0,3.0,-1.0,-5.0,11.0,8313.0,-13765.0,3064.0,-682.0,19.0,-15.0,-4.0,1.0
