Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 11:16:36.155887-07:00,2599.3,661.1,1301.6,1540.3,925.4,2167.7,1897.7,1870.3,3449.1,3446.7,1910.5,1802.3,1571.1,3450.4,1263.1,1834.3,3445.5,3446.7,981.6,2203.4,1404.9,718.4,2019.4,2272.4,3458.9,3451.6,1099.9,1256.9,1542.2,1697.6,1389.4,1205.3,4.0,0.0,-16.0,16345.0,-1024.0,464.0,42.0,2.0,1.0,0.0,-9.0,1.0,30.0,15863.0,-3860.0,1382.0,1.0,-6.0,0.0,0.0,1.0
2022-05-13 11:16:36.199627-07:00,2599.3,666.8,1297.2,1537.6,925.4,2167.7,1888.9,1875.2,3449.1,3450.4,1907.5,1805.2,1571.1,3450.4,1267.6,1830.4,3449.1,3449.1,981.6,2203.4,1412.2,718.4,2020.4,2272.4,3438.2,3454.0,1099.9,1256.9,1541.3,1697.6,1389.4,1205.3,5.0,0.0,-14.0,16345.0,-1024.0,464.0,42.0,-1.0,6.0,-1.0,-7.0,3.0,28.0,15863.0,-3860.0,1382.0,1.0,3.0,1.0,0.0,1.0
2022-05-13 11:16:36.243440-07:00,2592.9,647.3,1297.2,1537.6,920.3,2172.8,1888.9,1875.2,3447.9,3451.6,1907.5,1805.2,1570.2,3458.9,1267.6,1830.4,3449.1,3449.1,980.7,2195.2,1412.2,718.4,2019.4,2276.5,3438.2,3454.0,1098.2,1251.5,1541.3,1697.6,1387.5,1210.6,4.0,-1.0,-17.0,16345.0,-1024.0,464.0,42.0,4.0,2.0,-2.0,-8.0,4.0,29.0,15863.0,-3860.0,1382.0,1.0,1.0,5.0,1.0,1.0
2022-05-13 11:16:36.333559-07:00,2592.9,647.3,1296.3,1540.3,920.3,2172.8,1887.9,1868.4,3447.9,3451.6,1912.4,1811.0,1570.2,3458.9,1266.7,1842.0,3446.7,3447.9,980.7,2195.2,1405.8,719.2,2019.4,2276.5,3444.3,3451.6,1098.2,1251.5,1545.0,1694.8,1387.5,1210.6,6.0,-1.0,-11.0,16345.0,-1024.0,464.0,42.0,-3.0,-1.0,-1.0,-10.0,2.0,33.0,15863.0,-3860.0,1382.0,1.0,4.0,-6.0,0.0,1.0
2022-05-13 11:16:36.424642-07:00,2593.9,660.3,1296.3,1540.3,921.1,2176.9,1887.9,1868.4,3449.1,3450.4,1912.4,1811.0,1574.9,3446.7,1266.7,1842.0,3446.7,3447.9,982.5,2193.2,1405.8,719.2,2020.4,2275.5,3444.3,3451.6,1097.3,1244.4,1545.0,1694.8,1393.0,1200.0,5.0,0.0,-14.0,16345.0,-1024.0,464.0,42.0,2.0,0.0,2.0,-11.0,0.0,33.0,15863.0,-3860.0,1382.0,1.0,1.0,-1.0,-1.0,1.0
2022-05-13 11:16:36.426024-07:00,2593.9,660.3,1295.4,1535.7,921.1,2176.9,1887.9,1871.3,3449.1,3450.4,1911.5,1807.1,1574.9,3446.7,1267.6,1831.3,3439.5,3454.0,982.5,2193.2,1402.1,722.5,2020.4,2275.5,3454.0,3449.1,1097.3,1244.4,1543.1,1702.4,1393.0,1200.0,3.0,0.0,-17.0,16345.0,-1024.0,464.0,42.0,-1.0,1.0,0.0,-9.0,0.0,28.0,15863.0,-3861.0,1382.0,1.0,-10.0,-1.0,-2.0,1.0
2022-05-13 11:16:36.427875-07:00,2602.6,662.7,1295.4,1535.7,921.1,2165.6,1887.9,1871.3,3446.7,3458.9,1911.5,1807.1,1571.1,3455.2,1267.6,1831.3,3439.5,3454.0,975.6,2192.2,1402.1,722.5,2022.4,2283.8,3454.0,3449.1,1094.7,1256.9,1543.1,1702.4,1396.7,1208.9,6.0,-4.0,-15.0,16345.0,-1024.0,464.0,42.0,-1.0,-6.0,0.0,-8.0,4.0,33.0,15863.0,-3861.0,1382.0,1.0,5.0,-1.0,1.0,1.0
2022-05-13 11:16:36.515253-07:00,2602.6,662.7,1293.6,1538.5,921.1,2167.7,1893.8,1868.4,3446.7,3458.9,1907.5,1805.2,1571.1,3446.7,1264.9,1834.3,3449.1,3449.1,980.7,2192.2,1406.7,717.5,2022.4,2283.8,3450.4,3447.9,1099.9,1256.9,1533.8,1697.6,1396.7,1208.9,6.0,-2.0,-16.0,16345.0,-1024.0,464.0,42.0,-2.0,-4.0,1.0,-7.0,2.0,26.0,15863.0,-3861.0,1382.0,1.0,-2.0,0.0,-1.0,1.0
2022-05-13 11:16:36.559674-07:00,2597.2,652.2,1295.4,1538.5,907.6,2167.7,1893.8,1868.4,3449.1,3454.0,1916.4,1805.2,1571.1,3446.7,1264.9,1834.3,3449.1,3449.1,980.7,2198.3,1406.7,718.4,2023.4,2277.6,3450.4,3447.9,1099.9,1256.0,1533.8,1697.6,1388.5,1201.8,4.0,0.0,-12.0,16345.0,-1024.0,464.0,42.0,-1.0,-1.0,0.0,-7.0,0.0,30.0,15863.0,-3861.0,1381.0,1.0,-4.0,-11.0,-3.0,1.0
2022-05-13 11:16:36.650027-07:00,2597.2,652.2,1295.4,1542.2,907.6,2171.8,1895.8,1866.4,3449.1,3454.0,1916.4,1809.0,1571.1,3454.0,1267.6,1830.4,3439.5,3446.7,979.9,2198.3,1406.7,718.4,2023.4,2277.6,3457.6,3445.5,1095.6,1256.0,1544.1,1697.6,1388.5,1201.8,3.0,0.0,-18.0,16345.0,-1024.0,464.0,42.0,0.0,1.0,0.0,-6.0,0.0,29.0,15863.0,-3861.0,1381.0,1.0,0.0,1.0,1.0,1.0
