Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 11:45:41.795619-07:00,2034.4,665.2,1354.0,1593.6,1088.6,1591.7,1489.3,1766.6,3445.5,3449.1,1825.5,1519.0,1537.6,3439.5,1267.6,1725.3,3444.3,3443.1,722.5,1503.2,1007.3,637.6,1713.8,2023.4,3439.5,3443.1,772.0,1268.5,1473.6,1742.6,1407.6,1245.3,0.0,0.0,14.0,-780.0,-828.0,12758.0,10216.0,2.0,-23.0,31.0,-5.0,-5.0,-1.0,340.0,-748.0,11559.0,11583.0,-5.0,-3.0,11.0,1.0
2022-05-13 11:45:41.837965-07:00,2038.4,665.2,1354.0,1593.6,1098.2,1581.4,1484.7,1766.6,3449.1,3449.1,1825.5,1519.0,1543.1,3441.9,1262.2,1725.3,3444.3,3444.3,722.5,1493.0,1007.3,637.6,1713.8,2006.4,3439.5,3443.1,768.7,1256.9,1473.6,1742.6,1407.6,1247.1,-2.0,-4.0,11.0,-781.0,-811.0,12754.0,10223.0,-13.0,-23.0,37.0,-9.0,-7.0,-2.0,337.0,-745.0,11556.0,11585.0,-5.0,0.0,11.0,1.0
2022-05-13 11:45:41.927831-07:00,2038.4,653.0,1354.0,1587.1,1098.2,1581.4,1478.3,1763.7,3449.1,3446.7,1831.3,1517.1,1543.1,3441.9,1263.1,1727.2,3437.0,3433.4,722.5,1493.0,1002.2,641.6,1711.9,2006.4,3438.2,3437.0,768.7,1256.9,1440.5,1748.3,1397.6,1247.1,-6.0,14.0,10.0,-784.0,-812.0,12749.0,10229.0,-30.0,24.0,-39.0,-5.0,-3.0,5.0,337.0,-745.0,11552.0,11590.0,-15.0,-6.0,-3.0,1.0
2022-05-13 11:45:41.930444-07:00,2039.4,663.6,1354.0,1587.1,1098.2,1576.8,1478.3,1763.7,3450.4,3438.2,1831.3,1517.1,1533.8,3445.5,1263.1,1727.2,3437.0,3433.4,720.0,1495.8,1002.2,641.6,1714.8,2011.4,3438.2,3437.0,766.2,1259.6,1440.5,1748.3,1413.1,1245.3,-4.0,-12.0,16.0,-776.0,-837.0,12745.0,10232.0,23.0,28.0,-49.0,-3.0,-14.0,3.0,340.0,-748.0,11553.0,11588.0,17.0,7.0,-15.0,1.0
2022-05-13 11:45:42.048786-07:00,2039.4,663.6,1342.2,1596.4,1098.2,1576.8,1486.6,1760.8,3450.4,3438.2,1828.4,1517.1,1533.8,3445.5,1267.6,1732.0,3433.4,3439.5,720.0,1495.8,1008.2,636.7,1714.8,2011.4,3445.5,3441.9,766.2,1259.6,1455.2,1745.4,1413.1,1245.3,-5.0,-9.0,4.0,-774.0,-855.0,12750.0,10225.0,20.0,13.0,-20.0,-8.0,-8.0,2.0,338.0,-753.0,11561.0,11580.0,25.0,15.0,-3.0,1.0
2022-05-13 11:45:42.217535-07:00,2041.4,657.9,1342.2,1596.4,1098.2,1577.7,1486.6,1760.8,3438.2,3443.1,1828.4,1517.1,1541.3,3435.8,1267.6,1732.0,3433.4,3439.5,715.9,1494.9,1008.2,636.7,1712.9,2017.4,3445.5,3441.9,762.9,1260.4,1455.2,1745.4,1411.3,1253.3,-5.0,-4.0,4.0,-773.0,-855.0,12754.0,10219.0,12.0,0.0,20.0,-10.0,-6.0,-7.0,336.0,-755.0,11566.0,11575.0,5.0,1.0,4.0,1.0
2022-05-13 11:45:42.219426-07:00,2041.4,657.9,1350.3,1600.2,1098.2,1577.7,1478.3,1740.6,3438.2,3443.1,1827.5,1524.5,1541.3,3435.8,1259.6,1716.7,3429.8,3449.1,715.9,1494.9,1004.8,639.2,1712.9,2017.4,3439.5,3454.0,762.9,1260.4,1454.3,1744.5,1411.3,1253.3,-8.0,-2.0,5.0,-778.0,-846.0,12753.0,10222.0,-26.0,-21.0,20.0,-9.0,-7.0,-1.0,338.0,-752.0,11562.0,11580.0,-20.0,-11.0,7.0,1.0
2022-05-13 11:45:42.220803-07:00,2039.4,655.4,1358.5,1600.2,1092.9,1571.1,1478.3,1740.6,3441.9,3435.8,1824.6,1524.5,1541.3,3438.2,1259.6,1716.7,3429.8,3449.1,725.8,1500.4,1004.8,640.0,1710.0,2014.4,3439.5,3454.0,768.7,1259.6,1454.3,1757.9,1412.2,1248.0,-4.0,0.0,15.0,-770.0,-835.0,12750.0,10226.0,-4.0,-23.0,-4.0,-8.0,-8.0,0.0,342.0,-749.0,11558.0,11583.0,-4.0,-11.0,-1.0,1.0
2022-05-13 11:45:42.221785-07:00,2039.4,655.4,1358.5,1588.9,1092.9,1576.8,1487.5,1757.0,3441.9,3435.8,1824.6,1517.1,1541.3,3439.5,1256.9,1721.5,3444.3,3438.2,720.0,1500.4,1006.5,640.0,1710.0,2014.4,3449.1,3444.3,762.0,1259.6,1462.6,1757.9,1412.2,1248.0,-1.0,-11.0,19.0,-766.0,-832.0,12750.0,10227.0,-7.0,5.0,11.0,-6.0,-11.0,4.0,343.0,-747.0,11558.0,11583.0,-2.0,-4.0,6.0,1.0
2022-05-13 11:45:42.307888-07:00,2030.4,662.7,1348.5,1588.9,1094.7,1576.8,1487.5,1757.0,3449.1,3441.9,1834.3,1517.1,1535.7,3439.5,1256.9,1721.5,3444.3,3438.2,720.0,1482.9,1006.5,641.6,1710.0,2015.4,3449.1,3444.3,762.0,1256.9,1462.6,1742.6,1405.8,1243.5,0.0,11.0,11.0,-771.0,-827.0,12751.0,10226.0,12.0,9.0,2.0,-4.0,0.0,0.0,344.0,-747.0,11561.0,11581.0,16.0,5.0,-2.0,1.0
2022-05-13 11:45:42.308933-07:00,2030.4,662.7,1348.5,1589.9,1094.7,1571.1,1485.6,1758.9,3449.1,3441.9,1834.3,1524.5,1535.7,3438.2,1254.2,1722.4,3440.7,3439.5,718.4,1482.9,1005.6,641.6,1710.0,2015.4,3444.3,3439.5,762.9,1256.9,1460.8,1742.6,1405.8,1243.5,-6.0,-5.0,10.0,-768.0,-834.0,12752.0,10224.0,-2.0,18.0,-19.0,-6.0,-3.0,-3.0,345.0,-751.0,11564.0,11577.0,-4.0,9.0,-8.0,1.0
2022-05-13 11:45:42.334650-07:00,2042.4,666.0,1354.0,1589.9,1092.1,1571.1,1485.6,1758.9,3446.7,3439.5,1832.3,1524.5,1541.3,3438.2,1254.2,1722.4,3440.7,3439.5,718.4,1495.8,1005.6,637.6,1705.3,2017.4,3444.3,3439.5,762.9,1258.7,1460.8,1742.6,1410.3,1248.8,-8.0,-2.0,4.0,-773.0,-835.0,12754.0,10222.0,14.0,-12.0,29.0,-12.0,-8.0,-2.0,343.0,-751.0,11564.0,11577.0,1.0,2.0,10.0,1.0
2022-05-13 11:45:42.378461-07:00,2042.4,666.0,1354.0,1581.4,1092.1,1573.9,1471.8,1757.9,3446.7,3439.5,1832.3,1510.6,1541.3,3439.5,1254.2,1722.4,3434.6,3446.7,718.4,1495.8,1005.6,637.6,1705.3,2017.4,3446.7,3433.4,763.7,1258.7,1452.5,1742.6,1410.3,1248.8,-3.0,-3.0,9.0,-772.0,-825.0,12755.0,10221.0,-16.0,-13.0,3.0,-4.0,-5.0,-4.0,342.0,-750.0,11562.0,11579.0,-14.0,1.0,9.0,1.0
2022-05-13 11:45:42.468039-07:00,2036.4,657.0,1346.7,1589.9,1098.2,1573.9,1471.8,1757.9,3441.9,3441.9,1826.5,1519.9,1538.5,3439.5,1254.2,1722.4,3434.6,3446.7,718.4,1494.9,1005.6,637.6,1711.9,2006.4,3446.7,3433.4,763.7,1259.6,1463.5,1741.6,1404.0,1248.0,-2.0,0.0,13.0,-763.0,-818.0,12755.0,10223.0,-6.0,-19.0,-6.0,-4.0,-5.0,2.0,342.0,-750.0,11562.0,11579.0,-6.0,-1.0,2.0,1.0
2022-05-13 11:45:42.471750-07:00,2036.4,657.0,1346.7,1589.9,1092.1,1581.4,1479.2,1754.1,3441.9,3441.9,1826.5,1519.9,1538.5,3437.0,1258.7,1723.4,3441.9,3440.7,724.1,1492.1,1005.6,637.6,1711.9,2006.4,3449.1,3443.1,764.5,1260.4,1463.5,1741.6,1404.0,1248.0,-3.0,0.0,16.0,-761.0,-818.0,12754.0,10224.0,-5.0,21.0,-11.0,-8.0,-6.0,0.0,342.0,-751.0,11561.0,11580.0,-12.0,-6.0,3.0,1.0
2022-05-13 11:45:42.513416-07:00,2038.4,661.9,1340.4,1588.9,1092.1,1581.4,1479.2,1754.1,3440.7,3446.7,1825.5,1514.3,1538.5,3437.0,1258.7,1723.4,3441.9,3440.7,724.1,1492.1,1008.2,635.1,1698.6,2005.5,3449.1,3443.1,764.5,1260.4,1455.2,1733.0,1417.6,1247.1,-3.0,-9.0,12.0,-766.0,-827.0,12753.0,10224.0,-2.0,19.0,2.0,-4.0,-8.0,2.0,342.0,-751.0,11561.0,11580.0,8.0,-1.0,1.0,1.0
2022-05-13 11:45:42.558272-07:00,2038.4,661.9,1340.4,1588.9,1098.2,1573.9,1480.1,1750.2,3440.7,3446.7,1825.5,1514.3,1537.6,3438.2,1268.5,1722.4,3438.2,3434.6,717.5,1492.1,1008.2,635.1,1698.6,2005.5,3449.1,3449.1,750.5,1250.6,1455.2,1733.0,1417.6,1247.1,0.0,-3.0,9.0,-774.0,-829.0,12753.0,10223.0,-3.0,9.0,13.0,-7.0,-6.0,-1.0,342.0,-750.0,11563.0,11578.0,6.0,3.0,4.0,1.0
2022-05-13 11:45:42.605494-07:00,2046.4,652.2,1345.8,1588.9,1098.2,1573.9,1480.1,1750.2,3441.9,3438.2,1826.5,1516.2,1537.6,3438.2,1268.5,1722.4,3438.2,3434.6,717.5,1492.1,1005.6,636.7,1702.4,2011.4,3449.1,3449.1,750.5,1250.6,1455.2,1741.6,1408.5,1246.2,-6.0,0.0,8.0,-779.0,-825.0,12752.0,10224.0,-3.0,-10.0,10.0,-8.0,-3.0,-3.0,342.0,-750.0,11563.0,11578.0,-6.0,-2.0,3.0,1.0
2022-05-13 11:45:42.650506-07:00,2035.4,652.2,1345.8,1588.9,1092.1,1567.4,1472.7,1748.3,3449.1,3438.2,1826.5,1516.2,1537.6,3433.4,1251.5,1733.9,3446.7,3444.3,719.2,1494.0,1005.6,636.7,1702.4,2010.4,3439.5,3451.6,767.0,1249.7,1455.2,1741.6,1408.5,1241.7,-7.0,0.0,14.0,-775.0,-823.0,12751.0,10225.0,-11.0,-9.0,-21.0,-8.0,-9.0,5.0,342.0,-750.0,11562.0,11579.0,-8.0,-3.0,0.0,1.0
2022-05-13 11:45:42.739853-07:00,2035.4,658.7,1346.7,1588.9,1092.1,1567.4,1472.7,1746.4,3449.1,3445.5,1820.7,1526.4,1537.6,3433.4,1251.5,1725.3,3449.1,3444.3,719.2,1494.0,1001.3,640.8,1711.0,2010.4,3449.1,3451.6,767.0,1249.7,1465.4,1737.8,1401.2,1241.7,-9.0,-7.0,16.0,-769.0,-829.0,12753.0,10223.0,17.0,6.0,-14.0,-9.0,-8.0,4.0,342.0,-750.0,11562.0,11579.0,7.0,-5.0,-5.0,1.0
2022-05-13 11:45:42.783649-07:00,2037.4,658.7,1346.7,1588.9,1089.5,1559.9,1478.3,1746.4,3444.3,3445.5,1820.7,1526.4,1532.0,3440.7,1262.2,1725.3,3449.1,3439.5,718.4,1494.9,1001.3,640.8,1711.0,2007.4,3449.1,3449.1,772.8,1249.7,1465.4,1737.8,1401.2,1248.0,-3.0,-5.0,12.0,-768.0,-830.0,12755.0,10221.0,6.0,-6.0,-1.0,-7.0,-7.0,-5.0,341.0,-751.0,11565.0,11576.0,15.0,8.0,6.0,1.0
2022-05-13 11:45:42.828672-07:00,2037.4,660.3,1348.5,1597.4,1089.5,1559.9,1478.3,1739.7,3444.3,3443.1,1840.1,1518.0,1532.0,3440.7,1262.2,1717.7,3437.0,3439.5,718.4,1494.9,1008.2,640.8,1704.3,2007.4,3438.2,3449.1,772.8,1249.7,1454.3,1735.8,1407.6,1248.0,-5.0,-7.0,9.0,-768.0,-830.0,12756.0,10220.0,-8.0,-2.0,2.0,-7.0,-7.0,2.0,341.0,-751.0,11566.0,11575.0,-3.0,-7.0,0.0,1.0
2022-05-13 11:45:42.873864-07:00,2030.4,660.3,1348.5,1597.4,1092.1,1567.4,1475.5,1739.7,3445.5,3443.1,1840.1,1518.0,1519.9,3443.1,1264.9,1717.7,3437.0,3438.2,719.2,1495.8,1008.2,640.8,1704.3,2012.4,3438.2,3449.1,758.7,1248.8,1454.3,1735.8,1407.6,1246.2,-3.0,0.0,13.0,-769.0,-826.0,12756.0,10220.0,-2.0,-10.0,13.0,-8.0,-7.0,0.0,342.0,-751.0,11566.0,11575.0,-1.0,0.0,4.0,1.0
