Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 11:55:58.606608-07:00,2446.2,682.3,1499.5,1745.4,1180.6,1378.5,1441.5,1607.7,3447.9,3445.5,2092.6,1722.4,1580.5,3439.5,1329.6,1896.7,3431.0,3432.2,706.0,1369.4,932.2,618.9,1635.0,2455.7,3439.5,3445.5,779.4,1102.5,1768.5,1873.2,1491.2,1113.0,7.0,4.0,3.0,426.0,-225.0,11911.0,11239.0,14.0,10.0,-6.0,9.0,3.0,1.0,-105.0,-934.0,10466.0,12570.0,14.0,11.0,-3.0,1.0
2022-05-13 11:55:58.609025-07:00,2446.2,688.9,1495.8,1749.3,1180.6,1378.5,1433.2,1608.7,3447.9,3438.2,2083.6,1710.0,1580.5,3439.5,1337.7,1896.7,3443.1,3449.1,706.0,1369.4,948.3,614.1,1628.4,2455.7,3445.5,3443.1,779.4,1102.5,1761.8,1867.4,1498.6,1113.0,2.0,3.0,2.0,425.0,-231.0,11914.0,11236.0,9.0,14.0,-18.0,0.0,2.0,1.0,-109.0,-938.0,10469.0,12567.0,7.0,13.0,-12.0,1.0
2022-05-13 11:55:58.610085-07:00,2439.8,683.1,1495.8,1749.3,1185.9,1373.0,1433.2,1608.7,3437.0,3438.2,2083.6,1710.0,1582.4,3437.0,1337.7,1896.7,3443.1,3449.1,705.2,1373.9,948.3,614.1,1616.2,2455.7,3445.5,3443.1,774.5,1111.2,1761.8,1867.4,1488.4,1118.2,-3.0,-1.0,-2.0,424.0,-241.0,11917.0,11233.0,14.0,14.0,-13.0,-2.0,5.0,4.0,-109.0,-945.0,10470.0,12566.0,14.0,13.0,-8.0,1.0
2022-05-13 11:55:58.611570-07:00,2439.8,683.1,1490.3,1749.3,1185.9,1373.0,1431.4,1603.0,3437.0,3438.2,2080.6,1709.1,1582.4,3437.0,1331.4,1886.0,3438.2,3437.0,705.2,1373.9,944.9,607.6,1616.2,2455.7,3444.3,3449.1,774.5,1111.2,1761.8,1871.3,1488.4,1118.2,1.0,0.0,-5.0,425.0,-244.0,11919.0,11231.0,1.0,-2.0,0.0,1.0,3.0,0.0,-110.0,-947.0,10472.0,12565.0,-3.0,0.0,0.0,1.0
2022-05-13 11:55:58.876504-07:00,2440.9,684.0,1490.3,1749.3,1181.5,1372.1,1431.4,1603.0,3441.9,3444.3,2080.6,1709.1,1597.4,3449.1,1331.4,1886.0,3438.2,3437.0,708.5,1371.2,944.9,607.6,1627.5,2453.6,3444.3,3449.1,774.5,1109.5,1761.8,1871.3,1494.0,1111.2,6.0,0.0,2.0,425.0,-244.0,11918.0,11231.0,-2.0,0.0,2.0,2.0,5.0,-2.0,-110.0,-947.0,10472.0,12565.0,-1.0,1.0,5.0,1.0
2022-05-13 11:55:59.059278-07:00,2440.9,684.0,1499.5,1737.8,1181.5,1372.1,1431.4,1605.8,3441.9,3444.3,2082.6,1710.0,1597.4,3449.1,1346.7,1893.8,3438.2,3449.1,708.5,1371.2,953.4,615.7,1627.5,2453.6,3458.9,3443.1,774.5,1109.5,1762.7,1870.3,1494.0,1111.2,6.0,0.0,0.0,425.0,-244.0,11918.0,11231.0,-8.0,-6.0,-2.0,3.0,6.0,4.0,-110.0,-947.0,10471.0,12565.0,-6.0,0.0,1.0,1.0
2022-05-13 11:55:59.060984-07:00,2439.8,682.3,1492.1,1737.8,1185.9,1374.8,1431.4,1605.8,3435.8,3445.5,2078.5,1710.0,1588.0,3445.5,1346.7,1893.8,3438.2,3449.1,701.9,1366.6,953.4,617.3,1626.5,2449.4,3458.9,3443.1,775.3,1104.3,1762.7,1875.2,1493.0,1114.7,2.0,0.0,0.0,425.0,-244.0,11917.0,11233.0,-12.0,-7.0,6.0,7.0,4.0,3.0,-110.0,-946.0,10471.0,12566.0,-7.0,-11.0,2.0,1.0
2022-05-13 11:55:59.062090-07:00,2439.8,682.3,1492.1,1740.6,1185.9,1365.7,1439.6,1609.6,3435.8,3445.5,2078.5,1706.2,1588.0,3451.6,1335.9,1892.8,3444.3,3438.2,707.7,1366.6,945.8,617.3,1626.5,2449.4,3445.5,3443.1,772.8,1104.3,1764.6,1875.2,1493.0,1114.7,1.0,6.0,2.0,425.0,-244.0,11915.0,11236.0,1.0,-2.0,2.0,5.0,8.0,7.0,-109.0,-944.0,10470.0,12566.0,1.0,-1.0,1.0,1.0
2022-05-13 11:55:59.063119-07:00,2445.1,678.2,1493.0,1740.6,1186.7,1365.7,1439.6,1609.6,3443.1,3438.2,2077.5,1706.2,1587.1,3451.6,1335.9,1892.8,3444.3,3438.2,707.7,1373.0,945.8,616.5,1624.7,2448.3,3445.5,3443.1,772.8,1110.4,1764.6,1870.3,1487.5,1120.9,5.0,-2.0,2.0,425.0,-243.0,11916.0,11234.0,1.0,1.0,-2.0,5.0,7.0,4.0,-110.0,-944.0,10470.0,12566.0,-2.0,-3.0,-1.0,1.0
2022-05-13 11:55:59.194183-07:00,2445.1,678.2,1493.0,1738.7,1186.7,1372.1,1430.5,1596.4,3443.1,3438.2,2077.5,1711.0,1587.1,3444.3,1330.5,1896.7,3428.6,3434.6,706.9,1373.0,950.0,616.5,1624.7,2448.3,3445.5,3439.5,779.4,1110.4,1762.7,1870.3,1487.5,1120.9,1.0,-1.0,1.0,422.0,-251.0,11915.0,11235.0,-7.0,38.0,-22.0,5.0,2.0,11.0,-111.0,-944.0,10472.0,12564.0,4.0,8.0,-7.0,1.0
2022-05-13 11:55:59.195510-07:00,2436.7,679.1,1484.7,1744.5,1177.9,1381.2,1431.4,1606.8,3449.1,3444.3,2077.5,1709.1,1584.2,3439.5,1335.0,1891.8,3433.4,3441.9,706.0,1363.9,945.8,620.5,1627.5,2449.4,3449.1,3447.9,780.3,1097.3,1764.6,1873.2,1492.1,1111.2,4.0,2.0,0.0,424.0,-249.0,11916.0,11234.0,-3.0,-11.0,5.0,3.0,7.0,5.0,-110.0,-941.0,10472.0,12565.0,-5.0,-9.0,4.0,1.0
2022-05-13 11:55:59.196578-07:00,2436.7,679.1,1484.7,1744.5,1177.9,1373.9,1434.1,1604.9,3449.1,3444.3,2077.5,1709.1,1589.9,3450.4,1335.0,1888.9,3434.6,3434.6,703.6,1370.3,945.8,620.5,1627.5,2449.4,3439.5,3449.1,771.1,1104.3,1764.6,1873.2,1492.1,1111.2,4.0,6.0,6.0,428.0,-244.0,11915.0,11235.0,-7.0,-14.0,0.0,5.0,6.0,7.0,-110.0,-941.0,10472.0,12565.0,-4.0,-2.0,0.0,1.0
2022-05-13 11:55:59.284152-07:00,2444.1,695.4,1484.7,1741.6,1177.9,1373.9,1434.1,1604.9,3438.2,3444.3,2076.5,1711.0,1589.9,3450.4,1335.0,1888.9,3434.6,3434.6,703.6,1370.3,950.0,616.5,1626.5,2450.4,3439.5,3449.1,771.1,1104.3,1772.3,1882.0,1481.9,1124.4,2.0,2.0,4.0,427.0,-244.0,11917.0,11233.0,16.0,3.0,-4.0,2.0,8.0,5.0,-110.0,-940.0,10474.0,12563.0,10.0,3.0,-4.0,1.0
2022-05-13 11:55:59.285335-07:00,2444.1,695.4,1484.7,1741.6,1178.8,1371.2,1430.5,1601.1,3446.7,3444.3,2076.5,1711.0,1585.2,3441.9,1333.2,1889.9,3449.1,3449.1,707.7,1367.6,950.0,616.5,1626.5,2449.4,3443.1,3441.9,780.3,1107.8,1772.3,1882.0,1481.9,1117.4,3.0,-1.0,0.0,425.0,-246.0,11917.0,11233.0,-7.0,2.0,6.0,2.0,7.0,2.0,-110.0,-940.0,10475.0,12563.0,7.0,5.0,0.0,1.0
2022-05-13 11:55:59.371723-07:00,2444.1,682.3,1491.2,1749.3,1178.8,1371.2,1430.5,1606.8,3446.7,3449.1,2083.6,1716.7,1585.2,3441.9,1333.2,1887.9,3435.8,3449.1,707.7,1367.6,945.8,618.1,1631.3,2449.4,3441.9,3441.9,780.3,1107.8,1767.5,1869.3,1494.9,1117.4,1.0,0.0,-1.0,425.0,-246.0,11919.0,11230.0,4.0,9.0,-6.0,3.0,3.0,4.0,-110.0,-940.0,10476.0,12562.0,2.0,2.0,-3.0,1.0
2022-05-13 11:55:59.374257-07:00,2433.5,682.3,1491.2,1749.3,1189.4,1374.8,1437.8,1606.8,3451.6,3449.1,2083.6,1716.7,1582.4,3449.1,1332.3,1887.9,3435.8,3444.3,711.8,1368.5,945.8,618.1,1631.3,2449.4,3441.9,3451.6,772.8,1099.9,1767.5,1869.3,1494.9,1119.1,3.0,0.0,0.0,425.0,-246.0,11917.0,11233.0,-7.0,-3.0,4.0,2.0,4.0,4.0,-111.0,-940.0,10475.0,12563.0,-2.0,-5.0,1.0,1.0
2022-05-13 11:55:59.600686-07:00,2433.5,682.3,1493.0,1736.8,1189.4,1374.8,1437.8,1602.1,3451.6,3445.5,2078.5,1706.2,1582.4,3449.1,1332.3,1887.9,3438.2,3444.3,711.8,1368.5,947.5,610.8,1628.4,2449.4,3435.8,3451.6,772.8,1099.9,1762.7,1862.5,1492.1,1119.1,1.0,3.0,2.0,426.0,-246.0,11917.0,11233.0,-6.0,-10.0,-4.0,4.0,3.0,7.0,-111.0,-940.0,10475.0,12563.0,-7.0,-1.0,-3.0,1.0
2022-05-13 11:55:59.602349-07:00,2440.9,682.3,1493.0,1736.8,1179.7,1377.5,1434.1,1602.1,3440.7,3445.5,2078.5,1706.2,1586.1,3441.9,1335.0,1887.9,3438.2,3435.8,705.2,1368.5,947.5,610.8,1628.4,2446.2,3435.8,3438.2,779.4,1101.7,1762.7,1862.5,1492.1,1113.0,2.0,3.0,3.0,426.0,-246.0,11917.0,11233.0,9.0,-3.0,6.0,2.0,5.0,5.0,-111.0,-940.0,10475.0,12563.0,8.0,-1.0,0.0,1.0
2022-05-13 11:55:59.603393-07:00,2440.9,682.3,1488.4,1747.3,1179.7,1377.5,1436.0,1612.4,3440.7,3438.2,2078.5,1708.1,1586.1,3441.9,1332.3,1890.9,3433.4,3449.1,705.2,1368.5,944.1,619.7,1625.6,2446.2,3449.1,3447.9,779.4,1101.7,1766.6,1873.2,1484.7,1113.0,2.0,0.0,0.0,426.0,-246.0,11919.0,11231.0,-2.0,3.0,-3.0,3.0,4.0,3.0,-110.0,-940.0,10475.0,12562.0,2.0,3.0,0.0,1.0
