Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 11:58:27.068403-07:00,2208.6,640.8,1416.7,1639.8,1156.8,1290.9,1332.3,1514.3,3435.8,3434.6,1902.6,1611.5,1707.2,3438.2,1204.4,1740.6,3440.7,3435.8,727.4,1367.6,938.1,611.7,1588.9,2105.8,3445.5,3444.3,791.0,1047.0,1489.3,1829.4,1458.0,1177.9,-5.0,7.0,-5.0,-331.0,-307.0,13856.0,8732.0,15.0,10.0,8.0,3.0,6.0,0.0,-327.0,-1948.0,12151.0,10812.0,16.0,6.0,1.0,1.0
2022-05-13 11:58:27.113139-07:00,2208.6,640.8,1416.7,1639.8,1156.8,1301.6,1320.5,1516.2,3435.8,3434.6,1902.6,1617.1,1707.2,3433.4,1206.2,1743.5,3439.5,3427.4,725.8,1367.6,939.8,611.7,1588.9,2105.8,3443.1,3449.1,786.9,1047.0,1489.3,1829.4,1458.0,1177.9,-2.0,6.0,-1.0,-331.0,-307.0,13857.0,8730.0,-16.0,-3.0,-3.0,5.0,5.0,4.0,-327.0,-1948.0,12151.0,10812.0,-14.0,-1.0,0.0,1.0
2022-05-13 11:58:27.157752-07:00,2207.5,634.3,1422.2,1637.9,1149.8,1301.6,1320.5,1516.2,3435.8,3439.5,1909.5,1620.9,1704.3,3433.4,1206.2,1743.5,3439.5,3427.4,725.8,1365.7,944.1,610.8,1588.0,2113.9,3443.1,3449.1,786.9,1041.8,1486.6,1833.3,1462.6,1182.3,-5.0,7.0,5.0,-331.0,-307.0,13856.0,8732.0,8.0,-4.0,6.0,4.0,3.0,7.0,-327.0,-1948.0,12151.0,10812.0,4.0,-5.0,-1.0,1.0
2022-05-13 11:58:27.203215-07:00,2207.5,634.3,1422.2,1637.9,1158.6,1291.8,1328.7,1519.0,3435.8,3439.5,1909.5,1620.9,1703.3,3444.3,1217.7,1741.6,3440.7,3434.6,721.6,1366.6,944.1,610.8,1588.0,2113.9,3444.3,3446.7,786.9,1044.4,1486.6,1833.3,1462.6,1182.3,-6.0,13.0,3.0,-333.0,-304.0,13856.0,8732.0,-5.0,3.0,7.0,4.0,5.0,5.0,-327.0,-1948.0,12151.0,10812.0,-3.0,-2.0,-2.0,1.0
2022-05-13 11:58:27.247920-07:00,2213.7,640.8,1411.3,1632.2,1158.6,1291.8,1328.7,1519.0,3449.1,3439.5,1907.5,1618.1,1703.3,3444.3,1217.7,1741.6,3440.7,3434.6,721.6,1366.6,939.0,607.6,1588.9,2106.8,3444.3,3446.7,786.9,1044.4,1481.0,1838.2,1467.2,1180.6,-3.0,8.0,0.0,-333.0,-304.0,13856.0,8732.0,0.0,-5.0,-2.0,5.0,5.0,2.0,-327.0,-1948.0,12151.0,10812.0,3.0,-2.0,-5.0,1.0
2022-05-13 11:58:27.291627-07:00,2213.7,640.8,1411.3,1632.2,1145.4,1299.8,1329.6,1518.0,3449.1,3439.5,1907.5,1618.1,1703.3,3440.7,1209.7,1742.6,3435.8,3449.1,727.4,1364.8,939.0,607.6,1588.9,2106.8,3439.5,3443.1,779.4,1044.4,1481.0,1838.2,1467.2,1180.6,-8.0,8.0,0.0,-333.0,-303.0,13856.0,8732.0,7.0,-11.0,7.0,0.0,4.0,7.0,-327.0,-1948.0,12151.0,10812.0,4.0,-7.0,1.0,1.0
2022-05-13 11:58:27.338294-07:00,2207.5,633.5,1419.5,1636.9,1145.4,1299.8,1329.6,1518.0,3435.8,3452.8,1906.6,1614.3,1703.3,3440.7,1209.7,1742.6,3435.8,3449.1,727.4,1364.8,939.8,612.5,1600.2,2114.9,3439.5,3443.1,779.4,1044.4,1493.0,1826.5,1464.4,1177.0,-5.0,8.0,1.0,-331.0,-302.0,13856.0,8732.0,-6.0,-2.0,5.0,4.0,6.0,7.0,-327.0,-1948.0,12151.0,10812.0,-2.0,-8.0,0.0,1.0
2022-05-13 11:58:27.383725-07:00,2222.9,633.5,1419.5,1636.9,1163.0,1295.4,1316.9,1513.4,3438.2,3452.8,1906.6,1614.3,1691.9,3444.3,1209.7,1746.4,3435.8,3434.6,725.8,1369.4,939.8,612.5,1600.2,2111.8,3435.8,3449.1,788.6,1043.5,1493.0,1826.5,1464.4,1173.5,-4.0,12.0,4.0,-327.0,-300.0,13856.0,8732.0,5.0,-11.0,-1.0,5.0,7.0,5.0,-327.0,-1948.0,12151.0,10812.0,-4.0,-7.0,-2.0,1.0
2022-05-13 11:58:27.518228-07:00,2222.9,631.1,1412.2,1632.2,1163.0,1295.4,1316.9,1512.5,3438.2,3446.7,1899.7,1615.2,1691.9,3444.3,1209.7,1737.8,3439.5,3434.6,725.8,1369.4,941.5,608.4,1590.8,2111.8,3437.0,3449.1,788.6,1043.5,1494.0,1834.3,1470.0,1173.5,-3.0,9.0,6.0,-326.0,-299.0,13856.0,8732.0,-2.0,0.0,-1.0,7.0,6.0,9.0,-327.0,-1948.0,12151.0,10812.0,2.0,-2.0,-4.0,1.0
2022-05-13 11:58:27.654304-07:00,2211.6,631.1,1412.2,1632.2,1157.7,1290.0,1322.3,1512.5,3435.8,3446.7,1899.7,1615.2,1703.3,3434.6,1208.9,1737.8,3439.5,3437.0,722.5,1371.2,941.5,608.4,1590.8,2108.8,3437.0,3428.6,785.2,1039.2,1494.0,1834.3,1470.0,1178.8,-5.0,8.0,1.0,-325.0,-299.0,13858.0,8729.0,11.0,3.0,3.0,2.0,6.0,5.0,-327.0,-1948.0,12151.0,10812.0,4.0,2.0,-5.0,1.0
2022-05-13 11:58:27.699449-07:00,2211.6,627.0,1414.9,1632.2,1157.7,1290.0,1322.3,1518.0,3435.8,3441.9,1899.7,1617.1,1703.3,3434.6,1208.9,1739.7,3433.4,3437.0,722.5,1371.2,942.4,613.3,1589.9,2108.8,3440.7,3428.6,785.2,1039.2,1462.6,1849.8,1470.9,1178.8,-4.0,10.0,0.0,-325.0,-299.0,13858.0,8729.0,6.0,-7.0,-1.0,4.0,6.0,4.0,-327.0,-1948.0,12151.0,10812.0,1.0,0.0,-5.0,1.0
2022-05-13 11:58:27.744490-07:00,2219.8,627.0,1414.9,1632.2,1155.0,1289.1,1317.8,1518.0,3445.5,3441.9,1899.7,1617.1,1708.1,3444.3,1210.6,1739.7,3433.4,3441.9,724.9,1361.2,942.4,613.3,1589.9,2106.8,3440.7,3450.4,788.6,1054.8,1462.6,1849.8,1470.9,1173.5,-6.0,7.0,8.0,-325.0,-299.0,13858.0,8729.0,-1.0,4.0,0.0,3.0,4.0,7.0,-327.0,-1948.0,12151.0,10812.0,1.0,4.0,-5.0,1.0
2022-05-13 11:58:27.789705-07:00,2219.8,630.3,1413.1,1643.5,1155.0,1289.1,1317.8,1508.8,3445.5,3434.6,1901.6,1607.7,1708.1,3444.3,1210.6,1739.7,3435.8,3441.9,724.9,1361.2,937.3,612.5,1590.8,2106.8,3438.2,3450.4,788.6,1054.8,1491.2,1837.2,1471.8,1173.5,-7.0,9.0,2.0,-331.0,-302.0,13861.0,8724.0,19.0,12.0,8.0,4.0,5.0,5.0,-327.0,-1949.0,12153.0,10809.0,18.0,9.0,3.0,1.0
2022-05-13 11:58:27.879004-07:00,2208.6,627.0,1413.1,1643.5,1161.2,1290.9,1326.8,1508.8,3440.7,3444.3,1901.6,1607.7,1704.3,3443.1,1211.5,1739.7,3435.8,3439.5,718.4,1364.8,937.3,612.5,1586.1,2110.8,3438.2,3444.3,791.9,1041.8,1491.2,1837.2,1459.8,1177.9,-4.0,6.0,-2.0,-331.0,-302.0,13861.0,8724.0,-11.0,-5.0,-1.0,4.0,5.0,1.0,-328.0,-1949.0,12154.0,10808.0,-6.0,-1.0,-1.0,1.0
2022-05-13 11:58:27.880296-07:00,2208.6,627.0,1418.6,1638.8,1161.2,1290.9,1316.0,1509.7,3440.7,3444.3,1903.6,1619.0,1704.3,3443.1,1206.2,1736.8,3439.5,3438.2,718.4,1364.8,939.8,609.2,1586.1,2110.8,3438.2,3449.1,791.9,1041.8,1486.6,1827.5,1459.8,1177.9,-3.0,7.0,1.0,-326.0,-298.0,13859.0,8727.0,-11.0,-18.0,10.0,9.0,3.0,2.0,-328.0,-1949.0,12152.0,10810.0,-6.0,-9.0,-1.0,1.0
2022-05-13 11:58:27.881688-07:00,2218.8,640.0,1418.6,1638.8,1148.0,1297.2,1316.0,1509.7,3423.7,3437.0,1903.6,1619.0,1708.1,3428.6,1206.2,1736.8,3439.5,3438.2,724.9,1373.9,939.8,609.2,1585.2,2104.8,3438.2,3449.1,790.2,1046.1,1486.6,1827.5,1460.8,1180.6,-3.0,9.0,6.0,-325.0,-295.0,13858.0,8729.0,-2.0,-4.0,2.0,6.0,3.0,8.0,-327.0,-1948.0,12152.0,10811.0,-6.0,-4.0,-1.0,1.0
