Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 11:58:27.076066-07:00,1264.9,745.5,1133.1,1059.1,993.6,832.7,1624.7,1224.8,3472.2,3468.6,1137.5,898.3,1500.4,3463.7,1428.6,1373.0,3473.4,3472.2,393.4,648.9,967.1,1239.1,664.4,2205.5,3473.4,3469.8,687.2,984.2,1888.9,1134.0,1020.2,1008.2,13.0,0.0,4.0,8963.0,-9258.0,8375.0,-5680.0,9.0,12.0,3.0,6.0,6.0,-2.0,6363.0,-11122.0,9230.0,-4365.0,-3.0,8.0,1.0,1.0
2022-05-13 11:58:27.120514-07:00,1264.9,745.5,1133.1,1059.1,997.0,837.7,1621.8,1228.4,3472.2,3468.6,1137.5,898.3,1493.0,3462.5,1429.5,1376.6,3469.8,3469.8,394.2,646.5,967.1,1239.1,664.4,2205.5,3471.0,3477.1,688.0,979.9,1888.9,1134.0,1020.2,1008.2,14.0,0.0,7.0,8960.0,-9259.0,8375.0,-5682.0,-11.0,-4.0,6.0,9.0,4.0,-7.0,6362.0,-11123.0,9231.0,-4364.0,-9.0,10.0,4.0,1.0
2022-05-13 11:58:27.165645-07:00,1256.0,735.6,1128.7,1059.1,997.0,837.7,1621.8,1238.2,3480.7,3464.9,1135.7,899.1,1493.0,3462.5,1429.5,1386.6,3474.6,3469.8,394.2,646.5,963.7,1237.3,666.8,2200.4,3477.1,3477.1,688.0,979.9,1886.0,1132.2,1021.1,1008.2,9.0,-3.0,3.0,8958.0,-9259.0,8375.0,-5685.0,16.0,2.0,-4.0,6.0,1.0,-3.0,6361.0,-11122.0,9231.0,-4364.0,6.0,5.0,-1.0,1.0
2022-05-13 11:58:27.210177-07:00,1260.4,735.6,1128.7,1059.1,994.5,832.7,1606.8,1238.2,3467.4,3464.9,1135.7,899.1,1488.4,3462.5,1426.8,1386.6,3474.6,3477.1,387.9,653.8,963.7,1237.3,666.8,2209.6,3477.1,3469.8,687.2,978.2,1886.0,1132.2,1021.1,1010.8,14.0,0.0,3.0,8959.0,-9260.0,8372.0,-5686.0,-14.0,-14.0,5.0,8.0,6.0,-5.0,6363.0,-11123.0,9230.0,-4363.0,14.0,-17.0,-7.0,1.0
2022-05-13 11:58:27.255083-07:00,1260.4,730.7,1139.2,1048.7,994.5,832.7,1606.8,1227.5,3467.4,3469.8,1140.1,899.1,1488.4,3462.5,1426.8,1377.5,3457.6,3477.1,387.9,653.8,966.2,1239.9,657.9,2209.6,3467.4,3469.8,687.2,978.2,1891.8,1141.9,1019.4,1010.8,9.0,-1.0,15.0,8960.0,-9261.0,8368.0,-5688.0,13.0,-2.0,0.0,6.0,4.0,-5.0,6373.0,-11121.0,9225.0,-4363.0,16.0,-7.0,-1.0,1.0
2022-05-13 11:58:27.301120-07:00,1261.3,730.7,1139.2,1048.7,994.5,832.7,1627.5,1227.5,3474.6,3469.8,1140.1,899.1,1488.4,3466.1,1425.9,1377.5,3457.6,3467.4,393.4,653.8,966.2,1239.9,657.9,2201.4,3467.4,3483.2,686.4,977.3,1891.8,1141.9,1019.4,1009.0,12.0,1.0,8.0,8962.0,-9260.0,8365.0,-5692.0,0.0,4.0,7.0,7.0,4.0,-5.0,6374.0,-11120.0,9225.0,-4365.0,-4.0,10.0,6.0,1.0
2022-05-13 11:58:27.345639-07:00,1261.3,742.2,1132.2,1057.3,994.5,832.7,1627.5,1231.9,3474.6,3478.3,1131.4,894.1,1488.4,3466.1,1425.9,1373.9,3472.2,3467.4,393.4,653.8,960.2,1232.8,662.7,2201.4,3474.6,3483.2,686.4,977.3,1880.1,1136.6,1016.8,1009.0,10.0,0.0,4.0,8959.0,-9259.0,8366.0,-5697.0,-8.0,11.0,5.0,5.0,2.0,-6.0,6373.0,-11120.0,9225.0,-4365.0,-10.0,7.0,7.0,1.0
2022-05-13 11:58:27.435672-07:00,1264.0,742.2,1132.2,1057.3,996.2,847.0,1620.9,1231.9,3475.9,3478.3,1131.4,894.1,1494.0,3463.7,1420.4,1373.9,3472.2,3469.8,389.5,643.2,960.2,1232.8,662.7,2200.4,3474.6,3469.8,688.0,971.3,1880.1,1136.6,1016.8,1010.8,9.0,0.0,1.0,8959.0,-9259.0,8365.0,-5699.0,2.0,-3.0,5.0,10.0,5.0,-3.0,6373.0,-11120.0,9225.0,-4365.0,14.0,-6.0,-2.0,1.0
2022-05-13 11:58:27.480170-07:00,1264.0,725.8,1130.5,1053.9,996.2,847.0,1624.7,1226.6,3475.9,3466.1,1140.1,898.3,1494.0,3463.7,1428.6,1377.5,3475.9,3469.8,389.5,643.2,963.7,1240.8,670.1,2200.4,3480.7,3480.7,688.0,971.3,1888.9,1134.0,1023.7,1010.8,10.0,1.0,6.0,8959.0,-9259.0,8364.0,-5701.0,3.0,4.0,4.0,7.0,6.0,-3.0,6379.0,-11117.0,9223.0,-4369.0,16.0,-7.0,-1.0,1.0
2022-05-13 11:58:27.525044-07:00,1273.0,732.3,1130.5,1053.9,995.3,846.1,1624.7,1226.6,3472.2,3471.0,1140.1,898.3,1486.6,3469.8,1428.6,1377.5,3475.9,3469.8,390.3,645.7,963.7,1240.8,661.9,2193.2,3480.7,3480.7,691.3,973.1,1888.9,1134.0,1020.2,1015.1,10.0,-5.0,9.0,8959.0,-9259.0,8362.0,-5702.0,-2.0,-2.0,0.0,7.0,4.0,-6.0,6380.0,-11116.0,9222.0,-4371.0,-1.0,0.0,2.0,1.0
