Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:02:24.277978-07:00,2040.4,604.4,1604.9,1539.4,1284.6,1472.7,1545.9,1895.8,3449.1,3435.8,2034.4,1603.0,1679.5,3440.7,1313.3,1649.2,3441.9,3443.1,697.9,1355.8,929.6,598.7,1445.1,2093.7,3445.5,3446.7,1014.2,1106.0,1435.0,1609.6,1321.4,1165.6,34.0,-1.0,36.0,-4008.0,-3508.0,11632.0,10236.0,92.0,-168.0,-122.0,41.0,-9.0,-10.0,-479.0,-1770.0,10116.0,12757.0,-90.0,-55.0,-18.0,1.0
2022-05-13 12:02:24.288540-07:00,2040.4,604.4,1604.9,1536.6,1284.6,1465.4,1544.1,1902.6,3449.1,3435.8,2034.4,1603.0,1679.5,3431.0,1317.8,1641.6,3440.7,3433.4,702.8,1355.8,933.0,598.7,1445.1,2093.7,3444.3,3444.3,1018.5,1106.0,1427.7,1609.6,1321.4,1165.6,12.0,49.0,30.0,-3852.0,-3592.0,11759.0,10121.0,677.0,-144.0,-337.0,4.0,5.0,11.0,-472.0,-1785.0,10126.0,12747.0,127.0,73.0,-67.0,1.0
2022-05-13 12:02:24.333044-07:00,2049.4,600.4,1604.9,1536.6,1282.8,1465.4,1544.1,1902.6,3443.1,3438.2,2031.4,1603.0,1685.3,3431.0,1317.8,1641.6,3440.7,3433.4,702.8,1354.9,933.0,599.6,1447.0,2092.6,3444.3,3444.3,1018.5,1107.8,1427.7,1596.4,1330.5,1164.7,3.0,-12.0,-32.0,-3715.0,-3739.0,11825.0,10040.0,93.0,76.0,-296.0,-31.0,31.0,-29.0,-472.0,-1835.0,10146.0,12724.0,-3.0,76.0,-44.0,1.0
2022-05-13 12:02:24.377860-07:00,2049.4,600.4,1604.9,1542.2,1293.6,1478.3,1530.1,1864.5,3443.1,3438.2,2031.4,1598.3,1691.9,3445.5,1298.1,1650.2,3445.5,3440.7,697.0,1359.4,933.9,599.6,1447.0,2092.6,3449.1,3447.9,1014.2,1106.0,1433.2,1596.4,1330.5,1164.7,-37.0,-21.0,-39.0,-3722.0,-3823.0,11782.0,10058.0,-83.0,89.0,-79.0,-4.0,1.0,12.0,-479.0,-1843.0,10130.0,12735.0,-15.0,3.0,19.0,1.0
2022-05-13 12:02:24.422948-07:00,2043.4,585.9,1608.7,1533.8,1293.6,1478.3,1530.1,1864.5,3440.7,3438.2,2014.4,1589.9,1691.9,3445.5,1298.1,1650.2,3445.5,3440.7,697.0,1359.4,925.4,594.7,1457.1,2080.6,3449.1,3447.9,1014.2,1106.0,1426.8,1587.1,1312.4,1170.0,84.0,49.0,-2.0,-3681.0,-3832.0,11795.0,10054.0,198.0,-73.0,-129.0,6.0,36.0,-45.0,-486.0,-1832.0,10130.0,12737.0,-62.0,-54.0,21.0,1.0
2022-05-13 12:02:24.467691-07:00,2043.4,585.9,1608.7,1533.8,1286.4,1486.6,1521.8,1857.6,3440.7,3438.2,2014.4,1589.9,1689.1,3444.3,1283.7,1633.1,3439.5,3432.2,692.1,1355.8,925.4,594.7,1457.1,2080.6,3433.4,3440.7,1015.1,1108.6,1426.8,1587.1,1312.4,1170.0,-32.0,-60.0,42.0,-3653.0,-3958.0,11757.0,10059.0,-61.0,189.0,-244.0,13.0,-34.0,25.0,-500.0,-1839.0,10097.0,12761.0,8.0,96.0,-8.0,1.0
2022-05-13 12:02:24.512588-07:00,2059.4,600.4,1588.9,1528.3,1286.4,1486.6,1521.8,1857.6,3450.4,3443.1,2000.5,1590.8,1689.1,3444.3,1283.7,1633.1,3439.5,3432.2,692.1,1355.8,929.6,600.4,1453.4,2092.6,3433.4,3440.7,1015.1,1108.6,1422.2,1578.6,1306.1,1169.1,0.0,-27.0,-60.0,-3581.0,-4006.0,11877.0,9925.0,880.0,-138.0,44.0,-13.0,2.0,0.0,-511.0,-1854.0,10164.0,12706.0,327.0,27.0,2.0,1.0
2022-05-13 12:02:24.558017-07:00,2059.4,600.4,1588.9,1528.3,1281.0,1494.0,1510.6,1860.6,3450.4,3443.1,2000.5,1590.8,1683.3,3435.8,1271.2,1638.8,3441.9,3438.2,696.2,1361.2,929.6,600.4,1453.4,2092.6,3434.6,3449.1,1032.3,1118.2,1422.2,1578.6,1306.1,1169.1,0.0,30.0,-54.0,-3463.0,-4020.0,12055.0,9745.0,337.0,-218.0,-22.0,-5.0,22.0,-43.0,-511.0,-1877.0,10240.0,12641.0,193.0,72.0,8.0,1.0
2022-05-13 12:02:24.603221-07:00,2105.8,598.7,1562.7,1532.0,1281.0,1494.0,1510.6,1807.1,3440.7,3449.1,1977.6,1577.7,1683.3,3435.8,1271.2,1633.1,3432.2,3438.2,696.2,1361.2,929.6,597.9,1463.5,2110.8,3449.1,3449.1,1032.3,1118.2,1438.7,1579.6,1307.0,1171.8,-2.0,37.0,-39.0,-3315.0,-3977.0,12171.0,9670.0,275.0,-376.0,-57.0,1.0,23.0,-30.0,-511.0,-1888.0,10296.0,12594.0,56.0,-14.0,-14.0,1.0
2022-05-13 12:02:24.647614-07:00,2103.7,598.7,1562.7,1532.0,1282.8,1507.8,1477.3,1807.1,3445.5,3449.1,1977.6,1577.7,1687.2,3439.5,1243.5,1633.1,3432.2,3445.5,701.1,1362.1,929.6,597.9,1463.5,2118.9,3449.1,3445.5,1015.9,1127.9,1438.7,1579.6,1307.0,1168.2,33.0,-1.0,-9.0,-3197.0,-3878.0,12192.0,9723.0,-140.0,-307.0,63.0,-8.0,41.0,-35.0,-495.0,-1875.0,10295.0,12597.0,-201.0,-142.0,-26.0,1.0
