Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:02:24.276637-07:00,1173.5,716.7,1182.3,1022.8,950.9,847.0,1691.9,1334.1,3478.3,3480.7,1188.5,894.1,1606.8,3467.4,1576.8,1405.8,3479.5,3488.0,393.4,634.3,920.3,1360.3,648.9,2554.0,3485.6,3488.0,689.7,949.2,1975.6,1191.2,1139.2,985.9,39.0,-16.0,12.0,6701.0,-4531.0,9820.0,-10323.0,27.0,313.0,389.0,20.0,31.0,41.0,6260.0,-9563.0,10090.0,-5997.0,200.0,33.0,51.0,1.0
2022-05-13 12:02:24.281918-07:00,1173.5,716.7,1182.3,1022.8,961.1,855.3,1696.7,1333.2,3478.3,3480.7,1188.5,894.1,1612.4,3460.1,1587.1,1408.5,3483.2,3477.1,392.6,627.8,920.3,1360.3,648.9,2554.0,3481.9,3480.7,683.1,952.6,1975.6,1191.2,1139.2,985.9,-51.0,-47.0,-23.0,6811.0,-4376.0,10074.0,-10070.0,-827.0,87.0,945.0,-16.0,-4.0,-2.0,6205.0,-9548.0,10174.0,-5937.0,-291.0,58.0,211.0,1.0
2022-05-13 12:02:24.370316-07:00,1169.1,724.1,1224.8,1033.2,961.1,855.3,1696.7,1349.4,3468.6,3472.2,1192.0,889.0,1612.4,3460.1,1587.1,1407.6,3478.3,3477.1,392.6,627.8,913.5,1367.6,657.0,2571.3,3477.1,3480.7,683.1,952.6,1954.8,1219.5,1188.5,987.6,28.0,42.0,32.0,6925.0,-4236.0,10324.0,-9795.0,-131.0,89.0,508.0,-23.0,4.0,1.0,6207.0,-9517.0,10225.0,-5897.0,117.0,1.0,84.0,1.0
2022-05-13 12:02:24.414411-07:00,1175.3,724.1,1224.8,1033.2,957.7,857.0,1705.3,1349.4,3472.2,3472.2,1192.0,889.0,1604.0,3474.6,1567.4,1407.6,3478.3,3474.6,392.6,627.0,913.5,1367.6,657.0,2640.6,3477.1,3484.4,687.2,965.4,1954.8,1219.5,1188.5,994.5,-18.0,65.0,-31.0,6961.0,-4203.0,10294.0,-9816.0,93.0,-119.0,-152.0,-15.0,17.0,17.0,6229.0,-9501.0,10220.0,-5910.0,-98.0,-5.0,-36.0,1.0
2022-05-13 12:02:24.416819-07:00,1175.3,724.9,1189.4,1009.9,957.7,857.0,1705.3,1354.0,3472.2,3469.8,1177.0,892.4,1604.0,3474.6,1567.4,1381.2,3485.6,3474.6,392.6,627.0,922.0,1382.1,666.0,2640.6,3481.9,3484.4,687.2,965.4,1963.7,1177.9,1132.2,994.5,32.0,9.0,-22.0,6955.0,-4312.0,10226.0,-9844.0,-37.0,-239.0,-217.0,9.0,8.0,9.0,6191.0,-9539.0,10223.0,-5882.0,-248.0,8.0,-82.0,1.0
2022-05-13 12:02:24.459147-07:00,1177.9,724.9,1189.4,1009.9,962.0,858.7,1710.0,1354.0,3472.2,3469.8,1177.0,892.4,1604.0,3472.2,1501.4,1381.2,3485.6,3474.6,392.6,628.6,922.0,1382.1,666.0,2615.6,3481.9,3480.7,686.4,954.3,1963.7,1177.9,1132.2,985.0,19.0,-60.0,32.0,6965.0,-4412.0,10228.0,-9789.0,-155.0,-149.0,38.0,-2.0,-1.0,2.0,6119.0,-9589.0,10251.0,-5828.0,-185.0,15.0,3.0,1.0
2022-05-13 12:02:24.504204-07:00,1177.9,724.9,1189.4,1014.2,962.0,858.7,1710.0,1350.3,3472.2,3478.3,1171.8,891.5,1604.0,3472.2,1501.4,1372.1,3483.2,3474.6,392.6,628.6,926.2,1367.6,666.0,2615.6,3480.7,3480.7,686.4,954.3,1966.7,1163.0,1110.4,985.0,-4.0,-16.0,-57.0,7023.0,-4437.0,10268.0,-9696.0,-240.0,-215.0,224.0,-11.0,-9.0,-4.0,6065.0,-9609.0,10292.0,-5779.0,-249.0,35.0,63.0,1.0
2022-05-13 12:02:24.596251-07:00,1168.2,727.4,1189.4,1014.2,960.2,852.0,1710.0,1350.3,3471.0,3468.6,1171.8,891.5,1606.8,3478.3,1491.2,1372.1,3483.2,3474.6,398.9,623.0,926.2,1367.6,679.1,2613.4,3480.7,3478.3,684.8,944.1,1966.7,1163.0,1099.0,986.7,7.0,5.0,20.0,7093.0,-4471.0,10338.0,-9553.0,-146.0,-126.0,177.0,-10.0,6.0,3.0,6036.0,-9612.0,10334.0,-5728.0,-1.0,-12.0,26.0,1.0
2022-05-13 12:02:24.684363-07:00,1168.2,727.4,1181.5,1015.9,960.2,852.0,1711.0,1360.3,3471.0,3468.6,1168.2,892.4,1606.8,3478.3,1474.6,1363.9,3478.3,3467.4,398.9,623.0,918.6,1373.9,679.1,2613.4,3479.5,3479.5,684.8,944.1,1959.8,1147.1,1099.0,986.7,11.0,23.0,-1.0,7130.0,-4513.0,10281.0,-9567.0,128.0,-194.0,-198.0,-4.0,12.0,13.0,6045.0,-9611.0,10325.0,-5739.0,22.0,-9.0,-63.0,1.0
2022-05-13 12:02:24.688279-07:00,1178.8,729.9,1181.5,1015.9,966.2,854.5,1711.0,1360.3,3473.4,3477.1,1168.2,892.4,1612.4,3471.0,1474.6,1363.9,3478.3,3467.4,392.6,632.7,918.6,1373.9,692.9,2639.5,3479.5,3479.5,681.5,950.0,1959.8,1147.1,1080.8,982.5,38.0,-36.0,37.0,7137.0,-4570.0,10189.0,-9633.0,215.0,-66.0,-160.0,-1.0,-5.0,0.0,6047.0,-9626.0,10300.0,-5756.0,60.0,-17.0,-50.0,1.0
2022-05-13 12:02:24.689342-07:00,1178.8,729.9,1161.2,1000.5,966.2,854.5,1711.0,1346.7,3473.4,3477.1,1160.3,892.4,1612.4,3471.0,1475.5,1363.9,3483.2,3480.7,392.6,632.7,927.1,1371.2,692.9,2639.5,3481.9,3480.7,681.5,950.0,1954.8,1145.4,1080.8,982.5,-3.0,-14.0,-1.0,7114.0,-4549.0,10165.0,-9686.0,-55.0,96.0,18.0,-7.0,4.0,10.0,6056.0,-9624.0,10286.0,-5774.0,-117.0,8.0,26.0,1.0
2022-05-13 12:02:24.775233-07:00,1173.5,723.3,1161.2,1000.5,962.0,846.1,1711.0,1346.7,3469.8,3466.1,1160.3,892.4,1604.0,3472.2,1475.5,1363.9,3483.2,3480.7,394.2,627.0,927.1,1371.2,684.0,2631.9,3481.9,3480.7,686.4,950.0,1954.8,1145.4,1076.4,994.5,-7.0,-7.0,-10.0,7102.0,-4545.0,10223.0,-9635.0,-170.0,11.0,89.0,-8.0,5.0,4.0,6020.0,-9641.0,10321.0,-5722.0,-214.0,-2.0,36.0,1.0
2022-05-13 12:02:24.865882-07:00,1173.5,723.3,1160.3,1006.5,962.0,846.1,1691.9,1336.8,3469.8,3466.1,1155.9,883.1,1604.0,3472.2,1451.6,1357.6,3479.5,3475.9,394.2,627.0,922.0,1373.9,684.0,2631.9,3480.7,3478.3,686.4,950.0,1958.8,1133.1,1076.4,994.5,12.0,-17.0,-21.0,7113.0,-4580.0,10253.0,-9577.0,-126.0,-87.0,14.0,-4.0,-1.0,-1.0,5974.0,-9665.0,10357.0,-5663.0,-85.0,1.0,0.0,1.0
2022-05-13 12:02:24.867072-07:00,1170.9,725.8,1148.0,1006.5,956.0,857.9,1691.9,1336.8,3478.3,3473.4,1156.8,883.1,1604.9,3468.6,1451.6,1357.6,3479.5,3475.9,392.6,625.4,922.0,1372.1,671.7,2629.7,3480.7,3478.3,679.1,941.5,1958.8,1127.9,1067.7,995.3,12.0,-5.0,-10.0,7145.0,-4613.0,10231.0,-9562.0,45.0,-144.0,-16.0,-2.0,2.0,7.0,5971.0,-9668.0,10356.0,-5662.0,33.0,-4.0,-17.0,1.0
2022-05-13 12:02:24.955435-07:00,1170.9,725.8,1148.0,1000.5,956.0,845.3,1681.4,1323.2,3478.3,3473.4,1156.8,882.3,1604.9,3478.3,1447.9,1347.6,3472.2,3477.1,393.4,625.4,918.6,1372.1,671.7,2629.7,3481.9,3473.4,679.1,941.5,1961.8,1127.9,1067.7,995.3,4.0,-16.0,-7.0,7190.0,-4653.0,10190.0,-9553.0,42.0,-173.0,0.0,-4.0,0.0,5.0,5980.0,-9667.0,10345.0,-5674.0,61.0,-13.0,-15.0,1.0
2022-05-13 12:02:24.957748-07:00,1175.3,729.9,1142.7,1000.5,959.4,845.3,1681.4,1323.2,3477.1,3475.9,1148.0,882.3,1604.0,3478.3,1447.9,1347.6,3472.2,3477.1,393.4,627.0,918.6,1374.8,673.3,2604.8,3481.9,3473.4,679.1,940.7,1961.8,1121.7,1062.5,987.6,9.0,-2.0,-8.0,7255.0,-4697.0,10141.0,-9535.0,20.0,-221.0,13.0,-11.0,0.0,3.0,5995.0,-9664.0,10333.0,-5685.0,19.0,-20.0,-10.0,1.0
