Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:04:33.529397-07:00,1664.4,953.4,1593.6,1348.5,1117.4,867.1,1696.7,1342.2,3478.3,3472.2,1203.5,901.7,1708.1,3472.2,1755.0,1552.5,3473.4,3477.1,384.0,558.6,828.5,1136.6,627.8,3250.6,3480.7,3475.9,767.8,1002.2,2490.8,1395.7,1325.0,963.7,25.0,23.0,-1.0,4832.0,-3056.0,11284.0,-10412.0,17.0,-339.0,67.0,1.0,3.0,2.0,6299.0,-10009.0,9931.0,-5472.0,160.0,-43.0,-46.0,1.0
2022-05-13 12:04:33.620481-07:00,1664.4,953.4,1597.4,1320.5,1117.4,878.0,1687.2,1344.0,3478.3,3472.2,1200.9,902.5,1708.1,3474.6,1681.4,1536.6,3474.6,3479.5,380.9,558.6,831.1,1136.6,627.8,3250.6,3477.1,3488.0,757.1,1002.2,2505.8,1377.5,1325.0,963.7,-1.0,33.0,-38.0,4956.0,-3211.0,11235.0,-10360.0,-189.0,-570.0,-93.0,-4.0,2.0,11.0,6318.0,-10017.0,9904.0,-5487.0,-121.0,-14.0,-46.0,1.0
2022-05-13 12:04:33.622231-07:00,1665.3,954.3,1514.3,1320.5,1142.7,878.0,1687.2,1344.0,3479.5,3468.6,1188.5,902.5,1711.0,3474.6,1681.4,1536.6,3474.6,3479.5,380.9,565.0,831.1,1133.1,643.2,3192.9,3477.1,3488.0,757.1,1001.3,2505.8,1325.9,1264.0,970.5,17.0,2.0,-10.0,5080.0,-3448.0,11235.0,-10223.0,-318.0,-625.0,-107.0,7.0,-11.0,22.0,6260.0,-10060.0,9922.0,-5441.0,-264.0,82.0,-1.0,1.0
2022-05-13 12:04:33.708744-07:00,1665.3,954.3,1514.3,1261.3,1142.7,873.8,1691.9,1370.3,3479.5,3468.6,1188.5,896.6,1711.0,3475.9,1603.0,1506.0,3474.6,3478.3,386.4,565.0,835.2,1133.1,643.2,3192.9,3479.5,3477.1,762.0,1001.3,2484.4,1325.9,1264.0,970.5,58.0,66.0,-30.0,5202.0,-3792.0,11205.0,-10072.0,-521.0,-840.0,-438.0,-5.0,-4.0,0.0,6152.0,-10110.0,9979.0,-5366.0,-438.0,34.0,-37.0,1.0
2022-05-13 12:04:33.754748-07:00,1661.5,950.0,1393.0,1261.3,1154.2,873.8,1691.9,1370.3,3471.0,3457.6,1182.3,896.6,1706.2,3475.9,1603.0,1506.0,3474.6,3478.3,386.4,564.2,835.2,1140.1,697.9,3074.3,3479.5,3477.1,762.0,991.0,2484.4,1273.9,1200.9,964.5,37.0,2.0,7.0,5209.0,-4226.0,11128.0,-9981.0,-115.0,-716.0,-734.0,-5.0,8.0,-11.0,6018.0,-10187.0,10036.0,-5264.0,-392.0,9.0,-64.0,1.0
2022-05-13 12:04:33.844901-07:00,1661.5,950.0,1393.0,1202.7,1154.2,874.7,1692.9,1382.1,3471.0,3457.6,1182.3,895.7,1706.2,3472.2,1557.1,1467.2,3469.8,3474.6,381.7,564.2,829.4,1140.1,697.9,3074.3,3472.2,3463.7,758.7,991.0,2416.6,1273.9,1200.9,964.5,-6.0,-101.0,55.0,5206.0,-4528.0,10974.0,-10020.0,135.0,-381.0,-433.0,-4.0,-9.0,-13.0,5931.0,-10254.0,10054.0,-5197.0,-69.0,-5.0,-61.0,1.0
2022-05-13 12:04:33.846870-07:00,1688.1,944.9,1328.7,1179.7,1128.7,874.7,1692.9,1382.1,3467.4,3468.6,1170.9,895.7,1703.3,3472.2,1557.1,1467.2,3469.8,3474.6,381.7,573.0,836.9,1147.1,724.9,3076.6,3472.2,3463.7,758.7,997.0,2371.3,1259.6,1170.0,976.5,-9.0,-46.0,21.0,5283.0,-4671.0,10875.0,-10022.0,27.0,-396.0,-45.0,-3.0,1.0,-2.0,5929.0,-10268.0,10040.0,-5201.0,41.0,-24.0,-26.0,1.0
2022-05-13 12:04:33.890791-07:00,1688.1,944.9,1328.7,1179.7,1118.2,872.1,1686.2,1369.4,3467.4,3468.6,1170.9,895.7,1696.7,3477.1,1537.6,1458.0,3473.4,3477.1,376.3,576.2,836.9,1147.1,724.9,3076.6,3488.0,3478.3,738.9,987.6,2371.3,1259.6,1170.0,976.5,7.0,-18.0,46.0,5369.0,-4720.0,10856.0,-9973.0,-77.0,-74.0,141.0,1.0,-9.0,2.0,5943.0,-10278.0,10020.0,-5203.0,19.0,-46.0,-39.0,1.0
2022-05-13 12:04:33.934759-07:00,1674.8,942.4,1313.3,1163.0,1118.2,872.1,1686.2,1369.4,3462.5,3467.4,1166.5,893.2,1696.7,3477.1,1537.6,1458.0,3473.4,3477.1,376.3,576.2,837.7,1140.1,718.4,3103.2,3488.0,3478.3,738.9,987.6,2346.2,1250.6,1160.3,981.6,4.0,3.0,30.0,5403.0,-4695.0,10890.0,-9931.0,-68.0,-68.0,184.0,-3.0,-1.0,10.0,5923.0,-10277.0,10037.0,-5196.0,-117.0,98.0,63.0,1.0
2022-05-13 12:04:34.025809-07:00,1674.8,942.4,1313.3,1163.0,1108.6,867.1,1685.3,1339.5,3462.5,3467.4,1166.5,893.2,1690.0,3467.4,1527.3,1437.8,3472.2,3479.5,379.4,570.6,837.7,1140.1,718.4,3103.2,3480.7,3469.8,738.1,977.3,2346.2,1250.6,1160.3,981.6,5.0,13.0,-21.0,5433.0,-4670.0,10946.0,-9863.0,-274.0,-1.0,129.0,-7.0,0.0,2.0,5852.0,-10274.0,10101.0,-5157.0,-248.0,90.0,80.0,1.0
