Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:10:32.214658-07:00,1220.4,769.5,1134.9,994.5,983.3,825.2,1705.3,1305.2,3466.1,3472.2,1082.5,876.4,1459.8,3473.4,1411.3,1410.3,3478.3,3467.4,395.0,614.9,926.2,1204.4,600.4,2278.6,3475.9,3478.3,652.2,852.0,1885.0,1065.1,988.5,939.0,19.0,-10.0,12.0,12053.0,-10283.0,4160.0,-346.0,-3.0,-58.0,-44.0,6.0,0.0,-7.0,9780.0,-13137.0,368.0,262.0,14.0,-5.0,-13.0,1.0
2022-05-13 12:10:32.305310-07:00,1220.4,769.5,1123.5,986.7,983.3,831.9,1710.0,1312.4,3466.1,3472.2,1085.1,877.2,1459.8,3475.9,1412.2,1417.6,3472.2,3485.6,398.1,614.9,928.8,1202.7,600.4,2278.6,3475.9,3467.4,648.1,852.0,1896.7,1061.7,988.5,939.0,14.0,4.0,14.0,12059.0,-10283.0,4142.0,-344.0,-8.0,-19.0,9.0,1.0,1.0,-2.0,9788.0,-13131.0,367.0,261.0,27.0,-8.0,2.0,1.0
2022-05-13 12:10:32.307094-07:00,1208.9,766.2,1125.2,986.7,985.9,831.9,1710.0,1312.4,3474.6,3467.4,1076.4,877.2,1465.4,3475.9,1412.2,1417.6,3472.2,3485.6,398.1,607.6,928.8,1200.9,602.0,2274.5,3475.9,3467.4,648.1,857.0,1896.7,1065.1,994.5,924.5,11.0,10.0,9.0,12066.0,-10280.0,4131.0,-339.0,24.0,-36.0,-13.0,0.0,2.0,3.0,9802.0,-13121.0,365.0,262.0,47.0,-14.0,-11.0,1.0
2022-05-13 12:10:32.483837-07:00,1208.9,766.2,1125.2,999.6,985.9,833.6,1711.9,1306.1,3474.6,3467.4,1076.4,876.4,1465.4,3472.2,1406.7,1415.8,3471.0,3477.1,394.2,607.6,925.4,1200.9,602.0,2274.5,3472.2,3467.4,649.7,857.0,1888.9,1065.1,994.5,924.5,9.0,8.0,20.0,12076.0,-10275.0,4114.0,-333.0,-1.0,-33.0,-4.0,-2.0,0.0,4.0,9819.0,-13109.0,359.0,263.0,26.0,-12.0,-9.0,1.0
2022-05-13 12:10:32.487655-07:00,1211.5,771.1,1126.1,999.6,976.5,833.6,1711.9,1306.1,3464.9,3469.8,1082.5,876.4,1461.7,3472.2,1406.7,1415.8,3471.0,3477.1,394.2,615.7,925.4,1200.9,597.1,2261.0,3472.2,3467.4,649.7,854.5,1888.9,1063.4,988.5,920.3,17.0,11.0,19.0,12084.0,-10270.0,4103.0,-330.0,5.0,-12.0,-3.0,4.0,1.0,4.0,9826.0,-13103.0,357.0,265.0,22.0,0.0,-3.0,1.0
2022-05-13 12:10:32.488840-07:00,1211.5,771.1,1126.1,989.3,976.5,831.1,1710.0,1302.5,3464.9,3469.8,1082.5,878.9,1461.7,3468.6,1414.9,1412.2,3478.3,3472.2,395.7,615.7,925.4,1200.9,597.1,2261.0,3480.7,3479.5,648.9,854.5,1889.9,1063.4,988.5,920.3,17.0,4.0,11.0,12089.0,-10267.0,4095.0,-337.0,-2.0,4.0,-16.0,3.0,2.0,2.0,9828.0,-13101.0,357.0,264.0,3.0,9.0,-4.0,1.0
2022-05-13 12:10:32.489862-07:00,1208.9,760.4,1118.2,994.5,982.5,831.1,1710.0,1302.5,3467.4,3472.2,1078.2,871.3,1464.4,3468.6,1414.9,1412.2,3478.3,3472.2,395.7,610.0,928.8,1199.1,602.0,2256.9,3480.7,3479.5,648.9,852.0,1893.8,1059.1,988.5,926.2,21.0,3.0,10.0,12091.0,-10266.0,4090.0,-341.0,-4.0,6.0,-5.0,4.0,2.0,-1.0,9827.0,-13103.0,357.0,264.0,-6.0,2.0,-1.0,1.0
2022-05-13 12:10:32.619817-07:00,1208.9,760.4,1118.2,994.5,991.0,831.1,1711.0,1330.5,3467.4,3472.2,1078.2,871.3,1463.5,3471.0,1408.5,1414.9,3481.9,3471.0,397.3,607.6,928.8,1199.1,602.0,2256.9,3474.6,3474.6,650.5,851.1,1893.8,1059.1,988.5,926.2,18.0,-6.0,9.0,12092.0,-10262.0,4097.0,-346.0,8.0,38.0,41.0,5.0,3.0,-4.0,9827.0,-13102.0,357.0,264.0,6.0,6.0,4.0,1.0
2022-05-13 12:10:32.665102-07:00,1214.2,762.9,1130.5,991.9,991.0,831.1,1711.0,1330.5,3475.9,3462.5,1080.8,875.5,1463.5,3471.0,1408.5,1414.9,3481.9,3471.0,397.3,607.6,929.6,1202.7,594.7,2264.1,3474.6,3474.6,650.5,851.1,1890.9,1066.0,994.5,924.5,58.0,-90.0,15.0,12083.0,-10253.0,4147.0,-325.0,-26.0,116.0,212.0,23.0,-7.0,-37.0,9827.0,-13102.0,370.0,267.0,-7.0,19.0,50.0,1.0
2022-05-13 12:10:32.844642-07:00,1214.2,762.9,1130.5,991.9,987.6,823.5,1708.1,1301.6,3475.9,3462.5,1080.8,875.5,1463.5,3464.9,1419.5,1412.2,3480.7,3478.3,398.9,611.7,929.6,1202.7,594.7,2264.1,3479.5,3478.3,643.2,851.1,1890.9,1066.0,994.5,924.5,45.0,-442.0,-37.0,12154.0,-10077.0,4373.0,-201.0,850.0,141.0,1118.0,48.0,-121.0,-72.0,9928.0,-13023.0,408.0,301.0,933.0,-55.0,203.0,1.0
