Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:14:29.564012-07:00,1249.7,760.4,1217.7,1021.9,925.4,825.2,1655.8,1277.4,3475.9,3474.6,1077.3,866.3,1750.2,3475.9,1318.7,1250.6,3471.0,3478.3,391.8,629.5,937.3,1151.5,561.8,2416.6,3479.5,3488.0,645.7,871.3,1956.8,1018.5,987.6,973.1,12.0,0.0,0.0,10125.0,-9158.0,7897.0,-4437.0,-24.0,-17.0,15.0,-7.0,6.0,1.0,8489.0,-13684.0,-2426.0,1795.0,-10.0,-2.0,-1.0,1.0
2022-05-13 12:14:29.566342-07:00,1246.2,760.4,1217.7,1021.9,929.6,818.5,1652.0,1301.6,3471.0,3474.6,1077.3,866.3,1755.0,3471.0,1321.4,1256.9,3475.9,3477.1,395.0,635.9,937.3,1151.5,561.8,2418.7,3477.1,3480.7,640.8,872.1,1956.8,1018.5,987.6,978.2,14.0,-2.0,0.0,10120.0,-9164.0,7907.0,-4419.0,-53.0,-6.0,37.0,-6.0,-1.0,-1.0,8481.0,-13689.0,-2427.0,1794.0,-30.0,-4.0,2.0,1.0
2022-05-13 12:14:29.743736-07:00,1246.2,762.0,1200.9,1012.5,929.6,818.5,1652.0,1294.5,3471.0,3467.4,1076.4,866.3,1755.0,3471.0,1321.4,1254.2,3477.1,3477.1,395.0,635.9,939.0,1152.4,564.2,2418.7,3477.1,3480.7,640.8,872.1,1971.7,1021.1,982.5,978.2,14.0,0.0,2.0,10112.0,-9170.0,7922.0,-4397.0,-54.0,-6.0,36.0,-4.0,5.0,-1.0,8469.0,-13697.0,-2429.0,1791.0,-36.0,2.0,4.0,1.0
2022-05-13 12:14:29.745678-07:00,1247.1,762.0,1200.9,1012.5,927.9,825.2,1641.6,1294.5,3473.4,3467.4,1076.4,866.3,1753.1,3467.4,1320.5,1254.2,3477.1,3475.9,389.5,628.6,939.0,1152.4,564.2,2424.0,3477.1,3488.0,639.2,873.0,1971.7,1021.1,982.5,966.2,14.0,-5.0,1.0,10101.0,-9179.0,7940.0,-4369.0,-73.0,-3.0,63.0,-9.0,1.0,-2.0,8454.0,-13706.0,-2431.0,1789.0,-45.0,-6.0,6.0,1.0
2022-05-13 12:14:29.746824-07:00,1247.1,757.1,1210.6,1028.0,927.9,825.2,1641.6,1290.0,3473.4,3473.4,1078.2,862.9,1753.1,3467.4,1320.5,1256.9,3475.9,3475.9,389.5,628.6,932.2,1149.8,566.6,2424.0,3468.6,3488.0,639.2,873.0,1968.7,1019.4,984.2,966.2,11.0,-2.0,6.0,10095.0,-9186.0,7961.0,-4330.0,-59.0,-34.0,65.0,-10.0,0.0,1.0,8440.0,-13715.0,-2430.0,1788.0,-28.0,-6.0,11.0,1.0
2022-05-13 12:14:29.747805-07:00,1253.3,757.1,1210.6,1028.0,924.5,818.5,1653.9,1290.0,3461.3,3473.4,1078.2,862.9,1750.2,3472.2,1311.5,1256.9,3475.9,3478.3,391.1,627.0,932.2,1149.8,566.6,2426.1,3468.6,3477.1,640.0,868.8,1968.7,1019.4,984.2,973.1,15.0,7.0,6.0,10101.0,-9188.0,7963.0,-4313.0,9.0,-15.0,1.0,-11.0,3.0,0.0,8441.0,-13714.0,-2430.0,1789.0,12.0,-7.0,-7.0,1.0
2022-05-13 12:14:29.787283-07:00,1253.3,756.3,1210.6,1024.5,924.5,818.5,1646.4,1294.5,3461.3,3472.2,1076.4,873.0,1750.2,3472.2,1325.0,1249.7,3479.5,3478.3,391.1,627.0,934.7,1154.2,566.6,2426.1,3474.6,3480.7,640.0,868.8,1967.7,1018.5,978.2,973.1,11.0,-6.0,5.0,10103.0,-9189.0,7955.0,-4317.0,13.0,-15.0,-14.0,-10.0,0.0,2.0,8444.0,-13712.0,-2434.0,1789.0,23.0,-6.0,-11.0,1.0
2022-05-13 12:14:29.832569-07:00,1244.4,762.0,1210.6,1024.5,920.3,826.9,1646.4,1294.5,3457.6,3469.8,1076.4,873.0,1760.8,3462.5,1325.0,1249.7,3479.5,3478.3,391.8,634.3,934.7,1154.2,563.4,2414.5,3474.6,3480.7,639.2,872.1,1967.7,1018.5,980.7,968.8,10.0,1.0,3.0,10106.0,-9187.0,7954.0,-4318.0,-7.0,-17.0,0.0,-8.0,2.0,0.0,8446.0,-13710.0,-2434.0,1790.0,-2.0,-11.0,-1.0,1.0
2022-05-13 12:14:29.879373-07:00,1244.4,762.0,1210.6,1019.4,920.3,826.9,1648.3,1294.5,3457.6,3469.8,1072.9,867.1,1760.8,3462.5,1316.0,1258.7,3472.2,3479.5,391.8,634.3,941.5,1152.4,563.4,2414.5,3478.3,3467.4,639.2,872.1,1962.8,1026.3,980.7,968.8,10.0,-3.0,3.0,10111.0,-9189.0,7946.0,-4317.0,19.0,-17.0,-9.0,-10.0,1.0,0.0,8450.0,-13708.0,-2436.0,1789.0,16.0,-3.0,-12.0,1.0
2022-05-13 12:14:29.969664-07:00,1244.4,753.8,1210.6,1019.4,925.4,821.0,1648.3,1294.5,3471.0,3466.1,1072.9,867.1,1757.0,3462.5,1316.0,1258.7,3472.2,3479.5,394.2,632.7,941.5,1152.4,564.2,2419.8,3478.3,3467.4,643.2,877.2,1962.8,1026.3,980.7,971.3,17.0,-3.0,8.0,10113.0,-9190.0,7943.0,-4315.0,1.0,-14.0,-4.0,-9.0,1.0,4.0,8451.0,-13707.0,-2437.0,1790.0,3.0,-12.0,-5.0,1.0
