Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:23:58.573518-07:00,2197.3,644.0,1433.2,1541.3,1250.6,1453.4,1423.1,1642.6,3450.4,3441.9,1901.6,1576.8,1823.6,3440.7,1188.5,1637.9,3449.1,3440.7,798.5,1301.6,981.6,582.6,1708.1,2194.2,3444.3,3438.2,916.0,1163.0,1434.1,1649.2,1335.0,1291.8,0.0,1.0,5.0,-4747.0,-5415.0,10796.0,10002.0,-81.0,63.0,-42.0,-7.0,0.0,-4.0,-5206.0,-4187.0,9092.0,11880.0,-87.0,-28.0,-16.0,1.0
2022-05-13 12:23:58.618538-07:00,2197.3,644.0,1433.2,1544.1,1250.6,1442.4,1437.8,1668.2,3450.4,3441.9,1901.6,1584.2,1823.6,3438.2,1200.0,1642.6,3440.7,3435.8,802.7,1301.6,983.3,582.6,1708.1,2194.2,3445.5,3439.5,911.0,1163.0,1429.5,1649.2,1335.0,1291.8,1.0,-1.0,28.0,-4752.0,-5433.0,10782.0,10005.0,35.0,40.0,-17.0,0.0,6.0,-2.0,-5199.0,-4181.0,9086.0,11890.0,25.0,-13.0,-15.0,1.0
2022-05-13 12:23:58.663493-07:00,2193.2,644.0,1463.5,1544.1,1249.7,1442.4,1437.8,1668.2,3441.9,3439.5,1919.3,1584.2,1823.6,3438.2,1200.0,1642.6,3440.7,3435.8,802.7,1303.4,983.3,589.9,1704.3,2190.1,3445.5,3439.5,911.0,1163.0,1429.5,1657.7,1336.8,1288.2,0.0,12.0,25.0,-4750.0,-5435.0,10783.0,10002.0,21.0,-17.0,-11.0,-5.0,5.0,-2.0,-5199.0,-4185.0,9089.0,11886.0,11.0,12.0,2.0,1.0
2022-05-13 12:23:58.708466-07:00,2193.2,644.0,1463.5,1549.7,1251.5,1456.2,1430.5,1664.4,3441.9,3439.5,1919.3,1585.2,1828.4,3441.9,1198.2,1640.7,3433.4,3432.2,805.2,1309.7,985.9,589.9,1704.3,2190.1,3437.0,3445.5,919.4,1161.2,1434.1,1657.7,1336.8,1288.2,-5.0,-8.0,14.0,-4744.0,-5446.0,10774.0,10010.0,4.0,16.0,-38.0,-10.0,3.0,-3.0,-5204.0,-4196.0,9090.0,11880.0,26.0,34.0,-9.0,1.0
2022-05-13 12:23:58.753319-07:00,2176.9,637.6,1454.3,1538.5,1251.5,1456.2,1430.5,1664.4,3443.1,3444.3,1910.5,1574.9,1828.4,3441.9,1198.2,1640.7,3433.4,3432.2,805.2,1309.7,983.3,582.6,1699.5,2185.0,3437.0,3445.5,919.4,1161.2,1434.1,1657.7,1339.5,1281.0,-2.0,-9.0,3.0,-4751.0,-5444.0,10774.0,10008.0,4.0,4.0,51.0,-6.0,4.0,-18.0,-5206.0,-4204.0,9094.0,11873.0,7.0,3.0,15.0,1.0
2022-05-13 12:23:58.799782-07:00,2176.9,637.6,1454.3,1538.5,1252.4,1444.2,1425.0,1653.0,3443.1,3444.3,1910.5,1574.9,1823.6,3449.1,1196.5,1640.7,3435.8,3441.9,798.5,1304.3,983.3,582.6,1699.5,2185.0,3435.8,3451.6,916.0,1162.1,1434.1,1657.7,1339.5,1281.0,10.0,12.0,2.0,-4757.0,-5426.0,10779.0,10009.0,-22.0,-32.0,18.0,-1.0,11.0,-18.0,-5207.0,-4200.0,9093.0,11874.0,-26.0,-17.0,4.0,1.0
2022-05-13 12:23:58.888506-07:00,2182.0,640.0,1435.0,1552.5,1252.4,1444.2,1425.0,1653.0,3441.9,3435.8,1916.4,1574.9,1823.6,3449.1,1196.5,1640.7,3435.8,3441.9,798.5,1304.3,978.2,585.1,1694.8,2184.0,3435.8,3451.6,916.0,1162.1,1429.5,1657.7,1335.9,1296.3,7.0,-2.0,16.0,-4752.0,-5416.0,10780.0,10016.0,6.0,-37.0,-4.0,3.0,0.0,-5.0,-5202.0,-4193.0,9096.0,11877.0,-2.0,-25.0,-4.0,1.0
2022-05-13 12:23:58.934581-07:00,2182.0,640.0,1435.0,1552.5,1248.0,1444.2,1419.5,1649.2,3441.9,3435.8,1916.4,1574.9,1825.5,3446.7,1192.9,1650.2,3439.5,3437.0,800.2,1307.0,978.2,585.1,1694.8,2184.0,3440.7,3438.2,914.4,1161.2,1429.5,1657.7,1335.9,1296.3,0.0,8.0,23.0,-4742.0,-5407.0,10781.0,10024.0,-1.0,-24.0,-20.0,-4.0,10.0,-6.0,-5197.0,-4189.0,9098.0,11879.0,-7.0,-13.0,-11.0,1.0
2022-05-13 12:23:59.024566-07:00,2173.8,637.6,1452.5,1545.9,1248.0,1444.2,1419.5,1641.6,3438.2,3440.7,1911.5,1570.2,1825.5,3446.7,1192.9,1641.6,3431.0,3437.0,800.2,1307.0,980.7,585.1,1682.4,2183.0,3449.1,3438.2,914.4,1161.2,1422.2,1646.4,1336.8,1286.4,-2.0,-4.0,25.0,-4742.0,-5406.0,10778.0,10028.0,33.0,-6.0,11.0,-4.0,-1.0,2.0,-5195.0,-4189.0,9100.0,11878.0,22.0,-4.0,1.0,1.0
2022-05-13 12:23:59.026898-07:00,2179.9,637.6,1452.5,1545.9,1248.8,1444.2,1409.4,1641.6,3441.9,3440.7,1911.5,1570.2,1826.5,3446.7,1185.0,1641.6,3431.0,3439.5,801.9,1304.3,980.7,585.1,1682.4,2178.9,3449.1,3449.1,913.5,1151.5,1422.2,1646.4,1336.8,1282.8,-1.0,-1.0,14.0,-4742.0,-5402.0,10785.0,10022.0,22.0,-13.0,16.0,-7.0,1.0,-6.0,-5193.0,-4193.0,9107.0,11873.0,12.0,10.0,5.0,1.0
