Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:34:22.580165-07:00,2058.4,610.8,1560.9,1771.4,1265.8,1343.1,1430.5,1683.3,3449.1,3449.1,2046.4,1808.1,1748.3,3439.5,1329.6,2026.4,3439.5,3444.3,776.1,1278.3,944.1,588.3,1476.4,2305.6,3443.1,3443.1,843.6,1052.2,1621.8,1981.6,1545.9,1291.8,-1.0,27.0,76.0,-6288.0,-8401.0,9799.0,7893.0,34.0,63.0,64.0,10.0,1.0,33.0,-4999.0,-5289.0,9693.0,11023.0,46.0,61.0,40.0,1.0
2022-05-13 12:34:22.670009-07:00,2060.5,609.2,1564.6,1771.4,1258.7,1325.9,1430.5,1683.3,3449.1,3439.5,2050.4,1808.1,1744.5,3443.1,1329.6,2026.4,3439.5,3444.3,777.8,1287.3,944.1,585.1,1470.0,2320.1,3443.1,3443.1,835.2,1052.2,1621.8,1978.6,1542.2,1291.8,5.0,24.0,31.0,-6317.0,-8420.0,9787.0,7865.0,-53.0,91.0,0.0,24.0,7.0,22.0,-5029.0,-5296.0,9691.0,11008.0,-29.0,68.0,21.0,1.0
2022-05-13 12:34:22.671936-07:00,2060.5,609.2,1564.6,1775.2,1258.7,1328.7,1415.8,1683.3,3449.1,3439.5,2050.4,1810.0,1744.5,3449.1,1335.0,2029.4,3440.7,3432.2,769.5,1287.3,946.6,585.1,1470.0,2320.1,3449.1,3439.5,836.9,1052.2,1624.7,1978.6,1542.2,1291.8,10.0,11.0,22.0,-6354.0,-8427.0,9754.0,7868.0,-57.0,99.0,-34.0,11.0,2.0,3.0,-5059.0,-5303.0,9672.0,11008.0,-24.0,65.0,-4.0,1.0
2022-05-13 12:34:22.940064-07:00,2060.5,604.4,1567.4,1775.2,1262.2,1328.7,1415.8,1683.3,3444.3,3439.5,2050.4,1810.0,1744.5,3449.1,1335.0,2029.4,3440.7,3432.2,769.5,1286.4,946.6,590.7,1470.0,2299.3,3449.1,3439.5,836.9,1051.3,1624.7,1980.6,1540.3,1299.8,-9.0,0.0,6.0,-6370.0,-8455.0,9731.0,7854.0,20.0,64.0,-27.0,-2.0,-3.0,9.0,-5074.0,-5320.0,9664.0,11000.0,32.0,52.0,-6.0,1.0
2022-05-13 12:34:23.074560-07:00,2060.5,604.4,1567.4,1775.2,1262.2,1332.3,1421.3,1680.5,3444.3,3439.5,2050.4,1807.1,1744.5,3443.1,1333.2,2027.4,3439.5,3435.8,781.9,1286.4,941.5,590.7,1470.0,2299.3,3446.7,3444.3,840.3,1051.3,1621.8,1980.6,1540.3,1299.8,-12.0,-8.0,2.0,-6370.0,-8463.0,9724.0,7853.0,-10.0,-10.0,2.0,-3.0,-4.0,10.0,-5081.0,-5335.0,9663.0,10990.0,14.0,14.0,-3.0,1.0
2022-05-13 12:34:23.300321-07:00,2047.4,606.8,1569.3,1775.2,1263.1,1332.3,1421.3,1680.5,3450.4,3441.9,2042.4,1807.1,1744.5,3443.1,1333.2,2027.4,3439.5,3435.8,781.9,1285.5,941.5,592.3,1470.9,2307.7,3446.7,3444.3,840.3,1052.2,1621.8,1974.6,1544.1,1293.6,-7.0,0.0,12.0,-6364.0,-8447.0,9742.0,7853.0,33.0,-88.0,99.0,2.0,1.0,7.0,-5077.0,-5339.0,9671.0,10983.0,49.0,-17.0,2.0,1.0
2022-05-13 12:34:23.481133-07:00,2047.4,606.8,1569.3,1763.7,1257.8,1330.5,1425.9,1671.0,3450.4,3441.9,2042.4,1796.5,1736.8,3435.8,1336.8,2022.4,3438.2,3441.9,772.0,1281.9,950.0,592.3,1470.9,2307.7,3443.1,3449.1,836.1,1046.1,1618.1,1974.6,1544.1,1293.6,0.0,14.0,28.0,-6366.0,-8413.0,9781.0,7840.0,17.0,-5.0,93.0,5.0,4.0,7.0,-5065.0,-5339.0,9688.0,10973.0,28.0,-25.0,2.0,1.0
2022-05-13 12:34:23.482203-07:00,2049.4,609.2,1556.2,1763.7,1257.8,1330.5,1425.9,1671.0,3449.1,3435.8,2048.4,1800.3,1736.8,3435.8,1336.8,2022.4,3438.2,3441.9,772.0,1281.9,945.8,586.7,1472.7,2312.9,3443.1,3449.1,836.1,1046.1,1619.0,1976.6,1540.3,1296.3,-3.0,27.0,23.0,-6379.0,-8390.0,9789.0,7844.0,-44.0,-54.0,-4.0,12.0,4.0,16.0,-5065.0,-5335.0,9688.0,10975.0,-48.0,-1.0,-10.0,1.0
2022-05-13 12:34:23.483232-07:00,2042.4,599.6,1563.7,1772.3,1268.5,1331.4,1414.9,1660.6,3439.5,3444.3,2043.4,1796.5,1749.3,3441.9,1325.0,2019.4,3435.8,3443.1,770.3,1279.2,940.7,590.7,1463.5,2308.7,3451.6,3438.2,841.9,1047.8,1618.1,1970.7,1541.3,1293.6,-10.0,8.0,16.0,-6383.0,-8358.0,9773.0,7895.0,10.0,-13.0,4.0,1.0,0.0,15.0,-5068.0,-5330.0,9669.0,10993.0,22.0,7.0,-5.0,1.0
2022-05-13 12:34:23.483845-07:00,2042.4,599.6,1563.7,1772.3,1268.5,1331.4,1414.9,1660.6,3439.5,3444.3,2043.4,1796.5,1749.3,3441.9,1325.0,2019.4,3435.8,3443.1,770.3,1279.2,940.7,590.7,1463.5,2308.7,3451.6,3438.2,841.9,1047.8,1618.1,1970.7,1541.3,1293.6,-10.0,8.0,16.0,-6383.0,-8358.0,9773.0,7895.0,10.0,-13.0,4.0,1.0,0.0,15.0,-5068.0,-5330.0,9669.0,10993.0,22.0,7.0,-5.0,1.0
