Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:34:22.571064-07:00,1280.1,898.3,1183.2,1030.6,984.2,780.3,1791.6,1396.7,3473.4,3464.9,1134.9,918.6,1728.2,3466.1,1447.9,1387.5,3480.7,3471.0,409.8,637.6,934.7,1167.4,583.5,2524.0,3483.2,3473.4,658.7,862.9,2238.4,1137.5,1073.8,922.0,0.0,8.0,93.0,9739.0,-9332.0,7772.0,-5109.0,169.0,-154.0,107.0,3.0,-10.0,29.0,8557.0,-12434.0,5487.0,-3239.0,242.0,-80.0,-24.0,1.0
2022-05-13 12:34:22.661301-07:00,1289.1,898.3,1183.2,1030.6,986.7,780.3,1791.6,1396.7,3473.4,3473.4,1134.0,918.6,1730.1,3466.1,1447.9,1387.5,3480.7,3471.0,409.8,640.0,934.7,1167.4,587.5,2535.8,3483.2,3473.4,658.7,868.8,2238.4,1132.2,1070.3,926.2,-5.0,19.0,81.0,9783.0,-9288.0,7769.0,-5108.0,67.0,62.0,47.0,-4.0,-4.0,26.0,8606.0,-12406.0,5467.0,-3251.0,51.0,6.0,8.0,1.0
2022-05-13 12:34:22.707210-07:00,1289.1,898.3,1183.2,1032.3,986.7,781.1,1803.2,1414.0,3473.4,3473.4,1134.0,927.9,1730.1,3472.2,1463.5,1393.9,3477.1,3466.1,407.5,640.0,938.1,1167.4,587.5,2535.8,3484.4,3478.3,652.2,868.8,2244.5,1132.2,1070.3,926.2,-3.0,-3.0,32.0,9786.0,-9228.0,7808.0,-5152.0,-2.0,226.0,68.0,0.0,-8.0,7.0,8603.0,-12402.0,5480.0,-3254.0,-67.0,64.0,36.0,1.0
2022-05-13 12:34:22.709439-07:00,1282.8,890.7,1182.3,1021.9,983.3,781.1,1803.2,1414.0,3474.6,3467.4,1135.7,923.7,1730.1,3472.2,1463.5,1393.9,3477.1,3466.1,407.5,636.7,939.8,1173.5,583.5,2534.7,3484.4,3478.3,652.2,867.1,2237.3,1141.9,1087.7,922.8,4.0,10.0,-1.0,9748.0,-9182.0,7889.0,-5184.0,-15.0,216.0,86.0,8.0,-1.0,-8.0,8574.0,-12404.0,5518.0,-3257.0,-64.0,55.0,38.0,1.0
2022-05-13 12:34:22.797266-07:00,1282.8,890.7,1182.3,1021.9,986.7,783.6,1803.2,1404.9,3474.6,3467.4,1135.7,923.7,1726.3,3475.9,1474.6,1394.8,3481.9,3477.1,412.1,637.6,939.8,1173.5,583.5,2534.7,3483.2,3478.3,654.6,869.6,2237.3,1141.9,1087.7,922.8,4.0,19.0,-18.0,9718.0,-9157.0,7946.0,-5198.0,-28.0,85.0,32.0,5.0,1.0,-11.0,8557.0,-12408.0,5536.0,-3256.0,-39.0,17.0,15.0,1.0
2022-05-13 12:34:22.886423-07:00,1281.9,899.1,1189.4,1033.2,986.7,783.6,1803.2,1404.9,3462.5,3475.9,1130.5,926.2,1726.3,3475.9,1474.6,1394.8,3481.9,3477.1,412.1,637.6,939.8,1173.5,595.5,2526.1,3483.2,3478.3,654.6,869.6,2243.5,1140.1,1082.5,915.2,-5.0,1.0,-4.0,9715.0,-9159.0,7945.0,-5200.0,32.0,-44.0,-17.0,-1.0,-4.0,-4.0,8551.0,-12411.0,5539.0,-3255.0,32.0,-13.0,-14.0,1.0
2022-05-13 12:34:22.888254-07:00,1281.9,899.1,1189.4,1033.2,984.2,773.6,1804.2,1404.9,3462.5,3475.9,1130.5,926.2,1731.1,3462.5,1474.6,1397.6,3474.6,3472.2,405.9,636.7,939.8,1173.5,595.5,2526.1,3475.9,3477.1,658.7,868.8,2243.5,1140.1,1082.5,915.2,-2.0,11.0,9.0,9744.0,-9162.0,7914.0,-5187.0,19.0,-106.0,-6.0,-3.0,-1.0,0.0,8572.0,-12403.0,5522.0,-3259.0,44.0,-34.0,-22.0,1.0
2022-05-13 12:34:22.931262-07:00,1289.1,896.6,1186.7,1032.3,984.2,773.6,1804.2,1404.9,3464.9,3464.9,1132.2,927.9,1731.1,3462.5,1474.6,1397.6,3474.6,3472.2,405.9,636.7,939.8,1167.4,585.9,2506.9,3475.9,3477.1,658.7,868.8,2242.5,1139.2,1088.6,925.4,4.0,4.0,22.0,9775.0,-9176.0,7873.0,-5168.0,51.0,-130.0,-29.0,2.0,-3.0,5.0,8591.0,-12399.0,5502.0,-3261.0,77.0,-31.0,-31.0,1.0
2022-05-13 12:34:22.976182-07:00,1277.4,896.6,1186.7,1032.3,985.0,780.3,1797.4,1417.6,3471.0,3464.9,1132.2,927.9,1717.7,3469.8,1470.9,1393.9,3467.4,3477.1,402.8,633.5,939.8,1167.4,585.9,2519.7,3477.1,3478.3,663.6,861.2,2242.5,1139.2,1088.6,918.6,1.0,2.0,25.0,9810.0,-9177.0,7827.0,-5170.0,45.0,-77.0,-32.0,3.0,-2.0,5.0,8618.0,-12387.0,5479.0,-3270.0,54.0,-26.0,-23.0,1.0
2022-05-13 12:34:23.021736-07:00,1277.4,894.9,1193.8,1028.8,985.0,780.3,1797.4,1397.6,3471.0,3477.1,1141.0,922.8,1717.7,3469.8,1470.9,1389.4,3469.8,3477.1,402.8,633.5,943.2,1175.3,592.3,2519.7,3472.2,3478.3,663.6,861.2,2255.9,1145.4,1081.6,918.6,2.0,1.0,24.0,9826.0,-9183.0,7803.0,-5164.0,-9.0,-47.0,-10.0,2.0,-5.0,7.0,8629.0,-12385.0,5466.0,-3271.0,6.0,-9.0,-10.0,1.0
