Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:36:48.421910-07:00,1185.0,785.2,1252.4,1122.6,1072.9,812.7,1827.5,1538.5,3478.3,3478.3,1113.9,919.4,1618.1,3468.6,1530.1,1493.0,3477.1,3474.6,411.4,627.0,922.8,1124.4,623.0,2504.7,3474.6,3473.4,644.0,853.7,2045.4,1239.1,1131.4,939.8,-9.0,9.0,1.0,10232.0,-8767.0,7701.0,-5252.0,34.0,-7.0,4.0,-1.0,-3.0,13.0,8750.0,-12424.0,5082.0,-3421.0,18.0,-15.0,7.0,1.0
2022-05-13 12:36:48.423467-07:00,1189.4,785.2,1252.4,1122.6,1071.2,818.5,1825.5,1538.5,3471.0,3478.3,1113.9,919.4,1621.8,3462.5,1525.5,1493.0,3477.1,3472.2,417.6,629.5,922.8,1124.4,623.0,2503.6,3474.6,3485.6,640.0,850.3,2045.4,1239.1,1131.4,943.2,-3.0,9.0,-5.0,10229.0,-8770.0,7703.0,-5248.0,-38.0,6.0,-7.0,-1.0,-3.0,9.0,8747.0,-12428.0,5081.0,-3414.0,-42.0,-9.0,7.0,1.0
2022-05-13 12:36:48.423764-07:00,1189.4,785.2,1240.8,1112.1,1071.2,818.5,1825.5,1536.6,3471.0,3478.3,1117.4,914.4,1621.8,3462.5,1525.5,1496.7,3481.9,3472.2,417.6,629.5,915.2,1121.7,623.0,2503.6,3475.9,3485.6,640.0,850.3,2028.4,1229.3,1140.1,943.2,0.0,6.0,-10.0,10228.0,-8771.0,7704.0,-5248.0,17.0,4.0,3.0,0.0,1.0,4.0,8743.0,-12431.0,5082.0,-3412.0,0.0,-5.0,8.0,1.0
2022-05-13 12:36:48.464941-07:00,1182.3,785.2,1240.8,1112.1,1070.3,819.4,1837.2,1536.6,3468.6,3478.3,1117.4,914.4,1618.1,3463.7,1533.8,1496.7,3481.9,3480.7,410.6,627.8,915.2,1121.7,623.0,2503.6,3475.9,3480.7,636.7,858.7,2028.4,1229.3,1140.1,944.1,4.0,3.0,-15.0,10223.0,-8776.0,7707.0,-5244.0,-25.0,-3.0,-2.0,-1.0,-2.0,-1.0,8738.0,-12435.0,5083.0,-3409.0,-28.0,-13.0,1.0,1.0
2022-05-13 12:36:48.600676-07:00,1182.3,781.9,1236.4,1112.1,1070.3,819.4,1820.7,1541.3,3468.6,3475.9,1119.1,913.5,1618.1,3463.7,1529.2,1493.0,3469.8,3467.4,410.6,627.8,919.4,1127.0,622.2,2503.6,3469.8,3466.1,636.7,858.7,2022.4,1227.5,1131.4,944.1,0.0,7.0,-13.0,10227.0,-8779.0,7702.0,-5239.0,21.0,-32.0,2.0,0.0,0.0,2.0,8740.0,-12436.0,5080.0,-3404.0,23.0,-19.0,-8.0,1.0
2022-05-13 12:36:48.601773-07:00,1182.3,781.9,1236.4,1112.1,1070.3,819.4,1820.7,1541.3,3468.6,3475.9,1119.1,913.5,1618.1,3463.7,1529.2,1493.0,3469.8,3467.4,410.6,627.8,919.4,1127.0,622.2,2503.6,3469.8,3466.1,636.7,858.7,2022.4,1227.5,1131.4,944.1,0.0,7.0,-13.0,10227.0,-8779.0,7702.0,-5239.0,21.0,-32.0,2.0,0.0,0.0,2.0,8740.0,-12436.0,5080.0,-3404.0,23.0,-19.0,-8.0,1.0
2022-05-13 12:36:48.647155-07:00,1183.2,779.4,1238.2,1119.1,1065.1,818.5,1836.2,1532.9,3467.4,3467.4,1114.7,919.4,1620.9,3478.3,1521.8,1488.4,3467.4,3473.4,416.8,631.9,922.8,1123.5,620.5,2500.4,3479.5,3469.8,643.2,852.8,2043.4,1231.0,1125.2,937.3,-1.0,6.0,-2.0,10254.0,-8772.0,7678.0,-5234.0,34.0,-18.0,11.0,-1.0,-3.0,8.0,8763.0,-12429.0,5058.0,-3404.0,29.0,-22.0,-8.0,1.0
2022-05-13 12:36:48.648854-07:00,1176.2,774.5,1238.2,1119.1,1066.0,821.9,1836.2,1532.9,3463.7,3469.8,1114.7,919.4,1618.1,3469.8,1521.8,1488.4,3467.4,3473.4,415.3,627.0,922.8,1123.5,621.4,2488.7,3479.5,3469.8,641.6,853.7,2043.4,1231.0,1120.9,934.7,-1.0,9.0,0.0,10260.0,-8769.0,7676.0,-5230.0,-2.0,-6.0,5.0,0.0,-2.0,10.0,8771.0,-12426.0,5054.0,-3401.0,8.0,-9.0,0.0,1.0
2022-05-13 12:36:48.649612-07:00,1176.2,774.5,1232.8,1116.5,1066.0,821.9,1829.4,1525.5,3463.7,3469.8,1120.9,915.2,1618.1,3469.8,1518.0,1488.4,3483.2,3475.9,415.3,627.0,921.1,1123.5,621.4,2488.7,3477.1,3477.1,641.6,853.7,2040.4,1231.9,1120.9,934.7,-7.0,-1.0,-2.0,10263.0,-8765.0,7674.0,-5233.0,30.0,3.0,-2.0,-4.0,-8.0,8.0,8774.0,-12424.0,5053.0,-3402.0,10.0,-3.0,-4.0,1.0
2022-05-13 12:36:48.650414-07:00,1185.0,775.3,1232.8,1116.5,1072.1,820.2,1829.4,1525.5,3472.2,3471.0,1120.9,915.2,1615.2,3472.2,1518.0,1488.4,3483.2,3475.9,412.1,626.2,921.1,1123.5,615.7,2490.8,3477.1,3477.1,644.9,850.3,2040.4,1231.9,1131.4,932.2,4.0,7.0,-9.0,10266.0,-8762.0,7673.0,-5235.0,-8.0,5.0,10.0,0.0,0.0,0.0,8779.0,-12420.0,5052.0,-3404.0,-3.0,-7.0,4.0,1.0
