Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:43:27.035367-07:00,1250.6,788.6,1182.3,1040.1,1075.6,838.6,1674.8,1322.3,3479.5,3466.1,1169.1,919.4,1813.9,3466.1,1545.0,1404.0,3472.2,3471.0,373.9,593.9,900.0,1113.9,657.0,2411.3,3479.5,3467.4,673.3,916.0,2039.4,1141.9,1084.2,1085.1,12.0,1.0,0.0,11994.0,-7511.0,7421.0,-3618.0,9.0,-4.0,4.0,2.0,6.0,-2.0,10389.0,-11099.0,4638.0,-3973.0,6.0,-2.0,-1.0,1.0
2022-05-13 12:43:27.079381-07:00,1250.6,788.6,1182.3,1040.1,1077.3,844.4,1672.9,1319.6,3479.5,3466.1,1169.1,919.4,1814.9,3477.1,1543.1,1393.9,3479.5,3472.2,377.0,593.9,900.0,1113.9,657.0,2411.3,3477.1,3467.4,677.4,912.7,2039.4,1141.9,1084.2,1085.1,9.0,0.0,0.0,11995.0,-7510.0,7422.0,-3615.0,9.0,-4.0,15.0,3.0,6.0,0.0,10394.0,-11095.0,4637.0,-3975.0,24.0,1.0,-1.0,1.0
2022-05-13 12:43:27.124023-07:00,1260.4,784.4,1168.2,1043.5,1077.3,844.4,1672.9,1316.9,3466.1,3472.2,1168.2,922.8,1814.9,3477.1,1543.1,1394.8,3472.2,3472.2,377.0,593.9,903.4,1111.2,652.2,2411.3,3478.3,3467.4,677.4,912.7,2039.4,1136.6,1086.0,1082.5,7.0,1.0,1.0,11997.0,-7507.0,7421.0,-3617.0,-3.0,-1.0,-14.0,0.0,3.0,-1.0,10396.0,-11094.0,4636.0,-3975.0,-7.0,-1.0,-4.0,1.0
2022-05-13 12:43:27.169038-07:00,1248.8,784.4,1168.2,1043.5,1079.9,839.4,1673.8,1316.9,3471.0,3472.2,1168.2,922.8,1808.1,3462.5,1544.1,1394.8,3472.2,3473.4,373.9,592.3,903.4,1111.2,652.2,2407.1,3478.3,3473.4,678.2,911.8,2039.4,1136.6,1086.0,1084.2,7.0,-5.0,5.0,11996.0,-7509.0,7421.0,-3617.0,6.0,-2.0,9.0,3.0,1.0,3.0,10395.0,-11094.0,4636.0,-3975.0,17.0,-3.0,-2.0,1.0
2022-05-13 12:43:27.215850-07:00,1248.8,783.6,1184.1,1050.4,1079.9,839.4,1673.8,1318.7,3471.0,3475.9,1170.0,910.1,1808.1,3462.5,1544.1,1399.4,3484.4,3473.4,373.9,592.3,895.7,1114.7,648.1,2407.1,3480.7,3473.4,678.2,911.8,2035.4,1139.2,1075.6,1084.2,11.0,6.0,2.0,11999.0,-7504.0,7421.0,-3618.0,5.0,1.0,2.0,5.0,6.0,4.0,10400.0,-11089.0,4635.0,-3977.0,3.0,4.0,-2.0,1.0
2022-05-13 12:43:27.260368-07:00,1253.3,783.6,1184.1,1050.4,1071.2,848.6,1679.5,1318.7,3464.9,3475.9,1170.0,910.1,1808.1,3471.0,1545.0,1399.4,3484.4,3479.5,375.5,590.7,895.7,1114.7,648.1,2391.3,3480.7,3483.2,680.7,912.7,2035.4,1139.2,1075.6,1083.4,8.0,-4.0,5.0,11997.0,-7503.0,7423.0,-3619.0,0.0,17.0,8.0,3.0,-1.0,0.0,10400.0,-11089.0,4635.0,-3977.0,2.0,4.0,3.0,1.0
2022-05-13 12:43:27.348963-07:00,1253.3,782.7,1175.3,1050.4,1071.2,848.6,1679.5,1323.2,3464.9,3473.4,1180.6,918.6,1808.1,3471.0,1545.0,1391.2,3479.5,3479.5,375.5,590.7,899.1,1113.0,654.6,2391.3,3475.9,3483.2,680.7,912.7,2030.4,1142.7,1078.2,1083.4,12.0,0.0,0.0,11998.0,-7500.0,7427.0,-3617.0,12.0,8.0,5.0,3.0,4.0,0.0,10400.0,-11089.0,4635.0,-3977.0,8.0,4.0,-1.0,1.0
2022-05-13 12:43:27.393996-07:00,1259.6,781.9,1175.3,1050.4,1068.6,836.9,1683.3,1323.2,3471.0,3464.9,1180.6,918.6,1802.3,3468.6,1537.6,1391.2,3479.5,3475.9,379.4,590.7,899.1,1113.0,646.5,2405.0,3475.9,3480.7,675.8,911.8,2030.4,1142.7,1089.5,1074.7,7.0,0.0,0.0,11998.0,-7501.0,7424.0,-3619.0,-4.0,-10.0,-10.0,1.0,1.0,-1.0,10400.0,-11089.0,4635.0,-3977.0,-3.0,-1.0,-3.0,1.0
2022-05-13 12:43:27.529088-07:00,1259.6,781.9,1180.6,1041.8,1068.6,836.9,1684.3,1321.4,3471.0,3464.9,1165.6,922.0,1802.3,3468.6,1536.6,1395.7,3485.6,3467.4,379.4,590.7,902.5,1115.6,646.5,2405.0,3480.7,3488.0,675.8,911.8,2035.4,1144.5,1089.5,1074.7,7.0,-3.0,4.0,11999.0,-7501.0,7424.0,-3619.0,2.0,-2.0,14.0,3.0,3.0,3.0,10403.0,-11087.0,4634.0,-3978.0,13.0,-2.0,4.0,1.0
2022-05-13 12:43:27.531203-07:00,1253.3,788.6,1180.6,1041.8,1073.8,842.8,1684.3,1321.4,3466.1,3478.3,1165.6,922.0,1811.0,3478.3,1536.6,1395.7,3485.6,3467.4,374.7,588.3,902.5,1115.6,649.7,2413.4,3480.7,3488.0,675.0,908.4,2035.4,1144.5,1083.4,1098.2,7.0,3.0,5.0,11999.0,-7500.0,7425.0,-3618.0,1.0,-9.0,-8.0,4.0,2.0,3.0,10405.0,-11085.0,4633.0,-3979.0,-1.0,-5.0,-4.0,1.0
