Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:45:21.942791-07:00,2229.1,620.5,1568.3,1665.3,1106.0,1365.7,1358.5,1572.1,3443.1,3443.1,2111.8,1696.7,1624.7,3437.0,1330.5,1855.7,3440.7,3444.3,697.0,1290.0,894.9,562.6,1465.4,2189.1,3447.9,3451.6,831.9,1059.9,1565.5,1855.7,1506.9,1281.9,0.0,-78.0,-58.0,-6276.0,-9843.0,7491.0,8721.0,1053.0,818.0,602.0,-18.0,22.0,-21.0,-6931.0,-5524.0,7760.0,11387.0,1166.0,338.0,293.0,1.0
2022-05-13 12:45:21.945631-07:00,2229.1,620.5,1568.3,1665.3,1116.5,1370.3,1356.7,1584.2,3443.1,3443.1,2111.8,1696.7,1619.9,3446.7,1328.7,1854.7,3437.0,3446.7,696.2,1285.5,894.9,562.6,1465.4,2189.1,3441.9,3446.7,831.9,1061.7,1565.5,1855.7,1506.9,1281.9,-154.0,154.0,-144.0,-6421.0,-9923.0,7784.0,8256.0,358.0,344.0,962.0,-120.0,65.0,58.0,-6915.0,-5681.0,8083.0,11091.0,680.0,-45.0,357.0,1.0
2022-05-13 12:45:21.946409-07:00,2218.8,631.9,1573.0,1665.3,1116.5,1370.3,1356.7,1584.2,3441.9,3443.1,2114.9,1693.8,1619.9,3446.7,1328.7,1854.7,3437.0,3446.7,696.2,1285.5,890.7,569.8,1466.3,2195.2,3441.9,3446.7,831.9,1061.7,1563.7,1852.8,1486.6,1281.9,-63.0,39.0,-13.0,-6482.0,-9830.0,7895.0,8213.0,-317.0,-196.0,52.0,-56.0,61.0,26.0,-6937.0,-5634.0,8180.0,11030.0,-147.0,-113.0,164.0,1.0
2022-05-13 12:45:21.987364-07:00,2215.7,631.9,1573.0,1665.3,1129.6,1366.6,1345.8,1573.9,3444.3,3443.1,2114.9,1693.8,1611.5,3444.3,1317.8,1854.7,3437.0,3439.5,699.5,1288.2,890.7,569.8,1466.3,2182.0,3435.8,3443.1,825.2,1060.8,1563.7,1852.8,1486.6,1273.0,-65.0,20.0,-22.0,-6587.0,-9684.0,7862.0,8334.0,-400.0,-203.0,161.0,-57.0,0.0,28.0,-7003.0,-5489.0,8123.0,11103.0,-352.0,-174.0,109.0,1.0
2022-05-13 12:45:22.124126-07:00,2215.7,623.8,1568.3,1662.5,1129.6,1366.6,1345.8,1577.7,3444.3,3446.7,2111.8,1693.8,1611.5,3444.3,1317.8,1845.9,3443.1,3439.5,699.5,1288.2,888.2,569.8,1465.4,2182.0,3444.3,3443.1,825.2,1060.8,1560.9,1852.8,1490.3,1273.0,-9.0,63.0,-15.0,-6592.0,-9592.0,7902.0,8398.0,-20.0,-251.0,60.0,-5.0,34.0,11.0,-6977.0,-5414.0,8106.0,11168.0,-78.0,-199.0,-112.0,1.0
2022-05-13 12:45:22.168586-07:00,2218.8,623.8,1568.3,1662.5,1113.0,1365.7,1354.0,1577.7,3438.2,3446.7,2111.8,1693.8,1619.0,3441.9,1316.9,1845.9,3443.1,3441.9,697.9,1292.7,888.2,569.8,1465.4,2173.8,3444.3,3447.9,825.2,1053.9,1560.9,1852.8,1490.3,1276.5,46.0,-32.0,25.0,-6582.0,-9502.0,7902.0,8507.0,-275.0,-255.0,-46.0,28.0,-37.0,-20.0,-6919.0,-5340.0,8061.0,11272.0,-297.0,-214.0,-135.0,1.0
2022-05-13 12:45:22.214835-07:00,2218.8,624.6,1558.1,1667.2,1113.0,1365.7,1354.0,1567.4,3438.2,3449.1,2101.7,1697.6,1619.0,3441.9,1316.9,1850.8,3443.1,3441.9,697.9,1292.7,889.8,569.8,1461.7,2173.8,3449.1,3447.9,825.2,1053.9,1573.0,1850.8,1493.0,1276.5,11.0,-40.0,33.0,-6575.0,-9436.0,7909.0,8580.0,3.0,-159.0,74.0,20.0,-31.0,-3.0,-6871.0,-5273.0,8039.0,11349.0,-24.0,-179.0,-67.0,1.0
2022-05-13 12:45:22.215955-07:00,2222.9,624.6,1558.1,1667.2,1120.9,1350.3,1349.4,1567.4,3439.5,3449.1,2101.7,1697.6,1621.8,3444.3,1318.7,1850.8,3443.1,3439.5,692.1,1287.3,889.8,569.8,1461.7,2179.9,3449.1,3437.0,819.4,1047.8,1573.0,1850.8,1493.0,1280.1,-17.0,-11.0,2.0,-6560.0,-9401.0,7984.0,8560.0,157.0,-65.0,156.0,-29.0,-8.0,4.0,-6818.0,-5245.0,8086.0,11360.0,116.0,-153.0,-16.0,1.0
2022-05-13 12:45:22.258371-07:00,2222.9,618.9,1562.7,1668.2,1120.9,1350.3,1349.4,1576.8,3439.5,3447.9,2102.7,1705.3,1621.8,3444.3,1318.7,1848.9,3444.3,3439.5,692.1,1287.3,886.5,568.2,1460.8,2179.9,3447.9,3437.0,819.4,1047.8,1564.6,1849.8,1484.7,1280.1,-34.0,50.0,2.0,-6527.0,-9397.0,8054.0,8525.0,118.0,-65.0,29.0,-16.0,10.0,16.0,-6761.0,-5235.0,8141.0,11360.0,86.0,-116.0,-57.0,1.0
2022-05-13 12:45:22.348463-07:00,2233.2,631.1,1562.7,1668.2,1115.6,1352.1,1354.9,1576.8,3449.1,3439.5,2102.7,1705.3,1631.3,3446.7,1323.2,1848.9,3444.3,3449.1,697.9,1289.1,886.5,568.2,1463.5,2183.0,3447.9,3446.7,816.0,1052.2,1564.6,1849.8,1485.6,1277.4,-5.0,1.0,17.0,-6492.0,-9396.0,8073.0,8534.0,68.0,-66.0,-19.0,7.0,-6.0,2.0,-6713.0,-5230.0,8158.0,11378.0,60.0,-72.0,-85.0,1.0
