Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:45:21.996948-07:00,1204.4,741.4,1168.2,1049.6,1006.5,834.4,1715.8,1297.2,3469.8,3464.9,1104.3,889.8,1714.8,3457.6,1511.5,1404.9,3475.9,3473.4,373.9,594.7,926.2,1096.4,582.6,2216.8,3478.3,3473.4,664.4,843.6,2054.4,1200.0,1139.2,1042.6,59.0,72.0,-26.0,10038.0,-9100.0,8277.0,-4044.0,196.0,37.0,264.0,7.0,82.0,-23.0,8489.0,-12110.0,5879.0,-3893.0,171.0,-9.0,136.0,1.0
2022-05-13 12:45:22.132240-07:00,1204.4,741.4,1168.2,1049.6,1002.2,826.9,1718.6,1304.3,3469.8,3464.9,1104.3,889.8,1714.8,3472.2,1505.1,1405.8,3480.7,3467.4,370.0,597.1,926.2,1096.4,582.6,2216.8,3488.0,3467.4,663.6,843.6,2054.4,1200.0,1139.2,1042.6,23.0,19.0,-25.0,10074.0,-9046.0,8315.0,-3997.0,8.0,-89.0,152.0,11.0,9.0,-4.0,8537.0,-12081.0,5885.0,-3872.0,82.0,-125.0,26.0,1.0
2022-05-13 12:45:22.356492-07:00,1202.7,743.0,1188.5,1044.4,1002.2,826.9,1718.6,1304.3,3469.8,3464.9,1107.8,889.0,1714.8,3472.2,1505.1,1405.8,3480.7,3467.4,370.0,597.1,916.9,1093.8,579.4,2221.9,3488.0,3467.4,663.6,843.6,2050.4,1206.2,1141.0,1035.7,33.0,20.0,6.0,10168.0,-8966.0,8306.0,-3956.0,296.0,-116.0,186.0,4.0,14.0,-24.0,8616.0,-12055.0,5833.0,-3855.0,297.0,-155.0,-41.0,1.0
2022-05-13 12:45:22.358163-07:00,1204.4,743.0,1188.5,1044.4,995.3,841.1,1714.8,1312.4,3467.4,3464.9,1107.8,889.0,1710.0,3469.8,1506.0,1400.3,3468.6,3474.6,371.6,591.5,916.9,1093.8,579.4,2217.8,3474.6,3467.4,666.0,838.6,2050.4,1206.2,1141.0,1037.5,30.0,28.0,4.0,10196.0,-8940.0,8306.0,-3945.0,-92.0,25.0,9.0,7.0,14.0,-25.0,8664.0,-12059.0,5766.0,-3835.0,-85.0,-168.0,-60.0,1.0
2022-05-13 12:45:22.359163-07:00,1204.4,747.2,1188.5,1040.9,995.3,841.1,1714.8,1302.5,3467.4,3467.4,1106.9,888.2,1710.0,3469.8,1506.0,1402.1,3473.4,3474.6,371.6,591.5,916.0,1097.3,577.0,2217.8,3478.3,3467.4,666.0,838.6,2055.4,1210.6,1140.1,1037.5,5.0,1.0,-2.0,10158.0,-8959.0,8337.0,-3936.0,-89.0,68.0,28.0,-7.0,0.0,-6.0,8648.0,-12109.0,5721.0,-3780.0,-60.0,-148.0,-52.0,1.0
2022-05-13 12:45:22.400799-07:00,1217.7,747.2,1188.5,1040.9,1006.5,829.4,1719.6,1302.5,3467.4,3467.4,1106.9,888.2,1707.2,3475.9,1499.5,1402.1,3473.4,3472.2,366.9,589.9,916.0,1097.3,577.0,2212.7,3478.3,3478.3,657.9,839.4,2055.4,1210.6,1140.1,1044.4,-20.0,-1.0,8.0,10149.0,-8959.0,8363.0,-3901.0,-15.0,-58.0,97.0,-8.0,-15.0,13.0,8662.0,-12130.0,5678.0,-3747.0,59.0,-117.0,-37.0,1.0
2022-05-13 12:45:22.448096-07:00,1217.7,740.6,1173.5,1046.1,1006.5,829.4,1719.6,1310.6,3467.4,3478.3,1103.4,887.3,1707.2,3475.9,1499.5,1399.4,3477.1,3472.2,366.9,589.9,911.8,1099.0,576.2,2212.7,3480.7,3478.3,657.9,839.4,2058.4,1207.1,1134.9,1044.4,5.0,42.0,26.0,10194.0,-8924.0,8355.0,-3884.0,133.0,-46.0,35.0,-4.0,10.0,22.0,8714.0,-12115.0,5630.0,-3744.0,136.0,-86.0,-50.0,1.0
2022-05-13 12:45:22.449141-07:00,1208.9,747.2,1183.2,1047.8,1003.0,836.9,1721.5,1306.1,3472.2,3467.4,1093.8,882.3,1712.9,3473.4,1490.3,1398.5,3478.3,3481.9,371.6,588.3,911.0,1092.9,575.4,2215.7,3472.2,3477.1,659.5,824.4,2066.5,1210.6,1128.7,1042.6,2.0,7.0,-8.0,10375.0,-8823.0,8221.0,-3920.0,120.0,-80.0,113.0,0.0,-4.0,-1.0,8865.0,-12053.0,5499.0,-3787.0,155.0,-77.0,-18.0,1.0
2022-05-13 12:45:22.627249-07:00,1208.9,747.2,1185.9,1033.2,1003.0,836.9,1716.7,1310.6,3472.2,3467.4,1105.1,887.3,1712.9,3473.4,1493.0,1401.2,3473.4,3473.4,371.6,588.3,912.7,1101.7,575.4,2215.7,3464.9,3472.2,659.5,824.4,2053.4,1210.6,1128.7,1042.6,19.0,36.0,-9.0,10433.0,-8798.0,8189.0,-3889.0,49.0,-172.0,22.0,3.0,14.0,-8.0,8920.0,-12033.0,5455.0,-3786.0,113.0,-94.0,-42.0,1.0
2022-05-13 12:45:22.631361-07:00,1208.0,743.0,1185.9,1033.2,1003.0,837.7,1716.7,1310.6,3471.0,3462.5,1105.1,887.3,1710.0,3467.4,1493.0,1401.2,3473.4,3473.4,371.6,594.7,912.7,1101.7,579.4,2210.6,3464.9,3472.2,660.3,829.4,2053.4,1210.6,1140.1,1028.0,16.0,0.0,0.0,10449.0,-8838.0,8143.0,-3853.0,-98.0,-145.0,-62.0,1.0,-4.0,-1.0,8930.0,-12052.0,5413.0,-3761.0,-45.0,-122.0,-49.0,1.0
