Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:47:50.131289-07:00,1415.8,809.4,1241.7,1104.3,1020.2,943.2,1893.8,1417.6,3472.2,3478.3,1141.0,905.0,1782.9,3462.5,1484.7,1407.6,3479.5,3477.1,411.4,643.2,1005.6,1164.7,744.7,2648.2,3474.6,3486.8,713.4,956.8,2325.4,1171.8,1141.9,1038.3,-47.0,-66.0,68.0,9329.0,-7023.0,9973.0,-5711.0,-784.0,476.0,-843.0,-8.0,-95.0,13.0,9318.0,-12857.0,3495.0,-2023.0,-1009.0,115.0,200.0,1.0
2022-05-13 12:47:50.265428-07:00,1406.7,818.5,1241.7,1104.3,1030.6,916.9,1893.8,1417.6,3478.3,3478.3,1141.0,905.0,1787.8,3475.9,1484.7,1407.6,3479.5,3477.1,414.5,645.7,1005.6,1164.7,734.8,2622.1,3474.6,3486.8,711.0,925.4,2325.4,1171.8,1132.2,1042.6,-186.0,-150.0,38.0,8953.0,-7232.0,10103.0,-5822.0,-410.0,684.0,-329.0,-72.0,-126.0,52.0,9070.0,-12995.0,3676.0,-1945.0,-281.0,259.0,407.0,1.0
2022-05-13 12:47:50.267641-07:00,1406.7,818.5,1252.4,1100.8,1030.6,916.9,1942.0,1443.3,3478.3,3478.3,1140.1,912.7,1787.8,3475.9,1483.8,1394.8,3466.1,3480.7,414.5,645.7,1004.8,1165.6,734.8,2622.1,3478.3,3483.2,711.0,925.4,2295.2,1164.7,1132.2,1042.6,-161.0,-70.0,-39.0,8811.0,-7174.0,10216.0,-5914.0,163.0,395.0,41.0,-121.0,-99.0,10.0,9068.0,-12939.0,3894.0,-1908.0,154.0,142.0,537.0,1.0
2022-05-13 12:47:50.268648-07:00,1404.0,810.2,1252.4,1100.8,1026.3,912.7,1942.0,1443.3,3478.3,3469.8,1140.1,912.7,1782.0,3469.8,1483.8,1394.8,3466.1,3480.7,410.6,647.3,1004.8,1165.6,724.9,2623.2,3478.3,3483.2,705.2,925.4,2295.2,1164.7,1128.7,1028.8,-101.0,-22.0,-51.0,8775.0,-7137.0,10246.0,-5960.0,33.0,-34.0,-47.0,-52.0,-53.0,5.0,9123.0,-12848.0,4101.0,-1821.0,126.0,44.0,600.0,1.0
2022-05-13 12:47:50.502632-07:00,1404.0,810.2,1249.7,1101.7,1026.3,912.7,1936.1,1488.4,3478.3,3469.8,1137.5,907.6,1782.0,3469.8,1477.3,1393.0,3477.1,3479.5,410.6,647.3,1003.9,1164.7,724.9,2623.2,3480.7,3477.1,705.2,925.4,2284.8,1155.9,1128.7,1028.8,-133.0,43.0,-73.0,8799.0,-7173.0,10203.0,-5956.0,-63.0,-239.0,-91.0,-73.0,69.0,38.0,9217.0,-12737.0,4282.0,-1712.0,362.0,-8.0,493.0,1.0
2022-05-13 12:47:50.504721-07:00,1407.6,811.0,1240.8,1101.7,1022.8,910.1,1936.1,1488.4,3480.7,3471.0,1140.1,907.6,1769.5,3479.5,1477.3,1393.0,3477.1,3479.5,412.9,657.0,1003.9,1168.2,732.3,2611.3,3480.7,3477.1,707.7,908.4,2284.8,1155.9,1125.2,1034.0,11.0,126.0,60.0,8877.0,-7174.0,10209.0,-5827.0,-12.0,-127.0,442.0,-16.0,114.0,45.0,9304.0,-12626.0,4440.0,-1651.0,298.0,199.0,314.0,1.0
2022-05-13 12:47:50.505774-07:00,1407.6,811.0,1240.8,1083.4,1022.8,906.7,1914.4,1470.9,3480.7,3471.0,1140.1,912.7,1769.5,3473.4,1492.1,1393.9,3478.3,3472.2,412.1,657.0,1011.6,1168.2,732.3,2611.3,3468.6,3478.3,707.7,908.4,2287.9,1155.9,1125.2,1034.0,105.0,193.0,33.0,8976.0,-7063.0,10193.0,-5839.0,304.0,-76.0,-86.0,104.0,94.0,33.0,9385.0,-12511.0,4566.0,-1732.0,252.0,351.0,98.0,1.0
2022-05-13 12:47:50.506790-07:00,1417.6,811.9,1263.1,1083.4,1028.8,906.7,1914.4,1470.9,3469.8,3472.2,1136.6,912.7,1777.2,3473.4,1492.1,1393.9,3478.3,3472.2,412.1,666.8,1011.6,1171.8,721.6,2608.0,3468.6,3478.3,707.7,915.2,2287.9,1164.7,1132.2,1031.4,104.0,75.0,16.0,9015.0,-7182.0,10034.0,-5908.0,55.0,-450.0,-450.0,127.0,97.0,35.0,9363.0,-12474.0,4651.0,-1882.0,55.0,392.0,-105.0,1.0
2022-05-13 12:47:50.670604-07:00,1417.6,811.9,1263.1,1093.8,1028.8,909.3,1895.8,1455.2,3469.8,3472.2,1136.6,904.2,1777.2,3471.0,1500.4,1394.8,3475.9,3468.6,410.6,666.8,1011.6,1171.8,721.6,2608.0,3478.3,3467.4,712.6,915.2,2279.6,1164.7,1132.2,1031.4,162.0,-27.0,14.0,9175.0,-7329.0,9772.0,-5920.0,358.0,-686.0,-308.0,119.0,44.0,-62.0,9381.0,-12423.0,4673.0,-2063.0,388.0,306.0,-163.0,1.0
2022-05-13 12:47:50.672127-07:00,1414.0,811.9,1261.3,1093.8,1021.1,909.3,1895.8,1455.2,3469.8,3468.6,1136.6,904.2,1777.2,3471.0,1500.4,1394.8,3475.9,3468.6,410.6,670.9,1011.6,1168.2,714.2,2588.5,3478.3,3467.4,712.6,930.5,2279.6,1162.1,1134.0,1032.3,76.0,-13.0,4.0,9314.0,-7352.0,9580.0,-5989.0,304.0,-232.0,-150.0,47.0,51.0,-86.0,9458.0,-12342.0,4662.0,-2218.0,260.0,202.0,-116.0,1.0
2022-05-13 12:47:50.673547-07:00,1414.0,811.9,1261.3,1097.3,1017.6,905.9,1912.4,1454.3,3469.8,3468.6,1136.6,903.4,1782.0,3471.0,1502.3,1393.0,3480.7,3471.0,409.0,676.6,1007.3,1168.2,714.2,2588.5,3475.9,3480.7,710.1,927.9,2277.6,1162.1,1134.0,1032.3,44.0,-18.0,-24.0,9293.0,-7353.0,9557.0,-6055.0,-5.0,241.0,-124.0,14.0,23.0,-79.0,9442.0,-12327.0,4695.0,-2302.0,-98.0,210.0,-22.0,1.0
2022-05-13 12:47:50.717093-07:00,1408.5,812.7,1248.8,1086.0,1017.6,905.9,1912.4,1454.3,3474.6,3479.5,1129.6,906.7,1782.0,3471.0,1502.3,1393.0,3480.7,3471.0,409.0,676.6,1007.3,1167.4,713.4,2597.2,3475.9,3480.7,710.1,927.9,2246.6,1155.0,1137.5,1040.1,16.0,26.0,-15.0,9166.0,-7351.0,9636.0,-6127.0,-123.0,367.0,-147.0,18.0,34.0,-12.0,9340.0,-12372.0,4760.0,-2344.0,-280.0,206.0,-16.0,1.0
2022-05-13 12:47:50.718696-07:00,1408.5,812.7,1248.8,1086.0,1021.9,904.2,1910.5,1444.2,3474.6,3479.5,1129.6,906.7,1780.1,3464.9,1488.4,1393.0,3471.0,3467.4,412.1,672.5,1007.3,1167.4,713.4,2597.2,3480.7,3477.1,706.0,922.0,2246.6,1155.0,1137.5,1040.1,64.0,34.0,9.0,8993.0,-7442.0,9700.0,-6172.0,-380.0,234.0,-381.0,62.0,-6.0,-21.0,9178.0,-12468.0,4810.0,-2369.0,-473.0,168.0,-95.0,1.0
2022-05-13 12:47:50.761509-07:00,1415.8,811.0,1238.2,1085.1,1021.9,904.2,1910.5,1444.2,3478.3,3467.4,1123.5,897.4,1780.1,3464.9,1488.4,1393.0,3471.0,3467.4,412.1,672.5,1007.3,1166.5,705.2,2605.8,3480.7,3477.1,706.0,922.0,2261.0,1153.3,1132.2,1038.3,37.0,-87.0,31.0,8801.0,-7604.0,9698.0,-6255.0,-194.0,147.0,-476.0,78.0,-56.0,1.0,9010.0,-12579.0,4833.0,-2380.0,-327.0,100.0,-80.0,1.0
