Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:49:55.013938-07:00,1324.1,862.9,1035.7,984.2,1014.2,870.5,1689.1,1289.1,3478.3,3478.3,1073.8,865.4,1653.0,3473.4,1289.1,1251.5,3467.4,3474.6,369.3,640.8,939.8,1171.8,653.8,2271.4,3473.4,3475.9,657.9,914.4,1909.5,994.5,942.4,967.9,2.0,-1.0,10.0,7950.0,-6795.0,10141.0,-7498.0,-1.0,-11.0,-3.0,-4.0,4.0,-7.0,9094.0,-12652.0,4241.0,-2771.0,1.0,1.0,-3.0,1.0
2022-05-13 12:49:55.104655-07:00,1324.1,862.9,1023.7,988.5,1014.2,870.5,1690.0,1293.6,3478.3,3478.3,1072.1,862.9,1653.0,3473.4,1283.7,1260.4,3468.6,3483.2,369.3,640.8,939.8,1175.3,653.8,2271.4,3467.4,3477.1,657.9,914.4,1911.5,995.3,942.4,967.9,2.0,-2.0,11.0,7949.0,-6796.0,10141.0,-7498.0,-8.0,-9.0,-13.0,-4.0,4.0,-7.0,9094.0,-12652.0,4241.0,-2771.0,-1.0,2.0,-4.0,1.0
2022-05-13 12:49:55.148386-07:00,1326.8,857.0,1023.7,988.5,1020.2,871.3,1690.0,1293.6,3473.4,3472.2,1072.1,862.9,1657.7,3468.6,1283.7,1260.4,3468.6,3483.2,372.4,636.7,939.8,1175.3,646.5,2271.4,3467.4,3477.1,675.8,916.0,1911.5,995.3,946.6,977.3,4.0,0.0,10.0,7945.0,-6800.0,10145.0,-7492.0,-22.0,0.0,-8.0,-2.0,4.0,-11.0,9091.0,-12654.0,4242.0,-2770.0,-5.0,6.0,-2.0,1.0
2022-05-13 12:49:55.237976-07:00,1326.8,857.0,1028.8,986.7,1020.2,871.3,1701.4,1281.0,3473.4,3472.2,1062.5,862.9,1657.7,3468.6,1296.3,1257.8,3473.4,3473.4,372.4,636.7,943.2,1170.9,646.5,2271.4,3483.2,3489.2,675.8,916.0,1900.7,996.2,946.6,977.3,4.0,-4.0,6.0,7942.0,-6805.0,10149.0,-7488.0,-19.0,-5.0,-6.0,0.0,0.0,-13.0,9091.0,-12654.0,4242.0,-2770.0,-3.0,9.0,-2.0,1.0
2022-05-13 12:49:55.240181-07:00,1326.8,858.7,1030.6,986.7,1027.1,870.5,1701.4,1281.0,3474.6,3466.1,1067.7,862.9,1654.9,3468.6,1296.3,1257.8,3473.4,3473.4,372.4,644.0,943.2,1175.3,653.8,2284.8,3483.2,3489.2,665.2,908.4,1900.7,997.9,946.6,960.2,3.0,-3.0,6.0,7940.0,-6807.0,10150.0,-7486.0,-3.0,-5.0,-6.0,-3.0,2.0,-9.0,9091.0,-12654.0,4242.0,-2770.0,-1.0,5.0,-4.0,1.0
2022-05-13 12:49:55.241271-07:00,1326.8,858.7,1030.6,986.7,1027.1,869.6,1699.5,1281.0,3474.6,3466.1,1067.7,862.9,1654.9,3468.6,1289.1,1258.7,3473.4,3478.3,366.9,644.0,938.1,1175.3,653.8,2284.8,3480.7,3477.1,665.2,908.4,1911.5,997.9,946.6,960.2,7.0,0.0,7.0,7941.0,-6807.0,10150.0,-7485.0,-1.0,4.0,-1.0,-4.0,5.0,-10.0,9093.0,-12653.0,4242.0,-2771.0,-1.0,3.0,-2.0,1.0
2022-05-13 12:49:55.242753-07:00,1316.9,866.3,1033.2,986.7,1016.8,869.6,1699.5,1281.0,3475.9,3457.6,1070.3,862.9,1655.8,3468.6,1289.1,1258.7,3473.4,3478.3,366.9,637.6,938.1,1179.7,647.3,2287.9,3480.7,3477.1,665.2,908.4,1911.5,1001.3,941.5,962.0,4.0,0.0,7.0,7942.0,-6805.0,10148.0,-7487.0,10.0,-5.0,4.0,-2.0,2.0,-10.0,9095.0,-12651.0,4241.0,-2771.0,14.0,1.0,-3.0,1.0
2022-05-13 12:49:55.508555-07:00,1316.9,866.3,1033.2,975.6,1016.8,870.5,1699.5,1277.4,3475.9,3457.6,1070.3,865.4,1655.8,3473.4,1288.2,1257.8,3478.3,3472.2,371.6,637.6,932.2,1179.7,647.3,2287.9,3471.0,3463.7,662.7,908.4,1912.4,1001.3,941.5,962.0,2.0,-1.0,6.0,7944.0,-6803.0,10146.0,-7490.0,15.0,-6.0,6.0,-2.0,2.0,-10.0,9095.0,-12651.0,4241.0,-2772.0,12.0,1.0,-5.0,1.0
2022-05-13 12:49:55.600359-07:00,1322.3,865.4,1032.3,975.6,1010.8,870.5,1699.5,1277.4,3469.8,3467.4,1066.0,865.4,1652.0,3473.4,1288.2,1257.8,3478.3,3472.2,371.6,633.5,932.2,1169.1,645.7,2300.4,3471.0,3463.7,662.7,908.4,1912.4,990.2,945.8,962.8,2.0,0.0,10.0,7944.0,-6802.0,10146.0,-7491.0,-2.0,5.0,1.0,-3.0,7.0,-12.0,9098.0,-12649.0,4241.0,-2773.0,-2.0,-2.0,-1.0,1.0
2022-05-13 12:49:55.601830-07:00,1322.3,865.4,1032.3,986.7,1016.8,870.5,1700.5,1288.2,3469.8,3467.4,1066.0,863.7,1653.0,3475.9,1285.5,1254.2,3478.3,3475.9,371.6,636.7,940.7,1169.1,645.7,2300.4,3480.7,3480.7,661.9,912.7,1907.5,990.2,945.8,962.8,2.0,-3.0,8.0,7944.0,-6802.0,10146.0,-7491.0,7.0,-9.0,2.0,-2.0,1.0,-7.0,9099.0,-12648.0,4240.0,-2773.0,12.0,1.0,-2.0,1.0
2022-05-13 12:49:55.604425-07:00,1324.1,855.3,1030.6,985.0,1016.8,870.5,1700.5,1288.2,3469.8,3480.7,1065.1,860.4,1653.0,3475.9,1285.5,1254.2,3478.3,3475.9,371.6,636.7,941.5,1173.5,646.5,2306.6,3480.7,3480.7,661.9,912.7,1903.6,991.0,939.8,966.2,1.0,0.0,9.0,7944.0,-6802.0,10146.0,-7491.0,3.0,-1.0,3.0,-3.0,5.0,-10.0,9100.0,-12647.0,4240.0,-2773.0,6.0,4.0,-2.0,1.0
2022-05-13 12:49:55.605445-07:00,1324.1,855.3,1030.6,985.0,1012.5,862.9,1690.0,1281.9,3469.8,3480.7,1065.1,860.4,1653.9,3474.6,1289.1,1257.8,3473.4,3472.2,366.2,636.7,941.5,1173.5,646.5,2306.6,3472.2,3488.0,657.9,905.0,1903.6,991.0,939.8,966.2,8.0,0.0,9.0,7944.0,-6802.0,10146.0,-7491.0,8.0,14.0,4.0,-3.0,6.0,-18.0,9100.0,-12647.0,4240.0,-2773.0,8.0,-5.0,-3.0,1.0
2022-05-13 12:49:55.736196-07:00,1326.8,853.7,1022.8,984.2,1021.1,865.4,1691.9,1287.3,3478.3,3477.1,1070.3,854.5,1657.7,3463.7,1292.7,1252.4,3474.6,3473.4,373.2,635.9,935.6,1167.4,645.7,2291.0,3480.7,3479.5,662.7,905.9,1893.8,998.7,942.4,962.0,4.0,-5.0,4.0,7940.0,-6810.0,10146.0,-7489.0,25.0,-14.0,14.0,0.0,3.0,-12.0,9103.0,-12645.0,4239.0,-2774.0,24.0,0.0,-5.0,1.0
