Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:54:53.344156-07:00,1202.7,779.4,1202.7,1002.2,1072.9,818.5,1714.8,1338.6,3472.2,3472.2,1182.3,912.7,1646.4,3461.3,1511.5,1383.0,3471.0,3477.1,264.5,446.7,720.8,925.4,513.9,2219.8,3480.7,3473.4,717.5,1000.5,1971.7,1177.9,1148.0,1004.8,-2.0,-1.0,-18.0,10832.0,-12002.0,2654.0,-60.0,-35.0,-44.0,3.0,3.0,10.0,-14.0,8904.0,-13733.0,171.0,722.0,-31.0,-36.0,2.0,1.0
2022-05-13 12:54:53.388865-07:00,1204.4,778.6,1206.2,1011.6,1072.9,818.5,1714.8,1338.6,3471.0,3479.5,1182.3,905.0,1646.4,3461.3,1511.5,1383.0,3471.0,3477.1,264.5,446.7,725.8,922.8,505.1,2225.0,3480.7,3473.4,717.5,1000.5,1966.7,1172.6,1154.2,1003.0,-1.0,-4.0,11.0,10814.0,-12021.0,2644.0,-45.0,-78.0,-20.0,-11.0,5.0,3.0,0.0,8880.0,-13748.0,161.0,735.0,-83.0,-25.0,8.0,1.0
2022-05-13 12:54:53.390488-07:00,1206.2,778.6,1206.2,1011.6,1073.8,812.7,1710.0,1342.2,3471.0,3479.5,1182.3,905.0,1644.5,3468.6,1510.6,1375.7,3467.4,3474.6,262.2,452.2,725.8,922.8,505.1,2227.0,3474.6,3477.1,720.0,1000.5,1966.7,1172.6,1154.2,1004.8,-6.0,5.0,-1.0,10783.0,-12048.0,2646.0,-48.0,-128.0,47.0,-13.0,-1.0,11.0,-1.0,8842.0,-13772.0,163.0,741.0,-128.0,5.0,25.0,1.0
2022-05-13 12:54:53.433536-07:00,1206.2,781.1,1205.3,1012.5,1073.8,812.7,1710.0,1336.8,3471.0,3478.3,1180.6,905.0,1644.5,3468.6,1510.6,1384.8,3478.3,3474.6,262.2,452.2,725.8,922.8,503.6,2227.0,3483.2,3477.1,720.0,1000.5,1966.7,1182.3,1150.6,1004.8,-4.0,-8.0,-19.0,10739.0,-12085.0,2660.0,-69.0,-81.0,87.0,-23.0,0.0,4.0,-13.0,8799.0,-13800.0,172.0,741.0,-84.0,20.0,18.0,1.0
2022-05-13 12:54:53.524302-07:00,1200.0,781.1,1205.3,1012.5,1072.9,816.0,1710.0,1336.8,3467.4,3478.3,1180.6,905.0,1643.5,3472.2,1510.6,1384.8,3478.3,3488.0,259.2,446.7,725.8,922.8,503.6,2222.9,3483.2,3478.3,716.7,1000.5,1966.7,1182.3,1150.6,998.7,-5.0,0.0,-35.0,10720.0,-12098.0,2675.0,-89.0,-37.0,40.0,0.0,-9.0,13.0,-26.0,8776.0,-13814.0,178.0,743.0,-44.0,-3.0,10.0,1.0
2022-05-13 12:54:53.525419-07:00,1200.0,772.0,1206.2,1008.2,1072.9,816.0,1710.0,1334.1,3467.4,3468.6,1182.3,912.7,1643.5,3472.2,1510.6,1379.4,3464.9,3488.0,259.2,446.7,721.6,922.8,507.5,2222.9,3480.7,3478.3,716.7,1000.5,1981.6,1175.3,1146.3,998.7,-13.0,7.0,-35.0,10692.0,-12120.0,2686.0,-85.0,-29.0,-18.0,1.0,-11.0,13.0,-15.0,8760.0,-13824.0,174.0,753.0,-9.0,-30.0,-15.0,1.0
2022-05-13 12:54:53.567689-07:00,1206.2,772.0,1206.2,1008.2,1070.3,811.9,1705.3,1334.1,3462.5,3468.6,1182.3,912.7,1638.8,3467.4,1519.0,1379.4,3464.9,3467.4,263.0,445.9,721.6,922.8,507.5,2224.0,3480.7,3475.9,720.0,992.7,1981.6,1175.3,1146.3,999.6,-1.0,-23.0,-6.0,10688.0,-12126.0,2673.0,-70.0,31.0,-48.0,-16.0,-3.0,7.0,-14.0,8762.0,-13822.0,157.0,761.0,34.0,-37.0,-36.0,1.0
2022-05-13 12:54:53.613823-07:00,1206.2,782.7,1203.5,1004.8,1070.3,811.9,1705.3,1331.4,3462.5,3467.4,1183.2,905.0,1638.8,3467.4,1519.0,1384.8,3480.7,3467.4,263.0,445.9,724.9,926.2,502.8,2224.0,3472.2,3475.9,720.0,992.7,1963.7,1170.9,1154.2,999.6,7.0,4.0,7.0,10722.0,-12098.0,2668.0,-58.0,121.0,-34.0,40.0,11.0,7.0,0.0,8801.0,-13798.0,144.0,764.0,117.0,-14.0,-15.0,1.0
2022-05-13 12:54:53.657927-07:00,1208.0,783.6,1203.5,1004.8,1073.8,818.5,1711.0,1331.4,3469.8,3472.2,1183.2,905.0,1641.6,3467.4,1506.9,1384.8,3480.7,3469.8,263.0,450.6,724.9,926.2,500.4,2219.8,3472.2,3468.6,715.1,1001.3,1963.7,1170.9,1148.0,1001.3,-3.0,-5.0,8.0,10744.0,-12078.0,2671.0,-56.0,25.0,3.0,-5.0,9.0,0.0,6.0,8822.0,-13785.0,144.0,759.0,21.0,15.0,0.0,1.0
2022-05-13 12:54:53.749395-07:00,1208.0,783.6,1200.0,1008.2,1073.8,818.5,1704.3,1333.2,3469.8,3472.2,1177.9,904.2,1641.6,3467.4,1503.2,1378.5,3478.3,3464.9,263.0,450.6,723.3,926.2,500.4,2219.8,3471.0,3475.9,715.1,1001.3,1962.8,1175.3,1148.0,1001.3,-7.0,0.0,-6.0,10744.0,-12077.0,2674.0,-58.0,7.0,14.0,10.0,-1.0,8.0,-2.0,8825.0,-13782.0,149.0,755.0,20.0,18.0,9.0,1.0
