Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:56:53.561267-07:00,2058.4,586.7,1438.7,1579.6,1125.2,1269.4,1240.8,1403.0,3440.7,3440.7,1934.1,1551.5,1531.0,3439.5,1285.5,1809.0,3441.9,3432.2,712.6,1256.0,874.7,567.4,1335.0,1848.9,3451.6,3443.1,771.1,979.0,1383.0,1782.9,1460.8,1119.1,-3.0,-5.0,-5.0,-7223.0,-7211.0,10367.0,7537.0,-14.0,-10.0,3.0,0.0,-1.0,-1.0,-5575.0,-5592.0,9817.0,10474.0,-15.0,-10.0,4.0,1.0
2022-05-13 12:56:53.562772-07:00,2050.4,586.7,1438.7,1579.6,1133.1,1281.9,1242.6,1403.0,3445.5,3440.7,1934.1,1551.5,1530.1,3440.7,1282.8,1809.0,3441.9,3439.5,707.7,1252.4,874.7,567.4,1335.0,1851.8,3451.6,3449.1,773.6,975.6,1383.0,1782.9,1460.8,1118.2,-1.0,4.0,-3.0,-7219.0,-7208.0,10369.0,7540.0,6.0,-17.0,4.0,-2.0,4.0,-2.0,-5575.0,-5592.0,9817.0,10475.0,8.0,-1.0,2.0,1.0
2022-05-13 12:56:53.606068-07:00,2050.4,577.0,1441.5,1571.1,1133.1,1281.9,1239.9,1415.8,3445.5,3440.7,1941.0,1547.8,1530.1,3440.7,1281.0,1811.9,3441.9,3444.3,707.7,1252.4,874.7,569.8,1335.0,1851.8,3450.4,3444.3,773.6,975.6,1382.1,1779.1,1465.4,1118.2,-2.0,-4.0,-1.0,-7219.0,-7207.0,10368.0,7541.0,-1.0,-9.0,-2.0,-1.0,2.0,0.0,-5575.0,-5592.0,9817.0,10475.0,-4.0,-7.0,4.0,1.0
2022-05-13 12:56:53.650882-07:00,2046.4,578.6,1441.5,1571.1,1128.7,1278.3,1239.9,1415.8,3444.3,3444.3,1941.0,1547.8,1538.5,3445.5,1281.0,1811.9,3441.9,3444.3,711.8,1260.4,874.7,569.8,1334.1,1848.9,3450.4,3444.3,775.3,983.3,1382.1,1779.1,1467.2,1120.0,-2.0,-2.0,0.0,-7215.0,-7208.0,10373.0,7538.0,10.0,-13.0,-8.0,3.0,0.0,1.0,-5574.0,-5592.0,9819.0,10473.0,7.0,-1.0,-6.0,1.0
2022-05-13 12:56:53.697479-07:00,2046.4,578.6,1434.1,1570.2,1128.7,1278.3,1250.6,1411.3,3444.3,3444.3,1931.1,1549.7,1538.5,3445.5,1281.9,1815.8,3434.6,3449.1,711.8,1260.4,876.4,573.0,1334.1,1848.9,3441.9,3456.4,775.3,983.3,1380.3,1788.7,1467.2,1120.0,1.0,-5.0,2.0,-7205.0,-7214.0,10373.0,7542.0,7.0,-8.0,-22.0,-1.0,0.0,1.0,-5574.0,-5592.0,9819.0,10473.0,-10.0,5.0,-9.0,1.0
2022-05-13 12:56:53.811537-07:00,2058.4,569.8,1434.1,1570.2,1124.4,1297.2,1250.6,1411.3,3439.5,3440.7,1931.1,1549.7,1531.0,3454.0,1281.9,1815.8,3434.6,3449.1,709.3,1256.0,876.4,573.0,1338.6,1848.9,3441.9,3456.4,758.7,981.6,1380.3,1788.7,1462.6,1105.1,-4.0,1.0,-5.0,-7199.0,-7220.0,10375.0,7539.0,24.0,-13.0,-3.0,-1.0,6.0,1.0,-5573.0,-5593.0,9820.0,10472.0,13.0,0.0,-5.0,1.0
2022-05-13 12:56:53.812805-07:00,2058.4,569.8,1446.0,1569.3,1124.4,1297.2,1245.3,1408.5,3439.5,3440.7,1936.1,1540.3,1531.0,3454.0,1279.2,1805.2,3423.7,3438.2,709.3,1256.0,878.0,568.2,1338.6,1848.9,3445.5,3438.2,758.7,981.6,1383.9,1779.1,1462.6,1105.1,-9.0,-1.0,-4.0,-7197.0,-7219.0,10377.0,7539.0,-9.0,7.0,-5.0,-2.0,0.0,3.0,-5572.0,-5594.0,9821.0,10471.0,1.0,-2.0,-1.0,1.0
2022-05-13 12:56:53.902505-07:00,2060.5,572.2,1439.6,1569.3,1129.6,1280.1,1245.3,1408.5,3437.0,3428.6,1927.2,1540.3,1534.8,3451.6,1279.2,1805.2,3423.7,3438.2,709.3,1252.4,878.0,568.2,1337.7,1852.8,3445.5,3438.2,767.8,979.9,1383.9,1780.1,1461.7,1123.5,2.0,0.0,-3.0,-7193.0,-7219.0,10380.0,7540.0,5.0,-14.0,-2.0,-1.0,5.0,-5.0,-5572.0,-5594.0,9822.0,10470.0,4.0,0.0,-2.0,1.0
2022-05-13 12:56:53.975071-07:00,2060.5,572.2,1439.6,1559.9,1129.6,1281.0,1234.6,1420.4,3437.0,3428.6,1927.2,1547.8,1534.8,3440.7,1277.4,1803.2,3444.3,3438.2,709.3,1252.4,877.2,568.2,1337.7,1852.8,3446.7,3438.2,771.1,979.9,1382.1,1780.1,1461.7,1123.5,-2.0,-2.0,-1.0,-7196.0,-7216.0,10378.0,7543.0,-12.0,-6.0,14.0,-2.0,0.0,3.0,-5572.0,-5594.0,9822.0,10470.0,0.0,-6.0,5.0,1.0
2022-05-13 12:56:54.061563-07:00,2052.4,575.4,1440.5,1559.9,1130.5,1281.0,1234.6,1420.4,3440.7,3445.5,1931.1,1547.8,1532.0,3440.7,1277.4,1803.2,3444.3,3438.2,709.3,1256.9,877.2,566.6,1337.7,1848.9,3446.7,3438.2,771.1,978.2,1382.1,1781.0,1463.5,1126.1,-4.0,3.0,0.0,-7203.0,-7209.0,10377.0,7544.0,-25.0,9.0,17.0,1.0,2.0,3.0,-5570.0,-5592.0,9823.0,10471.0,-3.0,-11.0,7.0,1.0
2022-05-13 12:56:54.062875-07:00,2052.4,575.4,1440.5,1570.2,1130.5,1278.3,1254.2,1403.0,3440.7,3445.5,1931.1,1553.4,1532.0,3446.7,1279.2,1806.1,3439.5,3438.2,717.5,1256.9,876.4,566.6,1337.7,1848.9,3444.3,3443.1,776.1,978.2,1383.9,1781.0,1463.5,1126.1,-2.0,3.0,-4.0,-7207.0,-7204.0,10375.0,7546.0,5.0,-2.0,-1.0,0.0,4.0,2.0,-5570.0,-5592.0,9823.0,10471.0,4.0,2.0,0.0,1.0
2022-05-13 12:56:54.192826-07:00,2051.4,577.0,1433.2,1570.2,1128.7,1278.3,1254.2,1403.0,3444.3,3435.8,1933.1,1553.4,1535.7,3446.7,1279.2,1806.1,3439.5,3438.2,717.5,1259.6,876.4,562.6,1331.4,1846.9,3444.3,3443.1,776.1,981.6,1383.9,1779.1,1463.5,1116.5,-5.0,-4.0,-4.0,-7207.0,-7204.0,10374.0,7548.0,-20.0,3.0,4.0,-2.0,2.0,-1.0,-5570.0,-5592.0,9823.0,10471.0,-9.0,-7.0,1.0,1.0
2022-05-13 12:56:54.193306-07:00,2051.4,577.0,1433.2,1569.3,1133.1,1275.6,1241.7,1404.0,3444.3,3435.8,1933.1,1547.8,1541.3,3434.6,1293.6,1802.3,3440.7,3428.6,707.7,1252.4,878.9,562.6,1331.4,1846.9,3445.5,3440.7,774.5,981.6,1381.2,1779.1,1463.5,1116.5,-3.0,6.0,-4.0,-7209.0,-7200.0,10376.0,7548.0,18.0,-10.0,4.0,-1.0,1.0,2.0,-5571.0,-5591.0,9822.0,10473.0,9.0,-4.0,4.0,1.0
