Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:59:25.607090-07:00,2646.0,765.3,1659.6,1827.5,1331.4,1397.6,1525.5,1753.1,3450.4,3445.5,2194.2,1770.4,1832.3,3443.1,1392.1,1974.6,3428.6,3438.2,710.1,1275.6,903.4,564.2,1609.6,2605.8,3440.7,3445.5,847.8,1124.4,1912.4,1963.7,1612.4,1206.2,-8.0,-2.0,-4.0,-5813.0,-7900.0,10149.0,8320.0,-7.0,-20.0,9.0,-3.0,7.0,4.0,-5303.0,-5101.0,9543.0,11101.0,-7.0,-5.0,-1.0,1.0
2022-05-13 12:59:25.608713-07:00,2646.0,765.3,1654.9,1825.5,1331.4,1397.6,1514.3,1757.0,3450.4,3445.5,2206.5,1772.3,1832.3,3443.1,1390.3,1982.6,3426.2,3438.2,710.1,1275.6,906.7,567.4,1609.6,2605.8,3449.1,3446.7,847.8,1124.4,1904.6,1975.6,1612.4,1206.2,-7.0,-4.0,-3.0,-5809.0,-7898.0,10151.0,8323.0,-2.0,-12.0,5.0,-2.0,0.0,1.0,-5303.0,-5101.0,9543.0,11101.0,6.0,-3.0,3.0,1.0
2022-05-13 12:59:25.609733-07:00,2641.7,766.2,1654.9,1825.5,1344.9,1387.5,1514.3,1757.0,3441.9,3438.2,2206.5,1772.3,1826.5,3437.0,1390.3,1982.6,3426.2,3438.2,712.6,1274.7,906.7,567.4,1604.0,2605.8,3449.1,3446.7,851.1,1127.0,1904.6,1975.6,1604.0,1210.6,-5.0,-1.0,-7.0,-5807.0,-7893.0,10155.0,8325.0,-3.0,-7.0,10.0,-6.0,0.0,-1.0,-5302.0,-5102.0,9544.0,11099.0,4.0,-3.0,4.0,1.0
2022-05-13 12:59:25.695024-07:00,2641.7,766.2,1656.8,1830.4,1344.9,1401.2,1512.5,1757.9,3441.9,3438.2,2209.6,1767.5,1826.5,3438.2,1393.9,1978.6,3435.8,3444.3,711.0,1274.7,907.6,569.0,1604.0,2605.8,3432.2,3438.2,850.3,1127.0,1904.6,1968.7,1604.0,1210.6,-5.0,-1.0,-9.0,-5803.0,-7893.0,10157.0,8325.0,15.0,-20.0,1.0,-2.0,9.0,0.0,-5300.0,-5103.0,9547.0,11098.0,15.0,-6.0,0.0,1.0
2022-05-13 12:59:25.874958-07:00,2638.4,767.0,1665.3,1830.4,1340.4,1401.2,1512.5,1757.9,3437.0,3446.7,2196.3,1767.5,1838.2,3438.2,1393.9,1978.6,3435.8,3444.3,711.0,1274.7,907.6,566.6,1606.8,2597.2,3432.2,3438.2,850.3,1128.7,1904.6,1966.7,1606.8,1208.0,-2.0,-4.0,0.0,-5795.0,-7883.0,10161.0,8334.0,-25.0,-42.0,11.0,-2.0,2.0,-3.0,-5299.0,-5099.0,9547.0,11101.0,-20.0,-12.0,2.0,1.0
2022-05-13 12:59:25.876955-07:00,2638.4,767.0,1665.3,1822.6,1340.4,1397.6,1520.8,1758.9,3437.0,3446.7,2196.3,1762.7,1838.2,3445.5,1394.8,1980.6,3441.9,3434.6,714.2,1274.7,898.3,566.6,1606.8,2597.2,3449.1,3435.8,865.4,1128.7,1887.9,1966.7,1606.8,1208.0,-11.0,3.0,0.0,-5794.0,-7870.0,10165.0,8342.0,-5.0,-33.0,27.0,-4.0,0.0,11.0,-5297.0,-5097.0,9548.0,11101.0,30.0,-6.0,13.0,1.0
2022-05-13 12:59:25.878159-07:00,2642.8,761.2,1656.8,1822.6,1332.3,1397.6,1520.8,1758.9,3435.8,3445.5,2188.1,1762.7,1825.5,3445.5,1394.8,1980.6,3441.9,3434.6,714.2,1267.6,898.3,569.8,1608.7,2591.8,3449.1,3435.8,865.4,1127.9,1887.9,1960.8,1609.6,1209.7,-5.0,0.0,2.0,-5788.0,-7853.0,10174.0,8351.0,-30.0,-41.0,16.0,-3.0,4.0,1.0,-5297.0,-5097.0,9550.0,11099.0,-27.0,3.0,5.0,1.0
2022-05-13 12:59:25.879187-07:00,2642.8,761.2,1656.8,1826.5,1332.3,1391.2,1512.5,1765.6,3435.8,3445.5,2188.1,1770.4,1825.5,3439.5,1378.5,1989.5,3434.6,3438.2,708.5,1267.6,902.5,569.8,1608.7,2591.8,3445.5,3446.7,849.5,1127.9,1895.8,1960.8,1609.6,1209.7,-5.0,-1.0,-7.0,-5790.0,-7848.0,10172.0,8358.0,18.0,4.0,-1.0,-8.0,0.0,-2.0,-5298.0,-5097.0,9550.0,11099.0,28.0,8.0,2.0,1.0
2022-05-13 12:59:26.054811-07:00,2636.2,774.5,1648.3,1826.5,1334.1,1391.2,1512.5,1765.6,3443.1,3433.4,2192.2,1770.4,1834.3,3439.5,1378.5,1989.5,3434.6,3438.2,708.5,1268.5,902.5,562.6,1600.2,2585.3,3445.5,3446.7,849.5,1124.4,1895.8,1964.7,1607.7,1205.3,-5.0,1.0,-7.0,-5783.0,-7852.0,10179.0,8350.0,2.0,8.0,-9.0,0.0,0.0,3.0,-5297.0,-5101.0,9554.0,11094.0,-8.0,4.0,1.0,1.0
2022-05-13 12:59:26.144634-07:00,2636.2,774.5,1648.3,1824.6,1333.2,1397.6,1509.7,1755.0,3443.1,3433.4,2192.2,1769.5,1821.6,3440.7,1389.4,1983.6,3439.5,3441.9,709.3,1271.2,906.7,562.6,1600.2,2585.3,3445.5,3440.7,846.1,1122.6,1900.7,1964.7,1607.7,1205.3,-3.0,-5.0,-13.0,-5786.0,-7850.0,10177.0,8352.0,-2.0,0.0,16.0,-4.0,4.0,-2.0,-5297.0,-5100.0,9553.0,11095.0,9.0,-6.0,8.0,1.0
