Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-13 12:59:25.657371-07:00,1538.5,860.4,1257.8,1113.9,1156.8,966.2,1874.2,1458.9,3473.4,3477.1,1174.4,919.4,1991.5,3462.5,1586.1,1478.3,3480.7,3474.6,497.2,734.0,1063.4,1449.7,833.6,3497.8,3477.1,3467.4,733.2,1081.6,2257.9,1241.7,1173.5,1018.5,5.0,-10.0,-4.0,10775.0,-12066.0,2597.0,-56.0,6.0,-9.0,-9.0,4.0,-1.0,-10.0,8946.0,-13690.0,979.0,162.0,14.0,0.0,-5.0,1.0
2022-05-13 12:59:25.659526-07:00,1540.3,872.1,1262.2,1119.1,1156.8,966.2,1874.2,1458.9,3474.6,3478.3,1181.5,915.2,1991.5,3462.5,1586.1,1478.3,3480.7,3474.6,497.2,734.0,1066.9,1451.6,830.2,3494.1,3477.1,3467.4,733.2,1081.6,2264.1,1241.7,1170.0,1026.3,11.0,0.0,-7.0,10780.0,-12062.0,2594.0,-55.0,-2.0,1.0,-1.0,5.0,3.0,-4.0,8954.0,-13685.0,979.0,161.0,-3.0,-5.0,-1.0,1.0
2022-05-13 12:59:25.660691-07:00,1540.3,872.1,1262.2,1119.1,1162.1,981.6,1865.4,1481.9,3474.6,3478.3,1181.5,915.2,1980.6,3468.6,1588.0,1481.9,3478.3,3483.2,490.9,735.6,1066.9,1451.6,830.2,3494.1,3480.7,3475.9,726.6,1082.5,2264.1,1241.7,1170.0,1026.3,5.0,-4.0,-2.0,10778.0,-12064.0,2594.0,-55.0,9.0,-7.0,7.0,1.0,0.0,-4.0,8953.0,-13686.0,979.0,162.0,16.0,-6.0,-1.0,1.0
2022-05-13 12:59:25.748350-07:00,1544.1,863.7,1256.9,1107.8,1162.1,981.6,1865.4,1459.8,3471.0,3478.3,1183.2,919.4,1980.6,3468.6,1588.0,1473.6,3474.6,3483.2,490.9,735.6,1066.9,1449.7,831.1,3496.6,3480.7,3475.9,726.6,1082.5,2260.0,1235.5,1176.2,1023.7,1.0,-1.0,-6.0,10788.0,-12055.0,2594.0,-57.0,21.0,-1.0,-8.0,4.0,0.0,-3.0,8961.0,-13680.0,979.0,161.0,17.0,7.0,-2.0,1.0
2022-05-13 12:59:25.793347-07:00,1549.7,863.7,1256.9,1107.8,1152.4,973.1,1875.2,1459.8,3471.0,3478.3,1183.2,919.4,1983.6,3473.4,1588.0,1473.6,3474.6,3471.0,498.0,738.1,1066.9,1449.7,831.1,3489.2,3480.7,3475.9,736.5,1080.8,2260.0,1235.5,1176.2,1021.1,2.0,-7.0,-10.0,10786.0,-12057.0,2597.0,-56.0,-14.0,14.0,21.0,3.0,0.0,-8.0,8963.0,-13679.0,979.0,161.0,-4.0,1.0,5.0,1.0
2022-05-13 12:59:25.883324-07:00,1549.7,861.2,1254.2,1116.5,1152.4,973.1,1875.2,1451.6,3471.0,3478.3,1181.5,912.7,1983.6,3473.4,1588.0,1475.5,3480.7,3471.0,498.0,738.1,1060.8,1445.1,829.4,3489.2,3474.6,3475.9,736.5,1080.8,2234.2,1229.3,1167.4,1021.1,2.0,0.0,-4.0,10787.0,-12054.0,2602.0,-54.0,19.0,1.0,6.0,5.0,3.0,-7.0,8967.0,-13676.0,979.0,161.0,27.0,4.0,4.0,1.0
2022-05-13 12:59:25.884928-07:00,1539.4,861.2,1254.2,1116.5,1153.3,976.5,1867.4,1451.6,3469.8,3478.3,1181.5,912.7,1974.6,3464.9,1584.2,1475.5,3480.7,3474.6,501.2,743.0,1060.8,1445.1,829.4,3494.1,3474.6,3474.6,727.4,1076.4,2234.2,1229.3,1167.4,1022.8,0.0,-2.0,-3.0,10789.0,-12053.0,2601.0,-56.0,-8.0,-2.0,-7.0,3.0,-2.0,-3.0,8969.0,-13675.0,979.0,160.0,-7.0,1.0,-1.0,1.0
2022-05-13 12:59:25.927170-07:00,1539.4,857.0,1249.7,1119.1,1153.3,976.5,1867.4,1465.4,3469.8,3472.2,1181.5,910.1,1974.6,3464.9,1584.2,1473.6,3468.6,3474.6,501.2,743.0,1063.4,1444.2,836.9,3494.1,3479.5,3474.6,727.4,1076.4,2242.5,1242.6,1172.6,1022.8,5.0,-2.0,-6.0,10787.0,-12054.0,2601.0,-55.0,4.0,5.0,6.0,7.0,1.0,-8.0,8969.0,-13675.0,979.0,160.0,7.0,-1.0,5.0,1.0
2022-05-13 12:59:26.063220-07:00,1542.2,858.7,1249.7,1119.1,1163.0,966.2,1868.4,1465.4,3463.7,3466.1,1181.5,910.1,1971.7,3475.9,1584.2,1473.6,3468.6,3467.4,498.8,738.9,1063.4,1444.2,827.7,3485.6,3479.5,3483.2,727.4,1074.7,2242.5,1242.6,1167.4,1013.3,6.0,-4.0,-8.0,10787.0,-12055.0,2601.0,-55.0,-1.0,5.0,0.0,3.0,4.0,-10.0,8971.0,-13674.0,979.0,160.0,3.0,-1.0,-1.0,1.0
2022-05-13 12:59:26.155683-07:00,1542.2,858.7,1254.2,1111.2,1163.0,966.2,1855.7,1461.7,3463.7,3466.1,1181.5,914.4,1971.7,3475.9,1583.3,1477.3,3474.6,3472.2,498.8,738.9,1063.4,1452.5,827.7,3485.6,3479.5,3479.5,727.4,1074.7,2259.0,1238.2,1167.4,1013.3,0.0,-1.0,-8.0,10787.0,-12055.0,2602.0,-56.0,3.0,-13.0,5.0,4.0,0.0,-6.0,8971.0,-13674.0,979.0,160.0,9.0,0.0,2.0,1.0
