Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 13:08:25.409874-07:00,1119.1,670.9,933.0,879.7,792.7,775.3,1661.5,1386.6,3473.4,3478.3,998.7,871.3,1478.3,3471.0,1350.3,1183.2,3478.3,3473.4,359.2,627.8,947.5,1208.0,513.1,1755.0,3475.9,3485.6,610.0,706.0,1649.2,1042.6,997.0,751.3,12.0,6.0,3.0,-10369.0,11789.0,2649.0,-3862.0,-1.0,0.0,8.0,0.0,-3.0,16.0,7069.0,-12655.0,6675.0,-3711.0,-18.0,4.0,6.0,1.0
2022-05-06 13:08:25.411510-07:00,1126.1,670.1,939.0,874.7,798.5,778.6,1655.8,1386.6,3471.0,3471.0,996.2,881.4,1480.1,3480.7,1345.8,1189.4,3468.6,3480.7,362.3,628.6,946.6,1204.4,515.5,1740.6,3467.4,3477.1,610.8,702.8,1636.0,1040.1,995.3,743.9,8.0,-2.0,1.0,-10369.0,11790.0,2647.0,-3860.0,13.0,16.0,4.0,-2.0,-7.0,10.0,7065.0,-12657.0,6676.0,-3709.0,1.0,7.0,0.0,1.0
2022-05-06 13:08:25.412232-07:00,1125.2,672.5,939.0,874.7,789.4,767.8,1655.8,1386.6,3452.8,3475.9,996.2,881.4,1485.6,3471.0,1345.8,1189.4,3468.6,3480.7,353.7,631.1,946.6,1204.4,511.5,1744.5,3467.4,3477.1,610.0,698.7,1636.0,1040.1,999.6,746.3,11.0,-4.0,3.0,-10366.0,11794.0,2645.0,-3859.0,-14.0,0.0,10.0,-2.0,-11.0,13.0,7063.0,-12658.0,6677.0,-3708.0,0.0,0.0,10.0,1.0
2022-05-06 13:08:25.450952-07:00,1125.2,672.5,937.3,880.6,789.4,767.8,1657.7,1389.4,3452.8,3475.9,992.7,870.5,1485.6,3471.0,1344.9,1184.1,3478.3,3477.1,353.7,631.1,951.7,1199.1,511.5,1744.5,3466.1,3475.9,610.0,698.7,1665.3,1033.2,999.6,746.3,8.0,-3.0,4.0,-10368.0,11792.0,2644.0,-3859.0,5.0,3.0,-1.0,-2.0,-7.0,17.0,7064.0,-12657.0,6678.0,-3707.0,-7.0,1.0,-3.0,1.0
2022-05-06 13:08:25.469647-07:00,1120.0,666.0,939.0,880.6,785.2,781.9,1657.7,1389.4,3464.9,3473.4,998.7,870.5,1486.6,3481.9,1344.9,1184.1,3478.3,3477.1,361.5,627.0,951.7,1204.4,518.7,1740.6,3466.1,3475.9,617.3,703.6,1665.3,1046.1,997.9,740.6,4.0,-8.0,4.0,-10367.0,11793.0,2644.0,-3859.0,-11.0,8.0,9.0,-1.0,-11.0,16.0,7063.0,-12657.0,6679.0,-3707.0,-8.0,-1.0,-2.0,1.0
2022-05-06 13:08:25.500132-07:00,1120.0,666.0,939.0,878.9,785.2,772.8,1659.6,1385.7,3464.9,3473.4,998.7,879.7,1486.6,3474.6,1338.6,1182.3,3471.0,3475.9,369.3,627.0,951.7,1204.4,518.7,1740.6,3488.0,3478.3,617.3,703.6,1634.1,1046.1,997.9,740.6,9.0,-1.0,3.0,-10366.0,11794.0,2643.0,-3860.0,3.0,8.0,2.0,1.0,-9.0,19.0,7063.0,-12657.0,6679.0,-3707.0,-4.0,-4.0,-1.0,1.0
2022-05-06 13:08:25.559806-07:00,1120.9,674.2,933.9,878.9,789.4,772.8,1659.6,1385.7,3478.3,3467.4,1001.3,879.7,1485.6,3474.6,1338.6,1182.3,3471.0,3475.9,369.3,628.6,951.7,1205.3,513.1,1741.6,3488.0,3478.3,617.3,702.8,1634.1,1040.9,1001.3,748.8,12.0,-7.0,3.0,-10366.0,11794.0,2642.0,-3860.0,-5.0,10.0,11.0,2.0,-9.0,13.0,7063.0,-12657.0,6679.0,-3707.0,-4.0,-4.0,1.0,1.0
2022-05-06 13:08:25.589710-07:00,1120.9,674.2,933.9,878.9,789.4,778.6,1647.3,1384.8,3478.3,3467.4,1001.3,877.2,1485.6,3473.4,1349.4,1181.5,3478.3,3473.4,357.6,628.6,944.1,1205.3,513.1,1741.6,3479.5,3479.5,610.0,702.8,1637.9,1040.9,1001.3,748.8,7.0,0.0,0.0,-10366.0,11797.0,2631.0,-3859.0,-2.0,18.0,16.0,-2.0,-7.0,18.0,7062.0,-12658.0,6679.0,-3706.0,-13.0,9.0,7.0,1.0
2022-05-06 13:08:25.649529-07:00,1126.1,668.4,935.6,878.9,785.2,778.6,1647.3,1384.8,3483.2,3469.8,993.6,877.2,1485.6,3473.4,1349.4,1181.5,3478.3,3473.4,357.6,622.2,944.1,1197.4,514.7,1744.5,3479.5,3479.5,610.0,701.9,1637.9,1044.4,997.0,749.6,7.0,-2.0,0.0,-10365.0,11798.0,2630.0,-3858.0,2.0,-3.0,-3.0,-3.0,-7.0,12.0,7056.0,-12661.0,6681.0,-3705.0,-11.0,3.0,4.0,1.0
2022-05-06 13:08:25.709557-07:00,1126.1,668.4,935.6,878.9,782.7,771.1,1653.0,1383.0,3483.2,3469.8,993.6,875.5,1480.1,3474.6,1348.5,1189.4,3477.1,3471.0,357.6,630.3,955.1,1197.4,514.7,1744.5,3473.4,3474.6,611.7,698.7,1636.0,1044.4,997.0,749.6,5.0,-7.0,4.0,-10365.0,11798.0,2630.0,-3858.0,4.0,-6.0,3.0,-3.0,-10.0,15.0,7056.0,-12661.0,6681.0,-3705.0,8.0,-6.0,-2.0,1.0
