Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 13:11:23.202640-07:00,1102.5,664.4,922.8,863.7,765.3,757.1,1470.0,1284.6,3467.4,3480.7,981.6,841.1,1485.6,3469.8,1210.6,1113.0,3478.3,3484.4,336.7,594.7,904.2,1162.1,488.5,1628.4,3474.6,3477.1,592.3,681.5,1541.3,944.9,898.3,724.1,7.0,4.0,5.0,-11107.0,11612.0,1688.0,-2718.0,-11.0,5.0,-4.0,5.0,-11.0,15.0,7605.0,-12094.0,7161.0,-3613.0,-5.0,5.0,-5.0,1.0
2022-05-06 13:11:23.203617-07:00,1102.5,658.7,915.2,871.3,765.3,757.1,1470.0,1288.2,3467.4,3469.8,984.2,838.6,1485.6,3469.8,1210.6,1116.5,3478.3,3484.4,336.7,594.7,911.0,1166.5,482.2,1628.4,3474.6,3477.1,592.3,681.5,1552.5,944.9,896.6,724.1,8.0,3.0,2.0,-11106.0,11613.0,1688.0,-2718.0,-2.0,2.0,1.0,4.0,-5.0,10.0,7605.0,-12094.0,7161.0,-3613.0,-9.0,2.0,0.0,1.0
2022-05-06 13:11:23.293133-07:00,1093.8,658.7,915.2,871.3,765.3,753.8,1468.1,1288.2,3472.2,3469.8,984.2,838.6,1478.3,3478.3,1210.6,1116.5,3478.3,3479.5,335.2,593.1,911.0,1166.5,482.2,1631.3,3474.6,3478.3,588.3,678.2,1552.5,944.9,896.6,720.8,5.0,0.0,5.0,-11104.0,11614.0,1689.0,-2718.0,-4.0,0.0,-2.0,3.0,-10.0,14.0,7602.0,-12096.0,7162.0,-3611.0,7.0,2.0,-2.0,1.0
2022-05-06 13:11:23.322464-07:00,1093.8,658.7,916.0,867.9,765.3,753.8,1468.1,1296.3,3472.2,3468.6,982.5,836.1,1478.3,3478.3,1210.6,1127.9,3475.9,3479.5,335.2,593.1,903.4,1167.4,486.1,1631.3,3483.2,3478.3,588.3,678.2,1545.0,940.7,896.6,720.8,6.0,0.0,3.0,-11106.0,11612.0,1691.0,-2718.0,6.0,-15.0,-17.0,3.0,-6.0,10.0,7603.0,-12096.0,7161.0,-3612.0,0.0,-4.0,-5.0,1.0
2022-05-06 13:11:23.352632-07:00,1093.8,658.7,916.0,867.9,767.0,752.9,1470.0,1296.3,3467.4,3468.6,982.5,836.1,1486.6,3463.7,1203.5,1127.9,3475.9,3488.0,335.9,594.7,903.4,1167.4,486.1,1624.7,3483.2,3475.9,592.3,677.4,1545.0,940.7,896.6,720.8,14.0,5.0,7.0,-11106.0,11611.0,1694.0,-2718.0,-4.0,9.0,10.0,7.0,-5.0,12.0,7603.0,-12096.0,7161.0,-3612.0,-10.0,3.0,0.0,1.0
2022-05-06 13:11:23.442459-07:00,1093.8,662.7,911.0,867.1,767.0,752.9,1470.0,1288.2,3467.4,3475.9,985.9,840.3,1486.6,3463.7,1203.5,1109.5,3489.2,3488.0,335.9,594.7,912.7,1167.4,483.7,1624.7,3479.5,3475.9,592.3,677.4,1554.3,944.9,898.3,720.8,7.0,3.0,7.0,-11105.0,11613.0,1692.0,-2719.0,12.0,3.0,-8.0,0.0,-8.0,15.0,7601.0,-12097.0,7162.0,-3610.0,12.0,4.0,2.0,1.0
2022-05-06 13:11:23.472480-07:00,1092.9,665.2,911.0,867.1,764.5,754.6,1466.3,1288.2,3475.9,3467.4,985.9,840.3,1483.8,3480.7,1205.3,1109.5,3489.2,3474.6,333.6,593.9,912.7,1167.4,490.9,1630.3,3479.5,3480.7,593.9,680.7,1554.3,944.9,896.6,723.3,8.0,-4.0,3.0,-11108.0,11610.0,1691.0,-2719.0,-13.0,6.0,4.0,4.0,-7.0,8.0,7601.0,-12097.0,7162.0,-3610.0,-16.0,0.0,3.0,1.0
2022-05-06 13:11:23.502565-07:00,1092.9,665.2,926.2,872.1,764.5,754.6,1465.4,1281.0,3475.9,3467.4,985.0,841.9,1483.8,3480.7,1207.1,1111.2,3473.4,3471.0,333.6,593.9,910.1,1165.6,490.9,1630.3,3478.3,3467.4,593.9,680.7,1548.7,946.6,896.6,723.3,4.0,10.0,3.0,-11106.0,11611.0,1690.0,-2720.0,16.0,-5.0,-1.0,2.0,-6.0,17.0,7601.0,-12096.0,7164.0,-3608.0,11.0,1.0,6.0,1.0
2022-05-06 13:11:23.562464-07:00,1098.2,660.3,926.2,872.1,767.0,757.1,1465.4,1281.0,3474.6,3468.6,985.0,841.9,1484.7,3469.8,1207.1,1111.2,3473.4,3471.0,329.8,597.9,910.1,1165.6,480.6,1611.5,3478.3,3467.4,591.5,686.4,1548.7,946.6,900.8,721.6,7.0,0.0,10.0,-11107.0,11610.0,1696.0,-2720.0,-14.0,-1.0,-2.0,1.0,-5.0,8.0,7600.0,-12096.0,7165.0,-3608.0,-16.0,0.0,-3.0,1.0
2022-05-06 13:11:23.622385-07:00,1098.2,660.3,914.4,868.8,767.0,757.1,1466.3,1287.3,3474.6,3468.6,979.9,841.9,1484.7,3469.8,1202.7,1108.6,3467.4,3474.6,329.8,597.9,910.1,1163.8,480.6,1611.5,3472.2,3478.3,591.5,686.4,1548.7,947.5,900.8,721.6,13.0,-4.0,14.0,-11104.0,11612.0,1694.0,-2722.0,-2.0,20.0,18.0,5.0,-12.0,14.0,7596.0,-12099.0,7166.0,-3606.0,-2.0,-3.0,10.0,1.0
