Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 14:33:01.205199-07:00,1249.7,744.7,947.5,889.8,847.0,756.3,1636.0,1408.5,3467.4,3469.8,1068.6,857.0,1516.2,3475.9,1253.3,1185.9,3477.1,3460.1,366.9,662.7,973.1,1191.2,639.2,1877.2,3479.5,3472.2,654.6,670.1,1683.3,999.6,922.0,830.2,11.0,10.0,7.0,9777.0,-12343.0,4449.0,-840.0,9.0,8.0,10.0,4.0,-7.0,2.0,7173.0,-14657.0,-113.0,1464.0,6.0,-2.0,0.0,1.0
2022-05-06 14:33:01.206708-07:00,1254.2,743.9,947.5,889.8,844.4,756.3,1636.0,1408.5,3467.4,3457.6,1059.1,857.0,1515.3,3475.9,1253.3,1185.9,3477.1,3460.1,366.9,660.3,973.1,1192.9,640.8,1877.2,3479.5,3472.2,654.6,670.1,1683.3,999.6,904.2,822.7,17.0,14.0,8.0,9777.0,-12345.0,4445.0,-834.0,-5.0,-25.0,-11.0,4.0,-3.0,0.0,7173.0,-14657.0,-114.0,1465.0,-4.0,-12.0,-5.0,1.0
2022-05-06 14:33:01.352418-07:00,1254.2,743.9,947.5,892.4,844.4,751.3,1621.8,1406.7,3467.4,3457.6,1059.1,858.7,1515.3,3475.9,1250.6,1185.0,3467.4,3472.2,363.1,660.3,968.8,1192.9,640.8,1877.2,3478.3,3473.4,649.7,670.1,1676.7,999.6,904.2,822.7,9.0,7.0,8.0,9780.0,-12343.0,4444.0,-837.0,19.0,21.0,4.0,2.0,-10.0,5.0,7176.0,-14656.0,-113.0,1465.0,12.0,1.0,2.0,1.0
2022-05-06 14:33:01.561988-07:00,1250.6,746.3,949.2,892.4,845.3,751.3,1621.8,1406.7,3464.9,3468.6,1061.7,858.7,1511.5,3475.9,1250.6,1185.0,3467.4,3472.2,363.1,658.7,968.8,1185.0,636.7,1878.1,3478.3,3473.4,649.7,669.3,1676.7,997.9,918.6,828.5,14.0,9.0,12.0,9776.0,-12344.0,4446.0,-839.0,-11.0,-8.0,-2.0,0.0,-5.0,8.0,7171.0,-14658.0,-114.0,1465.0,-10.0,0.0,6.0,1.0
2022-05-06 14:33:01.622191-07:00,1250.6,746.3,949.2,889.8,842.8,751.3,1617.1,1406.7,3464.9,3468.6,1061.7,853.7,1514.3,3469.8,1254.2,1200.0,3475.9,3466.1,363.8,662.7,974.8,1185.0,636.7,1878.1,3483.2,3474.6,651.4,674.2,1678.6,997.9,918.6,828.5,16.0,14.0,7.0,9775.0,-12345.0,4448.0,-837.0,-10.0,17.0,10.0,0.0,-3.0,-4.0,7171.0,-14658.0,-114.0,1465.0,-12.0,5.0,6.0,1.0
2022-05-06 14:33:01.623188-07:00,1256.9,740.6,950.0,888.2,842.8,751.3,1617.1,1406.7,3468.6,3473.4,1064.3,857.0,1514.3,3469.8,1254.2,1200.0,3475.9,3466.1,363.8,662.7,973.1,1186.7,644.0,1881.1,3483.2,3474.6,651.4,674.2,1673.8,997.0,926.2,830.2,14.0,22.0,0.0,9775.0,-12344.0,4452.0,-841.0,-13.0,-14.0,-4.0,1.0,0.0,-1.0,7172.0,-14657.0,-114.0,1465.0,-6.0,-5.0,0.0,1.0
2022-05-06 14:33:01.682672-07:00,1256.9,740.6,950.0,888.2,837.7,764.5,1623.7,1405.8,3468.6,3473.4,1064.3,857.0,1509.7,3473.4,1258.7,1192.9,3474.6,3473.4,360.7,664.4,973.1,1186.7,644.0,1881.1,3484.4,3483.2,648.9,666.0,1673.8,997.0,926.2,830.2,15.0,11.0,12.0,9775.0,-12344.0,4450.0,-838.0,22.0,9.0,9.0,0.0,-8.0,3.0,7170.0,-14658.0,-114.0,1466.0,19.0,-4.0,-4.0,1.0
2022-05-06 14:33:01.683226-07:00,1256.9,740.6,950.0,888.2,837.7,764.5,1623.7,1405.8,3468.6,3473.4,1064.3,857.0,1509.7,3473.4,1258.7,1192.9,3474.6,3473.4,360.7,664.4,973.1,1186.7,644.0,1881.1,3484.4,3483.2,648.9,666.0,1673.8,997.0,926.2,830.2,15.0,11.0,12.0,9775.0,-12344.0,4450.0,-838.0,22.0,9.0,9.0,0.0,-8.0,3.0,7170.0,-14658.0,-114.0,1466.0,19.0,-4.0,-4.0,1.0
2022-05-06 14:33:01.683949-07:00,1248.8,738.9,944.9,890.7,842.8,751.3,1626.5,1399.4,3466.1,3479.5,1066.9,857.0,1516.2,3468.6,1259.6,1197.4,3478.3,3477.1,363.8,661.9,973.9,1187.6,637.6,1885.0,3479.5,3477.1,647.3,666.0,1677.6,1001.3,921.1,826.9,12.0,16.0,4.0,9774.0,-12344.0,4453.0,-843.0,-3.0,2.0,-3.0,-1.0,-6.0,4.0,7172.0,-14658.0,-114.0,1466.0,-7.0,-1.0,5.0,1.0
2022-05-06 14:33:01.684379-07:00,1248.8,738.9,944.9,890.7,842.8,751.3,1626.5,1399.4,3466.1,3479.5,1066.9,857.0,1516.2,3468.6,1259.6,1197.4,3478.3,3477.1,363.8,661.9,973.9,1187.6,637.6,1885.0,3479.5,3477.1,647.3,666.0,1677.6,1001.3,921.1,826.9,12.0,16.0,4.0,9774.0,-12344.0,4453.0,-843.0,-3.0,2.0,-3.0,-1.0,-6.0,4.0,7172.0,-14658.0,-114.0,1466.0,-7.0,-1.0,5.0,1.0
2022-05-06 14:33:01.685472-07:00,1248.0,733.2,951.7,895.7,848.6,756.3,1615.2,1396.7,3478.3,3479.5,1059.1,854.5,1520.8,3467.4,1257.8,1187.6,3467.4,3467.4,363.1,658.7,975.6,1190.3,636.7,1874.2,3475.9,3480.7,649.7,666.0,1678.6,990.2,922.0,827.7,14.0,16.0,10.0,9775.0,-12341.0,4456.0,-847.0,12.0,-11.0,8.0,1.0,-1.0,3.0,7171.0,-14658.0,-114.0,1466.0,14.0,-1.0,2.0,1.0
