Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 14:35:44.490411-07:00,1857.6,575.4,1111.2,1373.9,998.7,1140.1,1339.5,1604.9,3433.4,3445.5,1548.7,1434.1,1411.3,3431.0,933.9,1311.5,3441.9,3435.8,653.8,1196.5,856.2,518.7,1277.4,1652.0,3439.5,3441.9,715.1,938.1,1221.3,1406.7,1121.7,1051.3,-3.0,-15.0,11.0,7552.0,13703.0,-3687.0,-3167.0,24.0,-1.0,8.0,5.0,-51.0,13.0,10678.0,11760.0,3890.0,991.0,19.0,18.0,7.0,1.0
2022-05-06 14:35:44.670429-07:00,1857.6,575.4,1114.7,1374.8,998.7,1140.1,1338.6,1611.5,3433.4,3445.5,1559.9,1434.1,1411.3,3431.0,938.1,1303.4,3435.8,3440.7,653.8,1196.5,852.8,517.1,1277.4,1652.0,3449.1,3438.2,715.1,938.1,1214.2,1410.3,1121.7,1051.3,5.0,-10.0,12.0,7546.0,13705.0,-3690.0,-3169.0,-19.0,-8.0,1.0,5.0,-41.0,-1.0,10675.0,11762.0,3893.0,993.0,-20.0,-2.0,-6.0,1.0
2022-05-06 14:35:44.671413-07:00,1881.1,577.0,1119.1,1374.8,992.7,1140.1,1338.6,1611.5,3433.4,3444.3,1561.8,1434.1,1407.6,3444.3,938.1,1303.4,3435.8,3440.7,648.1,1189.4,852.8,517.9,1281.0,1653.9,3449.1,3438.2,714.2,931.3,1214.2,1417.6,1120.9,1040.1,2.0,-16.0,14.0,7550.0,13705.0,-3683.0,-3167.0,4.0,27.0,-18.0,7.0,-43.0,5.0,10677.0,11760.0,3893.0,994.0,-7.0,17.0,-5.0,1.0
2022-05-06 14:35:44.672188-07:00,1881.1,577.0,1119.1,1367.6,992.7,1139.2,1340.4,1600.2,3433.4,3444.3,1561.8,1437.8,1407.6,3440.7,936.4,1315.1,3438.2,3441.9,649.7,1189.4,855.3,517.9,1281.0,1653.9,3451.6,3449.1,712.6,931.3,1216.8,1417.6,1120.9,1040.1,0.0,-32.0,10.0,7553.0,13706.0,-3679.0,-3162.0,6.0,11.0,5.0,2.0,-57.0,1.0,10678.0,11757.0,3896.0,998.0,20.0,10.0,1.0,1.0
2022-05-06 14:35:44.700299-07:00,1876.2,573.8,1119.1,1367.6,1003.9,1139.2,1340.4,1600.2,3449.1,3435.8,1559.9,1437.8,1405.8,3440.7,936.4,1315.1,3438.2,3441.9,649.7,1193.8,855.3,515.5,1275.6,1657.7,3451.6,3449.1,712.6,927.9,1216.8,1413.1,1126.1,1047.8,0.0,-12.0,5.0,7547.0,13710.0,-3682.0,-3154.0,-4.0,7.0,14.0,5.0,-46.0,1.0,10673.0,11761.0,3898.0,999.0,-8.0,4.0,4.0,1.0
2022-05-06 14:35:44.701266-07:00,1876.2,573.8,1119.1,1373.0,1003.9,1141.9,1327.8,1603.0,3449.1,3435.8,1559.9,1428.6,1405.8,3437.0,932.2,1317.8,3439.5,3438.2,648.1,1193.8,852.8,515.5,1275.6,1657.7,3440.7,3439.5,712.6,927.9,1221.3,1413.1,1126.1,1047.8,6.0,-18.0,6.0,7547.0,13707.0,-3692.0,-3157.0,1.0,-32.0,17.0,11.0,-47.0,1.0,10673.0,11761.0,3898.0,999.0,-5.0,-9.0,7.0,1.0
2022-05-06 14:35:44.820266-07:00,1864.5,577.0,1120.9,1373.0,1000.5,1141.9,1327.8,1603.0,3439.5,3446.7,1560.9,1428.6,1407.6,3437.0,932.2,1317.8,3439.5,3438.2,648.1,1193.8,852.8,518.7,1281.9,1665.3,3440.7,3439.5,712.6,922.8,1221.3,1409.4,1121.7,1049.6,0.0,-12.0,17.0,7549.0,13705.0,-3692.0,-3159.0,-17.0,11.0,7.0,7.0,-42.0,11.0,10674.0,11760.0,3898.0,999.0,-13.0,-5.0,5.0,1.0
2022-05-06 14:35:44.821266-07:00,1864.5,577.0,1120.9,1373.9,1000.5,1130.5,1343.1,1598.3,3439.5,3446.7,1560.9,1436.0,1407.6,3441.9,935.6,1310.6,3446.7,3439.5,648.9,1193.8,856.2,518.7,1281.9,1665.3,3443.1,3440.7,714.2,922.8,1219.5,1409.4,1121.7,1049.6,5.0,-7.0,10.0,7548.0,13705.0,-3694.0,-3163.0,2.0,-18.0,4.0,13.0,-37.0,6.0,10675.0,11760.0,3898.0,999.0,0.0,1.0,-2.0,1.0
2022-05-06 14:35:44.850244-07:00,1868.4,577.0,1115.6,1367.6,1003.0,1130.5,1343.1,1598.3,3444.3,3433.4,1553.4,1431.4,1413.1,3441.9,935.6,1310.6,3446.7,3439.5,648.9,1193.8,855.3,520.3,1273.9,1657.7,3443.1,3440.7,714.2,930.5,1202.7,1412.2,1127.0,1047.0,4.0,-17.0,18.0,7546.0,13706.0,-3695.0,-3162.0,12.0,20.0,-9.0,4.0,-45.0,10.0,10673.0,11761.0,3900.0,999.0,8.0,10.0,-2.0,1.0
2022-05-06 14:35:44.911237-07:00,1868.4,577.0,1115.6,1367.6,1000.5,1143.6,1339.5,1604.9,3444.3,3433.4,1553.4,1431.4,1413.1,3435.8,933.0,1308.8,3433.4,3439.5,646.5,1194.7,855.3,520.3,1273.9,1657.7,3441.9,3445.5,711.8,923.7,1202.7,1412.2,1127.0,1047.0,2.0,-26.0,7.0,7545.0,13707.0,-3692.0,-3160.0,13.0,6.0,-4.0,3.0,-45.0,-1.0,10672.0,11760.0,3904.0,1003.0,6.0,12.0,1.0,1.0
