Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 14:38:42.921792-07:00,1949.9,619.7,1167.4,1381.2,1058.2,1227.5,1563.7,1857.6,3444.3,3438.2,1697.6,1456.2,1418.6,3449.1,1032.3,1403.0,3441.9,3438.2,647.3,1231.9,879.7,508.3,1351.2,1683.3,3446.7,3433.4,831.1,1003.9,1245.3,1473.6,1182.3,1048.7,-2.0,8.0,12.0,7290.0,13181.0,-5192.0,-3821.0,-6.0,4.0,-16.0,9.0,-48.0,3.0,10678.0,11155.0,4944.0,2352.0,-12.0,10.0,-3.0,1.0
2022-05-06 14:38:42.923358-07:00,1949.9,619.7,1167.4,1381.2,1056.5,1244.4,1561.8,1850.8,3444.3,3438.2,1697.6,1456.2,1421.3,3439.5,1030.6,1407.6,3452.8,3439.5,646.5,1246.2,879.7,508.3,1351.2,1683.3,3454.0,3443.1,831.1,1006.5,1245.3,1473.6,1182.3,1048.7,0.0,1.0,9.0,7293.0,13182.0,-5184.0,-3821.0,3.0,8.0,-9.0,11.0,-51.0,1.0,10682.0,11150.0,4945.0,2356.0,0.0,17.0,-1.0,1.0
2022-05-06 14:38:42.951826-07:00,1939.0,620.5,1151.5,1370.3,1056.5,1244.4,1561.8,1850.8,3440.7,3450.4,1701.4,1456.2,1421.3,3439.5,1030.6,1407.6,3452.8,3439.5,646.5,1246.2,873.8,508.3,1353.1,1678.6,3454.0,3443.1,831.1,1006.5,1246.2,1481.0,1179.7,1043.5,7.0,20.0,5.0,7286.0,13187.0,-5178.0,-3826.0,-21.0,9.0,-56.0,6.0,-33.0,-7.0,10675.0,11154.0,4952.0,2358.0,-4.0,11.0,-14.0,1.0
2022-05-06 14:38:43.012394-07:00,1945.0,620.5,1151.5,1370.3,1059.9,1239.9,1561.8,1850.8,3439.5,3450.4,1701.4,1456.2,1411.3,3450.4,1033.2,1406.7,3439.5,3443.1,645.7,1223.9,873.8,508.3,1353.1,1676.7,3438.2,3445.5,831.1,1008.2,1246.2,1481.0,1179.7,1041.8,-4.0,-23.0,11.0,7308.0,13188.0,-5140.0,-3832.0,-28.0,30.0,-35.0,11.0,-61.0,9.0,10690.0,11137.0,4955.0,2360.0,-50.0,9.0,-11.0,1.0
2022-05-06 14:38:43.044687-07:00,1945.0,622.2,1153.3,1366.6,1059.9,1239.9,1561.8,1848.9,3439.5,3444.3,1696.7,1448.8,1411.3,3450.4,1033.2,1406.7,3431.0,3443.1,645.7,1223.9,878.9,512.3,1347.6,1676.7,3440.7,3445.5,831.1,1008.2,1250.6,1475.5,1177.9,1041.8,2.0,9.0,-3.0,7300.0,13191.0,-5143.0,-3833.0,8.0,-35.0,14.0,5.0,-38.0,-10.0,10688.0,11138.0,4958.0,2361.0,14.0,6.0,0.0,1.0
2022-05-06 14:38:43.101701-07:00,1941.0,622.2,1153.3,1366.6,1055.6,1241.7,1558.1,1848.9,3433.4,3444.3,1696.7,1448.8,1418.6,3444.3,1027.1,1406.7,3431.0,3440.7,653.8,1231.9,878.9,512.3,1347.6,1680.5,3440.7,3435.8,835.2,1011.6,1250.6,1475.5,1177.9,1037.5,-1.0,-3.0,7.0,7304.0,13184.0,-5147.0,-3844.0,-15.0,-13.0,-7.0,4.0,-52.0,0.0,10693.0,11134.0,4955.0,2361.0,-22.0,-12.0,2.0,1.0
2022-05-06 14:38:43.161470-07:00,1941.0,619.7,1155.0,1363.9,1055.6,1241.7,1558.1,1841.1,3433.4,3433.4,1697.6,1455.2,1418.6,3444.3,1027.1,1405.8,3435.8,3440.7,653.8,1231.9,878.0,510.7,1355.8,1680.5,3440.7,3435.8,835.2,1011.6,1250.6,1478.3,1185.0,1037.5,1.0,4.0,12.0,7303.0,13181.0,-5152.0,-3850.0,-7.0,-27.0,7.0,6.0,-45.0,-1.0,10695.0,11133.0,4953.0,2360.0,-8.0,-4.0,-3.0,1.0
2022-05-06 14:38:43.311499-07:00,1946.9,619.7,1155.0,1363.9,1070.3,1239.1,1566.5,1841.1,3433.4,3433.4,1697.6,1455.2,1423.1,3445.5,1033.2,1405.8,3435.8,3449.1,648.1,1231.9,878.0,510.7,1355.8,1680.5,3440.7,3443.1,835.2,1008.2,1250.6,1478.3,1185.0,1044.4,4.0,8.0,11.0,7300.0,13180.0,-5154.0,-3854.0,9.0,3.0,1.0,10.0,-47.0,-2.0,10696.0,11132.0,4953.0,2361.0,8.0,3.0,1.0,1.0
2022-05-06 14:38:43.402398-07:00,1946.9,617.3,1155.9,1373.0,1070.3,1239.1,1562.7,1851.8,3433.4,3439.5,1694.8,1456.2,1423.1,3445.5,1029.7,1408.5,3444.3,3435.8,648.1,1231.9,885.6,513.9,1348.5,1680.5,3455.2,3451.6,835.2,1008.2,1244.4,1481.0,1180.6,1044.4,2.0,3.0,12.0,7299.0,13181.0,-5154.0,-3853.0,25.0,-2.0,1.0,11.0,-43.0,1.0,10696.0,11132.0,4953.0,2361.0,15.0,13.0,-2.0,1.0
2022-05-06 14:38:43.403228-07:00,1948.9,624.6,1155.9,1373.0,1064.3,1233.7,1562.7,1851.8,3438.2,3434.6,1694.8,1456.2,1425.9,3443.1,1029.7,1408.5,3444.3,3435.8,653.8,1232.8,885.6,513.9,1346.7,1671.0,3455.2,3451.6,831.9,1006.5,1244.4,1481.0,1183.2,1045.2,4.0,13.0,9.0,7294.0,13185.0,-5153.0,-3852.0,-7.0,14.0,-22.0,9.0,-36.0,-4.0,10692.0,11134.0,4957.0,2363.0,-13.0,16.0,-10.0,1.0
2022-05-06 14:38:43.404151-07:00,1948.9,624.6,1152.4,1372.1,1064.3,1233.7,1551.5,1841.1,3438.2,3434.6,1697.6,1457.1,1425.9,3443.1,1024.5,1403.0,3439.5,3438.2,653.8,1232.8,878.0,510.7,1346.7,1671.0,3431.0,3449.1,831.9,1006.5,1258.7,1473.6,1183.2,1045.2,1.0,-4.0,9.0,7296.0,13188.0,-5146.0,-3849.0,8.0,13.0,0.0,7.0,-54.0,-8.0,10693.0,11129.0,4963.0,2368.0,0.0,15.0,-5.0,1.0
2022-05-06 14:38:43.405248-07:00,1937.1,623.8,1152.4,1372.1,1058.2,1239.1,1551.5,1841.1,3437.0,3443.1,1697.6,1457.1,1423.1,3449.1,1024.5,1403.0,3439.5,3438.2,646.5,1235.5,878.0,510.7,1347.6,1676.7,3431.0,3449.1,832.7,1009.0,1258.7,1473.6,1184.1,1045.2,-8.0,10.0,1.0,7293.0,13192.0,-5144.0,-3841.0,0.0,28.0,-3.0,-6.0,-41.0,-6.0,10689.0,11130.0,4968.0,2371.0,-9.0,15.0,-3.0,1.0
2022-05-06 14:38:43.461433-07:00,1937.1,623.8,1162.1,1368.5,1058.2,1239.1,1561.8,1838.2,3437.0,3443.1,1693.8,1452.5,1423.1,3449.1,1029.7,1407.6,3435.8,3438.2,646.5,1235.5,880.6,508.3,1347.6,1676.7,3443.1,3439.5,832.7,1009.0,1250.6,1475.5,1184.1,1045.2,3.0,6.0,5.0,7292.0,13194.0,-5142.0,-3839.0,13.0,-15.0,-12.0,11.0,-49.0,-3.0,10689.0,11128.0,4970.0,2375.0,2.0,12.0,-8.0,1.0
