Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 14:38:42.936565-07:00,1085.1,674.2,955.1,929.6,997.0,694.6,1566.5,1381.2,3455.2,3473.4,1066.0,855.3,1510.6,3478.3,1361.2,1242.6,3475.9,3477.1,342.9,625.4,952.6,1161.2,585.1,1621.8,3471.0,3484.4,643.2,678.2,1713.8,1041.8,945.8,848.6,6.0,-4.0,2.0,9197.0,-10489.0,7753.0,-3705.0,-23.0,-5.0,0.0,3.0,2.0,-4.0,6970.0,-14697.0,1864.0,609.0,-15.0,2.0,1.0,1.0
2022-05-06 14:38:43.056610-07:00,1085.1,674.2,956.8,932.2,997.0,694.6,1541.3,1367.6,3455.2,3473.4,1055.6,851.1,1510.6,3478.3,1355.8,1238.2,3477.1,3474.6,342.9,625.4,951.7,1154.2,585.1,1621.8,3467.4,3480.7,643.2,678.2,1712.9,1037.5,945.8,848.6,4.0,3.0,9.0,9195.0,-10490.0,7754.0,-3705.0,13.0,17.0,6.0,2.0,2.0,4.0,6966.0,-14699.0,1864.0,609.0,1.0,1.0,6.0,1.0
2022-05-06 14:38:43.058282-07:00,1091.2,670.1,956.8,932.2,1009.9,690.5,1541.3,1367.6,3463.7,3478.3,1055.6,851.1,1520.8,3468.6,1355.8,1238.2,3477.1,3474.6,339.8,627.0,951.7,1154.2,585.1,1626.5,3467.4,3480.7,644.0,678.2,1712.9,1037.5,950.9,854.5,7.0,5.0,-2.0,9198.0,-10487.0,7754.0,-3708.0,-4.0,2.0,-2.0,8.0,8.0,-5.0,6969.0,-14698.0,1864.0,609.0,7.0,8.0,0.0,1.0
2022-05-06 14:38:43.059112-07:00,1091.2,670.1,958.5,928.8,1009.9,696.2,1540.3,1379.4,3463.7,3478.3,1064.3,854.5,1520.8,3473.4,1360.3,1246.2,3483.2,3471.0,341.4,627.0,954.3,1157.7,585.1,1626.5,3475.9,3473.4,640.0,678.2,1717.7,1039.2,950.9,854.5,8.0,-10.0,3.0,9198.0,-10489.0,7751.0,-3704.0,-1.0,-29.0,-10.0,9.0,0.0,-3.0,6968.0,-14698.0,1864.0,609.0,6.0,-5.0,-7.0,1.0
2022-05-06 14:38:43.059811-07:00,1092.1,679.9,960.2,928.8,1005.6,696.2,1540.3,1379.4,3467.4,3467.4,1062.5,854.5,1518.0,3473.4,1360.3,1246.2,3483.2,3471.0,341.4,627.0,954.3,1155.9,585.9,1621.8,3475.9,3473.4,640.0,680.7,1717.7,1034.9,945.8,860.4,6.0,-6.0,11.0,9210.0,-10485.0,7742.0,-3707.0,30.0,-9.0,1.0,4.0,1.0,0.0,6981.0,-14692.0,1863.0,610.0,28.0,-7.0,-2.0,1.0
2022-05-06 14:38:43.061676-07:00,1092.1,679.9,960.2,930.5,1005.6,695.4,1553.4,1379.4,3467.4,3467.4,1062.5,854.5,1518.0,3475.9,1351.2,1239.1,3480.7,3472.2,342.1,627.0,954.3,1155.9,585.9,1621.8,3478.3,3478.3,642.4,680.7,1720.5,1034.9,945.8,860.4,7.0,1.0,10.0,9212.0,-10483.0,7742.0,-3708.0,0.0,2.0,3.0,6.0,4.0,5.0,6983.0,-14691.0,1865.0,611.0,0.0,9.0,13.0,1.0
2022-05-06 14:38:43.147131-07:00,1086.8,667.6,952.6,930.5,1000.5,695.4,1553.4,1379.4,3464.9,3471.0,1066.9,854.5,1520.8,3475.9,1351.2,1239.1,3480.7,3472.2,342.1,626.2,954.3,1155.9,588.3,1623.7,3478.3,3478.3,642.4,679.1,1720.5,1046.1,943.2,857.9,4.0,0.0,4.0,9209.0,-10482.0,7745.0,-3711.0,2.0,15.0,0.0,2.0,5.0,-1.0,6982.0,-14690.0,1872.0,608.0,8.0,15.0,12.0,1.0
2022-05-06 14:38:43.236945-07:00,1086.8,667.6,952.6,931.3,1000.5,691.3,1536.6,1393.9,3464.9,3471.0,1066.9,859.5,1520.8,3462.5,1355.8,1235.5,3475.9,3469.8,342.1,626.2,956.0,1155.9,588.3,1623.7,3475.9,3473.4,640.8,679.1,1710.0,1046.1,943.2,857.9,4.0,3.0,1.0,9209.0,-10477.0,7749.0,-3717.0,19.0,24.0,13.0,4.0,2.0,-1.0,6986.0,-14688.0,1877.0,609.0,15.0,9.0,12.0,1.0
2022-05-06 14:38:43.237987-07:00,1107.8,672.5,952.6,931.3,1009.0,691.3,1536.6,1393.9,3473.4,3464.9,1063.4,842.8,1522.7,3462.5,1355.8,1235.5,3475.9,3469.8,342.1,623.8,950.0,1154.2,581.8,1635.0,3475.9,3473.4,640.8,679.9,1718.6,1034.9,953.4,852.0,7.0,1.0,-3.0,9208.0,-10475.0,7752.0,-3719.0,-9.0,-1.0,-1.0,9.0,10.0,-3.0,6985.0,-14688.0,1879.0,607.0,-14.0,13.0,4.0,1.0
2022-05-06 14:38:43.265859-07:00,1107.8,672.5,952.6,931.3,1004.8,696.2,1545.0,1377.5,3473.4,3464.9,1063.4,842.8,1517.1,3468.6,1353.1,1232.8,3473.4,3479.5,347.6,631.1,950.0,1154.2,581.8,1635.0,3473.4,3480.7,647.3,679.9,1718.6,1034.9,953.4,852.0,6.0,-1.0,2.0,9205.0,-10477.0,7753.0,-3718.0,11.0,13.0,9.0,7.0,0.0,-5.0,6985.0,-14688.0,1879.0,607.0,17.0,-1.0,4.0,1.0
