Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 14:46:22.639349-07:00,1046.1,633.5,964.5,905.9,887.3,698.7,1529.2,1378.5,3477.1,3467.4,995.3,826.0,1332.3,3477.1,1252.4,1132.2,3473.4,3474.6,281.3,565.0,786.9,1031.4,429.4,1352.1,3474.6,3477.1,590.7,663.6,1565.5,940.7,868.8,799.4,9.0,0.0,6.0,6919.0,-7132.0,11144.0,-6746.0,27.0,-2.0,-38.0,-1.0,-1.0,6.0,6532.0,-14044.0,5218.0,-1141.0,19.0,-5.0,-6.0,1.0
2022-05-06 14:46:22.640635-07:00,1046.1,633.5,964.5,904.2,887.3,695.4,1540.3,1375.7,3477.1,3467.4,995.3,827.7,1332.3,3467.4,1242.6,1133.1,3475.9,3480.7,283.6,565.0,784.4,1031.4,429.4,1352.1,3475.9,3472.2,593.1,663.6,1559.9,940.7,868.8,799.4,3.0,0.0,-3.0,6917.0,-7136.0,11137.0,-6754.0,-20.0,-3.0,-7.0,-2.0,-5.0,3.0,6534.0,-14043.0,5218.0,-1141.0,-23.0,1.0,-5.0,1.0
2022-05-06 14:46:22.699151-07:00,1053.9,631.1,968.8,904.2,882.3,695.4,1540.3,1375.7,3467.4,3461.3,992.7,827.7,1325.9,3467.4,1242.6,1133.1,3475.9,3480.7,283.6,565.0,784.4,1032.3,427.0,1354.9,3475.9,3472.2,593.1,662.7,1559.9,942.4,870.5,791.0,7.0,5.0,8.0,6916.0,-7137.0,11138.0,-6753.0,33.0,2.0,-4.0,0.0,0.0,6.0,6534.0,-14043.0,5218.0,-1141.0,39.0,-5.0,10.0,1.0
2022-05-06 14:46:22.938744-07:00,1053.9,631.1,968.8,900.0,882.3,699.5,1529.2,1375.7,3467.4,3461.3,992.7,826.9,1325.9,3473.4,1249.7,1139.2,3475.9,3480.7,285.9,565.0,787.7,1032.3,427.0,1354.9,3478.3,3469.8,593.9,662.7,1571.1,942.4,870.5,791.0,7.0,7.0,0.0,6920.0,-7138.0,11129.0,-6762.0,-8.0,-16.0,-23.0,-7.0,3.0,1.0,6540.0,-14040.0,5218.0,-1143.0,-10.0,2.0,3.0,1.0
2022-05-06 14:46:22.940404-07:00,1044.4,636.7,972.2,904.2,885.6,699.5,1529.2,1375.7,3474.6,3473.4,1001.3,824.4,1325.9,3473.4,1249.7,1139.2,3475.9,3480.7,285.9,556.2,791.9,1030.6,427.8,1357.6,3478.3,3469.8,593.9,660.3,1563.7,944.1,869.6,798.5,1.0,-1.0,5.0,6916.0,-7142.0,11131.0,-6759.0,5.0,-8.0,-2.0,-4.0,-5.0,5.0,6533.0,-14043.0,5218.0,-1141.0,8.0,0.0,9.0,1.0
2022-05-06 14:46:22.941017-07:00,1044.4,636.7,972.2,904.2,881.4,694.6,1533.8,1372.1,3474.6,3473.4,1001.3,824.4,1324.1,3478.3,1248.0,1135.7,3478.3,3481.9,282.9,561.0,791.9,1030.6,427.8,1357.6,3473.4,3478.3,593.1,659.5,1563.7,944.1,869.6,798.5,9.0,-2.0,6.0,6919.0,-7142.0,11126.0,-6765.0,-6.0,-7.0,-1.0,0.0,5.0,4.0,6537.0,-14040.0,5223.0,-1140.0,-5.0,4.0,13.0,1.0
2022-05-06 14:46:23.029577-07:00,1034.9,642.4,967.1,894.9,881.4,694.6,1533.8,1372.1,3478.3,3479.5,990.2,828.5,1324.1,3478.3,1248.0,1135.7,3478.3,3481.9,282.9,561.0,783.6,1028.8,433.3,1352.1,3473.4,3478.3,593.1,659.5,1563.7,935.6,867.9,796.0,7.0,1.0,1.0,6910.0,-7141.0,11136.0,-6759.0,2.0,14.0,4.0,2.0,-1.0,11.0,6528.0,-14042.0,5232.0,-1133.0,-5.0,7.0,22.0,1.0
2022-05-06 14:46:23.030829-07:00,1034.9,642.4,967.1,894.9,885.6,701.1,1527.3,1371.2,3478.3,3479.5,990.2,828.5,1327.8,3464.9,1248.8,1137.5,3486.8,3471.0,284.4,563.4,783.6,1028.8,433.3,1352.1,3474.6,3473.4,591.5,660.3,1563.7,935.6,867.9,796.0,8.0,-5.0,0.0,6904.0,-7140.0,11146.0,-6750.0,-40.0,17.0,14.0,-1.0,-1.0,0.0,6517.0,-14044.0,5240.0,-1125.0,-45.0,-5.0,19.0,1.0
2022-05-06 14:46:23.031425-07:00,1033.2,653.0,965.4,902.5,885.6,701.1,1527.3,1371.2,3474.6,3472.2,994.5,831.1,1327.8,3464.9,1248.8,1137.5,3486.8,3471.0,284.4,563.4,783.6,1034.9,430.9,1355.8,3474.6,3473.4,591.5,660.3,1568.3,940.7,863.7,791.9,9.0,14.0,-4.0,6906.0,-7133.0,11148.0,-6751.0,-10.0,-3.0,9.0,1.0,12.0,0.0,6522.0,-14041.0,5244.0,-1124.0,-5.0,-6.0,7.0,1.0
2022-05-06 14:46:23.268527-07:00,1034.0,653.0,965.4,902.5,879.7,690.5,1531.0,1371.2,3472.2,3472.2,994.5,831.1,1324.1,3468.6,1246.2,1134.9,3478.3,3473.4,281.3,561.0,783.6,1034.9,430.9,1355.8,3478.3,3477.1,594.7,665.2,1568.3,940.7,863.7,791.0,1.0,-3.0,5.0,6902.0,-7139.0,11152.0,-6742.0,-6.0,-20.0,-9.0,-6.0,-6.0,9.0,6512.0,-14046.0,5244.0,-1120.0,0.0,-10.0,1.0,1.0
