Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 14:52:59.284369-07:00,1855.7,537.0,1147.1,1341.3,954.3,1171.8,1458.0,1808.1,3438.2,3435.8,1479.2,1361.2,1405.8,3443.1,946.6,1348.5,3439.5,3437.0,643.2,1192.0,838.6,504.4,1248.0,1615.2,3446.7,3444.3,705.2,956.8,1189.4,1340.4,1130.5,952.6,2.0,-12.0,0.0,8491.0,13652.0,2775.0,1504.0,-32.0,9.0,-5.0,-6.0,-6.0,4.0,9823.0,10791.0,6098.0,4281.0,-14.0,1.0,3.0,1.0
2022-05-06 14:52:59.314333-07:00,1855.7,537.0,1147.1,1341.3,954.3,1176.2,1461.7,1811.0,3438.2,3435.8,1479.2,1355.8,1405.8,3440.7,953.4,1346.7,3437.0,3428.6,648.9,1192.0,834.4,504.4,1248.0,1615.2,3443.1,3437.0,707.7,956.8,1192.0,1340.4,1130.5,952.6,13.0,1.0,-7.0,8495.0,13651.0,2768.0,1506.0,6.0,-16.0,20.0,-2.0,1.0,-5.0,9824.0,10790.0,6097.0,4281.0,2.0,-4.0,8.0,1.0
2022-05-06 14:52:59.404178-07:00,1841.1,540.2,1147.1,1341.3,959.4,1176.2,1461.7,1811.0,3434.6,3433.4,1481.9,1355.8,1403.0,3440.7,953.4,1346.7,3437.0,3428.6,648.9,1197.4,834.4,504.4,1250.6,1602.1,3443.1,3437.0,707.7,953.4,1192.0,1346.7,1142.7,946.6,5.0,-2.0,1.0,8502.0,13647.0,2764.0,1508.0,-38.0,0.0,-6.0,-3.0,-6.0,1.0,9831.0,10784.0,6094.0,4285.0,-34.0,-9.0,-1.0,1.0
2022-05-06 14:52:59.464954-07:00,1841.1,540.2,1147.1,1344.0,959.4,1175.3,1474.6,1799.4,3434.6,3433.4,1481.9,1357.6,1403.0,3449.1,945.8,1344.9,3432.2,3432.2,640.0,1197.4,831.9,504.4,1250.6,1602.1,3429.8,3441.9,707.7,953.4,1185.0,1346.7,1142.7,946.6,7.0,-9.0,0.0,8509.0,13642.0,2764.0,1509.0,-8.0,-3.0,-4.0,-3.0,-7.0,2.0,9834.0,10781.0,6093.0,4287.0,4.0,5.0,-3.0,1.0
2022-05-06 14:52:59.465584-07:00,1849.8,544.2,1148.9,1338.6,945.8,1175.3,1474.6,1799.4,3443.1,3433.4,1476.4,1364.8,1399.4,3449.1,945.8,1344.9,3432.2,3432.2,640.0,1195.6,836.1,505.9,1266.7,1608.7,3429.8,3441.9,707.7,960.2,1192.0,1345.8,1139.2,950.0,8.0,8.0,1.0,8500.0,13648.0,2765.0,1507.0,-4.0,-1.0,5.0,-1.0,5.0,0.0,9829.0,10785.0,6095.0,4284.0,-15.0,0.0,0.0,1.0
2022-05-06 14:52:59.494841-07:00,1849.8,544.2,1148.9,1338.6,956.8,1174.4,1468.1,1804.2,3443.1,3433.4,1476.4,1364.8,1402.1,3435.8,950.0,1336.8,3435.8,3437.0,643.2,1190.3,836.1,505.9,1266.7,1608.7,3437.0,3445.5,701.1,954.3,1192.0,1345.8,1139.2,950.0,5.0,-7.0,-7.0,8506.0,13644.0,2764.0,1508.0,17.0,3.0,-2.0,-4.0,-2.0,0.0,9832.0,10783.0,6094.0,4285.0,25.0,3.0,-5.0,1.0
2022-05-06 14:52:59.553969-07:00,1847.9,542.6,1141.0,1335.0,956.8,1174.4,1468.1,1804.2,3435.8,3438.2,1481.0,1362.1,1402.1,3435.8,950.0,1336.8,3435.8,3437.0,643.2,1190.3,839.4,505.1,1252.4,1619.9,3437.0,3445.5,701.1,954.3,1188.5,1346.7,1144.5,958.5,3.0,0.0,4.0,8500.0,13648.0,2767.0,1507.0,-9.0,11.0,-17.0,-3.0,2.0,2.0,9828.0,10786.0,6096.0,4283.0,-19.0,-2.0,-3.0,1.0
2022-05-06 14:52:59.614336-07:00,1847.9,542.6,1141.0,1335.0,949.2,1182.3,1460.8,1812.9,3435.8,3438.2,1481.0,1362.1,1404.9,3435.8,950.9,1340.4,3426.2,3435.8,641.6,1195.6,839.4,505.1,1252.4,1619.9,3439.5,3444.3,694.6,956.0,1188.5,1346.7,1144.5,958.5,8.0,2.0,-4.0,8502.0,13645.0,2772.0,1512.0,10.0,18.0,7.0,-1.0,1.0,-2.0,9829.0,10785.0,6095.0,4284.0,19.0,6.0,2.0,1.0
2022-05-06 14:52:59.674356-07:00,1840.1,547.4,1142.7,1338.6,949.2,1182.3,1460.8,1812.9,3444.3,3439.5,1480.1,1356.7,1404.9,3435.8,950.9,1340.4,3426.2,3435.8,641.6,1195.6,841.9,502.0,1252.4,1608.7,3439.5,3444.3,694.6,956.0,1193.8,1344.9,1138.4,953.4,4.0,-4.0,-7.0,8500.0,13646.0,2776.0,1512.0,8.0,-4.0,-18.0,-5.0,-1.0,0.0,9828.0,10786.0,6095.0,4284.0,7.0,3.0,-8.0,1.0
2022-05-06 14:52:59.704207-07:00,1853.7,547.4,1142.7,1338.6,945.8,1176.2,1467.2,1805.2,3447.9,3439.5,1480.1,1356.7,1408.5,3443.1,950.0,1344.0,3438.2,3443.1,641.6,1192.9,841.9,502.0,1252.4,1611.5,3438.2,3438.2,711.0,953.4,1193.8,1344.9,1138.4,952.6,10.0,-2.0,5.0,8496.0,13648.0,2777.0,1511.0,0.0,8.0,-3.0,-6.0,2.0,0.0,9826.0,10788.0,6096.0,4282.0,3.0,-1.0,-4.0,1.0
