Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:00:12.388622-07:00,1038.3,624.6,951.7,890.7,878.9,753.8,1566.5,1320.5,3473.4,3462.5,975.6,798.5,1506.0,3472.2,1214.2,1171.8,3477.1,3480.7,337.5,549.8,825.2,1056.5,453.7,1730.1,3475.9,3473.4,588.3,675.8,1710.0,944.1,878.0,806.9,4.0,-9.0,5.0,2475.0,-199.0,12947.0,-9729.0,-16.0,5.0,-1.0,-4.0,-6.0,7.0,6942.0,-14159.0,4350.0,-918.0,-15.0,0.0,-5.0,1.0
2022-05-06 15:00:12.448714-07:00,1038.3,630.3,953.4,888.2,878.9,753.8,1566.5,1315.1,3473.4,3466.1,971.3,796.9,1506.0,3472.2,1214.2,1170.9,3478.3,3480.7,337.5,549.8,826.9,1053.9,449.0,1730.1,3474.6,3473.4,588.3,675.8,1709.1,942.4,871.3,806.9,6.0,0.0,2.0,2474.0,-198.0,12950.0,-9725.0,-32.0,22.0,14.0,-2.0,4.0,2.0,6939.0,-14160.0,4350.0,-917.0,-28.0,3.0,4.0,1.0
2022-05-06 15:00:12.479266-07:00,1028.0,630.3,953.4,888.2,889.8,755.4,1558.1,1315.1,3471.0,3466.1,971.3,796.9,1487.5,3478.3,1224.8,1170.9,3478.3,3477.1,338.3,555.4,826.9,1053.9,449.0,1740.6,3474.6,3477.1,603.6,669.3,1709.1,942.4,871.3,806.9,5.0,7.0,-7.0,2467.0,-187.0,12957.0,-9718.0,18.0,25.0,9.0,-2.0,1.0,4.0,6932.0,-14163.0,4352.0,-918.0,24.0,6.0,6.0,1.0
2022-05-06 15:00:12.538586-07:00,1028.0,631.1,946.6,888.2,889.8,755.4,1558.1,1313.3,3471.0,3471.0,971.3,797.7,1487.5,3478.3,1224.8,1176.2,3477.1,3477.1,338.3,555.4,816.9,1053.9,452.2,1740.6,3473.4,3477.1,603.6,669.3,1706.2,939.8,880.6,806.9,3.0,-2.0,-6.0,2464.0,-186.0,12960.0,-9714.0,-26.0,9.0,7.0,-2.0,-3.0,0.0,6928.0,-14165.0,4352.0,-917.0,-27.0,-2.0,0.0,1.0
2022-05-06 15:00:12.569334-07:00,1034.9,631.1,946.6,888.2,885.6,767.0,1567.4,1313.3,3474.6,3480.7,971.3,797.7,1484.7,3471.0,1216.0,1176.2,3477.1,3477.1,331.3,561.0,816.9,1053.9,454.5,1746.4,3473.4,3471.0,582.6,676.6,1706.2,939.8,877.2,807.7,3.0,2.0,6.0,2468.0,-190.0,12959.0,-9714.0,12.0,-22.0,-10.0,-6.0,0.0,5.0,6929.0,-14165.0,4351.0,-914.0,12.0,-13.0,-9.0,1.0
2022-05-06 15:00:12.629189-07:00,1034.9,631.1,955.1,885.6,885.6,767.0,1555.3,1317.8,3474.6,3480.7,970.5,800.2,1484.7,3471.0,1233.7,1178.8,3468.6,3478.3,331.3,561.0,824.4,1045.2,454.5,1746.4,3478.3,3481.9,582.6,676.6,1714.8,944.9,877.2,807.7,3.0,-2.0,0.0,2469.0,-191.0,12958.0,-9716.0,-17.0,-5.0,-2.0,-7.0,-1.0,6.0,6929.0,-14166.0,4350.0,-913.0,-23.0,-2.0,-8.0,1.0
2022-05-06 15:00:12.659024-07:00,1031.4,625.4,955.1,885.6,881.4,764.5,1555.3,1317.8,3464.9,3471.0,970.5,800.2,1505.1,3478.3,1233.7,1178.8,3468.6,3478.3,332.9,556.2,824.4,1045.2,453.7,1745.4,3478.3,3481.9,584.3,672.5,1714.8,944.9,874.7,806.0,5.0,0.0,6.0,2469.0,-192.0,12959.0,-9714.0,13.0,1.0,-1.0,-1.0,-10.0,9.0,6927.0,-14167.0,4350.0,-913.0,11.0,0.0,-1.0,1.0
2022-05-06 15:00:12.719349-07:00,1031.4,625.4,955.1,889.0,881.4,764.5,1559.9,1318.7,3464.9,3471.0,972.2,801.9,1505.1,3478.3,1215.1,1169.1,3469.8,3478.3,332.9,556.2,824.4,1056.5,453.7,1745.4,3473.4,3472.2,584.3,672.5,1710.0,944.9,874.7,806.0,6.0,3.0,-3.0,2467.0,-190.0,12958.0,-9716.0,-7.0,18.0,6.0,-2.0,-3.0,2.0,6930.0,-14165.0,4350.0,-914.0,-8.0,3.0,1.0,1.0
2022-05-06 15:00:12.778717-07:00,1040.9,625.4,955.1,889.0,884.8,762.0,1559.9,1318.7,3468.6,3473.4,972.2,801.9,1481.0,3471.0,1215.1,1169.1,3469.8,3478.3,332.1,553.0,824.4,1056.5,454.5,1735.8,3473.4,3472.2,590.7,675.0,1710.0,944.9,879.7,809.4,5.0,0.0,2.0,2465.0,-189.0,12960.0,-9713.0,5.0,-6.0,8.0,-2.0,0.0,5.0,6928.0,-14166.0,4350.0,-913.0,14.0,-5.0,-1.0,1.0
2022-05-06 15:00:12.808752-07:00,1040.9,625.4,950.9,884.8,884.8,756.3,1564.6,1316.9,3468.6,3473.4,977.3,796.0,1481.0,3473.4,1221.3,1172.6,3471.0,3475.9,331.3,553.0,821.0,1053.0,454.5,1735.8,3479.5,3478.3,588.3,675.0,1710.0,942.4,879.7,809.4,0.0,6.0,-3.0,2465.0,-189.0,12960.0,-9713.0,1.0,3.0,-3.0,-4.0,4.0,3.0,6928.0,-14167.0,4348.0,-914.0,-9.0,-1.0,-10.0,1.0
