Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:06:02.201843-07:00,1897.7,569.8,1288.2,1436.0,973.1,1223.9,1448.8,1739.7,3440.7,3439.5,1635.0,1327.8,1531.0,3433.4,1051.3,1419.5,3445.5,3434.6,633.5,1198.2,837.7,509.1,1368.5,1953.9,3435.8,3443.1,759.6,1010.8,1439.6,1500.4,1299.0,1038.3,0.0,0.0,-12.0,4778.0,6343.0,12521.0,6971.0,12.0,1.0,-5.0,4.0,0.0,-8.0,10323.0,10786.0,5805.0,3440.0,11.0,7.0,-7.0,1.0
2022-05-06 15:06:02.202886-07:00,1891.8,569.8,1288.2,1436.0,971.3,1215.1,1441.5,1739.7,3445.5,3439.5,1635.0,1327.8,1531.0,3435.8,1052.2,1419.5,3445.5,3434.6,634.3,1198.2,837.7,509.1,1368.5,1954.8,3435.8,3438.2,761.2,1008.2,1439.6,1500.4,1299.0,1039.2,14.0,-6.0,-3.0,4779.0,6343.0,12520.0,6972.0,-10.0,-3.0,1.0,8.0,-1.0,-10.0,10323.0,10785.0,5805.0,3440.0,-12.0,-8.0,-3.0,1.0
2022-05-06 15:06:02.231505-07:00,1891.8,569.0,1286.4,1441.5,971.3,1215.1,1441.5,1740.6,3445.5,3434.6,1635.0,1350.3,1531.0,3435.8,1052.2,1409.4,3434.6,3434.6,634.3,1198.2,847.0,512.3,1356.7,1954.8,3440.7,3438.2,761.2,1008.2,1438.7,1503.2,1300.7,1039.2,4.0,5.0,-3.0,4780.0,6344.0,12519.0,6972.0,7.0,-18.0,8.0,5.0,2.0,-2.0,10323.0,10787.0,5804.0,3439.0,3.0,-9.0,0.0,1.0
2022-05-06 15:06:02.292521-07:00,1892.8,569.0,1286.4,1441.5,967.1,1211.5,1440.5,1740.6,3439.5,3434.6,1635.0,1350.3,1533.8,3440.7,1053.9,1409.4,3434.6,3431.0,640.8,1201.8,847.0,512.3,1356.7,1943.0,3440.7,3446.7,759.6,1007.3,1438.7,1503.2,1300.7,1034.0,8.0,3.0,-2.0,4785.0,6347.0,12516.0,6971.0,-14.0,-16.0,2.0,9.0,0.0,-3.0,10323.0,10787.0,5803.0,3440.0,-9.0,-7.0,-8.0,1.0
2022-05-06 15:06:02.321907-07:00,1892.8,567.4,1293.6,1434.1,967.1,1211.5,1440.5,1740.6,3439.5,3441.9,1634.1,1332.3,1533.8,3440.7,1053.9,1409.4,3438.2,3431.0,640.8,1201.8,844.4,510.7,1371.2,1943.0,3445.5,3446.7,759.6,1007.3,1439.6,1498.6,1301.6,1034.0,8.0,0.0,2.0,4789.0,6347.0,12515.0,6970.0,0.0,8.0,-12.0,10.0,0.0,-3.0,10325.0,10785.0,5804.0,3438.0,-8.0,-1.0,-12.0,1.0
2022-05-06 15:06:02.441678-07:00,1889.9,565.8,1293.6,1434.1,979.0,1223.0,1445.1,1740.6,3438.2,3437.0,1634.1,1332.3,1541.3,3440.7,1058.2,1409.4,3438.2,3440.7,639.2,1199.1,844.4,510.7,1363.0,1953.9,3445.5,3440.7,762.9,1010.8,1439.6,1498.6,1299.8,1034.9,5.0,6.0,-5.0,4786.0,6347.0,12517.0,6969.0,-6.0,13.0,1.0,9.0,1.0,-5.0,10324.0,10786.0,5805.0,3437.0,-4.0,8.0,-7.0,1.0
2022-05-06 15:06:02.443004-07:00,1889.9,565.8,1289.1,1429.5,979.0,1223.0,1443.3,1741.6,3438.2,3437.0,1639.8,1335.0,1541.3,3440.7,1053.0,1415.8,3434.6,3433.4,639.2,1199.1,842.8,510.7,1363.0,1953.9,3444.3,3439.5,762.9,1010.8,1438.7,1503.2,1299.8,1034.9,8.0,-20.0,-4.0,4785.0,6342.0,12515.0,6978.0,-4.0,3.0,-3.0,10.0,-21.0,-10.0,10328.0,10782.0,5804.0,3439.0,-1.0,5.0,-7.0,1.0
2022-05-06 15:06:02.471653-07:00,1894.8,569.8,1289.1,1429.5,966.2,1218.6,1443.3,1741.6,3438.2,3435.8,1639.8,1335.0,1532.0,3439.5,1053.0,1415.8,3434.6,3433.4,640.0,1198.2,842.8,510.7,1365.7,1950.9,3444.3,3439.5,763.7,1014.2,1438.7,1503.2,1296.3,1047.0,3.0,7.0,-6.0,4778.0,6347.0,12523.0,6965.0,-3.0,-7.0,-7.0,9.0,2.0,-7.0,10318.0,10791.0,5808.0,3434.0,-7.0,-1.0,-7.0,1.0
2022-05-06 15:06:02.561667-07:00,1894.8,569.8,1295.4,1429.5,966.2,1218.6,1439.6,1739.7,3438.2,3435.8,1620.9,1334.1,1532.0,3439.5,1048.7,1414.0,3428.6,3435.8,640.0,1198.2,848.6,507.5,1365.7,1950.9,3433.4,3438.2,763.7,1014.2,1439.6,1508.8,1296.3,1047.0,8.0,-8.0,0.0,4783.0,6345.0,12518.0,6972.0,-1.0,0.0,1.0,7.0,-9.0,-10.0,10324.0,10786.0,5806.0,3437.0,-3.0,2.0,1.0,1.0
2022-05-06 15:06:02.592015-07:00,1900.7,565.0,1295.4,1429.5,982.5,1214.2,1439.6,1739.7,3439.5,3449.1,1620.9,1334.1,1525.5,3441.9,1048.7,1414.0,3428.6,3435.8,640.8,1195.6,848.6,507.5,1363.0,1952.9,3433.4,3438.2,761.2,1007.3,1439.6,1508.8,1294.5,1038.3,3.0,16.0,-6.0,4770.0,6347.0,12530.0,6957.0,39.0,11.0,-10.0,7.0,19.0,0.0,10314.0,10793.0,5811.0,3435.0,16.0,8.0,-9.0,1.0
2022-05-06 15:06:02.621528-07:00,1900.7,565.0,1284.6,1436.0,982.5,1209.7,1443.3,1747.3,3439.5,3449.1,1626.5,1328.7,1525.5,3441.9,1047.0,1410.3,3432.2,3449.1,640.0,1195.6,847.0,513.9,1363.0,1952.9,3441.9,3434.6,765.3,1007.3,1437.8,1503.2,1294.5,1038.3,6.0,-6.0,-3.0,4775.0,6345.0,12527.0,6961.0,-13.0,-2.0,-5.0,6.0,-1.0,-9.0,10316.0,10791.0,5812.0,3436.0,-9.0,3.0,-7.0,1.0
