Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:07:42.169713-07:00,1935.1,575.4,1148.9,1398.5,1113.0,1204.4,1442.4,1823.6,3443.1,3443.1,1521.8,1437.8,1458.9,3437.0,997.0,1455.2,3444.3,3439.5,635.1,1178.8,839.4,517.9,1299.8,1881.1,3440.7,3435.8,742.2,997.0,1401.2,1471.8,1200.0,1171.8,9.0,-8.0,-10.0,4083.0,5010.0,12892.0,7776.0,4.0,0.0,2.0,16.0,1.0,0.0,10703.0,10655.0,5460.0,3247.0,6.0,4.0,-10.0,1.0
2022-05-06 15:07:42.171918-07:00,1935.1,575.4,1148.9,1398.5,1122.6,1203.5,1441.5,1834.3,3443.1,3443.1,1521.8,1437.8,1458.9,3437.0,996.2,1459.8,3443.1,3424.9,635.9,1173.5,839.4,517.9,1299.8,1881.1,3428.6,3440.7,736.5,996.2,1401.2,1471.8,1200.0,1171.8,13.0,6.0,-3.0,4081.0,5010.0,12895.0,7772.0,9.0,14.0,-11.0,13.0,8.0,-4.0,10699.0,10659.0,5462.0,3244.0,9.0,6.0,-10.0,1.0
2022-05-06 15:07:42.229331-07:00,1942.0,579.4,1150.6,1408.5,1122.6,1203.5,1441.5,1834.3,3443.1,3432.2,1526.4,1440.5,1458.9,3437.0,996.2,1459.8,3443.1,3424.9,635.9,1173.5,837.7,524.2,1296.3,1879.1,3428.6,3440.7,736.5,996.2,1404.9,1470.9,1192.9,1162.1,1.0,-8.0,0.0,4084.0,5002.0,12896.0,7773.0,-3.0,8.0,-13.0,5.0,-1.0,0.0,10701.0,10656.0,5463.0,3243.0,3.0,3.0,-13.0,1.0
2022-05-06 15:07:42.259359-07:00,1942.0,579.4,1150.6,1408.5,1111.2,1206.2,1441.5,1829.4,3443.1,3432.2,1526.4,1440.5,1460.8,3437.0,986.7,1462.6,3449.1,3428.6,639.2,1176.2,837.7,524.2,1296.3,1879.1,3444.3,3439.5,739.7,995.3,1404.9,1470.9,1192.9,1162.1,11.0,2.0,0.0,4082.0,4998.0,12898.0,7774.0,-4.0,27.0,-18.0,17.0,3.0,-4.0,10701.0,10656.0,5464.0,3242.0,-7.0,2.0,-8.0,1.0
2022-05-06 15:07:42.349807-07:00,1940.0,579.4,1148.9,1401.2,1111.2,1206.2,1441.5,1825.5,3449.1,3441.9,1518.0,1434.1,1460.8,3437.0,986.7,1460.8,3435.8,3428.6,639.2,1176.2,831.1,522.6,1292.7,1874.2,3443.1,3439.5,739.7,995.3,1394.8,1462.6,1192.9,1162.1,8.0,-4.0,-3.0,4078.0,4985.0,12902.0,7778.0,-6.0,28.0,-13.0,11.0,-1.0,1.0,10703.0,10655.0,5465.0,3242.0,0.0,1.0,-7.0,1.0
2022-05-06 15:07:42.379971-07:00,1932.1,579.4,1148.9,1401.2,1104.3,1205.3,1451.6,1825.5,3440.7,3441.9,1518.0,1434.1,1458.0,3437.0,996.2,1460.8,3435.8,3432.2,640.8,1170.9,831.1,522.6,1292.7,1874.2,3443.1,3440.7,744.7,997.9,1394.8,1462.6,1192.9,1163.0,7.0,-7.0,0.0,4076.0,4982.0,12902.0,7781.0,2.0,1.0,1.0,12.0,-3.0,0.0,10703.0,10655.0,5465.0,3242.0,8.0,4.0,-8.0,1.0
2022-05-06 15:07:42.409466-07:00,1932.1,572.2,1147.1,1402.1,1104.3,1205.3,1451.6,1824.6,3440.7,3443.1,1519.9,1434.1,1458.0,3437.0,996.2,1447.9,3432.2,3432.2,640.8,1170.9,836.9,521.8,1294.5,1874.2,3439.5,3440.7,744.7,997.9,1404.0,1462.6,1194.7,1163.0,10.0,-2.0,-6.0,4075.0,4984.0,12902.0,7781.0,5.0,-1.0,2.0,9.0,-1.0,-4.0,10700.0,10657.0,5465.0,3240.0,5.0,1.0,0.0,1.0
2022-05-06 15:07:42.469743-07:00,1936.1,572.2,1147.1,1402.1,1119.1,1200.9,1439.6,1824.6,3443.1,3443.1,1519.9,1434.1,1458.9,3433.4,997.0,1447.9,3432.2,3439.5,644.0,1170.0,836.9,521.8,1294.5,1875.2,3439.5,3438.2,743.9,994.5,1404.0,1462.6,1194.7,1161.2,7.0,-2.0,-1.0,4073.0,4979.0,12903.0,7783.0,10.0,12.0,-7.0,14.0,4.0,6.0,10701.0,10656.0,5465.0,3241.0,10.0,11.0,-12.0,1.0
2022-05-06 15:07:42.499845-07:00,1936.1,574.6,1154.2,1395.7,1119.1,1200.9,1439.6,1829.4,3443.1,3445.5,1528.3,1435.0,1458.9,3433.4,997.0,1451.6,3434.6,3439.5,644.0,1170.0,834.4,525.0,1290.0,1875.2,3437.0,3438.2,743.9,994.5,1396.7,1472.7,1201.8,1161.2,7.0,-2.0,-6.0,4073.0,4977.0,12904.0,7782.0,-4.0,11.0,-13.0,13.0,7.0,-1.0,10700.0,10657.0,5469.0,3238.0,2.0,4.0,-15.0,1.0
2022-05-06 15:07:42.559431-07:00,1934.1,573.8,1154.2,1395.7,1124.4,1206.2,1442.4,1829.4,3441.9,3444.3,1528.3,1435.0,1463.5,3433.4,993.6,1451.6,3434.6,3431.0,637.6,1179.7,834.4,525.0,1295.4,1878.1,3437.0,3444.3,736.5,995.3,1396.7,1472.7,1192.0,1163.0,1.0,-10.0,-5.0,4071.0,4971.0,12907.0,7783.0,6.0,0.0,-3.0,11.0,-5.0,-2.0,10700.0,10656.0,5470.0,3237.0,-4.0,5.0,-5.0,1.0
