Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:07:42.146752-07:00,1025.4,650.5,927.1,880.6,893.2,722.5,1581.4,1314.2,3467.4,3477.1,1040.9,833.6,1399.4,3466.1,1282.8,1199.1,3483.2,3473.4,346.8,552.2,871.3,1064.3,472.7,1612.4,3483.2,3477.1,600.4,662.7,1787.8,971.3,874.7,841.9,7.0,-11.0,13.0,-3189.0,6060.0,10761.0,-10283.0,31.0,22.0,6.0,1.0,-4.0,10.0,7968.0,-13257.0,5112.0,-1754.0,27.0,2.0,7.0,1.0
2022-05-06 15:07:42.206923-07:00,1025.4,650.5,927.1,880.6,900.8,721.6,1584.2,1314.2,3468.6,3477.1,1040.9,833.6,1396.7,3467.4,1289.1,1199.1,3483.2,3475.9,349.1,552.2,871.3,1064.3,472.7,1602.1,3483.2,3463.7,609.2,664.4,1787.8,971.3,874.7,848.6,0.0,-4.0,-3.0,-3196.0,6063.0,10755.0,-10285.0,-6.0,7.0,1.0,-5.0,-2.0,6.0,7971.0,-13255.0,5111.0,-1756.0,-10.0,4.0,1.0,1.0
2022-05-06 15:07:42.237051-07:00,1025.4,649.7,926.2,878.9,900.8,721.6,1584.2,1321.4,3468.6,3474.6,1037.5,830.2,1396.7,3467.4,1289.1,1200.9,3474.6,3475.9,349.1,552.2,870.5,1061.7,465.6,1602.1,3480.7,3463.7,609.2,664.4,1789.7,956.0,876.4,848.6,4.0,-2.0,-4.0,-3197.0,6063.0,10754.0,-10287.0,19.0,-4.0,-1.0,-1.0,1.0,6.0,7973.0,-13254.0,5111.0,-1756.0,14.0,-8.0,-2.0,1.0
2022-05-06 15:07:42.297070-07:00,1023.7,649.7,926.2,878.9,895.7,716.7,1588.0,1321.4,3474.6,3474.6,1037.5,830.2,1391.2,3467.4,1288.2,1200.9,3474.6,3472.2,354.5,545.0,870.5,1061.7,465.6,1604.9,3480.7,3477.1,602.0,665.2,1789.7,956.0,876.4,847.8,5.0,-10.0,9.0,-3197.0,6062.0,10752.0,-10289.0,0.0,-9.0,1.0,-4.0,-4.0,7.0,7976.0,-13253.0,5110.0,-1755.0,2.0,-8.0,-7.0,1.0
2022-05-06 15:07:42.356864-07:00,1023.7,647.3,920.3,881.4,895.7,716.7,1588.0,1313.3,3474.6,3468.6,1038.3,831.1,1391.2,3467.4,1288.2,1200.0,3474.6,3472.2,354.5,545.0,867.1,1066.9,471.9,1604.9,3488.0,3477.1,602.0,665.2,1787.8,957.7,877.2,847.8,3.0,-3.0,11.0,-3198.0,6061.0,10751.0,-10290.0,7.0,-4.0,-2.0,-1.0,-6.0,11.0,7976.0,-13253.0,5110.0,-1755.0,2.0,-2.0,1.0,1.0
2022-05-06 15:07:42.389349-07:00,1030.6,643.2,920.3,881.4,892.4,716.7,1588.0,1313.3,3464.9,3466.1,1038.3,831.1,1399.4,3478.3,1273.9,1200.0,3474.6,3466.1,343.7,546.6,867.1,1066.9,465.6,1606.8,3488.0,3485.6,602.0,661.9,1787.8,957.7,870.5,847.0,1.0,-8.0,1.0,-3199.0,6063.0,10750.0,-10289.0,2.0,17.0,10.0,-2.0,-1.0,9.0,7976.0,-13253.0,5110.0,-1755.0,-3.0,8.0,5.0,1.0
2022-05-06 15:07:42.446793-07:00,1030.6,643.2,926.2,882.3,892.4,716.7,1589.9,1303.4,3464.9,3466.1,1040.1,835.2,1399.4,3478.3,1282.8,1197.4,3464.9,3468.6,343.7,546.6,870.5,1063.4,465.6,1606.8,3478.3,3477.1,602.0,661.9,1789.7,956.8,870.5,847.0,6.0,-2.0,4.0,-3201.0,6067.0,10748.0,-10288.0,2.0,5.0,-3.0,3.0,0.0,12.0,7976.0,-13252.0,5109.0,-1755.0,0.0,8.0,3.0,1.0
2022-05-06 15:07:42.506901-07:00,1032.3,654.6,926.2,882.3,896.6,715.9,1589.9,1303.4,3467.4,3477.1,1040.1,835.2,1396.7,3474.6,1282.8,1197.4,3464.9,3468.6,346.8,549.0,870.5,1063.4,469.5,1594.6,3478.3,3477.1,606.0,666.0,1789.7,956.8,874.7,847.8,7.0,-10.0,1.0,-3200.0,6067.0,10750.0,-10287.0,-17.0,7.0,9.0,-4.0,1.0,2.0,7975.0,-13253.0,5110.0,-1755.0,-15.0,0.0,4.0,1.0
2022-05-06 15:07:42.596739-07:00,1032.3,654.6,925.4,874.7,896.6,715.9,1593.6,1314.2,3467.4,3477.1,1037.5,831.9,1396.7,3474.6,1292.7,1202.7,3457.6,3484.4,346.8,549.0,875.5,1059.1,469.5,1594.6,3471.0,3474.6,606.0,666.0,1789.7,951.7,874.7,847.8,4.0,0.0,7.0,-3201.0,6070.0,10748.0,-10287.0,19.0,-1.0,3.0,2.0,-2.0,11.0,7977.0,-13252.0,5109.0,-1755.0,22.0,2.0,3.0,1.0
2022-05-06 15:07:42.657373-07:00,1024.5,645.7,925.4,874.7,891.5,717.5,1593.6,1314.2,3468.6,3471.0,1037.5,831.9,1400.3,3473.4,1292.7,1202.7,3457.6,3484.4,340.6,549.8,875.5,1059.1,475.0,1601.1,3471.0,3474.6,602.8,665.2,1789.7,951.7,875.5,844.4,3.0,-12.0,0.0,-3201.0,6069.0,10747.0,-10289.0,-6.0,-6.0,-1.0,-2.0,-3.0,9.0,7976.0,-13253.0,5110.0,-1755.0,-12.0,-2.0,1.0,1.0
