Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:13:31.824582-07:00,1846.9,577.8,1083.4,1281.9,923.7,1113.0,1511.5,1824.6,3439.5,3427.4,1477.3,1347.6,1316.9,3440.7,922.0,1325.0,3433.4,3439.5,625.4,1208.0,872.1,502.0,1278.3,1623.7,3435.8,3428.6,701.1,957.7,1322.3,1341.3,1090.3,1015.1,15.0,3.0,-2.0,2550.0,1774.0,13663.0,8491.0,21.0,71.0,-10.0,0.0,3.0,5.0,10882.0,11788.0,3192.0,935.0,25.0,13.0,2.0,1.0
2022-05-06 15:13:31.854679-07:00,1846.9,577.8,1083.4,1279.2,923.7,1109.5,1511.5,1819.7,3439.5,3427.4,1477.3,1346.7,1316.9,3432.2,928.8,1315.1,3431.0,3428.6,620.5,1208.0,864.6,502.0,1278.3,1623.7,3428.6,3439.5,693.8,957.7,1325.0,1341.3,1090.3,1015.1,13.0,-11.0,-5.0,2533.0,1760.0,13666.0,8495.0,-10.0,37.0,4.0,-2.0,-9.0,0.0,10882.0,11788.0,3192.0,935.0,8.0,7.0,5.0,1.0
2022-05-06 15:13:31.884804-07:00,1847.9,578.6,1085.1,1279.2,923.7,1109.5,1511.5,1819.7,3434.6,3444.3,1480.1,1346.7,1318.7,3432.2,928.8,1315.1,3431.0,3428.6,620.5,1219.5,864.6,505.9,1269.4,1619.0,3428.6,3439.5,693.8,963.7,1325.0,1344.0,1099.0,1015.1,8.0,0.0,-10.0,2522.0,1753.0,13667.0,8497.0,-12.0,21.0,-4.0,-4.0,3.0,7.0,10880.0,11790.0,3193.0,935.0,-7.0,-1.0,-2.0,1.0
2022-05-06 15:13:31.945723-07:00,1847.9,578.6,1085.1,1284.6,921.1,1114.7,1502.3,1816.8,3434.6,3444.3,1480.1,1344.0,1309.7,3443.1,911.8,1319.6,3438.2,3433.4,624.6,1212.4,868.8,505.9,1269.4,1619.0,3449.1,3440.7,701.9,965.4,1332.3,1344.0,1099.0,1015.1,11.0,-5.0,-3.0,2527.0,1749.0,13663.0,8504.0,-21.0,-12.0,-12.0,0.0,0.0,3.0,10885.0,11785.0,3192.0,936.0,-15.0,-9.0,-6.0,1.0
2022-05-06 15:13:32.004788-07:00,1844.0,581.8,1078.2,1282.8,921.1,1114.7,1502.3,1816.8,3449.1,3437.0,1491.2,1345.8,1309.7,3443.1,911.8,1319.6,3438.2,3433.4,624.6,1212.4,868.8,505.9,1274.7,1621.8,3449.1,3440.7,701.9,965.4,1325.9,1349.4,1094.7,1008.2,19.0,3.0,9.0,2529.0,1742.0,13662.0,8506.0,-6.0,28.0,-20.0,-1.0,0.0,4.0,10887.0,11784.0,3191.0,935.0,8.0,-1.0,-6.0,1.0
2022-05-06 15:13:32.034971-07:00,1844.0,581.8,1078.2,1282.8,924.5,1108.6,1503.2,1818.7,3449.1,3437.0,1491.2,1345.8,1309.7,3432.2,922.0,1319.6,3439.5,3435.8,627.8,1208.0,868.8,505.9,1274.7,1621.8,3441.9,3435.8,698.7,956.8,1325.9,1349.4,1094.7,1008.2,6.0,-11.0,-3.0,2524.0,1712.0,13663.0,8512.0,23.0,35.0,-62.0,0.0,-9.0,11.0,10881.0,11787.0,3198.0,935.0,68.0,38.0,-18.0,1.0
2022-05-06 15:13:32.244554-07:00,1845.9,572.2,1076.4,1278.3,924.5,1108.6,1503.2,1818.7,3443.1,3438.2,1476.4,1345.8,1309.7,3432.2,922.0,1319.6,3439.5,3435.8,627.8,1208.0,872.1,505.9,1277.4,1623.7,3441.9,3435.8,698.7,956.8,1325.0,1351.2,1105.1,1010.8,14.0,-6.0,-3.0,2521.0,1705.0,13702.0,8452.0,194.0,16.0,-14.0,-2.0,0.0,2.0,10826.0,11832.0,3222.0,928.0,181.0,33.0,-19.0,1.0
2022-05-06 15:13:32.246078-07:00,1845.9,572.2,1076.4,1278.3,922.8,1102.5,1513.4,1825.5,3443.1,3438.2,1476.4,1345.8,1317.8,3439.5,923.7,1317.8,3429.8,3438.2,619.7,1210.6,872.1,505.9,1277.4,1623.7,3449.1,3440.7,701.1,960.2,1325.0,1351.2,1105.1,1010.8,11.0,-13.0,-10.0,2506.0,1715.0,13730.0,8409.0,77.0,13.0,21.0,-6.0,4.0,-1.0,10788.0,11864.0,3233.0,923.0,76.0,12.0,6.0,1.0
2022-05-06 15:13:32.246663-07:00,1845.0,576.2,1093.8,1278.3,922.8,1102.5,1513.4,1814.9,3443.1,3440.7,1470.9,1347.6,1317.8,3439.5,923.7,1318.7,3444.3,3438.2,619.7,1210.6,867.9,507.5,1273.9,1627.5,3439.5,3440.7,701.1,960.2,1322.3,1342.2,1103.4,1013.3,17.0,-4.0,-8.0,2510.0,1724.0,13736.0,8395.0,28.0,-39.0,-5.0,-1.0,4.0,-7.0,10779.0,11871.0,3236.0,923.0,16.0,1.0,-4.0,1.0
2022-05-06 15:13:32.248591-07:00,1846.9,576.2,1093.8,1278.3,923.7,1110.4,1511.5,1814.9,3451.6,3440.7,1470.9,1347.6,1325.0,3437.0,923.7,1318.7,3444.3,3432.2,614.1,1210.6,867.9,507.5,1273.9,1623.7,3439.5,3444.3,692.1,962.8,1322.3,1342.2,1103.4,1010.8,13.0,-4.0,2.0,2511.0,1737.0,13737.0,8391.0,-27.0,13.0,12.0,1.0,-10.0,6.0,10781.0,11871.0,3231.0,922.0,-20.0,-14.0,12.0,1.0
