Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:18:31.352004-07:00,1788.7,530.6,1136.6,1291.8,996.2,1078.2,1217.7,1446.0,3449.1,3441.9,1399.4,1250.6,1271.2,3441.9,931.3,1326.8,3435.8,3449.1,614.9,1211.5,852.0,505.1,1210.6,1559.0,3444.3,3445.5,659.5,937.3,1275.6,1430.5,1199.1,983.3,9.0,-5.0,-3.0,-1549.0,-3429.0,13431.0,8595.0,5.0,-9.0,-10.0,-4.0,-2.0,0.0,10772.0,11885.0,3155.0,1093.0,4.0,3.0,-8.0,1.0
2022-05-06 15:18:31.408463-07:00,1788.7,530.6,1136.6,1291.8,991.0,1098.2,1206.2,1438.7,3449.1,3441.9,1399.4,1250.6,1266.7,3432.2,930.5,1326.8,3444.3,3447.9,616.5,1209.7,852.0,505.1,1210.6,1559.0,3451.6,3443.1,672.5,936.4,1275.6,1430.5,1199.1,983.3,2.0,-3.0,-3.0,-1549.0,-3430.0,13430.0,8596.0,-11.0,-5.0,3.0,-10.0,-7.0,-3.0,10772.0,11885.0,3155.0,1093.0,-14.0,-2.0,0.0,1.0
2022-05-06 15:18:31.438796-07:00,1782.0,527.4,1134.9,1299.0,991.0,1098.2,1206.2,1438.7,3440.7,3440.7,1389.4,1251.5,1266.7,3432.2,930.5,1326.8,3444.3,3447.9,616.5,1209.7,852.0,505.9,1202.7,1562.7,3451.6,3443.1,672.5,936.4,1274.7,1422.2,1200.0,985.0,10.0,-3.0,1.0,-1549.0,-3430.0,13430.0,8596.0,23.0,-7.0,3.0,-5.0,-3.0,0.0,10771.0,11886.0,3155.0,1093.0,14.0,2.0,-1.0,1.0
2022-05-06 15:18:31.528504-07:00,1782.0,527.4,1134.9,1299.0,998.7,1077.3,1210.6,1446.0,3440.7,3440.7,1389.4,1251.5,1265.8,3429.8,934.7,1326.8,3437.0,3438.2,618.9,1209.7,852.0,505.9,1202.7,1562.7,3446.7,3444.3,673.3,939.8,1274.7,1422.2,1200.0,985.0,8.0,-10.0,-4.0,-1550.0,-3430.0,13428.0,8600.0,-30.0,0.0,-4.0,-5.0,-7.0,2.0,10775.0,11882.0,3154.0,1094.0,-21.0,-6.0,-4.0,1.0
2022-05-06 15:18:31.558908-07:00,1784.9,535.4,1143.6,1302.5,998.7,1077.3,1210.6,1448.8,3443.1,3449.1,1399.4,1249.7,1265.8,3429.8,934.7,1324.1,3439.5,3438.2,618.9,1209.7,851.1,505.1,1201.8,1564.6,3431.0,3444.3,673.3,939.8,1271.2,1421.3,1194.7,981.6,12.0,0.0,-2.0,-1548.0,-3428.0,13429.0,8599.0,23.0,0.0,3.0,-1.0,3.0,0.0,10774.0,11883.0,3154.0,1094.0,13.0,2.0,-1.0,1.0
2022-05-06 15:18:31.588879-07:00,1788.7,535.4,1143.6,1302.5,1002.2,1084.2,1206.2,1448.8,3440.7,3449.1,1399.4,1249.7,1267.6,3445.5,936.4,1324.1,3439.5,3440.7,618.9,1217.7,851.1,505.1,1201.8,1559.9,3431.0,3449.1,666.0,939.0,1271.2,1421.3,1194.7,972.2,8.0,-5.0,-4.0,-1548.0,-3428.0,13429.0,8599.0,-13.0,-1.0,-4.0,0.0,-6.0,1.0,10774.0,11884.0,3154.0,1093.0,-8.0,1.0,-3.0,1.0
2022-05-06 15:18:31.647999-07:00,1788.7,539.4,1136.6,1306.1,1002.2,1084.2,1206.2,1453.4,3440.7,3444.3,1398.5,1252.4,1267.6,3445.5,936.4,1328.7,3428.6,3440.7,618.9,1217.7,851.1,505.9,1206.2,1559.9,3445.5,3449.1,666.0,939.0,1270.3,1425.9,1202.7,972.2,8.0,-2.0,-5.0,-1548.0,-3428.0,13429.0,8599.0,10.0,-2.0,3.0,-6.0,-4.0,0.0,10774.0,11884.0,3154.0,1093.0,13.0,5.0,3.0,1.0
2022-05-06 15:18:31.678423-07:00,1786.8,539.4,1136.6,1306.1,997.9,1090.3,1212.4,1453.4,3440.7,3444.3,1398.5,1252.4,1262.2,3441.9,925.4,1328.7,3428.6,3445.5,616.5,1213.3,851.1,505.9,1206.2,1563.7,3445.5,3449.1,669.3,933.9,1270.3,1425.9,1202.7,980.7,7.0,-3.0,-5.0,-1548.0,-3429.0,13429.0,8599.0,-4.0,1.0,-4.0,-7.0,-4.0,-2.0,10773.0,11884.0,3155.0,1093.0,-1.0,0.0,-3.0,1.0
2022-05-06 15:18:31.738818-07:00,1786.8,529.0,1134.9,1304.3,997.9,1090.3,1212.4,1470.9,3440.7,3433.4,1399.4,1241.7,1262.2,3441.9,925.4,1324.1,3437.0,3445.5,616.5,1213.3,850.3,505.9,1200.9,1563.7,3435.8,3449.1,669.3,933.9,1267.6,1418.6,1197.4,980.7,10.0,-4.0,-3.0,-1548.0,-3429.0,13429.0,8599.0,-7.0,4.0,-7.0,-2.0,-5.0,-1.0,10773.0,11884.0,3155.0,1093.0,0.0,-2.0,0.0,1.0
2022-05-06 15:18:31.798035-07:00,1782.9,531.4,1134.9,1304.3,995.3,1076.4,1204.4,1470.9,3443.1,3449.1,1399.4,1241.7,1259.6,3440.7,933.0,1324.1,3437.0,3437.0,612.5,1208.0,850.3,505.9,1203.5,1561.8,3435.8,3445.5,670.1,933.9,1267.6,1418.6,1199.1,976.5,6.0,1.0,-8.0,-1550.0,-3431.0,13430.0,8597.0,14.0,7.0,1.0,0.0,-4.0,-2.0,10771.0,11886.0,3155.0,1093.0,9.0,-1.0,-1.0,1.0
2022-05-06 15:18:31.858457-07:00,1782.9,531.4,1132.2,1303.4,995.3,1076.4,1198.2,1447.0,3443.1,3449.1,1395.7,1255.1,1259.6,3440.7,930.5,1325.9,3435.8,3440.7,612.5,1208.0,847.8,509.1,1203.5,1561.8,3441.9,3449.1,670.1,933.9,1270.3,1425.0,1199.1,976.5,13.0,-11.0,-1.0,-1548.0,-3431.0,13428.0,8599.0,-26.0,-7.0,-3.0,-4.0,-3.0,-1.0,10773.0,11884.0,3154.0,1093.0,-19.0,-11.0,0.0,1.0
2022-05-06 15:18:31.888717-07:00,1787.8,534.6,1132.2,1303.4,994.5,1087.7,1198.2,1447.0,3437.0,3435.8,1395.7,1255.1,1268.5,3435.8,930.5,1325.9,3435.8,3440.7,615.7,1213.3,847.8,509.1,1200.9,1556.2,3441.9,3449.1,662.7,940.7,1270.3,1425.0,1204.4,982.5,7.0,4.0,-3.0,-1547.0,-3430.0,13429.0,8599.0,18.0,-12.0,-1.0,-5.0,0.0,-3.0,10772.0,11885.0,3154.0,1092.0,5.0,2.0,-2.0,1.0
