Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:20:39.530709-07:00,1827.5,544.2,1149.8,1352.1,1051.3,1134.0,1295.4,1565.5,3437.0,3444.3,1463.5,1278.3,1292.7,3439.5,955.1,1368.5,3427.4,3433.4,628.6,1224.8,866.3,506.7,1221.3,1645.4,3449.1,3437.0,691.3,977.3,1418.6,1423.1,1146.3,1018.5,14.0,2.0,-5.0,-2462.0,-5693.0,12176.0,9039.0,-2.0,-55.0,15.0,-1.0,5.0,-4.0,11294.0,11334.0,3042.0,1779.0,-10.0,-3.0,3.0,1.0
2022-05-06 15:20:39.561338-07:00,1827.5,544.2,1148.9,1354.0,1051.3,1134.0,1309.7,1574.9,3437.0,3444.3,1458.0,1275.6,1292.7,3439.5,960.2,1363.0,3423.7,3437.0,628.6,1224.8,856.2,508.3,1221.3,1645.4,3432.2,3445.5,691.3,977.3,1408.5,1417.6,1146.3,1018.5,8.0,10.0,-3.0,-2464.0,-5685.0,12179.0,9040.0,-4.0,20.0,-23.0,-9.0,0.0,5.0,11296.0,11332.0,3042.0,1779.0,-12.0,6.0,2.0,1.0
2022-05-06 15:20:39.650953-07:00,1817.8,537.0,1148.9,1354.0,1042.6,1139.2,1309.7,1574.9,3446.7,3449.1,1458.0,1275.6,1296.3,3441.9,960.2,1363.0,3423.7,3437.0,638.4,1229.3,856.2,508.3,1216.0,1645.4,3432.2,3445.5,686.4,974.8,1408.5,1417.6,1146.3,1012.5,15.0,21.0,-5.0,-2452.0,-5694.0,12179.0,9037.0,6.0,-35.0,-50.0,-1.0,11.0,0.0,11293.0,11334.0,3045.0,1780.0,-7.0,8.0,-12.0,1.0
2022-05-06 15:20:39.652397-07:00,1817.8,537.0,1135.7,1353.1,1042.6,1139.2,1418.6,1671.0,3446.7,3449.1,1453.4,1279.2,1296.3,3441.9,952.6,1363.9,3439.5,3443.1,638.4,1229.3,866.3,505.1,1216.0,1645.4,3444.3,3445.5,686.4,974.8,1412.2,1420.4,1146.3,1012.5,20.0,-3.0,1.0,-2428.0,-5699.0,12178.0,9042.0,56.0,-28.0,-48.0,0.0,0.0,-6.0,11297.0,11329.0,3049.0,1779.0,16.0,5.0,-9.0,1.0
2022-05-06 15:20:39.711138-07:00,1813.9,545.8,1146.3,1353.1,1047.8,1134.0,1418.6,1671.0,3437.0,3441.9,1457.1,1279.2,1294.5,3437.0,952.6,1363.9,3439.5,3443.1,633.5,1224.8,866.3,503.6,1209.7,1641.6,3444.3,3445.5,684.8,973.1,1412.2,1424.1,1148.0,1017.6,9.0,2.0,-7.0,-2414.0,-5712.0,12188.0,9023.0,38.0,37.0,-29.0,-13.0,-1.0,-10.0,11286.0,11338.0,3054.0,1779.0,28.0,12.0,-2.0,1.0
2022-05-06 15:20:39.772264-07:00,1813.9,545.8,1146.3,1354.0,1047.8,1134.0,1509.7,1787.8,3437.0,3441.9,1457.1,1275.6,1294.5,3439.5,951.7,1362.1,3440.7,3431.0,635.1,1224.8,866.3,503.6,1209.7,1641.6,3449.1,3438.2,684.0,973.1,1412.2,1424.1,1148.0,1017.6,8.0,2.0,-1.0,-2410.0,-5733.0,12193.0,9005.0,56.0,24.0,-24.0,-7.0,2.0,-2.0,11278.0,11346.0,3059.0,1775.0,29.0,2.0,-12.0,1.0
2022-05-06 15:20:39.830991-07:00,1809.0,545.8,1147.1,1354.0,1049.6,1134.0,1509.7,1787.8,3449.1,3435.8,1458.0,1275.6,1296.3,3439.5,951.7,1362.1,3440.7,3431.0,635.1,1223.9,866.3,507.5,1212.4,1648.3,3449.1,3438.2,684.0,974.8,1412.2,1426.8,1149.8,1025.4,15.0,6.0,-2.0,-2405.0,-5740.0,12200.0,8992.0,20.0,-3.0,-17.0,-1.0,-3.0,0.0,11273.0,11350.0,3065.0,1768.0,11.0,-1.0,-17.0,1.0
2022-05-06 15:20:39.890931-07:00,1809.0,545.8,1147.1,1354.9,1049.6,1140.1,1556.2,1797.4,3449.1,3435.8,1458.0,1281.9,1296.3,3438.2,955.1,1362.1,3428.6,3439.5,634.3,1223.9,861.2,507.5,1212.4,1648.3,3444.3,3445.5,687.2,974.8,1419.5,1426.8,1149.8,1025.4,14.0,1.0,6.0,-2396.0,-5750.0,12204.0,8983.0,13.0,15.0,-10.0,-6.0,6.0,-5.0,11269.0,11354.0,3071.0,1762.0,13.0,-9.0,-15.0,1.0
2022-05-06 15:20:39.951003-07:00,1811.9,541.0,1141.0,1354.9,1048.7,1140.1,1556.2,1797.4,3441.9,3439.5,1456.2,1281.9,1285.5,3438.2,955.1,1362.1,3428.6,3439.5,634.3,1224.8,861.2,509.1,1208.9,1649.2,3444.3,3445.5,687.2,970.5,1419.5,1423.1,1154.2,1021.9,12.0,0.0,-6.0,-2402.0,-5755.0,12207.0,8974.0,37.0,19.0,11.0,-3.0,8.0,-5.0,11267.0,11356.0,3072.0,1761.0,35.0,5.0,5.0,1.0
2022-05-06 15:20:39.953155-07:00,1811.9,541.0,1141.0,1356.7,1048.7,1131.4,1567.4,1843.0,3441.9,3439.5,1456.2,1273.9,1285.5,3441.9,948.3,1356.7,3437.0,3439.5,630.3,1224.8,861.2,509.1,1208.9,1649.2,3438.2,3435.8,679.9,970.5,1409.4,1423.1,1154.2,1021.9,10.0,15.0,-17.0,-2406.0,-5759.0,12216.0,8959.0,38.0,17.0,-12.0,-2.0,10.0,-5.0,11260.0,11363.0,3073.0,1759.0,18.0,0.0,-6.0,1.0
