Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:22:49.139029-07:00,1845.0,589.1,1249.7,1459.8,1052.2,1157.7,1300.7,1561.8,3441.9,3438.2,1484.7,1274.7,1497.7,3441.9,985.9,1423.1,3438.2,3449.1,645.7,1332.3,884.8,495.6,1261.3,1839.1,3444.3,3438.2,711.0,1013.3,1387.5,1470.9,1223.9,1017.6,8.0,-1.0,0.0,-3133.0,-6814.0,11613.0,8794.0,53.0,-30.0,3.0,-3.0,0.0,1.0,11531.0,11265.0,2842.0,708.0,46.0,-7.0,-8.0,1.0
2022-05-06 15:22:49.169193-07:00,1837.2,574.6,1253.3,1457.1,1052.2,1157.7,1300.7,1561.8,3450.4,3434.6,1484.7,1267.6,1497.7,3441.9,985.9,1423.1,3438.2,3449.1,645.7,1332.3,879.7,503.6,1255.1,1844.0,3444.3,3438.2,711.0,1013.3,1383.9,1476.4,1228.4,1015.1,5.0,-1.0,0.0,-3125.0,-6810.0,11618.0,8792.0,-2.0,-21.0,6.0,-4.0,-3.0,3.0,11525.0,11271.0,2840.0,704.0,2.0,-12.0,2.0,1.0
2022-05-06 15:22:49.290035-07:00,1837.2,574.6,1253.3,1457.1,1057.3,1173.5,1293.6,1545.0,3450.4,3434.6,1484.7,1267.6,1494.0,3433.4,986.7,1420.4,3434.6,3444.3,640.0,1327.8,879.7,503.6,1255.1,1844.0,3443.1,3449.1,706.9,1015.9,1383.9,1476.4,1228.4,1015.1,7.0,5.0,0.0,-3115.0,-6804.0,11624.0,8793.0,18.0,-20.0,0.0,-6.0,1.0,-3.0,11524.0,11273.0,2836.0,700.0,13.0,-13.0,-6.0,1.0
2022-05-06 15:22:49.291325-07:00,1840.1,575.4,1239.1,1454.3,1057.3,1173.5,1293.6,1545.0,3443.1,3444.3,1488.4,1267.6,1494.0,3433.4,986.7,1420.4,3434.6,3444.3,640.0,1327.8,879.7,504.4,1255.1,1845.9,3443.1,3449.1,706.9,1015.9,1381.2,1485.6,1231.0,1017.6,8.0,3.0,-1.0,-3110.0,-6799.0,11626.0,8795.0,6.0,-20.0,6.0,-3.0,0.0,-1.0,11524.0,11275.0,2832.0,695.0,10.0,-14.0,-7.0,1.0
2022-05-06 15:22:49.379125-07:00,1840.1,575.4,1239.1,1454.3,1056.5,1165.6,1283.7,1533.8,3443.1,3444.3,1488.4,1267.6,1494.0,3439.5,984.2,1420.4,3429.8,3441.9,642.4,1326.8,879.7,504.4,1255.1,1845.9,3438.2,3449.1,713.4,1005.6,1381.2,1485.6,1231.0,1017.6,14.0,12.0,0.0,-3102.0,-6804.0,11626.0,8795.0,39.0,1.0,-73.0,-4.0,-6.0,-11.0,11523.0,11277.0,2829.0,692.0,20.0,-2.0,-13.0,1.0
2022-05-06 15:22:49.380023-07:00,1843.0,579.4,1250.6,1453.4,1056.5,1165.6,1283.7,1532.0,3449.1,3432.2,1497.7,1271.2,1494.0,3439.5,984.2,1419.5,3428.6,3441.9,642.4,1326.8,883.9,502.8,1264.9,1840.1,3441.9,3449.1,713.4,1005.6,1378.5,1471.8,1233.7,1014.2,3.0,25.0,0.0,-3047.0,-6854.0,11617.0,8787.0,56.0,-31.0,-175.0,-4.0,19.0,8.0,11516.0,11280.0,2845.0,683.0,-13.0,10.0,-62.0,1.0
2022-05-06 15:22:49.589253-07:00,1860.6,579.4,1250.6,1453.4,1053.9,1158.6,1283.7,1532.0,3438.2,3432.2,1497.7,1271.2,1491.2,3434.6,979.9,1419.5,3428.6,3432.2,640.0,1331.4,883.9,502.8,1264.9,1847.9,3441.9,3437.0,713.4,1013.3,1378.5,1471.8,1233.7,1015.1,6.0,-32.0,7.0,-3023.0,-6887.0,11596.0,8798.0,-36.0,12.0,-47.0,-7.0,-19.0,1.0,11526.0,11268.0,2861.0,668.0,-6.0,-1.0,-33.0,1.0
2022-05-06 15:22:49.591020-07:00,1860.6,579.4,1239.9,1467.2,1053.9,1158.6,1283.7,1524.5,3438.2,3434.6,1487.5,1270.3,1491.2,3434.6,979.9,1418.6,3435.8,3432.2,640.0,1331.4,883.9,504.4,1259.6,1847.9,3443.1,3437.0,713.4,1013.3,1375.7,1471.8,1245.3,1015.1,0.0,-8.0,1.0,-3026.0,-6886.0,11603.0,8788.0,25.0,21.0,36.0,-20.0,-8.0,-1.0,11520.0,11273.0,2864.0,664.0,33.0,0.0,13.0,1.0
2022-05-06 15:22:49.591830-07:00,1846.9,579.4,1239.9,1467.2,1063.4,1161.2,1281.9,1524.5,3438.2,3434.6,1487.5,1270.3,1486.6,3449.1,987.6,1418.6,3435.8,3431.0,640.0,1325.9,883.9,504.4,1259.6,1840.1,3443.1,3444.3,710.1,1015.9,1375.7,1471.8,1245.3,1015.1,8.0,-4.0,-11.0,-3037.0,-6874.0,11611.0,8783.0,6.0,2.0,42.0,-7.0,-1.0,-6.0,11517.0,11277.0,2859.0,669.0,12.0,-6.0,16.0,1.0
2022-05-06 15:22:49.592392-07:00,1846.9,583.5,1244.4,1450.6,1063.4,1161.2,1281.9,1506.9,3438.2,3444.3,1488.4,1268.5,1486.6,3449.1,987.6,1420.4,3440.7,3431.0,640.0,1325.9,882.3,508.3,1261.3,1840.1,3439.5,3444.3,710.1,1015.9,1383.0,1480.1,1233.7,1015.1,14.0,9.0,-3.0,-3046.0,-6864.0,11616.0,8781.0,-38.0,-3.0,11.0,2.0,-1.0,-5.0,11514.0,11281.0,2854.0,669.0,-30.0,-17.0,7.0,1.0
