Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:25:27.475075-07:00,1022.8,660.3,928.8,870.5,901.7,701.1,1537.6,1324.1,3468.6,3480.7,1030.6,801.9,1369.4,3467.4,1240.8,1098.2,3478.3,3469.8,346.8,568.2,856.2,1086.0,447.4,1522.7,3467.4,3473.4,614.1,652.2,1863.5,956.8,889.8,889.8,8.0,2.0,9.0,-10024.0,12650.0,287.0,-2802.0,3.0,-28.0,-8.0,3.0,4.0,-11.0,6901.0,-11228.0,8887.0,-3973.0,6.0,-10.0,-3.0,1.0
2022-05-06 15:25:27.535346-07:00,1021.1,669.3,931.3,870.5,898.3,701.1,1537.6,1324.1,3478.3,3460.1,1027.1,801.9,1364.8,3467.4,1240.8,1098.2,3478.3,3469.8,346.8,562.6,856.2,1084.2,445.1,1524.5,3467.4,3473.4,614.1,649.7,1863.5,959.4,901.7,884.8,6.0,-3.0,12.0,-10026.0,12649.0,291.0,-2800.0,8.0,-5.0,-11.0,0.0,1.0,-11.0,6901.0,-11228.0,8886.0,-3972.0,6.0,0.0,3.0,1.0
2022-05-06 15:25:27.565495-07:00,1021.1,669.3,931.3,878.9,898.3,701.9,1556.2,1333.2,3478.3,3460.1,1027.1,795.2,1364.8,3466.1,1231.0,1097.3,3483.2,3466.1,348.3,562.6,852.0,1084.2,445.1,1524.5,3469.8,3464.9,614.1,649.7,1860.6,959.4,901.7,884.8,7.0,4.0,3.0,-10026.0,12649.0,293.0,-2801.0,-1.0,3.0,-4.0,0.0,2.0,-10.0,6901.0,-11228.0,8886.0,-3972.0,10.0,0.0,2.0,1.0
2022-05-06 15:25:27.625417-07:00,1022.8,657.0,930.5,882.3,904.2,701.9,1556.2,1333.2,3464.9,3463.7,1021.1,798.5,1365.7,3466.1,1231.0,1097.3,3483.2,3466.1,348.3,561.0,850.3,1077.3,443.5,1530.1,3469.8,3464.9,614.1,652.2,1863.5,952.6,889.0,883.9,6.0,0.0,1.0,-10031.0,12645.0,297.0,-2797.0,5.0,-6.0,-13.0,3.0,2.0,-13.0,6905.0,-11226.0,8885.0,-3975.0,1.0,1.0,-3.0,1.0
2022-05-06 15:25:27.685240-07:00,1022.8,657.0,930.5,882.3,900.0,705.2,1554.3,1322.3,3464.9,3463.7,1021.1,798.5,1364.8,3464.9,1233.7,1100.8,3467.4,3472.2,344.5,562.6,850.3,1077.3,443.5,1530.1,3477.1,3473.4,616.5,655.4,1863.5,952.6,889.0,883.9,9.0,0.0,12.0,-10030.0,12646.0,300.0,-2798.0,-10.0,-4.0,0.0,6.0,7.0,-11.0,6905.0,-11226.0,8885.0,-3975.0,-4.0,0.0,2.0,1.0
2022-05-06 15:25:27.715667-07:00,1025.4,662.7,936.4,877.2,900.0,705.2,1554.3,1322.3,3473.4,3467.4,1028.0,801.9,1364.8,3464.9,1233.7,1100.8,3467.4,3472.2,344.5,562.6,854.5,1080.8,441.2,1521.8,3477.1,3473.4,616.5,655.4,1874.2,962.0,890.7,888.2,6.0,7.0,7.0,-10032.0,12645.0,299.0,-2796.0,5.0,9.0,-2.0,0.0,7.0,-10.0,6905.0,-11225.0,8885.0,-3976.0,7.0,4.0,5.0,1.0
2022-05-06 15:25:27.775280-07:00,1025.4,662.7,936.4,877.2,902.5,711.0,1544.1,1331.4,3473.4,3467.4,1028.0,801.9,1366.6,3457.6,1234.6,1097.3,3473.4,3475.9,353.7,559.4,854.5,1080.8,441.2,1521.8,3477.1,3467.4,623.8,654.6,1874.2,962.0,890.7,888.2,6.0,2.0,8.0,-10029.0,12647.0,299.0,-2795.0,-6.0,10.0,6.0,0.0,7.0,-12.0,6905.0,-11225.0,8885.0,-3976.0,-4.0,2.0,8.0,1.0
2022-05-06 15:25:27.835224-07:00,1019.4,655.4,934.7,873.8,902.5,711.0,1544.1,1331.4,3467.4,3460.1,1022.8,797.7,1366.6,3457.6,1234.6,1097.3,3473.4,3475.9,353.7,559.4,855.3,1086.0,441.2,1519.9,3477.1,3467.4,623.8,654.6,1873.2,973.9,893.2,882.3,2.0,4.0,5.0,-10026.0,12650.0,299.0,-2795.0,-6.0,-6.0,-4.0,-1.0,1.0,-13.0,6905.0,-11226.0,8885.0,-3975.0,5.0,-6.0,4.0,1.0
2022-05-06 15:25:27.865578-07:00,1020.2,655.4,934.7,873.8,902.5,698.7,1545.9,1332.3,3473.4,3460.1,1022.8,797.7,1362.1,3462.5,1231.0,1092.9,3478.3,3474.6,349.1,557.8,855.3,1086.0,441.2,1527.3,3473.4,3480.7,616.5,649.7,1873.2,973.9,893.2,892.4,0.0,6.0,-5.0,-10028.0,12648.0,302.0,-2795.0,-12.0,-15.0,-10.0,0.0,8.0,-14.0,6908.0,-11224.0,8884.0,-3976.0,-13.0,-10.0,-1.0,1.0
2022-05-06 15:25:27.925405-07:00,1020.2,661.9,926.2,871.3,902.5,698.7,1545.9,1326.8,3473.4,3467.4,1025.4,798.5,1362.1,3462.5,1231.0,1096.4,3468.6,3474.6,349.1,557.8,848.6,1100.8,441.9,1527.3,3474.6,3480.7,616.5,649.7,1859.6,950.9,892.4,892.4,5.0,5.0,7.0,-10026.0,12648.0,305.0,-2799.0,5.0,-10.0,-8.0,0.0,2.0,-10.0,6909.0,-11225.0,8883.0,-3974.0,10.0,-9.0,0.0,1.0
