Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:27:21.818011-07:00,1019.4,660.3,959.4,883.1,902.5,743.0,1559.0,1319.6,3466.1,3472.2,1046.1,850.3,1365.7,3467.4,1248.8,1163.0,3473.4,3473.4,358.4,567.4,861.2,1087.7,498.0,1634.1,3483.2,3483.2,635.9,655.4,1774.3,950.9,901.7,869.6,6.0,-3.0,7.0,-9525.0,13181.0,-1235.0,-1564.0,2.0,-8.0,-2.0,1.0,7.0,-11.0,5858.0,-10976.0,9787.0,-4227.0,8.0,4.0,2.0,1.0
2022-05-06 15:27:21.819281-07:00,1018.5,660.3,959.4,883.1,905.9,737.3,1559.9,1319.6,3474.6,3472.2,1046.1,850.3,1369.4,3469.8,1246.2,1163.0,3473.4,3475.9,358.4,562.6,861.2,1087.7,498.0,1642.6,3483.2,3483.2,635.1,653.0,1774.3,950.9,901.7,872.1,8.0,-5.0,0.0,-9525.0,13181.0,-1232.0,-1567.0,4.0,-21.0,-6.0,2.0,8.0,-10.0,5859.0,-10976.0,9786.0,-4227.0,11.0,-1.0,1.0,1.0
2022-05-06 15:27:21.908112-07:00,1018.5,658.7,952.6,889.0,905.9,737.3,1559.9,1325.0,3474.6,3467.4,1043.5,845.3,1369.4,3469.8,1246.2,1163.0,3475.9,3475.9,358.4,562.6,860.4,1091.2,492.5,1642.6,3475.9,3483.2,635.1,653.0,1768.5,950.9,900.8,872.1,6.0,-10.0,11.0,-9523.0,13182.0,-1231.0,-1570.0,11.0,-3.0,-2.0,0.0,1.0,-5.0,5859.0,-10976.0,9787.0,-4227.0,20.0,-8.0,-1.0,1.0
2022-05-06 15:27:21.938210-07:00,1025.4,658.7,952.6,889.0,900.8,741.4,1561.8,1325.0,3467.4,3467.4,1043.5,845.3,1371.2,3466.1,1247.1,1163.0,3475.9,3469.8,358.4,562.6,860.4,1091.2,492.5,1633.1,3475.9,3469.8,637.6,655.4,1768.5,950.9,900.8,871.3,8.0,-2.0,6.0,-9523.0,13182.0,-1230.0,-1571.0,-26.0,-9.0,-8.0,1.0,4.0,-13.0,5859.0,-10976.0,9786.0,-4227.0,-19.0,2.0,-1.0,1.0
2022-05-06 15:27:21.968096-07:00,1025.4,660.3,952.6,893.2,900.8,741.4,1551.5,1323.2,3467.4,3463.7,1044.4,851.1,1371.2,3466.1,1245.3,1163.0,3478.3,3469.8,358.4,562.6,861.2,1088.6,494.8,1633.1,3471.0,3471.0,637.6,655.4,1753.1,949.2,896.6,871.3,10.0,-5.0,9.0,-9527.0,13179.0,-1231.0,-1570.0,12.0,12.0,-5.0,0.0,10.0,-15.0,5863.0,-10973.0,9785.0,-4231.0,12.0,0.0,5.0,1.0
2022-05-06 15:27:22.027989-07:00,1019.4,668.4,952.6,893.2,896.6,742.2,1551.5,1323.2,3467.4,3461.3,1044.4,851.1,1366.6,3472.2,1245.3,1163.0,3478.3,3469.8,358.4,565.8,861.2,1088.6,491.7,1635.0,3471.0,3471.0,635.9,648.9,1753.1,949.2,905.0,873.0,6.0,-4.0,8.0,-9520.0,13184.0,-1234.0,-1571.0,-16.0,-8.0,7.0,-1.0,5.0,-11.0,5860.0,-10975.0,9786.0,-4228.0,-4.0,-2.0,7.0,1.0
2022-05-06 15:27:22.088305-07:00,1019.4,668.4,950.9,884.8,896.6,742.2,1556.2,1320.5,3467.4,3461.3,1040.1,846.1,1366.6,3472.2,1250.6,1159.4,3475.9,3478.3,358.4,565.8,860.4,1092.1,491.7,1635.0,3469.8,3473.4,635.9,648.9,1769.5,942.4,905.0,873.0,10.0,-2.0,3.0,-9520.0,13184.0,-1233.0,-1572.0,0.0,-7.0,-8.0,4.0,10.0,-13.0,5860.0,-10975.0,9786.0,-4228.0,5.0,-6.0,2.0,1.0
2022-05-06 15:27:22.148056-07:00,1024.5,659.5,950.9,884.8,898.3,734.8,1556.2,1320.5,3464.9,3478.3,1040.1,846.1,1370.3,3471.0,1250.6,1159.4,3475.9,3478.3,360.7,562.6,860.4,1092.1,495.6,1640.7,3469.8,3473.4,633.5,653.8,1769.5,942.4,906.7,873.8,6.0,-9.0,6.0,-9520.0,13183.0,-1232.0,-1574.0,-8.0,-13.0,-1.0,-2.0,2.0,-13.0,5860.0,-10975.0,9786.0,-4228.0,0.0,-2.0,2.0,1.0
2022-05-06 15:27:22.177950-07:00,1024.5,659.5,952.6,885.6,898.3,734.8,1553.4,1319.6,3464.9,3478.3,1040.1,848.6,1370.3,3471.0,1248.8,1156.8,3478.3,3469.8,360.7,562.6,865.4,1083.4,495.6,1640.7,3466.1,3475.9,633.5,653.8,1773.3,953.4,906.7,873.8,10.0,-3.0,8.0,-9521.0,13183.0,-1232.0,-1574.0,15.0,11.0,-8.0,2.0,5.0,-9.0,5862.0,-10974.0,9785.0,-4230.0,17.0,0.0,3.0,1.0
2022-05-06 15:27:22.208433-07:00,1019.4,658.7,952.6,885.6,905.9,735.6,1553.4,1319.6,3473.4,3460.1,1038.3,848.6,1368.5,3458.9,1248.8,1156.8,3478.3,3469.8,359.2,566.6,865.4,1089.5,491.7,1635.0,3466.1,3475.9,636.7,653.8,1773.3,951.7,894.9,864.6,5.0,-3.0,1.0,-9519.0,13184.0,-1236.0,-1573.0,-33.0,0.0,21.0,-2.0,8.0,-10.0,5862.0,-10974.0,9786.0,-4229.0,-25.0,1.0,10.0,1.0
2022-05-06 15:27:22.267917-07:00,1019.4,658.7,952.6,885.6,905.9,740.6,1554.3,1316.0,3473.4,3460.1,1038.3,846.1,1368.5,3457.6,1252.4,1162.1,3477.1,3472.2,354.5,566.6,860.4,1089.5,491.7,1635.0,3475.9,3472.2,632.7,653.8,1776.2,951.7,894.9,864.6,10.0,0.0,8.0,-9512.0,13189.0,-1239.0,-1575.0,13.0,17.0,-4.0,1.0,10.0,-10.0,5860.0,-10974.0,9787.0,-4228.0,17.0,3.0,0.0,1.0
2022-05-06 15:27:22.357582-07:00,1027.1,663.6,955.1,885.6,905.9,740.6,1554.3,1316.0,3463.7,3466.1,1040.9,846.1,1366.6,3457.6,1252.4,1162.1,3477.1,3472.2,354.5,565.0,860.4,1091.2,492.5,1632.2,3475.9,3472.2,632.7,653.0,1776.2,949.2,903.4,871.3,8.0,-8.0,2.0,-9513.0,13188.0,-1240.0,-1573.0,-18.0,-12.0,3.0,0.0,2.0,-14.0,5863.0,-10973.0,9786.0,-4230.0,-3.0,-2.0,-2.0,1.0
