Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:29:10.613059-07:00,1006.5,656.2,917.7,870.5,953.4,720.0,1564.6,1365.7,3474.6,3467.4,1047.8,829.4,1290.9,3478.3,1285.5,1223.0,3478.3,3469.8,366.9,581.8,852.0,1072.1,480.6,1757.9,3472.2,3473.4,621.4,659.5,1804.2,993.6,920.3,957.7,5.0,-2.0,10.0,-10031.0,12718.0,-2417.0,-479.0,-3.0,16.0,13.0,4.0,11.0,-10.0,6457.0,-10545.0,9793.0,-4433.0,20.0,-8.0,-5.0,1.0
2022-05-06 15:29:10.763138-07:00,991.0,647.3,917.7,869.6,949.2,720.0,1564.6,1365.7,3473.4,3468.6,1049.6,827.7,1296.3,3478.3,1285.5,1223.0,3478.3,3469.8,366.9,585.1,847.8,1081.6,478.2,1758.9,3472.2,3473.4,621.4,657.9,1801.3,985.0,927.9,963.7,4.0,-9.0,3.0,-10026.0,12721.0,-2417.0,-482.0,-40.0,-34.0,-7.0,7.0,2.0,-13.0,6454.0,-10547.0,9793.0,-4432.0,-13.0,2.0,-7.0,1.0
2022-05-06 15:29:10.764322-07:00,991.0,647.3,917.7,869.6,944.9,716.7,1560.9,1383.9,3473.4,3468.6,1049.6,827.7,1291.8,3488.0,1289.1,1216.8,3477.1,3472.2,370.8,577.8,847.8,1081.6,478.2,1758.9,3477.1,3477.1,624.6,649.7,1801.3,985.0,927.9,963.7,7.0,-15.0,8.0,-10027.0,12724.0,-2400.0,-491.0,24.0,-16.0,-12.0,3.0,5.0,-14.0,6456.0,-10546.0,9790.0,-4438.0,57.0,3.0,-11.0,1.0
2022-05-06 15:29:10.765858-07:00,994.5,658.7,922.8,870.5,944.9,716.7,1560.9,1383.9,3478.3,3475.9,1041.8,826.9,1291.8,3488.0,1289.1,1216.8,3477.1,3472.2,370.8,577.8,847.8,1076.4,484.5,1756.0,3477.1,3477.1,624.6,649.7,1805.2,986.7,926.2,958.5,2.0,-23.0,2.0,-10034.0,12718.0,-2401.0,-486.0,-16.0,0.0,-4.0,5.0,0.0,-10.0,6461.0,-10543.0,9787.0,-4443.0,-16.0,6.0,2.0,1.0
2022-05-06 15:29:10.853067-07:00,994.5,658.7,922.8,870.5,958.5,718.4,1563.7,1385.7,3478.3,3475.9,1041.8,826.9,1299.8,3469.8,1280.1,1218.6,3479.5,3467.4,366.2,578.6,847.8,1076.4,484.5,1756.0,3480.7,3467.4,621.4,653.8,1805.2,986.7,926.2,958.5,13.0,-1.0,-2.0,-10033.0,12720.0,-2396.0,-491.0,-7.0,-24.0,-4.0,8.0,15.0,-21.0,6459.0,-10544.0,9787.0,-4444.0,1.0,2.0,0.0,1.0
2022-05-06 15:29:10.854137-07:00,989.3,657.0,917.7,868.8,958.5,718.4,1563.7,1385.7,3478.3,3483.2,1043.5,828.5,1299.8,3469.8,1280.1,1218.6,3479.5,3467.4,366.2,578.6,849.5,1076.4,481.4,1760.8,3480.7,3467.4,621.4,653.8,1801.3,963.7,918.6,968.8,6.0,-4.0,2.0,-10034.0,12719.0,-2392.0,-493.0,10.0,-20.0,-10.0,7.0,8.0,-9.0,6459.0,-10544.0,9786.0,-4446.0,19.0,-5.0,-2.0,1.0
2022-05-06 15:29:10.913866-07:00,989.3,657.0,917.7,868.8,954.3,721.6,1568.3,1376.6,3478.3,3483.2,1043.5,828.5,1294.5,3473.4,1288.2,1217.7,3467.4,3481.9,362.3,579.4,849.5,1076.4,481.4,1760.8,3477.1,3489.2,619.7,649.7,1801.3,963.7,918.6,968.8,5.0,-12.0,11.0,-10034.0,12720.0,-2385.0,-498.0,-6.0,-7.0,2.0,1.0,-1.0,-8.0,6454.0,-10546.0,9788.0,-4443.0,-8.0,-6.0,-1.0,1.0
2022-05-06 15:29:11.063003-07:00,985.0,655.4,913.5,872.1,954.3,721.6,1568.3,1373.9,3462.5,3467.4,1047.0,829.4,1294.5,3473.4,1288.2,1216.8,3472.2,3481.9,362.3,579.4,851.1,1076.4,480.6,1754.1,3478.3,3489.2,619.7,649.7,1803.2,979.9,918.6,967.9,1.0,-15.0,8.0,-10033.0,12722.0,-2384.0,-498.0,-21.0,-6.0,4.0,1.0,2.0,-10.0,6451.0,-10548.0,9789.0,-4441.0,-12.0,-5.0,8.0,1.0
2022-05-06 15:29:11.065739-07:00,996.2,655.4,913.5,872.1,951.7,720.8,1563.7,1373.9,3466.1,3467.4,1047.0,829.4,1299.0,3473.4,1281.0,1216.8,3472.2,3474.6,367.7,580.2,851.1,1076.4,480.6,1748.3,3478.3,3483.2,621.4,648.9,1803.2,979.9,918.6,964.5,3.0,-5.0,-1.0,-10027.0,12726.0,-2386.0,-501.0,-30.0,-4.0,10.0,3.0,6.0,-15.0,6448.0,-10549.0,9793.0,-4437.0,-31.0,-4.0,9.0,1.0
2022-05-06 15:29:11.066354-07:00,996.2,655.4,911.8,871.3,951.7,720.8,1563.7,1363.9,3466.1,3467.4,1042.6,828.5,1299.0,3473.4,1281.0,1215.1,3474.6,3474.6,367.7,580.2,848.6,1079.0,483.7,1748.3,3484.4,3483.2,621.4,648.9,1810.0,991.0,926.2,964.5,5.0,-2.0,0.0,-10017.0,12734.0,-2388.0,-505.0,-15.0,-5.0,12.0,3.0,4.0,-12.0,6438.0,-10554.0,9797.0,-4428.0,-8.0,-7.0,5.0,1.0
2022-05-06 15:29:11.153029-07:00,983.3,655.4,911.8,871.3,957.7,714.2,1567.4,1363.9,3484.4,3467.4,1042.6,828.5,1297.2,3471.0,1289.1,1215.1,3474.6,3483.2,363.8,580.2,848.6,1079.0,483.7,1755.0,3484.4,3486.8,616.5,653.0,1810.0,991.0,926.2,967.9,12.0,-12.0,-3.0,-10011.0,12739.0,-2382.0,-511.0,-25.0,-24.0,-2.0,16.0,5.0,-13.0,6430.0,-10559.0,9799.0,-4425.0,-18.0,-9.0,2.0,1.0
2022-05-06 15:29:11.153966-07:00,983.3,653.0,914.4,861.2,957.7,714.2,1567.4,1353.1,3484.4,3467.4,1041.8,821.0,1297.2,3471.0,1289.1,1224.8,3478.3,3483.2,363.8,580.2,847.0,1079.9,480.6,1755.0,3480.7,3486.8,616.5,653.0,1798.4,980.7,916.9,967.9,1.0,-12.0,8.0,-10005.0,12744.0,-2375.0,-516.0,-20.0,8.0,2.0,1.0,4.0,-10.0,6423.0,-10564.0,9801.0,-4420.0,-12.0,-1.0,0.0,1.0
2022-05-06 15:29:11.482656-07:00,993.6,668.4,914.4,861.2,955.1,720.0,1561.8,1353.1,3472.2,3472.2,1041.8,821.0,1292.7,3475.9,1289.1,1224.8,3478.3,3478.3,360.7,577.0,847.0,1079.9,477.4,1768.5,3480.7,3469.8,621.4,648.1,1798.4,980.7,908.4,968.8,0.0,-10.0,-4.0,-10010.0,12740.0,-2386.0,-506.0,34.0,21.0,2.0,0.0,5.0,-11.0,6427.0,-10561.0,9799.0,-4424.0,51.0,7.0,5.0,1.0
2022-05-06 15:29:11.543012-07:00,993.6,668.4,914.4,867.9,955.1,720.0,1539.4,1357.6,3472.2,3472.2,1045.2,829.4,1292.7,3475.9,1279.2,1217.7,3477.1,3468.6,360.7,577.0,846.1,1076.4,477.4,1768.5,3471.0,3477.1,621.4,648.1,1803.2,982.5,908.4,968.8,11.0,-12.0,-3.0,-10011.0,12739.0,-2385.0,-506.0,-29.0,-18.0,-2.0,9.0,6.0,-14.0,6426.0,-10561.0,9800.0,-4424.0,-18.0,-2.0,-1.0,1.0
2022-05-06 15:29:11.544641-07:00,986.7,650.5,914.4,867.9,953.4,711.8,1539.4,1357.6,3472.2,3480.7,1045.2,829.4,1292.7,3472.2,1279.2,1217.7,3477.1,3468.6,361.5,581.0,846.1,1076.4,479.8,1772.3,3471.0,3477.1,617.3,647.3,1803.2,982.5,920.3,956.0,3.0,0.0,0.0,-10013.0,12737.0,-2386.0,-505.0,15.0,13.0,1.0,3.0,14.0,-13.0,6427.0,-10560.0,9799.0,-4427.0,5.0,4.0,0.0,1.0
2022-05-06 15:29:11.545745-07:00,986.7,650.5,921.1,867.1,953.4,711.8,1550.6,1358.5,3472.2,3480.7,1037.5,831.9,1292.7,3472.2,1279.2,1215.1,3475.9,3480.7,361.5,581.0,847.8,1079.9,479.8,1772.3,3477.1,3477.1,617.3,647.3,1805.2,991.0,920.3,956.0,2.0,-10.0,0.0,-10007.0,12742.0,-2388.0,-503.0,-11.0,-1.0,-3.0,2.0,8.0,-17.0,6423.0,-10563.0,9800.0,-4424.0,17.0,-3.0,-3.0,1.0
2022-05-06 15:29:11.603640-07:00,993.6,647.3,921.1,867.1,951.7,720.8,1550.6,1358.5,3473.4,3471.0,1037.5,831.9,1292.7,3473.4,1279.2,1215.1,3475.9,3480.7,361.5,569.0,847.8,1079.9,479.0,1756.0,3477.1,3477.1,614.1,644.0,1805.2,991.0,919.4,962.8,4.0,-1.0,2.0,-10013.0,12736.0,-2392.0,-497.0,23.0,18.0,-7.0,5.0,11.0,-9.0,6425.0,-10561.0,9799.0,-4427.0,-7.0,-1.0,-9.0,1.0
2022-05-06 15:29:11.604493-07:00,993.6,647.3,919.4,867.1,951.7,719.2,1561.8,1360.3,3473.4,3471.0,1042.6,832.7,1292.7,3467.4,1278.3,1216.0,3474.6,3469.8,358.4,569.0,847.0,1079.9,479.0,1756.0,3468.6,3478.3,614.1,644.0,1792.6,981.6,919.4,962.8,5.0,-16.0,-2.0,-10016.0,12735.0,-2386.0,-493.0,20.0,-11.0,-15.0,5.0,1.0,-15.0,6424.0,-10562.0,9797.0,-4429.0,44.0,-3.0,-15.0,1.0
