Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:30:41.880344-07:00,1026.3,692.1,945.8,895.7,970.5,768.7,1589.9,1482.9,3477.1,3472.2,1015.1,792.7,1305.2,3466.1,1270.3,1174.4,3474.6,3479.5,343.7,557.0,845.3,1088.6,490.1,1549.7,3469.8,3473.4,621.4,724.1,1690.0,1013.3,945.8,959.4,2.0,3.0,-4.0,-10488.0,12131.0,-3213.0,979.0,1.0,-57.0,-30.0,4.0,14.0,-11.0,6242.0,-9525.0,10625.0,-5084.0,21.0,-11.0,-10.0,1.0
2022-05-06 15:30:41.940665-07:00,1026.3,692.1,945.8,895.7,983.3,761.2,1602.1,1480.1,3477.1,3472.2,1015.1,792.7,1303.4,3463.7,1272.1,1182.3,3473.4,3472.2,342.9,552.2,845.3,1088.6,490.1,1549.7,3472.2,3473.4,629.5,725.8,1690.0,1013.3,945.8,959.4,13.0,1.0,11.0,-10482.0,12140.0,-3202.0,967.0,-10.0,-11.0,4.0,4.0,10.0,-11.0,6241.0,-9531.0,10623.0,-5079.0,9.0,-13.0,-3.0,1.0
2022-05-06 15:30:42.000523-07:00,1036.6,682.3,955.1,881.4,983.3,761.2,1602.1,1472.7,3469.8,3478.3,1007.3,795.2,1303.4,3463.7,1272.1,1181.5,3472.2,3472.2,342.9,552.2,842.8,1084.2,485.3,1552.5,3483.2,3473.4,629.5,725.8,1684.3,1015.1,944.1,959.4,-2.0,-10.0,11.0,-10480.0,12141.0,-3201.0,969.0,-33.0,-20.0,2.0,2.0,-7.0,-4.0,6238.0,-9534.0,10624.0,-5074.0,-21.0,5.0,5.0,1.0
2022-05-06 15:30:42.060745-07:00,1024.5,682.3,955.1,881.4,978.2,764.5,1588.0,1472.7,3468.6,3478.3,1007.3,795.2,1302.5,3467.4,1274.7,1181.5,3472.2,3488.0,342.9,562.6,842.8,1084.2,485.3,1552.5,3483.2,3481.9,617.3,725.8,1684.3,1015.1,944.1,960.2,11.0,-7.0,5.0,-10472.0,12151.0,-3195.0,959.0,1.0,2.0,-3.0,5.0,2.0,-15.0,6232.0,-9536.0,10630.0,-5065.0,23.0,3.0,7.0,1.0
2022-05-06 15:30:42.150426-07:00,1024.5,684.8,960.2,900.0,978.2,764.5,1588.0,1455.2,3468.6,3471.0,1015.9,794.4,1302.5,3467.4,1274.7,1177.0,3479.5,3488.0,342.9,562.6,848.6,1086.8,485.3,1552.5,3472.2,3481.9,617.3,725.8,1680.5,1013.3,939.8,960.2,-6.0,-4.0,-1.0,-10472.0,12146.0,-3210.0,969.0,5.0,30.0,16.0,1.0,5.0,1.0,6234.0,-9534.0,10631.0,-5067.0,0.0,0.0,6.0,1.0
2022-05-06 15:30:42.151420-07:00,1025.4,684.8,960.2,900.0,982.5,754.6,1590.8,1455.2,3471.0,3471.0,1015.9,794.4,1307.0,3471.0,1266.7,1177.0,3479.5,3464.9,340.6,549.0,848.6,1086.8,485.3,1547.8,3472.2,3478.3,622.2,720.0,1680.5,1013.3,939.8,946.6,5.0,6.0,0.0,-10468.0,12150.0,-3211.0,964.0,-27.0,-9.0,-1.0,5.0,13.0,-12.0,6229.0,-9536.0,10633.0,-5062.0,-11.0,2.0,0.0,1.0
2022-05-06 15:30:42.180680-07:00,1025.4,688.0,942.4,899.1,982.5,754.6,1590.8,1463.5,3471.0,3473.4,1015.1,791.9,1307.0,3471.0,1266.7,1185.9,3473.4,3464.9,340.6,549.0,836.1,1091.2,483.7,1547.8,3468.6,3478.3,622.2,720.0,1692.9,1014.2,944.9,946.6,3.0,0.0,-1.0,-10465.0,12153.0,-3210.0,964.0,-20.0,1.0,-2.0,0.0,7.0,-7.0,6225.0,-9538.0,10636.0,-5058.0,-32.0,-1.0,2.0,1.0
2022-05-06 15:30:42.240424-07:00,1021.9,688.0,942.4,899.1,967.9,754.6,1586.1,1463.5,3478.3,3473.4,1015.1,791.9,1303.4,3469.8,1274.7,1185.9,3473.4,3472.2,344.5,548.2,836.1,1091.2,483.7,1545.9,3468.6,3475.9,621.4,715.9,1692.9,1014.2,944.9,954.3,-1.0,-2.0,1.0,-10462.0,12155.0,-3210.0,964.0,-3.0,-5.0,0.0,2.0,4.0,-7.0,6219.0,-9542.0,10639.0,-5052.0,9.0,4.0,3.0,1.0
2022-05-06 15:30:42.300505-07:00,1021.9,691.3,950.9,891.5,967.9,754.6,1583.3,1455.2,3478.3,3464.9,1014.2,791.0,1303.4,3469.8,1271.2,1194.7,3478.3,3468.6,344.5,548.2,845.3,1085.1,479.8,1545.9,3481.9,3479.5,621.4,715.9,1677.6,1015.9,946.6,954.3,3.0,5.0,-2.0,-10460.0,12157.0,-3210.0,963.0,-15.0,4.0,-5.0,1.0,10.0,-9.0,6217.0,-9543.0,10640.0,-5051.0,-4.0,1.0,-2.0,1.0
2022-05-06 15:30:42.390478-07:00,1018.5,679.9,950.9,891.5,969.6,762.0,1583.3,1455.2,3473.4,3472.2,1014.2,791.0,1305.2,3467.4,1271.2,1194.7,3478.3,3468.6,342.1,555.4,845.3,1085.1,486.1,1552.5,3481.9,3479.5,614.9,720.0,1677.6,1015.9,944.1,955.1,3.0,0.0,1.0,-10458.0,12160.0,-3205.0,961.0,8.0,-23.0,-14.0,2.0,3.0,-3.0,6215.0,-9544.0,10641.0,-5049.0,-9.0,-3.0,1.0,1.0
2022-05-06 15:30:42.391649-07:00,1018.5,679.9,950.0,884.8,969.6,762.0,1582.4,1456.2,3473.4,3472.2,1021.9,794.4,1305.2,3467.4,1271.2,1180.6,3471.0,3475.9,342.1,555.4,842.8,1086.8,486.1,1552.5,3469.8,3474.6,614.9,720.0,1691.9,1012.5,944.1,955.1,4.0,0.0,4.0,-10468.0,12156.0,-3190.0,962.0,15.0,-27.0,-26.0,4.0,11.0,-8.0,6216.0,-9543.0,10640.0,-5051.0,12.0,-2.0,-5.0,1.0
2022-05-06 15:30:42.450510-07:00,1026.3,679.9,950.0,884.8,971.3,765.3,1582.4,1456.2,3467.4,3473.4,1021.9,794.4,1301.6,3471.0,1271.2,1180.6,3471.0,3475.9,343.7,553.8,842.8,1086.8,482.2,1536.6,3469.8,3474.6,609.2,711.8,1691.9,1012.5,947.5,951.7,1.0,-5.0,0.0,-10460.0,12164.0,-3183.0,956.0,-31.0,-12.0,-1.0,0.0,6.0,-10.0,6209.0,-9547.0,10644.0,-5044.0,-19.0,-4.0,-1.0,1.0
2022-05-06 15:30:42.480718-07:00,1026.3,679.9,946.6,888.2,971.3,765.3,1569.3,1431.4,3467.4,3473.4,1006.5,791.0,1301.6,3471.0,1274.7,1176.2,3464.9,3478.3,343.7,553.8,844.4,1084.2,482.2,1536.6,3471.0,3478.3,609.2,711.8,1688.1,1013.3,947.5,951.7,8.0,2.0,6.0,-10465.0,12163.0,-3175.0,950.0,33.0,-49.0,-10.0,6.0,11.0,-6.0,6214.0,-9544.0,10641.0,-5051.0,37.0,-2.0,-1.0,1.0
2022-05-06 15:30:42.570582-07:00,1020.2,686.4,945.8,888.2,969.6,753.8,1569.3,1431.4,3457.6,3473.4,1011.6,791.0,1310.6,3472.2,1274.7,1176.2,3464.9,3478.3,341.4,546.6,844.4,1092.1,479.8,1545.9,3471.0,3478.3,619.7,715.9,1688.1,1011.6,946.6,947.5,4.0,-14.0,11.0,-10465.0,12166.0,-3167.0,941.0,-18.0,7.0,10.0,-1.0,2.0,-4.0,6210.0,-9546.0,10643.0,-5047.0,-1.0,0.0,3.0,1.0
2022-05-06 15:30:42.660736-07:00,1020.2,686.4,945.8,893.2,969.6,744.7,1573.0,1441.5,3457.6,3473.4,1011.6,793.5,1310.6,3473.4,1266.7,1193.8,3474.6,3468.6,341.4,546.6,840.3,1092.1,479.8,1545.9,3478.3,3477.1,619.7,715.9,1679.5,1011.6,946.6,947.5,4.0,12.0,-5.0,-10471.0,12158.0,-3174.0,944.0,6.0,8.0,1.0,4.0,1.0,-6.0,6216.0,-9542.0,10640.0,-5053.0,-14.0,6.0,3.0,1.0
2022-05-06 15:30:42.720517-07:00,1021.9,673.3,944.9,893.2,973.9,744.7,1573.0,1441.5,3461.3,3458.9,1011.6,793.5,1302.5,3473.4,1266.7,1193.8,3474.6,3468.6,341.4,548.2,840.3,1085.1,478.2,1565.5,3478.3,3477.1,619.7,709.3,1679.5,1009.0,940.7,945.8,6.0,-6.0,0.0,-10471.0,12161.0,-3167.0,936.0,15.0,-30.0,1.0,1.0,10.0,-14.0,6214.0,-9543.0,10641.0,-5052.0,21.0,-5.0,8.0,1.0
2022-05-06 15:30:42.780672-07:00,1021.9,673.3,944.9,892.4,973.9,752.1,1573.0,1444.2,3461.3,3458.9,1011.6,793.5,1302.5,3467.4,1263.1,1179.7,3462.5,3472.2,340.6,548.2,842.8,1085.1,478.2,1565.5,3467.4,3472.2,614.9,709.3,1703.3,1009.0,940.7,945.8,5.0,-4.0,12.0,-10470.0,12162.0,-3167.0,934.0,-11.0,-2.0,-1.0,5.0,1.0,0.0,6212.0,-9544.0,10642.0,-5051.0,1.0,0.0,3.0,1.0
2022-05-06 15:30:42.811232-07:00,1021.9,678.2,949.2,892.4,971.3,752.1,1573.0,1444.2,3462.5,3467.4,1007.3,793.5,1305.2,3467.4,1263.1,1179.7,3462.5,3472.2,340.6,553.8,842.8,1083.4,479.8,1545.0,3467.4,3472.2,614.9,713.4,1703.3,1010.8,923.7,950.0,1.0,-1.0,-2.0,-10471.0,12163.0,-3162.0,929.0,0.0,-36.0,-9.0,1.0,6.0,-13.0,6211.0,-9544.0,10642.0,-5050.0,4.0,1.0,4.0,1.0
2022-05-06 15:30:42.812073-07:00,1021.9,678.2,949.2,889.0,972.2,748.0,1576.8,1441.5,3462.5,3467.4,1007.3,792.7,1303.4,3467.4,1266.7,1175.3,3478.3,3466.1,341.4,549.8,846.1,1083.4,479.8,1545.0,3473.4,3469.8,617.3,711.0,1686.2,1010.8,923.7,950.0,4.0,-3.0,0.0,-10471.0,12168.0,-3148.0,911.0,-24.0,-49.0,0.0,3.0,10.0,-11.0,6206.0,-9547.0,10645.0,-5045.0,-17.0,-3.0,6.0,1.0
