Time,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,ECG,AX0,AY0,AZ0,QW0,QX0,QY0,QZ0,GX0,GY0,GZ0,AX1,AY1,AZ1,QW1,QX1,QY1,QZ1,GX1,GY1,GZ1
2022-05-06 15:32:18.521466-07:00,1964.7,599.6,1201.8,1356.7,1003.9,1209.7,1521.8,1750.2,3435.8,3437.0,1589.9,1323.2,1392.1,3439.5,1000.5,1424.1,3441.9,3434.6,621.4,1273.9,864.6,511.5,1414.0,1665.3,3443.1,3443.1,763.7,1028.0,1209.7,1436.9,1244.4,1067.7,11.0,-1.0,-7.0,-7496.0,-12057.0,6243.0,5281.0,-22.0,13.0,-7.0,1.0,-1.0,-7.0,10941.0,10958.0,4767.0,2439.0,-14.0,-4.0,2.0,1.0
2022-05-06 15:32:18.522598-07:00,1947.9,599.6,1201.8,1356.7,1002.2,1217.7,1534.8,1750.2,3444.3,3437.0,1589.9,1323.2,1385.7,3438.2,1003.9,1424.1,3441.9,3443.1,618.9,1269.4,864.6,511.5,1414.0,1664.4,3443.1,3443.1,762.0,1033.2,1209.7,1436.9,1244.4,1080.8,9.0,0.0,-5.0,-7499.0,-12057.0,6241.0,5280.0,-3.0,-9.0,10.0,1.0,-1.0,0.0,10941.0,10957.0,4766.0,2439.0,6.0,-3.0,6.0,1.0
2022-05-06 15:32:18.524085-07:00,1947.9,597.9,1207.1,1354.0,1002.2,1217.7,1534.8,1760.8,3444.3,3437.0,1590.8,1328.7,1385.7,3438.2,1003.9,1424.1,3431.0,3443.1,618.9,1269.4,867.1,515.5,1411.3,1664.4,3435.8,3443.1,762.0,1033.2,1208.0,1435.0,1247.1,1080.8,8.0,5.0,0.0,-7499.0,-12054.0,6246.0,5281.0,2.0,-9.0,7.0,4.0,0.0,-2.0,10941.0,10957.0,4766.0,2439.0,-3.0,-6.0,1.0,1.0
2022-05-06 15:32:18.524831-07:00,1960.8,602.8,1207.1,1354.0,997.0,1214.2,1537.6,1760.8,3438.2,3440.7,1590.8,1328.7,1390.3,3444.3,1000.5,1424.1,3431.0,3435.8,617.3,1275.6,867.1,515.5,1415.8,1663.4,3435.8,3449.1,762.9,1037.5,1208.0,1435.0,1245.3,1075.6,7.0,3.0,-1.0,-7498.0,-12054.0,6246.0,5281.0,11.0,2.0,1.0,0.0,1.0,1.0,10941.0,10957.0,4766.0,2439.0,15.0,2.0,2.0,1.0
2022-05-06 15:32:18.552021-07:00,1960.8,602.8,1201.8,1355.8,997.0,1214.2,1533.8,1768.5,3438.2,3440.7,1587.1,1325.0,1390.3,3444.3,1002.2,1422.2,3439.5,3437.0,617.3,1275.6,867.9,513.9,1415.8,1663.4,3434.6,3444.3,762.9,1037.5,1214.2,1436.9,1245.3,1075.6,8.0,-2.0,-2.0,-7501.0,-12054.0,6245.0,5281.0,-16.0,2.0,0.0,6.0,0.0,2.0,10940.0,10958.0,4767.0,2439.0,-8.0,2.0,1.0,1.0
2022-05-06 15:32:18.641830-07:00,1955.8,594.7,1201.8,1355.8,1000.5,1210.6,1533.8,1768.5,3440.7,3441.9,1587.1,1325.0,1392.1,3435.8,1002.2,1422.2,3439.5,3437.0,619.7,1271.2,867.9,513.9,1415.8,1664.4,3434.6,3444.3,764.5,1034.0,1214.2,1436.9,1243.5,1092.9,9.0,14.0,-4.0,-7497.0,-12056.0,6247.0,5278.0,28.0,10.0,8.0,0.0,8.0,-4.0,10936.0,10962.0,4768.0,2438.0,25.0,8.0,2.0,1.0
2022-05-06 15:32:18.643301-07:00,1955.8,594.7,1201.8,1351.2,1000.5,1210.6,1526.4,1755.0,3440.7,3441.9,1589.9,1322.3,1392.1,3435.8,1003.0,1426.8,3432.2,3435.8,619.7,1271.2,867.1,521.8,1415.8,1664.4,3440.7,3454.0,764.5,1034.0,1212.4,1436.9,1243.5,1092.9,7.0,-3.0,-6.0,-7499.0,-12058.0,6242.0,5277.0,-9.0,3.0,-5.0,1.0,-4.0,0.0,10936.0,10962.0,4768.0,2438.0,-2.0,3.0,1.0,1.0
2022-05-06 15:32:18.701776-07:00,1952.9,602.0,1201.8,1351.2,997.0,1209.7,1526.4,1755.0,3440.7,3451.6,1589.9,1322.3,1392.1,3438.2,1003.0,1426.8,3432.2,3435.8,624.6,1274.7,867.1,521.8,1414.0,1658.7,3440.7,3454.0,753.8,1034.9,1212.4,1436.9,1245.3,1057.3,13.0,6.0,-6.0,-7499.0,-12058.0,6242.0,5277.0,-2.0,8.0,2.0,4.0,3.0,0.0,10935.0,10963.0,4768.0,2438.0,-2.0,-1.0,2.0,1.0
2022-05-06 15:32:18.732101-07:00,1952.9,602.0,1205.3,1352.1,997.0,1208.9,1539.4,1772.3,3440.7,3451.6,1586.1,1324.1,1392.1,3445.5,995.3,1426.8,3439.5,3437.0,618.1,1274.7,874.7,514.7,1414.0,1658.7,3443.1,3443.1,763.7,1034.9,1210.6,1432.3,1245.3,1057.3,10.0,-1.0,-3.0,-7503.0,-12056.0,6241.0,5279.0,2.0,0.0,0.0,2.0,-2.0,0.0,10937.0,10961.0,4768.0,2438.0,14.0,5.0,1.0,1.0
2022-05-06 15:32:18.791746-07:00,1947.9,606.0,1202.7,1352.1,995.3,1208.9,1539.4,1772.3,3447.9,3439.5,1588.9,1324.1,1391.2,3445.5,995.3,1426.8,3439.5,3437.0,618.1,1269.4,874.7,513.9,1412.2,1661.5,3443.1,3443.1,763.7,1035.7,1210.6,1433.2,1242.6,1077.3,13.0,0.0,0.0,-7500.0,-12057.0,6242.0,5277.0,-11.0,3.0,-4.0,2.0,3.0,0.0,10934.0,10963.0,4769.0,2437.0,-9.0,4.0,1.0,1.0
2022-05-06 15:32:18.821650-07:00,1947.9,606.0,1202.7,1355.8,995.3,1213.3,1532.9,1761.8,3447.9,3439.5,1588.9,1320.5,1391.2,3449.1,1004.8,1431.4,3438.2,3438.2,617.3,1269.4,872.1,513.9,1412.2,1661.5,3443.1,3445.5,762.0,1035.7,1209.7,1433.2,1242.6,1077.3,10.0,6.0,-3.0,-7500.0,-12059.0,6242.0,5275.0,17.0,10.0,2.0,2.0,10.0,-1.0,10933.0,10965.0,4769.0,2436.0,6.0,7.0,0.0,1.0
2022-05-06 15:32:19.002542-07:00,1953.9,604.4,1204.4,1355.8,1001.3,1213.3,1532.9,1761.8,3443.1,3437.0,1591.7,1320.5,1385.7,3449.1,1004.8,1431.4,3438.2,3438.2,617.3,1273.0,872.1,518.7,1413.1,1668.2,3443.1,3445.5,762.0,1031.4,1209.7,1435.0,1242.6,1073.8,6.0,2.0,-5.0,-7501.0,-12060.0,6239.0,5272.0,4.0,11.0,-7.0,0.0,2.0,0.0,10933.0,10965.0,4769.0,2436.0,6.0,3.0,-1.0,1.0
2022-05-06 15:32:19.004158-07:00,1953.9,604.4,1204.4,1354.0,1001.3,1215.1,1530.1,1756.0,3443.1,3437.0,1591.7,1326.8,1385.7,3443.1,1003.9,1426.8,3435.8,3432.2,621.4,1273.0,869.6,518.7,1413.1,1668.2,3446.7,3438.2,771.1,1031.4,1213.3,1435.0,1242.6,1073.8,10.0,0.0,-9.0,-7500.0,-12061.0,6239.0,5272.0,14.0,-4.0,1.0,2.0,4.0,0.0,10932.0,10966.0,4769.0,2436.0,13.0,2.0,0.0,1.0
2022-05-06 15:32:19.004778-07:00,1946.9,606.8,1206.2,1354.0,1002.2,1215.1,1530.1,1756.0,3438.2,3444.3,1588.9,1319.6,1389.4,3443.1,1003.9,1426.8,3435.8,3432.2,621.4,1274.7,867.9,511.5,1408.5,1661.5,3446.7,3438.2,771.1,1031.4,1211.5,1432.3,1245.3,1074.7,8.0,1.0,-1.0,-7500.0,-12062.0,6238.0,5270.0,-6.0,15.0,-6.0,2.0,2.0,6.0,10931.0,10967.0,4769.0,2436.0,-4.0,1.0,2.0,1.0
2022-05-06 15:32:19.031932-07:00,1946.9,606.8,1206.2,1354.0,1003.0,1203.5,1533.8,1758.9,3438.2,3444.3,1588.9,1319.6,1393.9,3435.8,1004.8,1422.2,3435.8,3438.2,622.2,1271.2,867.9,511.5,1408.5,1661.5,3449.1,3438.2,764.5,1037.5,1211.5,1432.3,1245.3,1074.7,5.0,3.0,-3.0,-7500.0,-12062.0,6238.0,5270.0,4.0,1.0,-4.0,0.0,1.0,-1.0,10930.0,10967.0,4769.0,2436.0,12.0,2.0,0.0,1.0
2022-05-06 15:32:19.121657-07:00,1948.9,602.0,1206.2,1354.9,1003.0,1203.5,1533.8,1758.9,3441.9,3450.4,1589.9,1316.0,1393.9,3435.8,1004.8,1422.2,3435.8,3438.2,622.2,1271.2,872.1,518.7,1417.6,1666.3,3449.1,3438.2,764.5,1037.5,1214.2,1433.2,1244.4,1075.6,11.0,-2.0,-1.0,-7502.0,-12064.0,6234.0,5269.0,-10.0,6.0,-9.0,5.0,-3.0,-3.0,10930.0,10967.0,4769.0,2436.0,-8.0,4.0,-1.0,1.0
2022-05-06 15:32:19.181988-07:00,1948.9,602.0,1206.2,1354.9,995.3,1215.1,1537.6,1755.0,3441.9,3450.4,1589.9,1316.0,1393.9,3443.1,1000.5,1429.5,3437.0,3439.5,621.4,1269.4,872.1,518.7,1417.6,1666.3,3441.9,3444.3,766.2,1032.3,1214.2,1433.2,1244.4,1075.6,9.0,1.0,-6.0,-7501.0,-12065.0,6233.0,5268.0,-1.0,10.0,-3.0,2.0,2.0,1.0,10930.0,10968.0,4770.0,2435.0,4.0,4.0,1.0,1.0
2022-05-06 15:32:19.183029-07:00,1951.9,605.2,1207.1,1347.6,995.3,1215.1,1537.6,1755.0,3441.9,3444.3,1578.6,1313.3,1393.9,3443.1,1000.5,1429.5,3437.0,3439.5,621.4,1269.4,875.5,511.5,1410.3,1661.5,3441.9,3444.3,766.2,1032.3,1213.3,1433.2,1246.2,1075.6,11.0,0.0,-6.0,-7503.0,-12064.0,6232.0,5269.0,-1.0,1.0,-3.0,1.0,1.0,-3.0,10931.0,10967.0,4769.0,2436.0,0.0,3.0,-2.0,1.0
2022-05-06 15:32:19.272078-07:00,1951.9,605.2,1207.1,1347.6,995.3,1199.1,1531.0,1761.8,3441.9,3444.3,1578.6,1313.3,1389.4,3440.7,1000.5,1432.3,3446.7,3435.8,619.7,1275.6,875.5,511.5,1410.3,1661.5,3446.7,3441.9,765.3,1028.0,1213.3,1433.2,1246.2,1075.6,9.0,-3.0,-4.0,-7502.0,-12066.0,6229.0,5270.0,-14.0,15.0,-20.0,1.0,0.0,2.0,10930.0,10967.0,4769.0,2436.0,-15.0,3.0,-5.0,1.0
2022-05-06 15:32:19.273483-07:00,1944.0,596.3,1205.3,1354.0,995.3,1199.1,1531.0,1760.8,3438.2,3434.6,1573.0,1321.4,1389.4,3440.7,1000.5,1424.1,3433.4,3435.8,619.7,1275.6,869.6,513.9,1412.2,1669.1,3433.4,3441.9,765.3,1028.0,1204.4,1431.4,1246.2,1072.1,10.0,5.0,-7.0,-7502.0,-12067.0,6227.0,5270.0,9.0,2.0,3.0,0.0,7.0,0.0,10930.0,10967.0,4769.0,2436.0,9.0,3.0,0.0,1.0
2022-05-06 15:32:19.332447-07:00,1935.1,596.3,1205.3,1354.0,1008.2,1208.9,1532.0,1760.8,3445.5,3434.6,1573.0,1321.4,1382.1,3433.4,1003.0,1424.1,3433.4,3435.8,620.5,1264.9,869.6,513.9,1412.2,1665.3,3433.4,3444.3,766.2,1028.0,1204.4,1431.4,1246.2,1075.6,8.0,4.0,-5.0,-7503.0,-12067.0,6225.0,5272.0,7.0,6.0,-11.0,5.0,2.0,0.0,10931.0,10967.0,4769.0,2436.0,8.0,6.0,-3.0,1.0
2022-05-06 15:32:19.391728-07:00,1935.1,601.2,1197.4,1353.1,1008.2,1208.9,1532.0,1760.8,3445.5,3444.3,1585.2,1325.0,1382.1,3433.4,1003.0,1424.1,3437.0,3435.8,620.5,1264.9,869.6,515.5,1414.9,1665.3,3454.0,3444.3,766.2,1028.0,1208.0,1435.0,1239.9,1075.6,10.0,-3.0,0.0,-7502.0,-12068.0,6223.0,5273.0,-12.0,13.0,-9.0,0.0,0.0,4.0,10931.0,10967.0,4770.0,2436.0,-6.0,11.0,-5.0,1.0
